#{"t_start": 1752554019.0468473, "env_id": "None"}
r,l,t
15.530355,4,0.010788
-5.0,5,0.079038
30.14873,4,0.0913
-16.0,16,0.124161
15.650185,4,0.142375
-48.0,48,0.184813
4.636225,4,0.188869
4.141559,4,0.1938
-80.0,80,0.267824
33.614024,4,0.271899
-24.0,24,0.293335
-37.314676,45,0.333846
8.896118,15,0.347907
-47.271106,83,0.420972
35.240977,4,0.425315
-36.0,36,0.457286
-17.0,17,0.473931
8.028118,4,0.478252
-83.521891,100,0.595788
-100.0,100,0.68894
-25.314676,33,0.719404
-11.0,11,0.730999
-62.0,62,0.788068
97.160121,4,0.793151
-34.791672,44,0.83269
-5.594967,22,0.854384
35.761277,4,0.858843
-44.542797,45,0.898979
-100.0,100,0.989007
-27.931932,42,1.063509
-15.0,15,1.079401
33.074383,4,1.084295
51.928887,4,1.088413
-33.269916,41,1.123956
-50.514319,53,1.177521
1.900483,4,1.182512
-77.0,77,1.52387
-68.0,69,1.58239
13.586403,4,1.586544
54.838675,5,1.591568
-24.0,25,1.614461
26.689195,4,1.6192
58.683174,4,1.623159
24.099205,4,1.627977
-67.0,67,1.684363
-2.745518,4,1.68845
-69.0,70,1.750547
15.793961,4,1.755508
35.640271,4,1.759183
50.715579,4,1.763257
-100.0,100,1.850784
27.017747,4,1.855707
-5.0,5,1.859609
1.900483,4,1.863622
-64.759903,74,1.92929
23.575731,4,1.934128
-84.0,84,2.007904
19.267045,4,2.011652
57.377645,4,2.015578
28.313121,4,2.020324
39.519042,4,2.024312
-7.0,7,2.029077
11.503727,4,2.033081
-37.0,37,2.070477
49.186831,4,2.074507
-99.0,100,2.164143
18.785338,4,2.168357
8.357727,4,2.17324
5.206374,4,2.177356
3.269793,4,2.184402
62.674698,4,2.188714
-99.0,100,2.280696
-38.0,38,2.313294
15.67932,4,2.317463
-66.0,66,2.376904
27.017747,4,2.381975
-10.24645,12,2.39482
-96.0,96,2.480388
49.186831,4,2.484537
-99.0,99,2.574125
1.900483,4,2.578254
-1.082941,4,2.58242
20.566308,5,2.588799
