#{"t_start": 1752554888.5891263, "env_id": "None"}
r,l,t
45.564547,5,0.049886
-1.811165,5,0.055373
-99.0,100,0.20445
61.144917,5,0.210226
-48.846827,52,0.279036
4.125351,5,0.283629
11.768527,5,0.290359
56.139891,5,0.295753
-82.0,82,0.367981
22.296751,5,0.374425
16.4005,5,0.378893
4.243281,11,0.389812
-25.0,25,0.41094
-98.0,99,0.49894
13.780965,5,0.503252
1.904141,6,0.510154
23.66885,5,0.534074
-2.719396,5,0.538394
16.556829,5,0.542934
-56.105461,57,0.593229
-100.0,100,0.682119
76.52495,5,0.688693
-100.0,100,0.777021
78.859622,5,0.782636
-24.0,24,0.803518
22.89399,5,0.808056
6.645252,5,0.812693
-69.0,69,0.875314
-100.0,100,0.964537
14.722158,5,0.968796
-78.0,79,1.087034
56.274061,5,1.092468
-43.777452,63,1.162532
38.790625,5,1.167126
4.338546,29,1.192998
44.7074,5,1.198328
-53.0,53,1.248137
-17.777452,37,1.291579
-1.438754,5,1.296181
-100.0,100,1.391476
-100.0,100,1.480032
-82.0,82,1.55448
-24.0,24,1.575378
-3.003595,5,1.580558
6.934533,5,1.585123
34.934405,5,1.589721
7.682449,5,1.596053
24.088874,5,1.601279
-13.187348,71,1.682238
-2.166997,6,1.687561
-22.0,22,1.708302
-0.307946,5,1.714819
-10.08057,52,1.762263
-44.754369,47,1.804164
-75.0,75,1.870773
11.984259,5,1.879297
-97.675059,100,1.967175
6.645252,5,1.972081
-54.652983,66,2.029714
2.529808,5,2.038316
-1.258611,5,2.042845
29.655129,5,2.047061
-96.132759,100,2.135758
-100.0,100,2.235407
8.250507,5,2.240136
19.748155,5,2.246581
-76.557361,84,2.320227
7.683417,5,2.326908
50.028402,5,2.33139
-99.0,100,2.419366
-22.0,22,2.439683
8.250507,5,2.44626
-99.0,100,2.535292
2.945251,5,2.540179
-91.982052,95,2.627188
-97.335159,100,2.724594
10.842456,5,2.729867
-21.846369,38,2.768128
-55.0,55,2.819371
-20.0,20,2.840546
-60.214609,61,2.899255
-99.0,100,2.995397
