#{"t_start": 1752554062.501258, "env_id": "None"}
r,l,t
0.430465,4,0.010312
23.772391,4,0.041733
-61.0,61,0.163177
2.694511,4,0.167263
-43.802067,46,0.205771
18.56845,4,0.210559
-100.0,100,0.296228
31.144304,4,0.299973
-11.0,11,0.310008
13.095239,28,0.336184
-99.0,100,0.42187
-25.370373,30,0.447787
-74.993727,79,0.534135
-100.0,100,0.622309
-99.0,100,0.710149
-97.260001,100,0.7988
15.088672,7,0.805659
23.031238,4,0.810426
-37.922291,100,0.896464
-4.750836,27,0.920845
1.658526,4,0.924794
-100.0,100,1.012755
-47.0,47,1.055369
-62.644402,100,1.140709
62.125847,4,1.144716
36.636765,4,1.149575
-66.0,66,1.207293
0.134081,4,1.211255
-100.0,100,1.312906
-0.549579,5,1.318228
58.077709,4,1.325332
-78.342273,100,1.41363
0.4914,4,1.417823
1.658526,4,1.422559
-100.0,100,1.509055
-100.0,100,1.597024
39.389126,4,1.600929
-99.0,100,1.688251
-16.0,16,1.702303
3.164492,4,1.706283
57.9837,4,1.710433
-100.0,100,1.797188
0.634225,4,1.800812
-65.0,65,1.857846
1.90227,4,1.861994
-1.613411,4,1.86689
23.772391,4,1.870587
73.112675,4,1.874731
20.342494,4,1.878613
39.389126,4,1.883272
69.584817,4,1.887251
-93.0,93,2.007561
-28.0,28,2.034985
5.05883,4,2.039909
-20.0,20,2.057199
12.192486,4,2.060536
-55.295072,83,2.131666
-21.0,21,2.152576
-97.733255,100,2.242082
-33.280259,37,2.275309
43.860424,4,2.279355
58.249079,4,2.284195
37.720584,4,2.288179
-29.904761,71,2.351072
54.303149,4,2.354885
-100.0,100,2.443179
37.1405,4,2.447186
-61.09,64,2.50269
0.4914,4,2.506617
32.795416,4,2.511355
-1.942134,5,2.516007
0.4914,4,2.519994
-99.0,100,2.606763
13.094652,4,2.611584
-97.09,100,2.704043
40.220502,4,2.708322
-100.0,100,2.797477
-98.613411,100,2.886457
17.441125,4,2.89033
-19.0,19,2.908315
0.613684,42,2.950635
-22.817471,25,2.972548
60.829171,4,2.976287
-78.280259,82,3.049505
-35.787054,45,3.088226
2.013392,4,3.092954
-1.865385,17,3.107105
-29.280259,33,3.137334
-17.370373,22,3.156129
-23.0,23,3.177171
-78.0,78,3.243947
2.94043,4,3.247922
-16.370373,21,3.267935
-86.424957,89,3.345955
46.077709,16,3.360733
-24.993727,29,3.385504
62.125847,4,3.389647
-5.597328,9,3.399117
-100.0,100,3.486058
-25.0,25,3.509229
16.991096,4,3.513622
-0.370373,5,3.520611
38.334494,4,3.524478
28.466346,7,3.531134
-41.865385,56,3.579882
42.573231,4,3.58483
2.997186,4,3.588846
23.508023,5,3.593115
-19.220834,21,3.61077
-100.0,100,3.700258
-64.533654,100,3.788127
61.376361,4,3.792126
19.112787,4,3.796087
56.951833,4,3.800756
37.864505,4,3.804413
-2.872697,17,3.818707
59.500096,4,3.822643
-99.0,100,3.908716
-99.0,100,4.00486
32.773496,4,4.008838
61.376361,4,4.012805
-52.0,52,4.058268
-0.411529,4,4.06228
-22.533654,58,4.113404
32.795416,4,4.117096
-100.0,100,4.206026
-100.0,100,4.292306
-100.0,100,4.37992
10.615685,4,4.383944
55.557286,4,4.388782
-46.0,46,4.427917
-100.0,100,4.519003
-100.0,100,4.605402
-99.0,100,4.664857
-100.0,100,4.702608
62.165417,4,4.70461
-78.972946,100,4.742103
-53.426769,100,4.779773
-21.0,21,4.807803
37.334494,4,4.811555
-73.0,74,4.874777
2.287025,4,4.878787
0.134081,4,4.88388
-100.0,100,4.970886
-99.0,100,5.057377
23.031238,4,5.061353
-9.094774,11,5.073779
-22.747422,25,5.094528
0.629627,4,5.098608
-61.0,62,5.153786
-42.920266,64,5.213211
-100.0,100,5.30168
-100.0,100,5.389602
23.031238,4,5.393596
-100.0,100,5.483068
0.713353,4,5.487196
1.90227,4,5.491165
-61.866895,100,5.580568
-34.623639,100,5.670207
3.210315,4,5.674222
-34.623639,100,5.762875
60.155527,4,5.766882
13.094652,4,5.772781
37.302446,26,5.796319
3.210315,4,5.80032
-29.38916,31,5.828661
58.055695,4,5.834678
-100.0,100,5.922565
0.108063,4,5.926346
36.002324,4,5.930379
38.019868,4,5.936251
-1.942134,5,5.940953
28.710446,4,5.944898
34.160927,4,5.948888
57.9837,4,5.954777
58.055695,4,5.958782
0.629627,4,5.962873
38.359238,4,5.966959
23.508023,5,5.973064
2.013392,4,5.977106
23.704928,4,5.98106
23.704928,4,5.985059
-5.417995,8,5.994253
1.90227,4,5.998248
32.795416,4,6.002257
-100.0,100,6.089051
-99.0,100,6.178743
-35.0,35,6.209885
-86.662077,94,6.292524
2.287025,4,6.296532
59.500096,4,6.302636
23.508023,5,6.310672
40.894747,4,6.316962
58.077709,4,6.322934
-1.018007,4,6.328912
4.393716,4,6.333034
53.338801,4,6.337211
-5.0,6,6.341492
-48.0,48,6.385549
0.713353,4,6.389461
-9.0,9,6.398983
3.386824,4,6.403055
0.713353,4,6.409095
-11.228962,52,6.45504
3.337923,4,6.459075
59.814545,4,6.463094
61.234925,4,6.471447
-7.857209,20,6.489257
31.832602,4,6.493331
61.376361,4,6.497351
32.827419,4,6.503239
-37.432653,84,6.576552
28.642452,5,6.581038
18.56845,4,6.58505
38.359238,4,6.591197
11.992257,4,6.595283
4.412802,4,6.599308
-68.0,69,6.66051
60.190714,4,6.666635
47.143056,4,6.670746
19.051133,4,6.674458
-100.0,100,6.762377
-70.0,70,6.826762
42.403401,4,6.830785
-11.0,11,6.839187
30.661371,4,6.843224
37.321959,4,6.849162
54.303149,4,6.853256
0.629627,4,6.857333
47.034898,4,6.861042
24.019937,4,6.866867
23.031238,4,6.870828
11.992257,4,6.874922
22.62408,4,6.878944
-35.560311,52,6.926365
23.704928,4,6.93036
55.822617,4,6.934584
68.200517,4,6.938549
52.239432,4,6.945059
20.931352,4,6.949048
18.908462,4,6.952817
61.744074,4,6.956812
58.582819,4,6.962689
-7.424957,10,6.97243
-46.0,46,7.011656
3.074542,5,7.017669
-42.615997,50,7.063226
38.470611,4,7.066931
30.734766,4,7.070856
43.614337,4,7.074856
54.942793,4,7.080695
13.094652,4,7.085208
-89.0,90,7.164705
61.376361,4,7.168948
22.62408,4,7.175096
40.812509,4,7.179127
-52.560311,69,7.241112
12.298536,4,7.245178
14.14845,4,7.251206
19.931352,5,7.255617
24.508023,4,7.259682
-0.411529,4,7.263759
-0.370373,5,7.270127
34.918503,4,7.274138
-55.980132,97,7.361116
1.581769,4,7.365126
58.582819,4,7.371024
17.56845,5,7.375515
17.56845,5,7.379913
40.220502,4,7.383985
20.144059,4,7.389596
32.247111,4,7.395275
42.860424,5,7.399478
11.992257,4,7.403451
35.797229,4,7.409336
10.615685,4,7.413321
21.613684,21,7.433118
24.508023,4,7.43723
-93.05957,100,7.526041
-100.0,100,7.613703
-1.613411,4,7.617979
20.931352,4,7.622008
11.992257,4,7.627954
37.177293,4,7.632029
5.374213,4,7.636046
38.683878,4,7.63976
-49.0,49,7.684879
38.799915,4,7.689004
21.664,4,7.693063
0.629627,4,7.697207
-30.0,30,7.725453
35.522109,4,7.729578
-36.390505,45,7.772671
-1.955129,4,7.776773
5.212946,4,7.782672
41.657404,4,7.786894
21.554309,4,7.790954
-5.816629,10,7.798802
-99.0,100,7.887551
15.875669,4,7.891639
2.104761,4,7.895391
55.97438,4,7.899373
4.517675,5,7.90573
1.581769,4,7.909809
19.404382,4,7.913551
-22.826239,27,7.939271
3.337923,4,7.946389
51.286017,4,7.950763
-100.0,100,8.038646
-5.955129,8,8.045991
43.185884,4,8.051888
42.860424,5,8.056286
-100.0,100,8.145801
-22.482325,32,8.173737
-1.613411,4,8.179761
1.860769,4,8.184443
57.075661,4,8.189245
2.940375,4,8.19347
2.007072,4,8.199015
64.04992,4,8.203003
21.554309,4,8.206707
23.031238,4,8.210639
-100.0,100,8.299242
26.109144,4,8.303234
32.722854,4,8.307233
6.903404,4,8.31132
5.05883,4,8.317199
42.414464,4,8.321188
59.824431,4,8.325162
2.013392,4,8.32916
5.05883,4,8.335443
-95.689157,100,8.424162
23.676591,5,8.430464
-100.0,100,8.519798
3.386824,4,8.525998
4.412802,4,8.530046
-1.613411,4,8.534184
0.599352,4,8.538072
23.704928,4,8.543942
-0.244591,4,8.548033
58.077709,4,8.552029
4.973812,4,8.555784
13.094652,4,8.561641
-38.0,38,8.594508
29.3228,4,8.599878
22.816504,4,8.603617
42.854571,4,8.609555
-69.689157,74,8.675067
31.747616,35,8.704946
-15.189768,17,8.722674
10.439689,6,8.729319
-58.867603,63,9.028594
2.940375,4,9.032751
5.206145,4,9.036769
2.013392,4,9.04169
57.068198,4,9.045754
-100.0,100,9.13319
62.340869,4,9.137283
32.773496,4,9.142207
38.095239,4,9.146353
37.177293,4,9.150381
12.298536,4,9.154413
38.871513,4,9.159213
12.439689,4,9.162897
-15.0,15,9.177355
5.206145,4,9.181468
-56.0,56,9.231934
20.144059,5,9.236235
-46.0,46,9.276085
31.827419,5,9.283081
31.827419,5,9.288364
44.006677,4,9.292391
1.325565,24,9.314548
-57.0,57,9.365309
-64.0,64,9.424113
2.94043,4,9.428149
-97.424957,100,9.51836
0.439689,16,9.532583
-56.655668,61,9.587016
21.329679,4,9.591115
56.087391,4,9.595023
39.90914,4,9.598988
44.006677,4,9.60384
50.425358,4,9.607842
12.785803,4,9.611995
39.528831,5,9.618457
17.628636,4,9.623233
23.377142,4,9.627343
36.209705,4,9.631428
2.94043,4,9.663178
-88.283307,100,9.701748
-100.0,100,9.739757
-100.0,100,9.777408
51.28145,4,9.779473
23.5041,4,9.790328
27.938357,4,9.795655
29.49014,4,9.80004
23.772391,4,9.803794
50.281679,4,9.807816
29.49014,4,9.812722
-6.0,6,9.819378
3.395043,5,9.823903
-2.582638,5,9.82877
57.068198,4,9.834092
60.040872,4,9.838174
-44.937747,51,9.883871
62.165417,4,9.887911
40.812509,4,9.893016
-56.655668,61,9.946234
13.094652,4,9.950571
7.564758,4,9.95562
64.056172,4,9.961728
43.185884,4,9.965726
28.710446,4,9.969678
20.995745,4,9.973684
67.10886,4,9.979149
58.249079,4,9.983485
46.297374,4,9.989203
40.528831,4,9.993227
3.395043,5,10.001517
3.209268,4,10.005556
61.41213,4,10.0098
16.993126,4,10.013205
21.822928,4,10.019055
61.41213,4,10.023223
25.749298,4,10.026962
18.56845,4,10.031211
15.026021,4,10.037207
37.720584,4,10.041374
4.412802,4,10.045455
23.377142,4,10.049584
40.340211,4,10.055693
-2.094774,5,10.060057
18.244795,4,10.063759
18.582708,4,10.067842
0.713353,4,10.073838
-0.411529,4,10.078061
43.185884,4,10.082186
61.639809,4,10.086236
32.825773,4,10.092149
11.785803,5,10.096499
58.077709,4,10.100619
44.744674,4,10.104725
2.997186,4,10.110706
-42.867603,46,10.152109
29.1588,4,10.156017
58.077709,4,10.160489
59.500096,4,10.166641
18.873654,4,10.170822
29.49014,4,10.174843
-100.0,100,10.264936
62.165417,4,10.271401
59.302446,4,10.275426
-43.0,44,10.313912
2.204207,4,10.31773
38.019868,4,10.323945
1.581769,4,10.328041
38.475372,5,10.332267
34.36756,4,10.336275
-53.426769,100,10.429174
-100.0,100,10.516965
18.56845,4,10.520867
0.006273,4,10.524581
38.095239,4,10.530836
29.661371,5,10.535334
0.757874,4,10.539082
34.442724,4,10.543314
-3.379536,7,10.552253
-2.094774,5,10.556911
-22.560311,39,10.591311
-2.094774,5,10.595923
-4.0,5,10.601862
-27.0,27,10.625952
38.475372,5,10.630378
-6.127388,25,10.654528
23.031238,4,10.660605
-0.411529,4,10.664731
29.661371,5,10.669248
20.931352,4,10.67466
-100.0,100,10.763413
0.713353,4,10.767655
36.209705,4,10.771737
-6.0,6,10.775627
58.077709,4,10.781774
8.103084,39,10.818762
45.297374,5,10.822996
2.997186,4,10.826988
12.785803,4,10.833371
-55.189768,57,10.885497
19.369732,4,10.889644
40.340211,4,10.893834
19.416026,5,10.900468
44.966897,4,10.905908
-28.0,29,10.931575
37.920392,4,10.935442
-99.0,100,11.025352
59.302446,4,11.029457
0.713353,4,11.033557
-22.0,22,11.054099
30.916178,4,11.061276
32.773496,4,11.066683
1.860769,4,11.070694
20.813189,4,11.074725
59.500096,4,11.08066
50.821554,4,11.084712
1.581769,4,11.088736
3.074542,5,11.092977
69.584817,4,11.099085
12.298536,4,11.103102
-97.942134,100,11.191195
8.245592,4,11.195345
8.775875,5,11.201672
12.298536,4,11.205936
23.704928,4,11.209988
3.395043,5,11.21441
2.997186,4,11.22045
2.104761,4,11.225444
40.340211,4,11.229201
38.095239,4,11.233316
38.871513,4,11.239254
3.337923,4,11.243272
13.094652,4,11.247275
-68.0,69,11.309722
61.340862,4,11.315782
12.276147,4,11.319762
-100.0,100,11.4092
9.01845,4,11.413351
51.987645,4,11.419569
11.992257,4,11.423628
38.338941,4,11.427367
34.36756,4,11.431407
22.62408,4,11.437441
14.607756,4,11.441145
23.772391,4,11.444823
32.028209,4,11.448792
58.077709,4,11.455219
10.573231,36,11.487547
20.342494,4,11.491229
0.757902,4,11.494928
-0.280259,4,11.500617
53.201743,4,11.50471
-100.0,100,11.594112
35.432228,4,11.598352
32.109805,4,11.604225
42.403401,4,11.608285
-17.0,18,11.623683
-0.655668,4,11.627734
59.500096,4,11.633938
9.775875,4,11.637931
-2.582638,5,11.642513
-100.0,100,11.732379
19.416026,4,11.738477
19.369732,4,11.742297
42.990068,4,11.746125
23.772391,4,11.749819
14.14845,4,11.755696
16.376361,49,11.802322
14.875669,5,11.806818
-99.0,100,11.895794
-71.942134,75,11.96712
-97.09,100,12.056443
39.718634,4,12.06047
-58.0,58,12.11169
48.288055,4,12.117897
52.239432,4,12.121941
0.310843,4,12.12566
43.185884,4,12.129721
21.325565,4,12.13573
-20.533654,56,12.185652
-26.0,27,12.210956
6.68149,4,12.215122
21.325565,4,12.221231
26.692072,4,12.225259
2.997186,4,12.229455
-1.613411,4,12.233665
22.62408,4,12.239589
62.283915,4,12.243849
-76.0,77,12.314245
37.18425,4,12.318422
42.573231,4,12.324756
21.301643,4,12.328767
49.425358,5,12.33298
-100.0,100,12.425321
48.288055,4,12.431552
59.302446,4,12.435747
3.337923,4,12.439775
-12.0,13,12.4532
13.610456,4,12.458906
-31.0,31,12.485033
30.920861,4,12.489094
1.581769,4,12.493072
0.582391,4,12.499
15.769493,4,12.503123
-99.0,100,12.592233
48.798403,4,12.596361
2.287276,4,12.602267
24.491408,4,12.606409
51.583924,4,12.610488
57.130311,4,12.614499
9.591524,4,12.620496
41.28145,14,12.635242
27.528831,17,12.650047
11.992257,4,12.654289
32.028209,4,12.660264
22.759367,12,12.670878
1.581769,4,12.674925
29.861242,4,12.678689
23.031238,4,12.684837
4.074542,4,12.688962
3.337923,4,12.692981
-96.0,97,12.777437
22.62408,4,12.783743
-0.245679,4,12.788114
-2.582638,4,12.79219
35.356498,4,12.796263
55.822617,4,12.802336
-30.139231,36,12.835569
28.759367,6,12.842281
58.882318,4,12.846401
12.276147,4,12.852467
35.827612,5,12.857911
-0.411529,4,12.862099
