#{"t_start": 1752554237.4668474, "env_id": "None"}
r,l,t
-37.0,37,0.136971
-5.0,5,0.141328
-89.130655,92,0.229244
-80.650838,100,0.328192
-100.0,100,0.422175
-9.0,9,0.430223
44.417526,18,0.450253
-100.0,100,0.565772
-53.315751,59,0.619032
-1.063965,4,0.623244
-94.42,100,0.719918
-72.0,73,0.788826
-90.0,90,0.867412
0.759604,4,0.870976
61.004212,4,0.877282
-8.591806,54,0.926944
-100.0,100,1.057139
25.722644,4,1.067708
60.528418,4,1.076046
-100.0,100,1.168637
-43.0,44,1.207463
60.240109,4,1.211458
4.335566,4,1.217584
-100.0,100,1.318671
66.724717,4,1.322696
24.417526,38,1.38199
27.764343,4,1.387195
-100.0,100,1.475465
58.9908,4,1.479652
11.047831,4,1.483671
39.69043,4,1.488446
54.820357,4,1.492488
-0.994249,4,1.496641
-37.43744,100,1.583792
-37.792401,43,1.625072
-100.0,100,1.713877
-30.0,30,1.739557
-46.752182,52,1.784536
-85.0,85,1.862615
-29.0,29,1.887835
-12.0,12,1.898246
58.656182,4,1.90233
50.02906,4,1.907284
-40.752182,46,1.94855
7.299091,4,1.952352
-99.0,100,2.041126
21.192626,4,2.046372
51.50032,4,2.050559
13.568587,28,2.076755
-22.929524,33,2.109302
-22.0,22,2.1332
32.388178,5,2.13959
-68.0,68,2.201194
39.15252,4,2.205036
-100.0,100,2.298213
54.471834,4,2.301958
16.274288,29,2.329765
-51.0,51,2.375437
0.900007,4,2.379908
55.326583,4,2.383959
-78.242659,100,2.472696
60.528418,4,2.476952
54.426691,4,2.482022
-35.918517,100,2.573317
38.604445,4,2.577207
30.345821,5,2.58353
-23.0,24,2.60692
12.207339,4,2.610987
2.664202,4,2.615092
41.275169,4,2.61914
10.434476,4,2.624015
-32.0,32,2.652737
-77.0,77,2.721128
58.9908,4,2.725269
-68.603839,72,2.79192
59.081155,5,2.79639
-78.0,78,2.868965
26.494887,4,2.872895
-100.0,100,2.995994
-93.069167,100,3.086081
-34.565524,49,3.130291
18.659436,4,3.134462
60.528437,4,3.139747
24.896462,4,3.143899
-100.0,100,3.23542
29.103272,4,3.239381
58.294706,4,3.244431
43.657996,4,3.248533
58.900591,4,3.255108
14.507746,4,3.2596
71.254482,4,3.265461
-96.16,100,3.355914
-8.435032,31,3.385792
61.661228,4,3.390685
4.108897,4,3.39572
-36.0,36,3.427814
70.846244,4,3.43199
-100.0,100,3.526487
63.335653,4,3.532069
61.344718,4,3.536283
1.387699,4,3.540607
44.69438,4,3.544935
7.718865,40,3.583823
55.326583,4,3.587962
0.422876,4,3.60266
-83.777687,100,3.69251
-99.0,99,3.786178
20.492616,5,3.792879
41.274288,4,3.797014
58.414558,4,3.803401
-97.19,100,3.901092
-67.565524,82,3.9783
0.03717,4,3.982204
-100.0,100,4.071804
21.192626,4,4.076974
9.120727,4,4.081337
21.67827,4,4.08551
-100.0,100,4.17587
-97.6504,100,4.272084
-0.994249,4,4.276423
-63.758597,77,4.347579
22.023352,4,4.35146
-37.0,37,4.387596
-98.0,98,4.475752
-99.0,100,4.569281
-78.800856,100,4.657819
-10.0,10,4.668496
58.294706,4,4.67497
51.50032,4,4.679102
-94.42,100,4.768122
7.574545,4,4.773054
18.056506,4,4.776802
-86.758597,100,4.867813
-97.51166,100,4.944447
-99.0,100,4.982274
-100.0,100,5.019951
42.51713,4,5.021974
-86.939451,100,5.060213
-46.966468,51,5.114556
12.135446,33,5.145039
8.776623,13,5.159296
21.148614,4,5.163446
-100.0,100,5.252473
-23.0,24,5.276401
40.142732,5,5.280646
-76.440242,100,5.370026
-99.0,100,5.458422
6.696631,4,5.464637
63.351298,4,5.468705
14.033808,23,5.490806
-10.349147,34,5.520263
-99.0,100,5.612481
-100.0,100,5.704316
-38.0,38,5.739064
-56.0,56,5.78856
-94.49,100,5.880272
46.0718,4,5.884428
-41.0,41,5.920618
60.528418,4,5.924677
41.408194,4,5.930764
22.848575,4,5.934791
6.070476,4,5.938825
-26.597205,65,5.995911
-55.0,55,6.047556
0.476475,4,6.051305
8.559758,15,6.06703
-100.0,100,6.154821
9.032377,4,6.160985
61.247082,4,6.165052
-23.0,24,6.186543
48.974146,4,6.190635
33.033808,4,6.196553
2.930833,4,6.200615
-99.0,100,6.290021
-84.0,85,6.366694
57.602982,4,6.372971
52.452666,4,6.377031
-77.527,100,6.465052
-86.0,87,6.543562
-76.349147,100,6.636005
-23.0,24,6.65754
-86.758597,100,6.750243
10.155169,4,6.7544
30.401385,4,6.7607
-44.961828,100,6.850356
-45.979818,50,6.894705
5.793891,4,6.899096
7.299091,4,6.905374
33.033808,4,6.909633
7.299091,4,6.913759
58.294706,4,6.917934
-2.489815,5,6.92462
41.135446,4,6.928864
-5.0,5,6.935259
38.76188,4,6.939876
21.680032,4,6.946374
9.434476,5,6.950475
-94.49,100,7.04232
18.659436,4,7.046569
-100.0,100,7.141745
43.634667,5,7.146582
30.197826,4,7.150725
18.907947,4,7.154683
-77.436049,100,7.252629
-20.0,20,7.271159
-100.0,100,7.363394
-78.800856,100,7.45222
36.284515,4,7.458626
33.033808,4,7.462796
41.695048,4,7.466866
