#{"t_start": 1752553704.1803677, "env_id": "None"}
r,l,t
-2.6292,5,0.033953
-8.0,8,0.04951
0.014842,5,0.054147
61.676209,5,0.067
3.606848,5,0.071395
0.694701,6,0.101534
15.439097,5,0.118159
2.741171,5,0.140458
-100.0,100,0.226763
-33.379987,54,0.274171
-78.8593,100,0.360519
-41.966944,52,0.406941
-97.356735,100,0.49495
3.010124,5,0.499551
-100.0,100,0.607198
30.914802,5,0.613657
0.400826,5,0.620088
-78.105461,79,0.686336
-32.809342,50,0.730783
-84.0,84,0.80737
4.021611,5,0.811779
4.540769,5,0.815907
13.195163,5,0.821939
-75.0,75,0.886544
-45.0,45,0.927069
-17.018676,25,0.949946
-12.113852,20,0.967269
23.345103,5,0.973716
-39.0,39,1.012356
13.64361,5,1.018615
-2.662311,5,1.023313
1.096182,5,1.06191
65.698439,5,1.06639
-99.327171,100,1.153022
36.901969,5,1.157445
-80.877325,86,1.233088
40.330742,5,1.237362
-100.0,100,1.342624
-7.0,7,1.34913
-64.561806,66,1.406103
4.941668,31,1.433315
59.722367,5,1.437723
20.987409,5,1.442111
28.639431,5,1.448908
0.622224,5,1.453479
-21.490972,23,1.473583
-100.0,100,1.570586
-9.662311,11,1.579378
27.531119,5,1.585505
-40.0,40,1.619587
25.048291,5,1.624074
27.236557,5,1.62926
0.895775,6,1.635628
-99.0,100,1.720686
6.554355,5,1.725052
10.289593,5,1.730299
-99.105461,100,1.815003
0.634728,5,1.819362
-1.359091,5,1.825143
-8.098041,10,1.833734
4.286845,5,1.838141
-40.107804,57,1.887918
-70.0,70,1.94526
-68.0,68,2.003241
-20.252938,44,2.040313
14.811868,5,2.04451
-42.284018,56,2.09261
-100.0,100,2.178759
-3.355188,8,2.18575
17.442656,5,2.192052
1.778601,5,2.196377
7.591362,5,2.20148
-20.204413,22,2.222878
-99.105461,100,2.307614
-72.0,72,2.369489
17.011551,5,2.374798
14.737046,5,2.379303
-26.0,26,2.40253
7.959445,5,2.406918
14.378611,5,2.412007
67.584843,5,2.416486
-75.117968,100,2.502208
15.654212,5,2.510537
1.892791,5,2.516607
-13.443004,15,2.531321
11.704471,5,2.537183
21.569635,6,2.542022
25.16059,5,2.548983
35.633802,5,2.553349
50.049949,5,2.557724
-75.0,75,2.621331
14.103957,5,2.626546
4.991339,5,2.630881
5.185685,5,2.636986
11.679651,5,2.641371
1.778601,5,2.646388
