#{"t_start": 1752554961.8875198, "env_id": "None"}
r,l,t
-46.639047,49,0.146035
-29.33884,34,0.175603
-100.0,100,0.264417
-9.108386,18,0.282218
0.299994,6,0.287393
18.52382,6,0.294919
-60.426781,68,0.355535
-100.0,100,0.446523
-87.0,88,0.545099
-7.0,7,0.551032
0.36381,6,0.558233
-0.438453,6,0.563227
-100.0,100,0.650218
4.848865,6,0.658032
-96.5349,100,0.746145
91.017925,6,0.751502
68.754687,6,0.758425
100.852174,6,0.764327
-100.0,100,0.853111
-68.0,68,0.915369
-100.0,100,1.009161
-100.0,100,1.129589
-40.637837,46,1.174125
-82.0,82,1.245859
30.271338,7,1.252944
96.106788,6,1.260922
22.100337,6,1.265708
98.05795,6,1.272981
31.971293,6,1.278069
-48.0,48,1.345204
44.772413,6,1.352493
-100.0,100,1.445339
-100.0,100,1.533497
-100.0,100,1.622738
-65.0,65,1.682064
-100.0,100,1.770322
-12.227508,17,1.784788
-99.0,100,1.874051
-79.684612,90,1.958117
16.862116,6,1.9627
92.818307,6,1.969834
-7.050317,12,1.981455
-50.0,50,2.025208
-100.0,100,2.115371
-47.621106,52,2.161061
-16.559774,63,2.218551
-74.0,75,2.284508
-72.0,72,2.351968
-15.0,15,2.36898
-56.627283,57,2.424338
-46.0,46,2.464761
-35.389436,44,2.504592
-88.484994,100,2.593341
78.045023,6,2.601096
-100.0,100,2.690095
-35.0,35,2.719563
-35.0,35,2.753041
-99.0,100,2.841743
-100.0,100,2.929941
6.61627,6,2.937017
-88.853584,100,3.02492
-38.684612,49,3.068668
34.649415,8,3.076109
-4.812941,20,3.094074
-71.669864,79,3.16662
-100.0,100,3.254493
17.019111,6,3.260512
-12.484172,27,3.284957
12.512762,20,3.304579
76.280065,6,3.310179
22.151657,19,3.327691
-88.484994,100,3.417317
-58.848343,100,3.508996
17.165759,6,3.516895
24.038924,6,3.522035
25.982799,6,3.528882
-97.99049,100,3.623841
-28.0,28,3.649538
5.978187,14,3.660934
-100.0,100,3.754784
100.347678,6,3.761946
25.544645,6,3.767915
5.510038,6,3.774862
95.836332,6,3.779935
-100.0,100,3.869161
-77.236762,79,3.940415
-46.0,46,3.980992
-76.0,76,4.049083
-53.283933,54,4.09795
-83.540435,84,4.173975
-2.452246,6,4.179103
-24.137885,40,4.215311
-100.0,100,4.304701
63.036959,17,4.322347
16.493549,6,4.327426
-63.810411,75,4.395403
-39.330454,40,4.431966
-0.771128,6,4.437905
-74.610661,78,4.549671
-7.0,7,4.569526
-29.0,29,4.597067
-16.525515,18,4.612587
-78.0,78,4.680333
73.961843,6,4.685079
-2.73084,6,4.691861
-30.0,30,4.717881
-75.07213,100,4.804896
-97.725352,100,4.842532
-100.0,100,4.879846
-0.016492,6,4.882695
118.814827,6,4.88561
-98.357721,100,4.982948
89.386105,6,4.989914
-100.0,100,5.081882
-97.096466,100,5.17094
-54.0,54,5.217149
-69.140303,100,5.305016
38.767205,19,5.322481
56.285069,6,5.330216
25.544645,6,5.335282
-93.530018,100,5.426175
-82.330454,83,5.500323
-0.052037,6,5.506179
-7.358977,24,5.527699
-69.0,69,5.589209
-98.87754,100,5.683938
-57.0,57,5.735794
-60.552191,100,5.825449
57.675084,6,5.830494
-75.0,75,5.896198
100.632164,8,5.904755
-100.0,100,5.993453
97.379841,6,6.000318
-94.612681,97,6.087742
-95.15219,98,6.173525
3.4651,6,6.180475
37.875667,25,6.202178
-58.0,58,6.255765
92.255209,6,6.261732
-69.59753,71,6.325493
58.180526,7,6.332609
-94.63619,100,6.421319
38.875882,6,6.427276
-61.673327,64,6.484105
-0.489724,6,6.491011
74.153103,6,6.495484
96.814711,6,6.50314
-30.633638,36,6.535157
-20.889136,22,6.55566
-47.325797,48,6.598046
7.350066,6,6.605707
-46.293055,47,6.645348
-20.258611,22,6.665515
24.038924,6,6.670768
8.086724,6,6.678488
-15.691141,70,6.739493
-11.0,11,6.749931
