#{"t_start": 1752553973.6339152, "env_id": "None"}
r,l,t
-16.768665,18,0.089464
-11.0,11,0.124893
-2.72054,3,0.126251
-100.0,100,0.212691
-1.597228,4,0.217461
-21.0,21,0.237415
-1.85628,3,0.239059
-22.0,22,0.259639
-1.770194,3,0.263895
-43.0,43,0.299616
16.762946,3,0.303149
-100.0,100,0.390682
-1.768665,3,0.39515
-2.67155,4,0.399137
16.794537,3,0.402629
4.504236,3,0.404263
18.655097,3,0.408342
-5.0,5,0.412275
17.581597,3,0.415763
0.28048,3,0.419197
-27.0,28,0.444621
-56.0,56,0.49271
-100.0,100,0.602135
-64.398015,100,0.688228
-13.729687,15,0.702795
5.504573,3,0.704468
-12.495427,21,0.724063
-24.0,24,0.745156
-1.770194,3,0.74766
-14.0,14,0.761039
-24.755842,49,0.804306
-100.0,100,0.892739
14.359322,6,0.899817
-99.0,100,0.987094
-100.0,100,1.076319
-100.0,100,1.163723
-2.669547,4,1.168362
-37.021936,71,1.228531
-13.665361,14,1.241882
-2.67155,4,1.245912
6.787121,4,1.250545
18.836159,3,1.254045
-23.0,23,1.272759
-98.336735,100,1.423171
-99.0,100,1.511588
-100.0,100,1.60167
-43.0,43,1.639406
-1.67155,3,1.642991
-21.0,21,1.661777
8.520222,4,1.665732
-38.0,38,1.699263
-2.665361,3,1.700644
-1.575951,3,1.705008
2.916292,3,1.708584
11.972724,3,1.71202
17.085802,3,1.713334
1.28048,3,1.717557
-10.751082,12,1.728337
10.858838,3,1.731653
-3.575951,5,1.7356
-2.046135,3,1.739871
28.958321,3,1.743409
-1.67155,3,1.745254
-0.937399,3,1.748842
-83.206244,88,1.830296
30.974829,3,1.833858
-3.937922,5,1.837831
14.191706,3,1.841025
21.244158,3,1.845376
-18.0,18,1.860069
4.764898,3,1.863627
4.504236,3,1.867112
-21.595794,23,1.888098
11.059358,3,1.891695
-2.669547,4,1.895456
-2.046135,3,1.899016
29.652906,3,1.903211
16.762946,3,1.904902
2.916292,3,1.908464
-1.597228,3,1.912043
-1.768665,3,1.916245
25.666422,3,1.917984
-100.0,100,2.004847
-79.0,79,2.086647
-1.595794,3,2.091146
5.504573,3,2.094633
-2.046135,3,2.096258
-2.669547,4,2.100071
-1.67155,3,2.104331
-2.046135,3,2.107813
-3.0,3,2.111117
-29.751082,31,2.13719
4.858296,3,2.14176
-60.0,61,2.195195
-1.597228,3,2.198839
18.836159,3,2.202347
18.836159,3,2.206822
22.976053,3,2.208576
-1.72054,3,2.212119
-46.0,46,2.253268
-1.575951,3,2.255945
-1.768665,3,2.259552
-52.937399,54,2.310003
-100.0,100,2.399744
-99.0,100,2.502992
2.916292,3,2.504949
-1.72054,3,2.508916
5.504573,3,2.526419
4.858296,3,2.530908
-32.244172,33,2.559617
12.660966,3,2.56317
12.660966,3,2.564839
-1.595794,3,2.569177
-1.770194,3,2.572792
-9.0,9,2.580059
13.292966,3,2.583712
-1.937922,3,2.587946
-34.0,34,2.616274
-100.0,100,2.704212
-7.0,7,2.710715
-95.0,95,2.79527
1.074814,3,2.796991
-100.0,100,2.884237
-2.669547,4,2.888267
11.60742,3,2.8923
18.036714,3,2.895781
-36.0,36,2.926273
-6.729687,8,2.933751
37.572323,4,2.938456
-2.669547,4,2.942473
-2.046135,3,2.945771
-2.244172,3,2.94722
-1.937922,3,2.951495
12.660966,3,2.955045
-1.729687,3,2.958732
-98.751082,100,3.058815
-1.770194,3,3.061493
18.25649,3,3.065114
-1.597228,3,3.068816
-91.0,91,3.152677
-23.0,23,3.171949
17.116278,3,3.175511
-100.0,100,3.264243
-1.729687,3,3.268107
-1.597228,3,3.272643
-100.0,100,3.363075
-17.38143,21,3.381203
-2.665361,4,3.384852
-3.0,3,3.388836
-69.594847,71,3.46479
-1.665361,3,3.468458
-1.729687,3,3.47214
-11.0,11,3.483023
16.762946,3,3.484723
8.520222,4,3.488771
4.858296,3,3.492378
-93.594847,95,3.580119
-6.0,6,3.584724
-100.0,100,3.673337
18.836159,3,3.676924
-1.770194,3,3.68143
18.036714,3,3.685027
0.752961,3,3.686392
-2.046135,3,3.690024
-1.665361,3,3.694363
0.28048,3,3.697617
-72.0,73,3.760504
-98.595794,100,3.847991
-2.937922,4,3.852716
-67.0,67,3.911663
-2.816732,4,3.915642
-2.816732,4,3.919546
-1.595794,3,3.922247
-25.0,25,3.945832
-2.046135,3,3.947485
8.520222,4,3.951391
17.348962,3,3.955719
-1.72054,3,3.959391
-1.770194,3,3.962982
13.292966,3,3.964744
29.797186,3,3.968969
32.697031,3,3.972446
17.116278,3,3.977212
-100.0,100,4.06535
-26.0,26,4.090699
-26.0,26,4.115272
18.25649,3,4.116975
-36.0,37,4.14994
-44.0,44,4.188625
18.054041,3,4.190289
-72.0,72,4.25291
30.974829,3,4.256443
-2.729687,4,4.26111
-44.0,44,4.302917
16.794537,3,4.306435
-92.0,92,4.387268
19.357549,3,4.39161
-72.925186,77,4.458473
8.98528,3,4.462048
-31.0,32,4.489995
-100.0,100,4.580071
-1.768665,3,4.581949
18.036714,3,4.585527
8.386906,3,4.589091
32.875885,3,4.595032
-1.669547,3,4.596863
-1.597228,3,4.600413
18.308946,3,4.603921
-3.0,3,4.60756
-1.768665,3,4.609415
18.085669,3,4.612961
18.036714,3,4.616837
-1.669547,3,4.621103
-1.669547,3,4.622818
7.530154,3,4.626516
8.520222,4,4.630447
-100.0,100,4.721192
11.972724,3,4.724787
10.958253,3,4.769841
-1.669547,3,4.771493
4.858296,3,4.773211
-100.0,100,4.811103
-1.937922,3,4.812751
-2.768665,4,4.823138
18.036714,3,4.827359
-1.770194,3,4.832097
15.531799,3,4.835705
17.581597,3,4.837387
-1.729687,3,4.840988
-4.0,5,4.845991
-14.0,14,4.859224
-100.0,100,4.947042
-14.243407,15,4.960803
17.116278,3,4.964515
6.931947,3,4.968104
1.28048,3,4.972729
-1.67155,3,4.976368
-1.250436,3,4.979901
30.974829,3,4.983531
8.386906,3,4.987109
8.98528,3,4.990634
17.085802,3,4.993928
-100.0,100,5.08245
13.804407,3,5.08606
28.958321,3,5.089622
-100.0,100,5.237276
13.804407,3,5.240925
8.628651,3,5.242651
-1.669547,3,5.246212
28.958321,3,5.250522
18.054041,3,5.256024
-1.575951,3,5.257545
-0.960343,3,5.261109
-2.751082,4,5.266444
-1.669547,3,5.270472
-2.325399,3,5.273897
-1.67155,3,5.275619
-2.937922,4,5.280212
31.147807,3,5.283995
-95.206244,100,5.377735
-82.0,82,5.454599
-1.770194,3,5.457478
18.25649,3,5.461318
-1.67155,3,5.465177
17.116278,3,5.469055
37.572323,4,5.474268
17.348962,3,5.475917
-100.0,100,5.567941
-13.0,13,5.580905
-1.67155,3,5.583457
-2.046135,3,5.58698
32.942834,3,5.590258
-100.0,100,5.680248
30.974829,3,5.684776
-2.72054,4,5.688487
-45.0,45,5.728212
34.93907,3,5.731682
25.666422,3,5.734043
5.054405,3,5.737556
-2.770194,3,5.740764
-2.089518,3,5.744181
-2.67155,4,5.748629
34.134078,3,5.750348
-1.250436,3,5.753818
-1.665361,3,5.757376
17.961058,3,5.761194
-99.0,100,5.849299
-2.67155,4,5.853323
1.13289,3,5.854938
28.958321,3,5.859208
18.036714,3,5.862687
19.400802,3,5.866327
13.804407,3,5.868053
-5.0,5,5.874842
19.544299,3,5.87649
-1.250436,3,5.879944
-4.0,4,5.883467
-1.72054,3,5.887703
-1.72054,3,5.891255
-1.665361,3,5.893006
42.582635,3,5.895975
35.815472,3,5.900136
-1.729687,3,5.903696
-100.0,100,6.002656
-7.0,7,6.007629
-40.0,41,6.046302
-100.0,100,6.133404
-1.669547,3,6.135224
-100.0,100,6.222794
-100.0,100,6.318036
13.804407,3,6.32193
13.292966,3,6.325737
13.804407,3,6.32932
19.544299,3,6.331756
-1.784174,3,6.335527
17.085802,3,6.338775
-1.770194,3,6.342339
18.054041,3,6.344678
-73.0,73,6.479412
-4.0,4,6.483323
-100.0,100,6.577424
1.798301,3,6.58015
11.76997,3,6.583932
-2.665361,4,6.587958
29.652906,3,6.591736
14.104446,3,6.595902
-8.0,8,6.603465
-1.665361,3,6.605233
13.804407,3,6.608785
-100.0,100,6.700253
-0.937399,3,6.704225
-2.089518,3,6.707947
14.104446,3,6.709857
18.054041,3,6.714492
12.292966,4,6.719226
-1.660234,3,6.726151
18.836159,3,6.729893
-2.089518,3,6.732242
32.697031,3,6.736003
17.085802,3,6.739809
-36.0,36,6.776047
-1.67155,3,6.780885
-2.660234,4,6.784919
-2.095593,3,6.786545
-99.0,100,6.874401
-1.67155,3,6.878775
12.804407,4,6.882543
-46.0,46,6.923577
19.400802,3,6.925625
-2.276021,3,6.929529
-17.0,17,6.943718
-26.206244,31,6.970913
26.454893,3,6.974397
-1.729687,3,6.978683
-1.665361,3,6.980398
1.650807,3,6.983966
-16.0,16,6.997788
1.625893,3,7.001719
17.116278,3,7.005173
9.825245,3,7.006795
-0.650383,3,7.01027
-1.669547,3,7.014508
1.650807,3,7.018092
0.61857,3,7.019703
-1.250436,3,7.023563
-100.0,100,7.111582
7.867585,3,7.115118
-1.250436,3,7.11857
-53.0,53,7.163787
11.60742,3,7.167805
38.758921,3,7.169487
7.689005,3,7.173007
-1.665361,3,7.17654
-1.67155,3,7.180771
-57.0,57,7.232488
-1.72054,3,7.236061
10.958253,3,7.237694
-2.095593,3,7.241963
-57.0,58,7.293025
16.794537,3,7.29487
27.683619,3,7.298343
-100.0,100,7.387963
16.794537,3,7.391492
-100.0,100,7.481341
1.650807,3,7.485729
-1.67155,3,7.488363
-100.0,100,7.580817
12.804407,4,7.584396
14.104446,3,7.587983
-100.0,100,7.682386
-2.729687,4,7.686052
18.085669,3,7.689555
0.61857,3,7.693066
13.804407,3,7.695653
-41.0,41,7.733888
-26.0,26,7.756652
18.308946,3,7.760333
-13.0,13,7.771912
-23.0,24,7.79322
1.13289,3,7.796921
-90.0,90,7.876881
13.804407,3,7.881662
