#{"t_start": 1752555066.951734, "env_id": "None"}
r,l,t
-6.354815,9,0.056288
-82.0,82,0.18012
-59.944107,62,0.235679
26.063076,31,0.26228
-100.0,100,0.355327
-8.258206,21,0.376481
24.947868,6,0.381358
-20.0,20,0.400918
-5.054448,11,0.412494
-18.0,18,0.429733
-94.303148,100,0.541049
-80.508808,100,0.629879
-4.164674,16,0.644833
91.727204,6,0.65199
70.547536,6,0.657038
-100.0,100,0.745117
-23.0,23,0.768268
-75.97813,92,0.849184
-11.588916,34,0.882144
9.498397,6,0.887391
94.792104,6,0.895289
-33.0,33,0.9251
56.739762,6,0.929888
-59.0,59,0.982736
4.427229,7,0.990688
-81.977407,85,1.099513
-100.0,100,1.190901
-68.029922,74,1.258023
32.399499,6,1.264084
19.736495,6,1.270966
-99.0,100,1.376857
-42.0,43,1.41359
-25.0,25,1.438512
71.737862,7,1.443502
-14.0,14,1.456899
-91.0,91,1.538527
-8.0,8,1.5474
-55.0,56,1.597063
51.777882,42,1.633344
-57.249507,58,1.685543
-12.0,12,1.697302
-67.0,67,1.755201
-26.0,26,1.779139
40.260106,6,1.783868
-65.330454,66,1.845121
-32.0,32,1.884348
-56.0,56,1.934968
-98.554868,100,2.022908
-83.734188,100,2.111969
47.760907,7,2.118994
-76.0,76,2.188317
84.852972,6,2.195308
-11.444052,13,2.207517
12.525809,6,2.21386
27.058443,16,2.22866
-40.330454,41,2.264679
-2.632571,6,2.272414
23.400762,6,2.277015
-3.688649,8,2.284508
-35.018048,38,2.319922
-18.029922,24,2.351968
-100.0,100,2.439932
36.121886,6,2.44556
90.97368,6,2.453899
-10.987787,13,2.46625
-5.705494,9,2.47417
-42.498646,50,2.5198
-4.604608,16,2.534415
-7.0,7,2.540165
-45.0,45,2.581149
-100.0,100,2.669917
78.164245,6,2.674986
8.653808,18,2.693452
-7.0,7,2.698287
-77.755081,80,2.769456
-93.0,93,2.854486
-100.0,100,2.944805
-97.00888,100,3.036017
-20.0,20,3.053861
-25.226995,36,3.085608
-17.003236,21,3.105574
-15.0,15,3.119936
11.454964,6,3.125004
-14.0,14,3.138743
-99.664364,100,3.229523
-65.178853,68,3.307499
-23.55501,32,3.336437
-44.0,44,3.375395
-92.225222,93,3.456793
-29.087991,41,3.493753
-78.747269,100,3.583184
-94.509868,100,3.673167
16.657188,6,3.681133
76.788497,6,3.685881
-14.323336,15,3.699772
-1.961758,6,3.704755
-99.0,100,3.794467
86.217169,6,3.80168
34.08677,6,3.806807
-98.0,98,3.89564
-37.0,37,3.929642
1.697053,6,3.936563
110.156991,6,3.941607
-99.0,100,4.031955
-16.582279,21,4.051248
-92.505662,100,4.138525
19.408991,6,4.145494
-77.520169,100,4.233832
-100.0,100,4.322085
-99.0,100,4.411222
-81.804432,100,4.503102
94.097043,6,4.508313
23.294997,6,4.516556
-2.021286,6,4.521709
-21.0,22,4.542802
