#{"t_start": 1752554380.391834, "env_id": "None"}
r,l,t
-100.0,100,0.190081
-13.0,14,0.203386
53.666399,4,0.207435
-1.018644,4,0.211518
-95.262606,100,0.302611
-0.910232,4,0.306347
-100.0,100,0.397317
-0.282739,4,0.40155
1.237654,4,0.406485
2.622293,4,0.410532
8.339486,4,0.414538
2.588217,4,0.418768
-36.0,36,0.451262
56.182252,4,0.455311
55.610857,4,0.45932
54.524814,4,0.463069
-2.787309,4,0.467824
-17.787309,19,0.48535
3.931256,4,0.489361
1.508606,4,0.493431
-100.0,100,0.60008
-67.0,67,0.659014
-6.224922,14,0.67203
22.173138,4,0.675873
-4.285667,5,0.681151
32.866806,4,0.685044
-2.23223,4,0.689382
-1.657109,4,0.693414
1.856486,4,0.697771
-100.0,100,0.784966
-21.0,21,0.8036
1.687219,4,0.807452
0.392127,4,0.81224
-2.314497,4,0.816274
-37.0,37,0.853224
-24.0,24,0.874918
-62.2815,100,0.965108
-100.0,100,1.085346
-2.568298,4,1.089564
-42.0,42,1.126443
-26.644274,31,1.158888
-15.988877,29,1.184165
0.912575,4,1.189171
48.733451,5,1.19358
1.981854,34,1.227188
-100.0,100,1.335752
-28.291873,29,1.360934
-25.597685,30,1.388541
0.412196,4,1.393619
-87.595106,100,1.483133
0.958578,4,1.487206
32.171483,10,1.495607
-33.0,33,1.52694
-39.0,39,1.561628
-99.23223,100,1.652138
-0.923208,4,1.655956
10.989864,4,1.661173
-20.0,20,1.678958
-50.153342,53,1.725648
4.821219,4,1.72968
-1.930695,4,1.734436
-7.650285,32,1.762788
3.915627,4,1.766977
-100.0,100,1.855377
-62.0,63,1.912355
-8.0,8,1.919263
-52.0,52,1.965165
-53.0,53,2.011972
-45.0,45,2.055079
2.801062,5,2.059625
-11.286846,12,2.07071
17.970459,7,2.077826
-52.517095,54,2.125715
-2.311523,4,2.130046
48.543551,5,2.134321
-100.0,100,2.223191
-64.0,64,2.280089
-83.018644,85,2.367965
19.255143,4,2.372152
0.719247,4,2.3761
0.795619,4,2.381068
37.978091,4,2.385105
4.890474,4,2.38929
0.912575,4,2.393487
-3.311523,5,2.398925
10.989864,4,2.402927
-29.0,29,2.428056
21.552535,4,2.432011
-1.792677,4,2.436733
3.915627,4,2.440817
3.931133,5,2.44536
57.652438,4,2.449615
-27.0,27,2.474416
-45.504653,47,2.517693
-99.0,100,2.605252
38.453943,4,2.609536
32.344138,4,2.614479
-15.658548,18,2.629367
53.151528,4,2.633792
59.904424,4,2.638567
-3.311523,5,2.645711
-23.0,24,2.667494
4.678917,4,2.671345
31.981854,4,2.675056
-100.0,100,2.763046
8.675133,4,2.767201
35.227033,4,2.770937
20.77891,4,2.774951
2.83499,4,2.779854
-29.660829,67,2.838699
-5.0,5,2.844912
33.934113,4,2.848621
14.466905,4,2.853769
-0.431821,4,2.857898
-47.0,47,2.902253
4.656596,4,2.907578
32.819053,18,2.924875
-99.0,100,3.011891
-3.235589,4,3.015733
-80.363378,100,3.105876
4.890474,4,3.110868
0.412196,4,3.114889
32.344138,4,3.118927
19.75931,4,3.122946
49.543551,4,3.127649
-28.0,28,3.152371
-100.0,100,3.23937
-1.175845,5,3.243628
6.684995,4,3.248633
-0.170681,4,3.253685
1.34027,4,3.257868
32.344138,4,3.261675
33.663569,4,3.266388
61.087095,4,3.270468
55.833169,4,3.274546
-99.0,100,3.362381
53.151528,4,3.368004
-74.447465,100,3.455834
-100.0,100,3.546581
54.732991,4,3.55082
-80.363378,100,3.639607
-0.170681,4,3.643777
-97.0,97,3.731372
19.75931,4,3.73542
1.342809,4,3.740389
11.228029,4,3.744246
20.746444,4,3.74822
-72.0,72,3.812288
56.142823,4,3.817216
54.77709,4,3.821373
16.262831,4,3.82542
14.450164,4,3.829484
2.101117,4,3.834265
-33.0,33,3.866253
-17.0,17,3.881235
35.839629,4,3.885363
-100.0,100,3.974577
50.492748,4,3.978746
12.027426,4,3.982792
-30.3272,42,4.020031
-3.311523,5,4.027289
-0.607873,5,4.031462
-100.0,100,4.12033
-0.150229,4,4.124471
38.311929,4,4.129343
-99.094461,100,4.21894
35.392049,4,4.22303
-0.607873,5,4.227452
31.981854,4,4.23235
-0.943277,4,4.236071
21.552535,4,4.240218
-1.79032,4,4.244264
31.06638,4,4.249066
53.151528,4,4.253136
-85.0,85,4.328845
-1.808967,4,4.33305
4.656596,4,4.338109
38.105936,4,4.342292
4.611768,4,4.346406
-72.0,72,4.411265
6.442626,5,4.418243
-100.0,100,4.508972
-37.0,37,4.541776
50.492748,4,4.54584
-26.0,26,4.56835
0.412196,4,4.572347
3.085761,5,4.581446
0.510406,4,4.586034
3.904141,4,4.590807
4.494899,4,4.594824
38.164888,4,4.599323
59.404175,4,4.60334
-3.32489,4,4.60767
-96.379185,100,4.700031
52.581576,4,4.759624
-0.175845,4,4.761647
17.082211,4,4.763682
57.4023,4,4.765649
28.55901,4,4.767655
