#{"t_start": 1752553556.2151423, "env_id": "None"}
r,l,t
-8.0,8,0.030864
32.112805,3,0.113341
-62.0,62,0.168908
9.393631,3,0.170634
-4.0,4,0.174376
11.019446,3,0.177877
-32.0,32,0.206353
-5.488614,26,0.228959
-100.0,100,0.312926
-100.0,100,0.399221
-44.0,44,0.437785
-24.0,24,0.459224
-36.488614,57,0.506872
10.82857,3,0.510318
-100.0,100,0.647546
17.511386,3,0.649202
-44.0,45,0.689723
14.683058,3,0.691072
-0.606389,48,0.733644
31.049485,3,0.737027
9.393631,3,0.74052
-100.0,100,0.844797
10.82857,3,0.850775
9.393631,3,0.852573
23.736595,3,0.8563
-16.0,16,0.869905
10.82857,3,0.875309
-52.980554,67,0.932371
25.298167,4,0.936209
9.393631,3,0.937898
26.298167,3,0.943296
-100.0,100,1.029858
10.82857,3,1.033442
10.019446,4,1.037176
9.393631,3,1.0435
9.393631,3,1.045219
-100.0,100,1.140531
-73.263405,100,1.22729
-100.0,100,1.334916
-67.0,67,1.3926
-100.0,100,1.477719
-100.0,100,1.566818
-35.0,35,1.605512
9.239831,3,1.609899
-23.0,23,1.627743
-97.0,97,1.712949
8.393631,4,1.719493
-44.0,44,1.757571
-65.0,65,1.812697
9.393631,3,1.816187
-100.0,100,1.905409
9.393631,3,1.907254
27.574002,3,1.910664
-99.0,100,1.995724
9.393631,3,2.001487
7.393631,5,2.005305
-100.0,100,2.090143
-83.326021,100,2.174329
-100.0,100,2.305596
-26.0,27,2.329382
9.393631,3,2.332924
-56.0,56,2.385342
-99.0,100,2.473459
-33.0,33,2.501793
9.393631,3,2.505348
9.239831,3,2.506953
-100.0,100,2.629488
-55.0,55,2.678141
-83.326021,100,2.829109
7.719155,4,2.833221
9.393631,3,2.83935
8.393631,4,2.843042
7.719155,4,2.846961
-74.382893,100,2.933643
29.723465,3,2.93889
-98.375278,100,3.025513
9.393631,3,3.027382
-0.326021,17,3.043355
9.393631,3,3.047259
-40.0,40,3.082607
-41.0,41,3.119341
-4.0,5,3.123443
9.393631,3,3.128945
-99.0,100,3.215002
-86.980554,100,3.301646
-79.488614,100,3.387402
-32.0,32,3.417354
-20.0,20,3.434648
-83.0,84,3.506569
-100.0,100,3.594552
-99.0,100,3.688591
-15.546048,35,3.717316
-99.0,100,3.821349
-100.0,100,3.905445
-21.0,21,3.934453
-100.0,100,4.020328
-15.0,15,4.03195
-86.980554,100,4.117906
9.239831,3,4.123622
27.574002,3,4.12701
26.298167,3,4.130164
-62.0,62,4.182285
