#{"t_start": 1752555000.3453991, "env_id": "None"}
r,l,t
-100.0,100,0.132535
-100.0,100,0.222328
-100.0,100,0.351017
-92.0,92,0.433172
-67.85212,72,0.500603
-19.85212,24,0.54164
-42.0,42,0.586662
-38.0,38,0.619869
-95.85212,100,0.778105
-99.407075,100,0.895206
-56.0,56,0.945231
-9.0,9,0.95566
-46.0,46,0.996626
-100.0,100,1.08846
-67.0,68,1.165169
-84.407075,86,1.260044
-28.0,28,1.287553
-61.0,61,1.360198
-100.0,100,1.451574
-100.0,100,1.540082
-25.0,25,1.564854
-100.0,100,1.66455
-43.0,43,1.706064
-50.0,50,1.751137
-100.0,100,1.850146
-97.62986,100,1.941611
-80.0,80,2.016543
-100.0,100,2.123153
-33.0,33,2.158192
-28.0,28,2.184278
-98.62986,100,2.310688
-45.0,45,2.350998
-100.0,100,2.460321
-60.0,60,2.514604
-73.62986,75,2.582269
-13.0,13,2.60337
-97.62986,100,2.694792
-100.0,100,2.782552
-100.0,100,2.870715
-100.0,100,2.962655
-7.0,8,2.97084
-100.0,100,3.058365
-100.0,100,3.145751
-100.0,100,3.233308
-100.0,100,3.328426
-99.0,100,3.41643
-100.0,100,3.503839
-70.03797,72,3.566643
-100.0,100,3.656203
-100.0,100,3.746036
-25.0,25,3.768027
-94.0,94,3.851998
-13.0,13,3.863553
-100.0,100,3.951339
-100.0,100,4.038949
-32.0,32,4.066841
-6.0,6,4.072068
-100.0,100,4.158893
-57.0,57,4.210841
-48.0,48,4.252526
-36.0,36,4.284612
-8.62986,10,4.292524
-97.62986,100,4.379601
-100.0,100,4.467798
-6.0,6,4.476164
-47.62986,49,4.519136
-99.407075,100,4.605795
-100.0,100,4.693801
-98.62986,100,4.782119
-26.0,26,4.803316
-100.0,100,4.880111
-100.0,100,4.916907
-100.0,100,4.953857
-100.0,100,4.990669
-100.0,100,5.027329
-100.0,100,5.123271
-29.0,29,5.150407
-98.0,98,5.235865
-98.03797,100,5.326139
-33.0,33,5.354565
-25.0,25,5.378458
-98.03797,100,5.46918
-26.0,26,5.491
-78.0,78,5.561469
-99.0,100,5.648371
-86.0,87,5.72487
-99.0,100,5.857442
-100.0,100,5.944574
-87.0,88,6.034793
-95.29769,100,6.124271
-72.0,72,6.189666
-100.0,100,6.276013
-79.0,80,6.345423
-59.0,59,6.400313
-100.0,100,6.487225
-100.0,100,6.576864
-4.62986,6,6.583472
-100.0,100,6.676024
-55.0,55,6.723311
-100.0,100,6.809285
-100.0,100,6.896008
-100.0,100,6.987146
-45.0,45,7.039951
-100.0,100,7.127379
-53.0,53,7.172416
-100.0,100,7.261295
-100.0,100,7.350058
-28.0,28,7.374679
-99.0,100,7.46233
-95.29769,100,7.552113
-88.0,89,7.632791
-98.62986,100,7.719317
-99.407075,100,7.807877
-48.0,48,7.85232
-100.0,100,7.949475
-100.0,100,8.036321
-100.0,100,8.124324
-100.0,100,8.219099
-100.0,100,8.307771
-34.0,34,8.338645
-98.62986,100,8.427007
-88.0,88,8.529251
-100.0,100,8.618521
-34.0,35,8.648369
-31.0,31,8.675302
-97.62986,100,8.766422
-6.0,6,8.77311
-37.0,37,8.806454
-99.407075,100,8.894486
-30.0,30,8.921934
-98.62986,100,9.008785
-97.62986,100,9.097163
-97.62986,100,9.184009
-57.0,57,9.237696
-98.0,98,9.323226
-99.0,100,9.410587
-34.407075,36,9.442022
-100.0,100,9.531585
-37.407075,38,9.566672
-98.62986,100,9.613446
-100.0,100,9.650189
-98.62986,100,9.686964
-100.0,100,9.723895
-100.0,100,9.760309
-32.03797,34,9.800389
-48.0,48,9.844316
-100.0,100,9.965461
-99.0,100,10.065038
-80.0,80,10.141089
-38.62986,40,10.17724
-98.62986,100,10.270272
-67.0,67,10.336886
-98.407075,100,10.427161
-100.0,100,10.516271
-62.407075,63,10.57454
-99.0,100,10.667182
-89.0,90,10.749025
-98.62986,100,10.838798
-99.407075,100,10.93008
-53.0,54,10.978741
-17.0,17,10.994755
-97.62986,100,11.084325
-87.0,88,11.165389
-99.407075,100,11.263184
-79.0,79,11.337184
-12.0,12,11.34815
-64.0,64,11.408339
-37.407075,38,11.44378
-49.407075,50,11.488044
-100.0,100,11.576199
-100.0,100,11.666922
-83.0,83,11.745486
-92.407075,94,11.830818
-99.0,100,11.919012
-98.62986,100,12.010952
-97.62986,100,12.104404
-49.0,50,12.146785
-97.81415,100,12.236144
-100.0,100,12.328175
-34.407075,35,12.359271
-51.62986,53,12.407219
-97.62986,100,12.496162
-9.0,9,12.506064
-11.0,11,12.516241
-14.407075,15,12.529811
-13.0,13,12.540911
-20.0,20,12.559548
-92.0,92,12.640801
-57.0,57,12.69102
-100.0,100,12.780967
-21.0,21,12.804147
-99.407075,100,12.891513
-98.62986,100,12.981446
-100.0,100,13.070011
-69.407075,70,13.133566
-99.407075,100,13.224774
-8.0,8,13.23209
-44.0,44,13.270939
-15.0,15,13.286724
-99.0,100,13.402874
-99.0,100,13.570873
-99.407075,100,13.658482
-98.62986,100,13.748273
-98.62986,100,13.843386
-22.0,23,13.864574
-98.62986,100,13.953062
-40.62986,42,13.9904
-9.407075,11,14.000802
-42.407075,44,14.03983
-32.62986,34,14.068535
-24.0,24,14.092148
-100.0,100,14.179896
-90.62986,93,14.264333
-80.407075,82,14.335363
-84.62986,86,14.412376
-31.0,31,14.438004
-99.407075,100,14.490215
-98.62986,100,14.5277
-98.62986,100,14.565035
-98.62986,100,14.602309
-98.62986,100,14.639278
-60.0,61,14.700917
-97.62986,100,14.788239
-98.03797,100,14.877362
-99.407075,100,14.967764
-98.62986,100,15.056119
-22.407075,23,15.074991
-99.407075,100,15.164681
-20.62986,22,15.185395
-99.407075,100,15.27387
-76.0,76,15.342592
-33.0,34,15.372707
-99.407075,100,15.461431
-83.62986,85,15.539004
-48.407075,50,15.582918
-71.0,71,15.647598
-39.0,39,15.682853
-36.0,36,15.717513
-76.62986,79,15.785695
-58.62986,60,15.840489
-97.62986,100,15.928889
-100.0,100,16.017851
-99.407075,100,16.105911
-30.0,31,16.134466
-21.407075,23,16.156926
-88.62986,90,16.237838
-98.03797,100,16.325692
-15.81415,18,16.343552
-39.0,39,16.378077
-99.0,100,16.467973
-98.03797,100,16.556704
-21.0,21,16.575641
-99.407075,100,16.664437
-97.62986,100,16.755705
-98.62986,100,16.846539
-100.0,100,16.935742
-8.407075,10,16.943927
-44.0,44,16.984797
-72.0,73,17.049886
-97.62986,100,17.139684
-27.407075,29,17.167488
-3.81415,7,17.174856
-26.62986,28,17.200876
-11.62986,13,17.213113
-31.62986,33,17.24118
-21.81415,25,17.269942
-67.62986,69,17.342462
-33.62986,35,17.372031
-99.407075,100,17.459179
-11.407075,12,17.469434
-43.62986,45,17.511474
-99.407075,100,17.603403
-42.29769,47,17.643554
-95.29769,100,17.731747
-48.407075,50,17.776297
-97.81415,100,17.864662
-28.407075,30,17.890749
-97.62986,100,17.978334
-7.407075,9,17.987906
-65.62986,68,18.048848
-8.0,8,18.056064
-54.407075,55,18.102975
-41.407075,43,18.141388
-19.62986,21,18.159877
-21.62986,23,18.180487
-98.62986,100,18.267558
-3.445045,6,18.275148
-98.62986,100,18.362459
-38.62986,40,18.398198
-69.03797,71,18.458319
-47.407075,48,18.521132
-100.0,100,18.608978
-99.407075,100,18.698452
-100.0,100,18.78668
-50.0,50,18.831265
-98.62986,100,18.921087
-98.62986,100,19.009844
-100.0,100,19.097623
-99.407075,100,19.178314
-100.0,100,19.215284
-98.03797,100,19.25235
-99.407075,100,19.289421
-98.03797,100,19.326377
-99.407075,100,19.417575
-71.0,71,19.483165
-11.0,11,19.49334
-67.81415,71,19.557893
-6.62986,9,19.565672
-99.407075,100,19.652931
-22.0,23,19.674105
-48.407075,49,19.71747
-77.62986,79,19.787441
-100.0,100,19.876763
-73.62986,75,19.941217
-8.0,8,19.947952
-98.62986,100,20.07089
-100.0,100,20.15984
-79.62986,81,20.23288
-42.407075,44,20.273089
-98.03797,100,20.361898
-86.407075,88,20.440241
-32.0,32,20.46892
-98.62986,100,20.560522
-99.407075,100,20.648737
-99.407075,100,20.739929
-98.03797,100,20.831268
-99.0,100,20.91961
-46.29769,52,20.965188
-97.407075,98,21.054912
-99.407075,100,21.143557
-95.407075,96,21.230326
-61.0,62,21.286048
-98.62986,100,21.374645
-17.407075,19,21.39017
-98.62986,100,21.477413
-99.407075,100,21.565844
-74.62986,77,21.635364
-99.407075,100,21.724743
-99.407075,100,21.812922
