#{"t_start": 1752554705.1053503, "env_id": "None"}
r,l,t
-1.313836,6,0.058033
10.162563,7,0.122236
69.069583,6,0.144426
-95.044446,100,0.23569
-73.889129,100,0.325029
-1.86347,6,0.332806
-51.0,51,0.378448
-16.941309,63,0.437295
-100.0,100,0.543488
-10.0,10,0.55484
-7.967361,21,0.573303
-63.0,63,0.629548
10.51529,6,0.634291
-100.0,100,0.726668
35.41491,6,0.733385
-100.0,100,0.822921
-96.050657,100,0.91265
-100.0,100,1.007953
67.352034,7,1.013905
-88.540054,90,1.124353
-26.407343,30,1.149525
-12.0,13,1.163561
-100.0,100,1.257963
-98.530603,100,1.365679
-70.281796,73,1.429904
-30.026485,53,1.477426
13.133388,24,1.499308
50.44748,6,1.50637
-41.935475,57,1.556277
-100.0,100,1.647142
4.229977,6,1.652526
12.705816,6,1.659136
2.888409,6,1.664151
-49.968563,53,1.716791
12.83803,7,1.722283
10.98504,6,1.729271
28.877005,13,1.740358
-51.170093,100,1.830146
-11.0,11,1.840437
-0.876519,6,1.845807
-17.320288,26,1.871165
29.614719,6,1.876951
29.614719,6,1.883809
-100.0,100,1.972922
-100.0,100,2.062367
-46.0,46,2.103865
-59.813891,63,2.163567
-97.576403,100,2.264855
38.639064,9,2.27391
80.695197,6,2.282538
-42.0,42,2.323753
-100.0,100,2.421876
83.947112,6,2.430073
2.902085,47,2.478434
-76.660181,95,2.570228
-96.342843,100,2.66672
-91.0,92,2.756524
9.585577,6,2.764884
12.234096,6,2.769919
-100.0,100,2.862807
-29.0,29,3.071655
141.270042,6,3.106994
-14.0,14,3.120755
-3.971184,7,3.125535
-16.399714,38,3.160299
49.862996,6,3.166409
104.040141,6,3.173096
40.348687,6,3.177968
65.434621,6,3.185069
-100.0,100,3.275617
-98.370747,100,3.373761
-3.283247,6,3.378915
-100.0,100,3.475326
-0.883052,6,3.483895
-9.822649,24,3.507049
-81.477239,100,3.599455
10.110873,6,3.605617
-100.0,100,3.701498
77.690027,6,3.710932
55.214609,6,3.718439
-90.852846,95,3.808509
-2.807513,6,3.816458
-95.567278,100,3.906794
90.376358,6,3.911892
-28.739933,42,3.953076
-26.0,26,3.976316
-0.883052,6,3.98345
-100.0,100,4.077814
29.472682,16,4.095567
21.813725,25,4.1199
-86.741269,100,4.207295
21.97873,6,4.21229
-97.576403,100,4.299359
