#{"t_start": 1752553480.3860211, "env_id": "None"}
r,l,t
21.970018,3,0.019882
-14.0,14,0.058208
-31.171667,45,0.096843
27.641412,23,0.117298
-36.0,36,0.148802
10.828333,3,0.151893
46.590276,3,0.155448
21.970018,3,0.158972
-40.0,41,0.195324
-30.0,30,0.224018
46.590276,3,0.225715
10.828333,3,0.229225
28.641412,22,0.248429
-8.0,8,0.257652
57.731961,3,0.259284
5.026422,9,0.268575
10.828333,3,0.270343
10.828333,3,0.276536
47.641412,3,0.279938
15.641412,35,0.311955
46.590276,3,0.313665
21.970018,4,0.319766
46.590276,3,0.323169
46.590276,3,0.32784
46.590276,3,0.331232
46.590276,3,0.33474
47.641412,3,0.33816
21.970018,3,0.341681
47.641412,3,0.3453
10.828333,3,0.348942
21.970018,4,0.353015
10.828333,3,0.356475
21.970018,4,0.360491
47.641412,3,0.36574
10.828333,3,0.369253
10.828333,3,0.370965
-2.0,3,0.374352
21.970018,3,0.379745
46.590276,3,0.383164
10.828333,3,0.384924
46.590276,3,0.388379
10.828333,3,0.393743
-17.029982,43,0.431724
46.590276,3,0.43342
21.970018,4,0.437516
21.970018,3,0.443019
9.828333,4,0.446764
10.828333,3,0.450261
47.641412,3,0.453676
9.828333,4,0.459261
21.970018,3,0.461057
21.970018,3,0.464552
47.641412,3,0.467915
21.970018,3,0.473309
10.828333,3,0.475036
46.590276,3,0.478427
47.641412,3,0.48185
21.970018,3,0.48743
46.590276,3,0.489123
21.970018,4,0.493223
20.970018,5,0.499211
10.828333,3,0.50285
46.590276,3,0.506298
10.828333,3,0.536542
-43.0,43,0.573841
47.641412,3,0.577326
10.828333,3,0.580869
21.970018,3,0.584152
46.590276,3,0.587859
47.641412,3,0.591398
21.970018,3,0.595294
21.970018,3,0.60408
9.828333,4,0.60826
21.970018,3,0.613363
46.590276,3,0.615006
10.828333,3,0.618766
46.590276,3,0.647986
47.641412,3,0.654089
46.590276,3,0.655737
9.828333,3,0.659117
-37.358588,88,0.737133
12.641412,38,0.771811
47.641412,3,0.773531
-2.0,3,0.776953
34.273675,3,0.780095
21.970018,3,0.784996
10.828333,3,0.78677
46.590276,3,0.790519
46.590276,3,0.794393
47.641412,3,0.798808
46.590276,3,0.800458
46.590276,3,0.803842
46.590276,3,0.807259
10.828333,3,0.81165
10.828333,3,0.813427
47.641412,3,0.816802
21.970018,3,0.820302
47.641412,3,0.824654
10.828333,3,0.826455
47.641412,3,0.829715
10.828333,3,0.833215
21.970018,3,0.837355
10.828333,3,0.839081
34.273675,3,0.842234
46.590276,3,0.845903
28.590276,21,0.864622
10.828333,3,0.86815
10.828333,3,0.871696
-87.0,88,0.947812
47.641412,3,0.950353
-17.0,17,0.966497
47.641412,3,0.968113
21.970018,4,0.972173
46.590276,3,0.976883
10.828333,3,0.980446
10.828333,3,0.983921
46.590276,3,0.98558
47.641412,3,0.98988
21.970018,4,0.993739
46.641412,4,0.997367
9.828333,4,1.001032
-60.029982,86,1.083878
46.590276,3,1.085601
10.828333,3,1.088866
10.828333,3,1.092375
10.828333,3,1.097954
46.590276,3,1.099583
47.641412,3,1.102966
46.590276,3,1.106143
47.641412,3,1.111413
10.828333,3,1.113191
21.970018,3,1.116749
47.641412,3,1.120943
