#{"t_start": 1752553516.8045285, "env_id": "None"}
r,l,t
-70.0,71,0.170295
24.175631,3,0.174817
29.06386,3,0.178174
-6.0,6,0.182523
-2.0,3,0.185957
25.91077,3,0.190063
19.466604,3,0.191767
33.821174,3,0.195595
33.821174,3,0.199165
-39.0,39,0.234844
0.632814,22,0.253317
-18.0,18,0.269854
-2.366916,4,0.274165
-100.0,100,0.3643
-63.93614,96,0.448189
2.175631,25,0.469503
-77.367186,100,0.586658
-100.0,100,0.778827
-3.366916,5,0.783027
-73.824369,100,0.870473
2.755139,15,0.885051
-67.93614,100,0.977074
26.06386,6,0.981595
-99.0,100,1.069439
-61.719865,70,1.142251
0.175631,27,1.167315
-22.824369,50,1.209911
12.632814,10,1.219829
-24.244861,42,1.256018
-85.366916,87,1.355238
-3.366916,5,1.359445
19.632814,3,1.363163
-30.0,30,1.389109
-18.0,19,1.406658
-48.824369,75,1.471406
-28.93614,61,1.527008
-99.0,100,1.612905
-67.93614,100,1.698883
-34.367186,57,1.750048
-2.366916,4,1.754083
-81.244861,100,1.842225
-41.367186,64,1.898174
-50.244861,69,1.958142
-33.0,33,1.987522
-40.244861,58,2.066638
-99.0,100,2.153648
-25.0,25,2.177649
-79.0,80,2.248822
-11.0,12,2.259622
-10.244861,28,2.284996
-2.366916,4,2.288968
-6.824369,33,2.316788
-18.244861,36,2.348494
-100.0,100,2.435267
-100.0,100,2.521281
-5.244861,23,2.54177
4.755139,13,2.552747
-18.0,18,2.568656
-92.719865,100,2.654359
-51.367186,74,2.720169
-2.366916,4,2.724132
-13.0,13,2.73593
-92.719865,100,2.821795
-15.367186,38,2.857204
-41.93614,74,2.919297
14.06386,18,2.936507
9.175631,17,2.950982
0.280135,8,2.958204
-8.244861,26,2.979846
20.06386,12,2.990146
-81.244861,100,3.078582
-15.0,15,3.092171
-82.244861,100,3.179338
-82.244861,100,3.272083
-100.0,100,3.371067
36.132765,3,3.374636
-73.824369,100,3.463949
-55.0,55,3.512843
19.632814,3,3.51468
44.737103,3,3.518471
-99.0,100,3.655503
19.632814,3,3.660445
33.90375,3,3.664245
19.632814,3,3.666132
36.132765,3,3.669769
35.132765,4,3.674623
-25.244861,44,3.715479
-18.0,18,3.733461
4.755139,13,3.745313
19.632814,3,3.750033
33.90375,3,3.751878
-19.824369,47,3.795491
11.06386,21,3.815414
-12.719865,20,3.835153
18.632814,4,3.83939
-3.366916,5,3.846048
-35.367186,57,3.897457
-15.0,15,3.912616
-14.824369,42,3.950723
-82.244861,100,4.045316
-21.93614,54,4.096534
-81.244861,100,4.190442
-72.719865,81,4.265034
-46.0,46,4.305754
4.06386,28,4.337049
-48.0,49,4.384196
-16.93614,49,4.428524
1.06386,31,4.45766
-73.824369,100,4.558393
-73.824369,100,4.65225
-24.244861,42,4.690211
12.175631,15,4.704957
-100.0,100,4.798012
-14.244861,32,4.828016
-7.0,8,4.835577
-82.244861,100,4.903551
-100.0,100,4.944216
-3.366916,5,4.946911
-87.994911,100,4.987874
-73.824369,100,5.028685
-61.185039,63,5.09685
-3.366916,5,5.101416
-1.244861,20,5.121975
-13.244861,32,5.151263
-73.824369,100,5.241802
-34.994911,47,5.282136
-44.244861,62,5.338845
-54.824369,82,5.409464
-76.175389,98,5.497939
19.632814,3,5.499772
33.821174,3,5.505389
15.755139,3,5.508946
33.821174,3,5.512434
33.821174,3,5.51415
18.006264,3,5.519716
-100.0,100,5.60461
15.755139,3,5.608449
24.175631,3,5.61197
-14.175389,36,5.645209
39.775859,3,5.646907
33.821174,3,5.65038
15.755139,3,5.654417
-89.366916,90,5.731001
33.821174,3,5.734492
24.175631,3,5.738048
-78.175389,100,5.823669
-14.366916,15,5.839073
-0.185039,3,5.840559
19.632814,3,5.844114
21.402907,4,5.84747
16.824611,5,5.853095
24.175631,3,5.856617
22.402907,3,5.860071
15.755139,3,5.863692
-45.0,46,5.905637
39.775859,3,5.909462
-9.0,9,5.917454
50.205197,3,5.921133
18.006264,3,5.92693
33.821174,3,5.928747
16.174696,4,5.932642
39.775859,3,5.936344
23.175631,4,5.942849
24.175631,3,5.947136
17.174696,3,5.950843
39.775859,3,5.952597
23.175631,4,5.958532
33.821174,3,5.962296
19.632814,3,5.966136
-0.175389,22,5.985441
-99.366916,100,6.086123
24.175631,3,6.090077
18.632814,4,6.094065
-0.185039,3,6.098065
19.632814,3,6.1043
50.205197,3,6.106082
50.205197,3,6.109503
33.821174,3,6.113229
19.632814,3,6.119101
24.175631,3,6.121086
19.632814,3,6.124902
19.632814,3,6.128709
19.632814,3,6.134504
36.975362,3,6.136259
19.632814,3,6.140066
33.821174,3,6.143842
15.755139,3,6.149683
4.824611,17,6.164665
19.632814,3,6.168447
33.821174,3,6.170273
49.205197,4,6.176161
-5.0,6,6.18297
18.632814,4,6.186968
29.794342,3,6.190661
65.429287,3,6.1944
24.175631,3,6.19846
17.174696,3,6.202216
19.632814,3,6.206602
50.205197,3,6.210213
33.821174,3,6.213958
28.794342,4,6.217824
-99.366916,100,6.310514
-0.175389,22,6.336484
65.429287,3,6.338282
36.975362,3,6.341948
36.975362,3,6.34558
-100.0,100,6.439662
29.794342,3,6.44346
0.824611,21,6.462677
15.755139,3,6.466472
5.824611,16,6.484775
65.429287,3,6.486583
22.175631,5,6.492716
36.975362,3,6.494515
-61.366916,63,6.555477
15.755139,3,6.559731
22.402907,3,6.563468
39.775859,3,6.565248
24.175631,3,6.571227
19.632814,3,6.575056
24.175631,3,6.57885
19.632814,3,6.580466
-100.0,100,6.67511
17.174696,3,6.678948
-0.185039,3,6.683001
38.775859,4,6.686901
33.821174,3,6.693
-0.185039,3,6.694901
19.632814,3,6.698724
22.402907,3,6.702377
29.794342,3,6.708986
50.205197,3,6.710804
36.975362,3,6.71448
15.755139,3,6.718308
50.205197,3,6.724318
39.775859,3,6.726138
-0.185039,4,6.730516
24.175631,3,6.734271
33.821174,3,6.740051
23.175631,4,6.744039
24.175631,3,6.748901
19.632814,3,6.750969
75.840778,3,6.756744
50.205197,3,6.760463
30.384424,3,6.764119
