#{"t_start": 1752553437.8298192, "env_id": "None"}
r,l,t
9.035302,2,0.014998
-5.0,6,0.016254
-5.0,6,0.01757
-13.0,14,0.019813
-1.0,2,0.021211
-4.0,5,0.022284
-2.0,3,0.023088
-6.0,7,0.024456
-4.0,5,0.026111
-5.0,6,0.027281
-2.0,3,0.028073
-3.0,4,0.029033
-22.0,23,0.033214
-2.0,3,0.034431
12.371586,3,0.035094
-8.0,9,0.036795
-9.0,10,0.047997
-16.0,17,0.077384
-24.0,25,0.119613
-2.0,3,0.120453
-15.0,16,0.146869
5.274032,10,0.156732
-6.0,7,0.161707
-10.0,11,0.167258
-4.0,5,0.173055
-12.0,13,0.180674
-5.0,6,0.183702
-14.0,15,0.193406
-6.0,7,0.200572
-3.0,4,0.203354
-8.0,9,0.208636
-4.0,5,0.211551
-5.0,6,0.218272
-7.0,8,0.223691
-17.0,18,0.234395
-23.0,24,0.24972
-4.0,5,0.256219
-1.0,2,0.256939
-11.0,12,0.264723
-15.0,16,0.274668
-4.0,5,0.27945
-7.486539,20,0.29318
-5.0,6,0.29824
-5.0,6,0.301336
11.379522,7,0.308345
-25.0,26,0.325309
-7.0,8,0.330432
6.379522,12,0.338183
-7.0,8,0.346256
4.850673,2,0.346877
-12.0,13,0.354595
-11.0,12,0.362371
-5.0,6,0.369056
-6.0,7,0.374043
-13.0,14,0.382676
5.895194,11,0.390486
-13.0,14,0.400774
-1.102368,10,0.408456
-1.0,2,0.409195
-8.0,9,0.416186
-3.0,4,0.420828
-21.0,22,0.434384
-1.0,2,0.436828
-3.0,4,0.439849
-7.0,8,0.447116
-1.0,2,0.447806
-1.0,2,0.450773
-6.0,7,0.454894
-2.0,3,0.459394
-3.0,4,0.462209
-9.0,10,0.46972
-6.0,7,0.473224
-1.0,2,0.477781
-23.0,24,0.494243
-7.0,8,0.499666
12.067568,5,0.502795
-11.0,12,0.568928
-14.0,15,0.58074
-2.0,3,0.583779
-26.0,27,0.601349
-1.0,2,0.604944
-3.0,4,0.608208
-12.0,13,0.617884
-4.548295,12,0.627619
-6.0,7,0.63478
-2.0,3,0.638116
-4.0,5,0.64148
-7.0,8,0.647157
-5.0,6,0.651083
-9.0,10,0.659005
-12.0,13,0.667861
-13.0,14,0.679116
-5.0,6,0.683564
-6.0,7,0.688782
-10.0,11,0.697105
-3.0,4,0.700493
-2.0,2,0.702162
-14.0,15,0.712744
-28.0,29,0.732367
-11.0,12,0.740986
-3.0,4,0.744554
-2.0,3,0.747687
-4.0,5,0.750947
-4.0,5,0.753994
-4.0,5,0.760756
-3.0,4,0.764246
-1.0,2,0.765414
-2.0,3,0.768697
-3.0,4,0.772659
-2.0,3,0.77546
-1.0,2,0.776504
-2.0,3,0.779577
5.513461,7,0.785415
6.897632,2,0.786106
-10.0,11,0.794224
3.613818,4,0.797296
-3.0,4,0.801387
-3.0,4,0.804489
-3.0,4,0.807388
-4.0,5,0.810343
-1.0,2,0.814069
-4.0,5,0.817026
-25.0,26,0.833857
-1.0,2,0.836661
-2.0,3,0.84061
-1.0,2,0.841435
-3.0,4,0.844922
-5.0,6,0.850685
11.648625,6,0.855091
-2.0,2,0.857592
-1.0,2,0.858386
-1.0,2,0.861214
-1.0,2,0.862578
-4.0,5,0.865897
-3.0,4,0.869053
-1.0,2,0.871875
-13.0,14,0.881215
-3.0,4,0.885426
-2.0,3,0.889
-1.0,2,0.892002
-4.0,5,0.895716
-1.0,2,0.89675
-4.0,5,0.90218
-1.0,2,0.903415
-2.0,3,0.90698
-2.0,3,0.910304
-2.0,3,0.911537
-1.0,2,0.914199
-4.0,5,0.918568
-2.0,3,0.921583
-2.0,3,0.924568
8.035302,3,0.925365
-1.0,2,0.92899
-1.0,2,0.929976
-4.0,5,0.935035
-1.0,2,0.936017
-1.0,2,0.93943
-1.0,2,0.940405
-1.0,2,0.943577
-3.0,4,0.946679
-5.0,6,0.951018
-1.0,2,0.954037
-3.0,4,0.957081
-3.0,4,0.960143
-2.0,3,0.961684
4.850673,2,0.964577
-9.0,10,0.970416
-2.0,3,0.995622
-2.0,3,0.999334
-7.0,8,1.004748
-5.0,6,1.008197
-1.0,2,1.011219
-7.0,8,1.018305
-2.0,3,1.021515
-2.0,3,1.022675
-1.0,2,1.025274
-1.0,2,1.027178
-1.0,2,1.030037
-1.0,2,1.031273
-1.0,2,1.033851
-3.0,4,1.03766
-3.0,4,1.04083
-4.0,5,1.044727
-2.0,3,1.047891
-5.0,6,1.052104
-7.0,8,1.05764
-2.0,3,1.060544
-1.0,2,1.063517
-3.0,4,1.067457
-7.0,8,1.073508
-2.0,3,1.074781
12.648625,5,1.080424
-1.0,2,1.082479
-1.0,2,1.085662
-1.0,2,1.086397
8.621804,3,1.08939
-3.0,4,1.093257
-2.0,3,1.096192
-1.0,2,1.097219
-1.0,2,1.100245
-2.0,3,1.102147
-4.0,5,1.10764
-6.0,7,1.11198
-11.0,12,1.120444
13.371586,2,1.123888
-2.0,3,1.127112
-1.0,2,1.127849
-1.0,2,1.130403
-1.0,2,1.132423
-5.0,6,1.138051
-1.0,2,1.13906
-2.0,3,1.144466
-2.0,3,1.148247
-1.0,2,1.149557
13.921085,6,1.154355
-1.0,2,1.155337
-2.0,3,1.15892
-7.0,8,1.164374
-1.0,2,1.165442
-2.0,3,1.168391
-3.0,4,1.172327
12.302321,2,1.175308
-2.0,3,1.176464
-3.0,4,1.17961
-1.0,2,1.182773
-4.0,5,1.186046
-1.0,2,1.189022
-1.0,2,1.190105
-1.0,2,1.193704
-3.0,4,1.197278
-2.0,3,1.198751
-4.0,5,1.203922
-7.0,8,1.210229
-3.0,4,1.213277
-1.0,2,1.214494
-2.0,3,1.217721
-6.0,7,1.223913
-1.0,2,1.224921
-3.0,4,1.227986
-5.0,6,1.233255
-1.0,2,1.235062
-6.0,7,1.241704
-4.0,5,1.245533
-1.0,2,1.248648
-2.0,3,1.250242
-4.0,5,1.25558
-7.0,8,1.261313
4.671319,2,1.261947
-2.0,3,1.265526
-2.0,3,1.268694
-5.0,6,1.272835
-1.0,2,1.287432
-1.0,2,1.289206
-1.0,2,1.292348
-9.0,10,1.299595
-2.0,3,1.302626
-5.0,6,1.306423
-2.0,3,1.309065
-1.0,2,1.312088
-1.0,2,1.312834
-1.0,2,1.319808
-1.0,2,1.320825
-1.0,2,1.323584
-3.0,4,1.327091
5.371586,10,1.334329
-4.0,5,1.338042
-1.0,2,1.341038
-1.0,2,1.342031
-2.0,3,1.345853
-8.0,9,1.351503
-1.0,2,1.354258
-4.0,5,1.357249
4.266909,3,1.361374
-1.0,2,1.362468
-1.0,2,1.365428
-1.0,2,1.366463
-1.0,2,1.370299
-3.0,4,1.373687
-2.0,3,1.376882
-1.0,2,1.37798
-4.0,5,1.382031
-4.0,5,1.387417
-1.0,2,1.3884
-1.0,2,1.391549
-1.0,2,1.392984
-1.0,2,1.395945
-5.0,6,1.399942
-1.0,2,1.402992
-2.0,3,1.40526
-1.0,2,1.408436
-1.0,2,1.409694
16.212384,2,1.412573
-1.0,2,1.414551
-2.0,3,1.417575
-1.0,2,1.42004
-1.0,2,1.42104
-2.0,3,1.424846
-1.0,2,1.426074
-1.0,2,1.428814
-4.0,5,1.432264
-1.0,2,1.435685
-2.0,3,1.436984
-1.0,2,1.439703
-1.0,2,1.440686
-1.0,2,1.444083
-1.0,2,1.44508
-2.0,3,1.448347
-1.0,2,1.451111
-7.0,8,1.457842
-0.548295,8,1.464296
-1.0,2,1.46533
-3.0,4,1.468447
-1.0,2,1.471893
-1.0,2,1.472896
-5.0,6,1.478161
-4.0,5,1.481352
-4.0,5,1.485242
-2.0,3,1.488345
-1.0,2,1.489614
-2.0,3,1.492573
-1.0,2,1.496247
2.897632,6,1.499899
-1.0,2,1.503077
-1.0,2,1.504087
-2.0,3,1.507766
-1.0,2,1.509041
-2.0,3,1.512033
-7.0,8,1.517515
4.850673,2,1.521027
-2.0,3,1.522431
9.035302,2,1.52513
-3.0,4,1.528207
-5.0,6,1.532283
-1.0,2,1.535294
-1.0,2,1.536001
-3.0,4,1.538858
-1.0,2,1.542622
-6.0,7,1.547943
-1.0,2,1.548963
-1.0,2,1.551763
-1.0,2,1.553681
-2.0,3,1.5566
-3.0,4,1.55993
11.371586,4,1.563285
-1.0,2,1.565192
-1.0,2,1.568312
-4.0,5,1.571859
-3.0,4,1.574876
-2.0,3,1.578933
-1.0,2,1.579935
-3.0,4,1.583214
-1.0,2,1.58632
-1.0,2,1.588312
-1.0,2,1.591168
-1.0,2,1.59239
-3.0,4,1.595901
-1.0,2,1.5996
-2.0,3,1.602669
-1.0,2,1.603673
-1.0,2,1.606525
-3.0,4,1.610551
3.688612,5,1.613716
-1.0,2,1.614722
-2.0,3,1.617946
-3.0,4,1.622011
-1.0,2,1.624825
-2.0,3,1.626253
4.671319,2,1.628695
-1.0,2,1.630327
-1.0,2,1.63347
-3.0,4,1.636567
-1.0,2,1.637559
-3.0,4,1.641579
-1.0,2,1.644577
-1.0,2,1.645623
-2.0,3,1.648576
-1.0,2,1.652325
-2.0,3,1.653239
-1.0,2,1.655944
9.035302,2,1.656866
-1.0,2,1.666723
-1.0,2,1.667695
-1.0,2,1.670702
9.371586,6,1.674034
-2.0,3,1.677873
-3.0,4,1.680979
17.921085,2,1.683826
-1.0,2,1.684838
-1.0,2,1.688233
-3.0,4,1.691582
-1.0,2,1.692582
-1.0,2,1.695558
-2.0,3,1.697687
-4.0,5,1.703138
-1.0,2,1.704131
-7.0,8,1.709942
-3.0,4,1.714156
-1.0,2,1.717315
-5.0,6,1.722891
-1.0,2,1.725679
-1.0,2,1.727594
