#{"t_start": 1752540394.8859649, "env_id": "None"}
r,l,t
28.086959,80,0.239455
0.993201,4,0.243564
16.498647,3,0.24701
29.618369,100,0.338556
25.952969,3,0.34254
0.488161,35,0.374004
14.990945,18,0.388332
7.622825,96,0.470526
-0.216505,3,0.474071
0.0,100,0.580432
6.811549,3,0.583935
28.411501,3,0.586161
0.0,100,0.67174
28.585596,4,0.675472
13.378808,2,0.678757
0.645032,92,0.761441
2.220133,96,0.843718
35.212356,4,0.847375
20.057494,4,0.851497
2.932335,3,0.855728
0.0,100,0.943843
-1.0,9,0.951191
9.672388,68,1.018754
11.075008,3,1.049136
10.012758,4,1.052822
23.532947,10,1.065918
31.270827,48,1.109197
30.080246,3,1.113598
6.075043,3,1.117032
-1.0,2,1.118211
24.37366,3,1.122653
37.932069,3,1.126826
-1.0,54,1.174559
32.936689,3,1.178082
0.0,100,1.262206
37.907187,3,1.297449
9.320122,3,1.299155
5.875938,4,1.303321
27.839128,18,1.322709
23.532947,11,1.333415
12.827907,4,1.337416
16.852516,3,1.339073
10.124398,2,1.342023
7.606519,4,1.346308
-0.477819,4,1.350446
-0.216505,5,1.354889
30.267878,3,1.358596
0.075671,17,1.373747
20.057494,4,1.377701
6.46199,100,1.463341
0.0,100,1.55122
-0.229988,3,1.556154
-1.0,27,1.579238
22.858398,3,1.58089
-0.596094,3,1.5841
0.403906,100,1.670062
6.828561,3,1.673612
1.833494,3,1.677023
-0.237043,23,1.696015
30.499471,3,1.700199
0.0,100,1.785558
37.907187,3,1.789393
0.666764,3,1.792981
0.238255,3,1.795553
10.124398,2,1.798511
7.622825,3,1.801906
0.0,100,1.887771
28.90503,100,1.974868
0.238255,3,1.97675
1.175462,3,1.980307
7.918442,100,2.066619
0.0,100,2.159981
0.488161,3,2.163615
31.728212,4,2.167726
16.498647,5,2.171563
0.0,100,2.260177
0.645032,4,2.263998
3.915554,32,2.294761
-1.0,63,2.355284
0.0,100,2.444686
7.117738,3,2.448288
4.248802,100,2.537713
1.162693,2,2.538905
11.595579,4,2.543895
33.878138,3,2.54741
0.238255,3,2.551002
30.009154,3,2.552643
0.0,100,2.642355
0.692048,3,2.645918
-1.0,21,2.664824
5.850231,4,2.669123
22.858398,3,2.673695
14.90764,3,2.677404
14.990945,3,2.683018
7.606519,3,2.68483
6.828561,3,2.697684
-0.237043,4,2.701745
20.057494,4,2.706218
35.212356,3,2.709976
30.499471,3,2.714605
2.067742,5,2.719611
13.378808,2,2.720997
3.460843,2,2.724119
2.86481,2,2.726048
30.080246,3,2.729793
23.374137,3,2.733493
23.374137,3,2.737273
0.0,100,2.83043
38.473939,3,2.832253
-1.0,98,2.923413
0.0,100,3.009598
31.489445,3,3.014113
10.858124,3,3.015797
-0.313296,83,3.092474
7.117738,3,3.096064
9.129341,90,3.179801
-0.596094,3,3.183383
12.542201,3,3.186893
13.960395,3,3.190408
33.021217,3,3.192885
7.606519,3,3.196339
-0.237043,3,3.199888
37.932069,3,3.203455
27.281636,12,3.214512
0.0,100,3.306685
16.023381,3,3.308416
-0.249507,2,3.311363
-1.0,36,3.345565
20.057494,4,3.34992
-0.237043,41,3.387837
25.092328,3,3.391375
33.021217,3,3.39565
24.37366,3,3.397284
0.0,100,3.48799
0.0,100,3.576198
16.023381,3,3.580691
0.488161,3,3.584403
38.473939,3,3.588151
11.595579,4,3.592462
23.358616,3,3.594911
