#{"t_start": 1752539777.7339869, "env_id": "None"}
r,l,t
-1.0,95,0.226504
7.165818,100,0.310118
13.865528,100,0.395069
44.743112,100,0.479309
0.0,100,0.630064
1.162363,57,0.705056
1.17223,82,0.773264
27.439573,100,0.882914
0.0,100,0.994954
-0.242274,2,0.996146
0.0,100,1.119122
0.765752,100,1.20487
16.176014,100,1.299463
-1.0,8,1.309822
0.0,100,1.401517
62.24777,100,1.484687
21.601854,100,1.566593
-0.407075,95,1.654593
0.0,100,1.736688
0.0,100,1.819986
24.186255,62,1.889538
0.0,100,1.973137
0.0,100,2.055789
-1.0,59,2.103735
4.812451,100,2.199584
57.610099,55,2.247563
8.778655,36,2.276338
12.255463,100,2.359041
9.680326,100,2.442846
20.25925,100,2.528734
17.649889,95,2.607526
-1.0,34,2.634179
56.645752,15,2.767918
0.0,100,2.854345
37.749128,100,2.941139
11.895133,94,3.021402
0.0,100,3.10691
0.0,100,3.195123
0.421737,62,3.483851
0.0,100,3.564769
27.798983,40,3.598089
60.957621,4,3.601904
0.0,100,3.722061
1.449802,5,3.72601
0.0,100,3.809586
32.162865,100,3.892872
16.224254,100,3.972329
0.512117,67,4.026253
64.893309,100,4.110146
0.0,100,4.192205
1.449732,4,4.195983
55.829513,63,4.248603
12.601461,18,4.26428
26.125168,4,4.268034
56.645752,37,4.31644
22.426771,100,4.403522
-1.0,87,4.47743
-0.601277,42,4.513127
10.12713,46,4.551751
13.08463,100,4.635054
0.329742,100,4.721257
-1.0,1,4.723716
33.880327,59,4.773025
4.557195,48,4.812944
0.271635,94,4.893722
15.615909,71,4.953405
58.312484,4,4.958169
19.585374,29,4.981636
9.29692,100,5.040395
0.0,100,5.076598
0.0,100,5.113079
0.0,100,5.14875
0.0,100,5.184578
0.883018,7,5.198753
57.067083,80,5.264941
1.883018,100,5.348922
64.893309,100,5.431375
0.0,100,5.515486
0.865406,6,5.52215
18.931509,100,5.606015
55.949761,23,5.62413
39.655768,100,5.709044
3.099833,41,5.750185
1.868896,100,5.835646
24.330878,100,5.919973
0.421561,70,5.978061
-1.0,2,5.980646
0.0,100,6.070369
1.420991,32,6.097045
77.437854,55,6.141968
38.747149,37,6.173934
0.329742,100,6.260924
0.750493,100,6.343346
18.71961,100,6.42652
1.395525,64,6.480806
57.902227,100,6.562691
2.064185,100,6.645404
32.794384,6,6.65066
20.769184,69,6.706538
28.344245,27,6.729527
8.778655,14,6.742119
-0.249507,2,6.744164
-0.56647,94,6.825696
0.894539,100,6.909647
-1.0,36,6.939684
5.090458,61,6.991132
0.0,100,7.073593
0.437454,3,7.077024
-1.0,7,7.081652
17.173859,62,7.13409
7.913584,56,7.180978
-0.229329,2,7.182445
7.716638,67,7.239912
0.658118,89,7.313913
0.0,100,7.400748
-1.0,78,7.465788
0.894539,100,7.547888
-1.0,99,7.632162
42.493808,100,7.719719
-1.0,69,7.776149
1.894085,100,7.861813
18.439594,4,7.866317
43.633896,22,7.884765
6.642349,100,7.96707
31.5331,43,8.003624
9.190965,4,8.008284
-1.0,1,8.008969
21.969761,4,8.012744
0.0,100,8.093266
0.0,100,8.177282
54.691598,7,8.183603
0.0,100,8.266018
23.174054,3,8.26946
22.220995,100,8.352081
-1.0,61,8.403657
-1.0,43,8.440962
9.190965,83,8.509436
2.420991,100,8.591676
23.040819,100,8.675985
0.490179,3,8.677701
0.473533,91,8.753042
0.0,100,8.834843
14.426447,4,8.838705
44.62385,4,8.842533
0.0,100,8.926508
-1.0,1,8.928067
61.259432,90,9.002728
0.0,100,9.085628
-1.0,96,9.164314
0.0,100,9.247468
1.952313,100,9.332316
0.0,100,9.431334
3.63616,3,9.432999
0.787559,100,9.469252
0.0,100,9.505256
0.0,100,9.541065
17.375373,41,9.581105
1.963075,100,9.664907
-1.0,1,9.666542
25.249235,76,9.732624
22.154752,100,9.815517
-1.0,1,9.816251
19.283829,95,9.894883
-0.227903,32,9.92167
46.075462,4,9.925289
17.912478,36,10.219511
1.395525,39,10.258817
4.293024,100,10.340563
35.050517,5,10.34453
