#{"t_start": 1752540798.1283019, "env_id": "None"}
r,l,t
39.297257,4,0.010738
56.913683,4,0.025233
7.297236,5,0.103955
58.498329,4,0.140253
29.486548,4,0.171405
12.093698,4,0.175899
0.0,100,0.263205
0.0,100,0.348794
9.785031,100,0.436956
2.005753,70,0.499173
-1.0,23,0.546515
0.0,100,0.662002
11.301241,100,0.74876
6.656102,4,0.752633
32.142784,4,0.756301
20.04332,100,0.840791
57.677588,97,0.925099
-1.0,86,0.999628
0.0,100,1.124616
0.0,100,1.21381
11.895133,57,1.265384
6.55358,4,1.269221
58.320192,22,1.322186
2.449662,100,1.415848
20.106037,4,1.420012
23.083055,4,1.424023
9.303416,4,1.428028
5.438982,4,1.432832
24.011256,4,1.436776
0.0,100,1.524661
5.42979,4,1.528746
-1.0,95,1.613294
4.942354,30,1.640357
13.424404,100,1.728741
58.601693,5,1.732888
15.615909,4,1.737422
35.612924,5,1.741504
16.229918,4,1.745452
4.099781,4,1.749511
7.282376,100,1.835555
59.958344,4,1.839528
6.355486,4,1.843515
0.0,100,1.930468
54.114325,4,1.935552
0.0,100,2.020783
56.4315,5,2.025101
53.990421,78,2.098145
23.121952,6,2.103598
7.99507,100,2.188555
32.142784,4,2.192763
8.556624,100,2.314369
1.397829,43,2.360739
-0.551743,52,2.404732
0.0,100,2.490407
11.59925,100,2.576638
6.631176,100,2.678309
0.0,100,2.765908
0.645032,91,2.843182
59.775855,55,2.891323
63.33067,35,2.92097
0.0,100,3.010053
0.0,100,3.095848
2.966094,2,3.098896
40.297257,100,3.186755
64.460763,4,3.190713
5.458048,4,3.194409
42.659681,100,3.283174
0.0,100,3.369013
68.609665,45,3.406964
0.0,100,3.493319
-1.0,16,3.507094
62.240353,4,3.511895
2.966094,3,3.515011
0.0,100,3.598346
0.660316,73,3.659229
58.750952,4,3.664061
3.077921,7,3.670552
0.0,100,3.75638
-1.0,25,3.776945
20.772676,18,3.796274
0.0,100,3.882003
4.203981,47,3.921631
5.742935,14,3.934925
-1.0,55,3.983247
39.133044,3,3.98487
0.809872,3,3.988842
5.346699,5,3.993083
3.570819,6,3.999745
0.0,100,4.086121
0.0,100,4.169718
3.637338,3,4.174148
1.266663,28,4.199655
1.317709,37,4.231555
8.552857,100,4.318374
59.55495,30,4.343219
0.0,100,4.427981
20.091732,100,4.515093
4.198829,4,4.519016
0.0,100,4.602207
1.661081,100,4.688416
0.0,100,4.738931
22.304899,4,4.740911
0.0,100,4.776263
57.677588,4,4.778208
0.0,100,4.814212
19.762991,6,4.827352
0.0,100,4.91255
10.26299,3,4.916272
4.619402,5,4.921367
29.486548,4,4.925506
-1.0,55,4.975233
3.942862,3,4.976824
14.631012,36,5.009737
48.672958,14,5.022818
20.750985,4,5.02691
43.674346,4,5.031097
36.591519,71,5.094395
9.775337,4,5.098351
56.862886,4,5.102769
11.383474,4,5.106638
61.404617,4,5.112118
0.666764,34,5.139824
4.453362,4,5.143785
0.0,100,5.229283
15.809541,5,5.235469
-1.0,100,5.320206
5.09764,100,5.407112
-1.0,53,5.453309
11.639442,4,5.458778
59.008198,4,5.462692
-1.0,2,5.463876
17.228087,4,5.467775
0.0,100,5.554163
4.619402,4,5.558087
0.0,100,5.64264
4.476501,4,5.64746
-1.0,10,5.658624
0.0,100,5.743069
1.865938,2,5.744233
0.0,100,5.830305
30.190336,35,5.861972
3.726008,3,5.865508
6.80027,4,5.87038
1.417674,4,5.874483
7.696579,6,5.880522
0.0,100,5.966925
-1.0,95,6.050851
0.0,100,6.1361
-0.596094,14,6.148814
7.015256,4,6.152822
3.189137,4,6.15691
15.695998,100,6.245119
30.047235,5,6.252808
21.183826,100,6.339121
34.377902,100,6.425344
23.392656,4,6.429337
0.666764,4,6.434976
2.798768,4,6.438912
58.554269,4,6.44286
9.26013,4,6.446842
-0.597228,5,6.452307
3.521324,3,6.45646
4.160189,3,6.458055
