#{"t_start": 1752540648.9105728, "env_id": "None"}
r,l,t
19.405278,4,0.010169
3.962933,3,0.046309
12.803027,3,0.076601
25.544645,100,0.23171
0.371508,10,0.241684
3.625867,100,0.325733
6.599544,58,0.377146
10.525221,9,0.384466
8.119875,3,0.390056
1.784298,100,0.47535
6.571122,3,0.47887
6.779258,68,0.556756
6.822357,51,0.600595
5.851521,9,0.609923
4.622996,26,0.631404
6.636582,4,0.635013
6.853073,4,0.641047
0.0,100,0.72794
6.643318,100,0.812739
0.242635,3,0.816166
0.0,100,0.90143
35.223535,3,0.905656
10.074005,4,0.910285
9.429156,3,0.911953
0.0,100,1.000704
7.12566,3,1.011648
2.90716,3,1.015371
0.692048,3,1.020412
9.767604,3,1.02307
0.221858,3,1.0273
7.489017,3,1.055242
12.904546,3,1.058916
23.514179,4,1.064136
29.188228,17,1.078814
-0.308555,53,1.129412
2.742441,34,1.160038
4.622996,3,1.1638
0.479112,73,1.232266
10.080706,44,1.273052
0.0,100,1.362012
6.624127,3,1.365876
15.884384,3,1.369454
-1.0,3,1.372498
0.0,100,1.458681
0.0,100,1.551987
6.328032,3,1.555462
3.508907,100,1.640553
19.446392,3,1.641428
1.698633,100,1.72813
-1.0,22,1.747339
0.0,100,1.832789
9.277533,3,1.836288
2.623336,100,1.934723
0.0,100,2.020026
0.457148,100,2.107541
34.482465,17,2.121984
-1.0,35,2.162345
19.371193,100,2.249265
-1.0,89,2.325202
-1.0,40,2.358545
38.53799,3,2.364193
0.0,100,2.448305
0.212976,3,2.45002
22.454641,3,2.453469
20.35931,3,2.459021
34.115646,100,2.547786
0.0,100,2.632232
3.965606,3,2.635839
14.386099,100,2.722787
-1.0,53,2.76846
24.846906,63,2.821541
29.637829,95,2.900405
0.0,100,2.985462
39.43551,20,3.002647
4.767061,4,3.006309
37.47912,3,3.009736
26.156213,64,3.071858
-1.0,62,3.126862
0.21084,3,3.12867
6.259699,23,3.153275
0.0,100,3.241293
3.698453,8,3.248502
0.0,100,3.333288
23.774044,32,3.360558
40.519724,55,3.41251
0.228411,4,3.416235
0.0,100,3.502655
20.785424,28,3.526794
0.0,100,3.613113
0.228411,3,3.616737
0.0,100,3.701592
0.241502,3,3.70333
16.600541,100,3.790895
29.954754,27,3.814461
6.24045,70,3.874782
37.292863,3,3.87649
40.535314,100,3.96327
9.02907,3,3.966761
-0.313758,4,3.970464
0.0,100,4.05653
0.0,100,4.142988
7.853073,100,4.229485
-0.237043,3,4.23305
39.535314,3,4.236748
4.767061,4,4.242492
38.052675,75,4.305463
24.846906,43,4.343083
-0.237043,3,4.346628
0.0,100,4.434085
41.805359,4,4.437894
-1.0,2,4.439064
0.904489,100,4.526491
0.242635,36,4.560432
6.792665,3,4.563839
2.975613,2,4.566779
5.556932,4,4.570418
36.673745,3,4.573981
10.221225,17,4.590112
19.177713,3,4.603635
39.535314,3,4.605161
0.0,100,4.641622
0.671068,100,4.677622
13.032314,3,4.679125
18.202278,4,4.691263
18.595017,55,4.74052
27.487681,3,4.745
14.524706,4,4.74887
3.235186,100,4.83338
34.482465,3,4.836864
1.539172,21,4.856035
7.134417,100,4.944211
1.266663,57,4.99269
17.977311,77,5.057628
34.482465,3,5.06274
0.684467,61,5.113686
0.21084,3,5.117166
0.0,100,5.207106
7.135506,3,5.212392
41.369529,51,5.257939
7.135506,3,5.259535
0.0,100,5.345362
0.666764,62,5.400728
-0.852549,2,5.401896
6.599544,3,5.405451
-0.595794,75,5.468526
0.211817,3,5.473874
0.651958,3,5.47547
7.549252,3,5.478904
3.175832,5,5.483725
6.259699,30,5.511807
6.624127,4,5.515371
1.036109,3,5.518852
-1.0,36,5.549454
3.249096,7,5.55568
-0.55702,81,5.625229
35.223535,3,5.626816
19.711241,3,5.63022
-1.0,11,5.641357
-1.0,79,5.708652
0.403906,100,5.794833
6.24045,53,5.839222
7.283541,3,5.844194
-1.0,11,5.851733
-1.0,69,5.910694
9.83337,33,5.938469
-1.0,45,5.978791
0.0,100,6.062957
-0.322537,52,6.10727
6.973881,3,6.110708
7.409844,3,6.115669
-0.596094,22,6.133188
7.549252,3,6.136581
0.0,100,6.219521
-1.0,28,6.245181
21.75464,21,6.262355
0.0,100,6.348183
6.875938,100,6.433716
0.0,100,6.522387
7.135506,3,6.525878
0.0,100,6.613429
2.157642,62,6.665476
0.676245,3,6.670541
0.2252,3,6.675591
6.624127,3,6.679019
9.517262,36,6.709137
6.259699,53,6.755678
2.78823,4,6.759664
6.599544,3,6.763343
0.0,100,6.853335
7.58159,3,6.856488
5.875938,56,6.903786
9.12283,3,6.90695
24.50099,60,6.95798
24.846906,4,6.963098
45.908768,3,6.966641
31.489445,33,6.995239
6.571122,3,6.998892
1.036109,3,7.003783
9.96606,3,7.005399
8.892155,38,7.038322
19.711241,3,7.042019
27.369293,54,7.088244
39.405458,56,7.136014
0.781015,100,7.236493
-0.237043,3,7.240441
2.965296,3,7.25744
0.221858,3,7.261447
0.200126,3,7.265402
20.523527,3,7.26881
6.546131,92,7.364388
0.2252,3,7.368014
-1.0,43,7.404805
8.119875,12,7.414861
0.0,100,7.503137
1.706982,100,7.590549
6.956545,43,7.627308
-0.303861,3,7.630815
37.292863,41,7.667326
10.897114,55,7.714727
0.448257,100,7.802874
0.0,100,7.888339
6.401197,100,7.974718
0.894539,100,8.06003
6.328032,3,8.063495
20.681853,96,8.159283
0.234238,14,8.172818
3.392212,78,8.243027
-0.597228,9,8.250589
7.259699,100,8.337705
0.0,100,8.426258
7.409844,3,8.429707
0.210037,3,8.431353
24.656179,58,8.482313
0.0,100,8.570385
44.029056,3,8.573883
0.0,100,8.660193
20.251729,76,8.724613
0.0,100,8.81798
6.853073,21,8.835839
6.279034,46,8.932921
0.750493,100,9.023406
7.58159,27,9.051868
-0.313758,6,9.058226
-1.0,89,9.13326
10.120762,3,9.136715
6.068123,3,9.193973
10.525221,3,9.195472
16.26618,100,9.231681
7.989525,3,9.233646
22.274392,100,9.269812
23.687548,68,9.330512
9.12283,3,9.333992
0.211817,3,9.337517
9.023172,62,9.389501
12.78924,3,9.394067
19.58235,72,9.455167
1.316471,40,9.488874
-1.0,2,9.491917
21.31013,65,9.550601
0.228411,3,9.554829
5.655187,3,9.556477
12.779655,31,9.583142
38.766779,8,9.591662
0.0,100,9.678053
0.2252,3,9.681669
7.283541,3,9.685109
3.994472,22,9.704392
20.291603,100,9.798719
23.358616,4,9.80372
-0.313758,4,9.807977
31.765871,3,9.81298
4.515064,100,9.896853
2.965296,4,9.90049
0.200126,3,9.903932
0.904489,100,9.991037
6.546131,33,10.018528
0.683714,3,10.022024
-1.0,1,10.022665
0.894539,100,10.108378
24.237527,100,10.193756
31.489445,7,10.200424
-1.0,12,10.210093
21.901897,53,10.255549
6.973881,19,10.272901
-1.0,94,10.35203
-1.0,42,10.387784
24.255627,100,10.47382
21.75464,3,10.47548
0.0,100,10.559193
7.490761,3,10.562649
0.147451,100,10.64832
23.358616,4,10.652332
38.53799,4,10.655882
25.445293,3,10.659286
0.228411,3,10.664504
7.409844,3,10.666092
31.489445,17,10.682033
-1.0,60,10.734111
0.645032,3,10.737209
6.820515,4,10.740829
3.142826,3,10.744026
1.2252,100,10.828129
-1.0,14,10.842077
6.401197,100,10.925738
-0.55702,18,10.940038
