#{"t_start": 1752540267.0081542, "env_id": "None"}
r,l,t
30.923877,4,0.01122
4.286547,4,0.021178
-1.0,36,0.194731
1.266663,88,0.285177
0.0,100,0.375226
0.0,100,0.460932
-1.0,1,0.463445
1.666764,100,0.590516
-1.0,68,0.649157
0.578419,3,0.650813
12.31097,4,0.654647
0.0,100,0.740118
9.349477,100,0.825861
0.0,100,0.914649
13.083144,100,1.017768
-0.911449,2,1.021036
0.772225,100,1.143059
10.221225,66,1.214593
0.0,100,1.305093
0.0,100,1.393405
19.755646,42,1.431337
0.0,100,1.51686
1.377318,77,1.584739
19.828135,80,1.653053
0.0,100,1.763559
46.031879,4,1.767627
35.941456,81,1.836989
0.0,100,1.922888
-0.618054,2,1.926762
-0.163678,5,1.93119
13.938819,50,1.974875
13.781548,48,2.016577
0.0,100,2.10488
12.409636,4,2.108541
2.86481,2,2.109662
0.0,100,2.211309
0.0,100,2.296555
0.0,100,2.379777
0.0,100,2.465449
4.637024,4,2.469476
5.231959,7,2.476769
59.14199,4,2.480721
-0.227775,2,2.481827
2.989274,2,2.48496
0.0,100,2.568519
4.637024,4,2.572424
-0.911449,2,2.573532
23.505809,4,2.577474
59.389386,4,2.582058
0.0,100,2.666845
17.884832,5,2.672474
1.395525,4,2.676332
3.64699,2,2.678207
48.644651,4,2.682034
0.0,100,2.767283
4.311582,4,2.771219
3.557905,8,2.779231
0.0,100,2.862994
26.99844,4,2.866975
0.772225,100,3.018548
66.714534,20,3.038075
50.551604,4,3.042066
22.410395,3,3.045499
-1.0,13,3.062975
-0.249507,57,3.143386
2.946662,3,3.146906
12.617703,4,3.151249
-1.0,3,3.154768
0.0,100,3.275747
68.609665,5,3.285083
63.121448,4,3.289063
19.755646,4,3.293037
-0.911449,2,3.298222
63.121448,4,3.302117
-1.0,8,3.309385
1.162363,2,3.310606
13.781548,16,3.334632
66.46482,23,3.356914
2.86481,2,3.357838
63.121448,4,3.361912
1.162363,2,3.383039
-1.0,55,3.458905
1.162363,2,3.460127
49.330765,5,3.469785
-1.0,1,3.474537
0.156918,3,3.476237
54.108707,4,3.480315
-1.0,13,3.493131
