#{"t_start": 1752540439.9305167, "env_id": "None"}
r,l,t
6.726686,4,0.012215
0.0,100,0.218644
-1.0,91,0.302011
0.695602,100,0.393668
22.204942,100,0.568682
-0.595794,33,0.599848
41.777726,100,0.69506
1.373647,4,0.699571
20.389223,35,0.735138
0.212691,78,0.8076
0.233513,74,0.882221
6.638411,3,0.886081
0.0,100,0.982173
0.0,100,1.115227
2.056723,3,1.119415
20.389223,43,1.154821
34.981854,5,1.161057
41.036507,100,1.264355
7.775078,100,1.362094
4.687219,18,1.378606
13.741791,9,1.386512
-0.228168,4,1.391866
41.036507,100,1.481679
41.036507,100,1.576917
0.0,100,1.662519
2.721319,67,1.722533
6.59224,3,1.725995
0.0,100,1.812836
-0.235589,4,1.816908
38.076515,100,1.903968
38.817655,100,1.991594
-0.235589,5,1.995857
-0.595794,94,2.086529
2.760269,42,2.121672
38.846102,15,2.136955
4.687219,3,2.140354
4.687219,3,2.141932
19.135149,5,2.148773
0.0,100,2.239738
20.154409,100,2.324691
37.076515,6,2.329257
20.389223,42,2.366524
0.0,100,2.455539
-1.0,15,2.467659
12.452367,3,2.471202
-1.0,23,2.491987
0.0,100,2.576747
29.030226,3,2.580182
1.03541,3,2.581794
40.036507,90,2.66549
20.265293,4,2.669159
39.846102,100,2.753042
34.981854,4,2.757155
0.0,100,2.842178
37.613956,84,2.91468
-1.0,28,2.938553
1.245631,5,2.942898
40.867011,30,2.969937
1.661081,100,3.054279
6.931133,4,3.057981
21.115578,100,3.143347
0.0,100,3.227783
6.638411,66,3.284478
7.732908,100,3.367989
-0.242274,2,3.370948
0.0,100,3.457344
2.760269,4,3.461379
28.436001,3,3.462966
29.180895,3,3.466394
34.981854,8,3.474573
40.867011,22,3.494792
42.699279,100,3.581185
1.03541,3,3.582801
20.154409,100,3.668981
1.228723,100,3.754083
24.79234,3,3.757536
0.0,100,3.841983
1.03541,3,3.846285
39.762475,27,3.869807
0.0,100,3.953552
-0.224462,4,3.957668
10.475623,3,3.960119
0.0,100,4.048563
13.420363,3,4.051983
7.678917,80,4.120391
-0.243407,2,4.124227
0.0,100,4.209179
-1.0,39,4.24139
3.100265,37,4.274287
0.0,100,4.362047
34.981854,4,4.366069
0.0,100,4.452047
41.631805,100,4.536522
2.388519,25,4.558376
-1.0,94,4.638483
17.764804,2,4.705683
0.0,100,4.741272
0.0,100,4.776672
0.0,100,4.812167
0.0,100,4.847567
0.0,100,4.940932
0.233664,3,4.944518
-1.0,94,5.031473
0.233664,3,5.033226
-1.0,8,5.039865
0.115926,5,5.047968
1.03541,3,5.051114
6.931133,10,5.061141
-0.224462,5,5.065348
0.660316,34,5.095994
40.45125,3,5.098814
40.777726,21,5.118082
7.775078,100,5.204886
19.135149,14,5.215998
37.613956,4,5.221563
37.419678,3,5.226897
6.638411,3,5.230503
9.440188,3,5.232116
1.03541,3,5.236989
0.430031,95,5.319002
-1.0,11,5.329166
0.115926,5,5.334383
-1.0,97,5.419203
17.921399,5,5.423284
6.59224,3,5.426731
37.613956,4,5.430792
