#{"t_start": 1752540590.3176365, "env_id": "None"}
r,l,t
1.294393,4,0.014083
22.219497,4,0.022156
0.0,100,0.258642
0.0,100,0.369497
0.0,100,0.474633
14.776989,100,0.579831
1.645032,100,0.672111
32.065751,39,0.718837
1.417674,22,0.744152
0.625052,5,0.749287
0.0,100,0.85783
7.185302,100,0.964621
3.429601,92,1.096732
3.195387,21,1.122335
0.0,100,1.224269
0.0,100,1.312089
53.313913,16,1.329422
29.233809,100,1.411695
1.645032,100,1.496285
15.270199,100,1.582823
19.062922,100,1.680959
39.185457,91,1.782554
19.558618,38,1.817677
0.479112,97,1.927231
0.0,100,2.028779
21.555068,32,2.060972
4.739271,100,2.16647
0.0,100,2.25182
15.259933,92,2.331844
69.477321,4,2.335597
32.182663,28,2.361017
0.0,100,2.471051
40.198798,4,2.475165
53.702975,64,2.539038
0.0,100,2.642754
-1.0,27,2.66659
1.679807,100,2.775125
-0.595794,12,2.787855
54.491945,4,2.79345
32.272245,4,2.798645
0.0,100,2.905817
26.966322,100,3.011724
22.327204,4,3.018105
0.0,100,3.114681
0.0,100,3.215922
0.0,100,3.32891
1.465075,4,3.335586
20.018776,3,3.340215
27.010838,5,3.345963
-1.0,40,3.391605
23.218023,100,3.501509
-1.0,63,3.569577
0.0,100,3.676647
0.0,100,3.784674
0.0,100,3.898449
55.043512,4,3.903645
0.0,100,4.004526
21.521519,4,4.008467
46.213935,4,4.013321
0.0,100,4.119084
-1.0,88,4.213428
21.294199,100,4.327439
22.557283,5,4.333662
0.0,100,4.44401
0.0,100,4.544375
11.465883,100,4.639
27.975892,4,4.645286
0.0,100,4.759997
0.0,100,4.867504
22.499052,4,4.872862
20.018776,3,4.878727
1.479607,4,4.883899
0.0,100,5.024945
0.894539,100,5.121677
31.365238,5,5.126907
37.675732,100,5.255737
32.497202,4,5.260979
3.429601,26,5.291146
-0.670258,8,5.303098
-0.634557,82,5.393159
0.0,100,5.507889
0.0,100,5.552186
0.0,100,5.588961
0.0,100,5.62529
33.790112,4,5.6273
-1.0,1,5.639173
