#{"t_start": 1752540708.420785, "env_id": "None"}
r,l,t
63.623379,4,0.010641
0.167516,4,0.026382
0.0,100,0.219532
9.631051,100,0.321618
0.0,100,0.409527
0.0,100,0.495182
31.85941,4,0.499519
19.005555,4,0.503457
21.110696,21,0.545406
6.784657,100,0.63629
33.923468,4,0.640253
26.393585,4,0.644144
1.660316,100,0.729114
0.0,100,0.813583
-1.0,1,0.814304
0.952766,3,0.81773
-1.0,64,0.872393
21.762863,95,0.952781
4.631154,73,1.022324
65.174951,91,1.150923
1.817981,23,1.181571
11.69983,100,1.270447
-0.379068,87,1.348863
4.932402,54,1.450178
3.539641,54,1.498411
3.605017,40,1.532968
7.635627,55,1.580889
1.660316,100,1.666862
19.022506,100,1.753921
-1.0,75,1.817684
11.086096,23,1.837878
2.327256,49,1.879128
0.0,100,1.97526
5.695697,27,2.000452
8.453028,100,2.092836
37.984395,71,2.162447
2.62822,100,2.252473
6.278701,100,2.342692
0.0,100,2.438024
4.704697,100,2.52475
1.431799,100,2.611406
0.956472,3,2.615039
7.688903,100,2.703872
1.466518,23,2.722598
0.991459,100,2.818928
24.427554,17,2.836742
19.762991,4,2.841029
4.213918,13,2.853968
30.072662,100,2.948205
2.447269,20,2.966519
1.818886,4,2.970424
21.036528,71,3.031065
-1.0,2,3.03316
32.096966,4,3.037129
0.0,100,3.122922
-1.0,27,3.146411
56.880057,37,3.179332
10.93068,11,3.189321
-0.127291,2,3.190494
5.129741,3,3.193701
1.382912,17,3.20882
4.951649,100,3.296449
83.218503,48,3.340454
3.0369,26,3.364753
-0.583496,56,3.414332
77.549242,18,3.429682
7.214015,100,3.516824
54.322897,4,3.52099
19.112678,19,3.539719
4.932402,78,3.60958
5.642125,100,3.697167
0.0,100,3.783103
4.932402,4,3.788265
14.67147,5,3.792501
15.520303,3,3.795957
16.167141,100,3.885039
0.0,100,3.974469
37.634105,4,3.978498
-1.0,2,3.979714
33.872038,100,4.06758
16.484086,100,4.156093
19.049651,15,4.170067
0.0,100,4.256195
20.076454,100,4.341838
1.692048,100,4.428171
34.793334,20,4.445927
0.0,100,4.53151
-1.0,33,4.559074
0.0,100,4.646854
-1.0,4,4.650377
17.088577,4,4.654366
32.712319,5,4.658822
24.261812,4,4.663562
33.51234,4,4.667448
40.664861,3,4.670893
-1.0,2,4.67366
58.380984,5,4.678809
-1.0,2,4.680009
-1.0,7,4.686602
11.372638,100,4.753316
7.397007,100,4.789239
0.0,100,4.824645
0.0,100,4.860246
4.0369,100,4.895646
3.0369,11,4.913371
6.025317,4,4.918015
39.432346,4,4.922023
28.855668,4,4.925954
-0.591135,3,4.929064
-1.0,61,4.983214
0.645651,45,5.021445
-1.0,89,5.10152
0.0,100,5.186719
1.479607,94,5.267272
0.0,100,5.354553
17.75274,6,5.360888
6.415679,3,5.362336
32.006271,4,5.367864
17.912478,87,5.442436
0.0,100,5.528348
-1.0,6,5.534615
0.620932,100,5.627763
0.0,100,5.714098
-1.0,20,5.731674
11.311304,9,5.739101
36.675763,9,5.748615
60.222148,4,5.752637
0.753666,100,5.838305
0.0,100,5.924884
34.88159,44,5.965223
3.0369,3,5.968861
-1.0,2,5.969683
4.357122,16,5.984291
1.645032,100,6.074672
7.491638,4,6.078417
3.170142,62,6.132254
-1.0,63,6.186645
14.67147,4,6.192541
-0.212441,33,6.220407
4.518208,5,6.22493
23.84914,5,6.229034
19.873641,4,6.23465
0.0,100,6.320448
-1.0,41,6.356613
45.252206,4,6.360556
0.0,100,6.446194
0.0,100,6.531769
0.0,100,6.618125
0.0,100,6.703525
66.767734,4,6.709118
6.801134,3,6.710844
-1.0,48,6.752623
11.248024,100,6.839598
2.023509,2,6.844328
0.730513,100,6.929742
18.38379,4,6.933698
33.51234,4,6.937585
0.865667,100,7.027894
2.416067,100,7.111684
0.0,100,7.198224
-1.0,32,7.225238
-0.583496,51,7.269202
23.069528,100,7.357523
4.365085,100,7.441908
-1.0,47,7.48058
10.67453,100,7.568666
0.0,100,7.653332
-1.0,5,7.659374
33.211141,4,7.663311
26.97783,4,7.668758
0.365443,100,7.782241
1.479607,64,7.83702
0.952766,3,7.8387
20.30735,10,7.850283
0.0,100,7.952769
-1.0,88,8.027511
7.281869,4,8.031478
36.251742,30,8.056866
0.109569,3,8.060335
0.0,100,8.147149
30.818039,4,8.151104
4.570188,5,8.157157
0.0,100,8.245208
8.208579,91,8.323302
4.453362,4,8.327258
3.920897,4,8.3327
3.500293,50,8.377933
7.635627,5,8.382062
82.175315,4,8.38599
9.544188,4,8.391346
30.634059,5,8.395456
-0.134333,27,8.418577
5.110616,3,8.422137
19.446392,2,8.424431
-1.0,73,8.487229
0.0,100,8.574154
42.127635,5,8.580306
11.086096,2,8.582976
5.981647,2,8.585917
34.604655,4,8.5898
44.409722,5,8.593904
25.304799,42,8.646091
8.73661,100,8.72929
13.053993,5,8.73547
3.668301,5,8.73951
1.417674,4,8.744874
17.6417,4,8.748854
42.410985,4,8.75272
6.721473,4,8.756596
1.817981,4,8.761877
-1.0,23,8.782267
30.601247,9,8.789737
-1.0,1,8.790393
23.78319,4,8.795662
1.416144,4,8.799735
0.0,100,8.884908
18.270566,4,8.888974
-1.0,1,8.891185
1.417674,4,8.895187
0.127329,5,8.901237
1.416144,4,8.905108
30.601247,16,8.920504
1.817981,4,8.924623
0.0,100,9.00925
25.578825,5,9.013805
23.501668,4,9.019363
23.082515,4,9.02329
-1.0,51,9.068416
45.490541,4,9.072608
-0.008541,4,9.07826
7.281869,4,9.082296
0.0,100,9.168993
3.668301,4,9.173022
28.884501,4,9.178627
1.355564,4,9.182586
22.289761,4,9.18677
0.0,100,9.273147
17.6417,5,9.278903
15.973751,4,9.363609
30.823674,4,9.365613
12.621037,100,9.402089
0.0,100,9.437775
3.014967,5,9.440258
16.477927,4,9.451088
37.133124,4,9.455215
0.109569,3,9.458735
0.0,100,9.550409
7.145236,4,9.555286
8.453028,100,9.642421
61.695718,4,9.64645
61.695718,4,9.651883
-1.0,61,9.704083
2.547249,82,9.777218
8.497936,93,9.858782
12.309929,3,9.863852
4.343861,61,9.916558
-1.0,1,9.917287
31.582545,4,9.921251
7.132115,4,9.92695
21.019378,4,9.930854
-0.246334,92,10.01201
48.782256,4,10.01611
29.882572,21,10.036995
1.625052,100,10.123241
47.64567,4,10.127306
-0.583496,22,10.14752
19.484186,2,10.153519
0.0,100,10.241095
5.278701,5,10.245808
3.664147,40,10.309682
32.337632,4,10.314587
67.380608,4,10.318577
-1.0,1,10.319214
-1.0,1,10.319836
2.382347,6,10.326594
0.0,100,10.412588
0.661081,42,10.450875
0.0,100,10.53764
0.0,100,10.624254
12.718875,100,10.712068
-1.0,1,10.714702
29.566614,5,10.71891
31.651138,4,10.724189
