#{"t_start": 1752540219.4204261, "env_id": "None"}
r,l,t
0.0,100,0.231056
5.134588,30,0.259418
29.148906,3,0.262828
11.899808,3,0.264453
20.207185,3,0.267638
23.095176,3,0.271796
0.0,100,0.359602
3.583251,4,0.363293
5.349546,3,0.367243
4.167092,3,0.370131
0.0,100,0.457529
5.444027,51,0.504872
12.450628,3,0.50848
24.378163,6,0.551405
5.444027,51,0.600006
30.131496,36,0.631218
0.0,100,0.71759
-1.0,26,0.742037
0.0,100,0.828089
0.0,100,0.916634
0.0,100,1.002875
0.370325,100,1.118187
-0.239935,4,1.122239
29.999216,33,1.150675
30.847132,3,1.154122
24.714839,3,1.15657
30.156817,4,1.160154
35.530542,61,1.213253
0.0,100,1.300394
-1.0,34,1.334018
4.155808,4,1.338068
3.583251,3,1.341432
5.008006,56,1.388234
18.313972,3,1.392459
2.638431,25,1.413634
4.203662,3,1.417322
4.930368,5,1.421515
-0.313758,3,1.425672
-0.597228,2,1.426829
0.0,100,1.513019
6.682246,3,1.516478
-1.0,30,1.541888
10.5502,3,1.54529
0.0,100,1.636085
6.900509,3,1.639539
-1.0,12,1.650925
30.062531,7,1.657529
10.641947,4,1.661086
0.995115,100,1.744931
11.899808,3,1.747469
2.638431,3,1.75091
-1.0,1,1.751545
30.042277,5,1.769355
4.923984,44,1.807017
1.640017,2,1.808136
7.280035,3,1.811593
0.0,100,1.895738
28.41596,3,1.899997
-1.0,41,1.933767
0.429748,39,1.96763
37.771926,3,1.969342
8.028486,35,2.00012
3.583251,3,2.003558
2.832831,4,2.007375
6.214835,17,2.021407
10.306489,100,2.1079
4.860015,100,2.192251
0.0,100,2.277656
2.723223,3,2.281133
3.597851,4,2.285941
32.573747,3,2.289361
11.665548,2,2.290527
5.349546,4,2.294447
7.683547,3,2.298488
-0.313758,3,2.301897
-0.211143,7,2.306403
26.346694,100,2.392916
18.705223,3,2.397218
-1.0,1,2.397862
5.202705,3,2.40127
8.655807,100,2.485403
30.131496,4,2.490285
2.618189,2,2.4932
0.400341,4,2.496788
21.05177,3,2.498411
2.618189,2,2.502091
30.131496,4,2.506228
9.240618,17,2.520449
6.853073,3,2.523909
-0.274713,3,2.527979
6.682246,3,2.529555
-0.313758,3,2.533038
7.915705,2,2.535957
0.429748,37,2.567313
2.832831,4,2.571083
6.682246,3,2.574499
0.0,100,2.66767
-0.274713,3,2.670161
-1.0,84,2.740851
-1.0,1,2.743311
14.393258,34,2.770801
5.444027,3,2.77504
0.0,100,2.860201
-1.0,1,2.860882
5.349546,4,2.864824
0.0,100,2.952446
6.853073,4,2.956202
3.583251,3,2.959614
6.682246,3,2.963024
6.682246,3,2.96542
16.696593,8,2.972671
0.0,100,3.060802
8.202152,3,3.064285
8.689245,40,3.100151
24.714839,3,3.103588
5.58908,73,3.164946
8.759343,100,3.248812
-1.0,1,3.25044
-1.0,32,3.277066
-1.0,1,3.279519
-1.0,1,3.280157
0.0,100,3.36561
8.013666,12,3.375514
41.796118,4,3.379335
10.460612,4,3.383341
7.280035,27,3.407796
5.04484,76,3.471886
49.391942,3,3.473487
0.0,100,3.559325
-1.0,1,3.562693
30.483931,13,3.574521
-1.0,1,3.575157
-1.0,1,3.575774
30.601247,3,3.580437
0.0,100,3.6661
-1.0,60,3.71734
3.583251,3,3.720572
2.723223,3,3.7249
-1.0,1,3.72554
16.696593,11,3.735397
0.0,100,3.819075
8.202152,3,3.821606
5.769489,3,3.824891
0.0,100,3.910797
0.0,100,3.996655
-1.0,98,4.080739
8.261415,33,4.108395
-0.438995,58,4.158909
5.008006,6,4.165313
3.458896,3,4.169261
-1.0,1,4.169903
4.167092,4,4.173537
17.475815,100,4.258416
21.938744,19,4.34671
3.442858,51,4.389586
20.207185,26,4.412413
5.008006,3,4.41583
3.102866,3,4.41829
5.008006,3,4.421694
35.136894,41,4.455634
0.0,100,4.540009
0.0,100,4.627283
30.483931,3,4.630759
15.599848,4,4.634559
0.0,100,4.703639
2.832831,4,4.70553
5.008006,3,4.707046
11.79237,100,4.742308
1.640017,2,4.743412
15.447509,3,4.754079
0.0,100,4.839345
9.134478,3,4.842839
39.676354,70,4.902151
0.512117,92,4.979563
-0.152423,38,5.014432
0.0,100,5.099805
11.665548,16,5.113621
5.004057,3,5.117028
7.4198,3,5.12013
-1.0,23,5.1395
-0.000901,2,5.142238
5.004057,3,5.143836
-1.0,1,5.147629
5.444027,6,5.152276
2.756792,39,5.187109
0.115234,3,5.190232
0.0,100,5.277515
30.131496,3,5.279212
3.860015,46,5.321061
20.207185,3,5.324614
0.0,100,5.41134
15.447509,3,5.413001
19.691514,3,5.416438
56.023335,52,5.463461
3.581717,4,5.468781
4.203662,3,5.472276
8.329524,100,5.561026
23.653719,73,5.622092
15.447509,3,5.627101
1.894406,2,5.628236
3.420238,3,5.631937
7.280035,3,5.63545
29.999216,4,5.640393
0.0,100,5.727062
20.909018,3,5.730307
-1.0,43,5.766832
0.0,100,5.853336
-1.0,34,5.88276
24.378163,83,5.955318
-1.0,23,5.973593
3.102866,3,5.978716
2.618189,2,5.981753
7.915705,2,5.982941
1.894406,2,5.985857
0.0,100,6.074053
-1.0,3,6.075336
1.640017,2,6.078579
24.882883,46,6.117606
29.999216,3,6.122757
0.0,100,6.206761
1.540867,51,6.251082
1.894406,2,6.252234
3.597851,4,6.257808
6.582795,38,6.29176
8.392772,3,6.295182
0.370325,100,6.51355
0.127329,11,6.627572
3.28968,100,6.714419
2.564863,3,6.717854
35.760238,3,6.721326
6.853073,3,6.725345
5.004057,3,6.726962
-0.239935,4,6.730863
-0.239935,4,6.734771
1.331159,3,6.73897
4.326829,20,6.756276
4.203662,3,6.759677
3.28968,100,6.844089
5.55031,3,6.848475
3.832831,100,6.934024
40.603301,3,6.935687
3.581717,3,6.939146
25.641355,3,6.943537
29.727968,3,6.947029
0.0,100,7.032299
7.643069,12,7.043716
7.206077,4,7.048367
15.447509,3,7.049979
11.665548,3,7.053416
6.362,100,7.13897
3.832831,100,7.226346
0.0,100,7.350693
4.860015,100,7.439378
15.705546,100,7.527197
0.370325,100,7.616117
2.703796,2,7.619154
3.583251,3,7.620742
32.148847,55,7.670196
30.156817,3,7.674675
3.583251,3,7.678086
32.130501,3,7.67975
1.640017,2,7.682749
1.331159,3,7.686853
21.044368,3,7.688439
-1.0,1,7.690958
3.583251,3,7.692556
0.0,100,7.779779
2.824606,3,7.783347
35.631824,42,7.822748
4.326829,3,7.824143
4.203662,3,7.828459
7.915705,2,7.831406
0.0,100,7.918126
7.280035,3,7.919783
1.625052,100,8.008007
-1.0,91,8.088284
15.587342,3,8.091766
29.999216,3,8.09543
4.505657,89,8.172844
8.655807,100,8.260217
3.102866,3,8.263745
41.796118,4,8.267629
-1.0,34,8.296213
3.583251,3,8.299682
33.448827,75,8.364995
31.772522,3,8.366658
4.563963,8,8.374559
3.597851,4,8.378213
11.665548,12,8.388723
0.127329,3,8.392251
-1.0,31,8.422904
-1.0,1,8.423564
4.167092,3,8.427007
3.442858,14,8.438305
21.001212,3,8.442798
0.0,100,8.528156
0.0,100,8.613122
1.894406,2,8.616194
4.134282,100,8.705594
-1.0,50,8.747243
21.044368,3,8.750724
19.203897,4,8.754773
0.0,100,8.840081
2.618189,2,8.84125
-1.0,1,8.843714
3.102866,3,8.845322
-1.0,1,8.84859
19.691514,3,8.85028
3.583251,3,8.853673
5.774813,30,8.880209
7.67421,45,8.920122
7.474863,3,8.923547
0.0,100,9.010202
-1.0,16,9.024167
-1.0,86,9.101194
7.329524,6,9.107812
0.0,100,9.195021
9.078085,100,9.309773
4.155808,20,9.328504
5.240196,3,9.330141
6.662228,3,9.333536
-0.152423,54,9.38009
2.646471,67,9.437639
-0.274713,3,9.456661
0.0,100,9.492098
3.875615,100,9.528
2.866439,3,9.52958
6.853073,3,9.531102
29.783388,4,9.537341
6.86943,3,9.540905
6.853073,3,9.544472
1.331159,3,9.548736
35.136894,5,9.554336
-1.0,76,9.61922
39.676354,3,9.62273
5.774813,23,9.642777
-1.0,22,9.662515
29.692952,3,9.666119
7.925163,3,9.66775
7.264841,3,9.674344
24.378163,3,9.677813
2.646471,2,9.67899
15.587342,4,9.682649
0.127329,3,9.688003
3.583251,3,9.691472
3.923016,3,9.695173
32.685946,3,9.696774
0.0,100,9.783448
4.923984,5,9.78941
-1.0,78,9.856282
-1.0,37,9.887259
0.0,100,9.973155
0.0,100,10.121773
-0.274713,3,10.125348
0.0,100,10.215034
46.603589,4,10.220889
-1.0,3,10.224019
1.540867,2,10.22513
12.745114,100,10.312412
6.055673,3,10.31745
3.657,5,10.321392
4.691479,3,10.324841
-1.0,80,10.39458
2.832831,4,10.399983
4.860015,100,10.487431
12.745114,100,10.577814
9.240618,22,10.598037
9.134478,3,10.601203
3.404398,3,10.60464
29.403281,3,10.608064
-0.634557,4,10.611742
1.640017,2,10.61419
3.388946,4,10.618167
0.0,100,10.705681
15.266579,4,10.709748
5.774813,4,10.715039
-1.0,80,10.784459
7.280035,3,10.788104
6.853073,4,10.791714
24.019766,3,10.796565
2.723223,3,10.800069
0.0,100,10.886463
30.131496,3,10.888097
4.203662,3,10.893011
3.583251,3,10.896432
-0.540435,39,10.92975
2.666616,67,10.984519
30.601247,3,10.989477
8.202152,3,10.993111
0.0,100,11.082156
0.000982,2,11.083357
4.203662,3,11.088272
8.202152,3,11.091753
0.0,100,11.177053
28.966359,3,11.180542
3.583251,3,11.183699
5.774813,4,11.187531
-0.212441,2,11.190499
0.0,100,11.275916
-0.540435,15,11.291121
5.444027,3,11.29274
5.55031,3,11.296191
20.207185,3,11.299618
3.581717,3,11.304436
3.583251,3,11.306056
29.999216,3,11.309547
-0.212441,3,11.312689
5.444027,3,11.317435
23.653719,74,11.380152
0.730513,100,11.46502
6.582795,3,11.468489
0.370325,100,11.55507
0.0,100,11.63972
42.10506,3,11.64323
15.587342,3,11.644835
35.136894,3,11.649954
18.518992,3,11.653439
3.102866,3,11.657273
-1.0,77,11.721824
-1.0,82,11.793754
-0.239935,3,11.797187
5.774813,4,11.801018
18.518992,35,11.831398
0.0,100,11.917022
0.859714,9,11.924011
2.832831,25,11.944734
2.723223,3,11.948174
-0.212441,2,11.95399
30.483931,3,11.955609
4.802519,100,12.040291
19.313972,100,12.126363
5.444027,3,12.131435
4.203662,3,12.134897
5.774813,4,12.139093
-1.0,62,12.190209
0.0,100,12.27826
5.803814,4,12.281904
37.496631,3,12.285273
3.442858,2,12.288298
25.864961,3,12.291612
39.018731,3,12.295305
12.178553,4,12.298907
55.015746,4,12.302569
35.136894,3,12.307383
23.361973,3,12.310842
6.840611,52,12.356185
0.0,100,12.443795
20.473101,3,12.447281
-1.0,25,12.469755
3.479158,2,12.470925
31.772522,3,12.474527
7.755473,3,12.479312
4.110408,3,12.480929
31.725832,3,12.484494
-1.0,26,12.507724
0.0,100,12.597844
0.859714,2,12.598891
-1.0,12,12.609102
24.378163,4,12.61313
3.923016,12,12.626199
2.866439,76,12.697006
-1.0,81,12.766054
29.999216,3,12.769743
3.600306,3,12.775172
6.853073,4,12.779394
2.564863,3,12.78315
2.832831,4,12.787091
0.000982,2,12.789598
6.860192,50,12.834999
6.853073,4,12.839129
39.019472,3,12.840718
0.0,100,12.93049
0.0,100,13.017518
8.655807,100,13.103305
0.0,100,13.194728
7.474863,3,13.199869
24.882883,3,13.203391
27.064537,3,13.20694
13.885444,70,13.26705
26.146213,3,13.272066
3.597851,71,13.336206
-0.211143,4,13.34
-1.0,52,13.386746
2.832831,3,13.390024
2.618189,2,13.393074
3.102866,3,13.396609
18.518992,4,13.400428
35.136894,3,13.403533
-1.0,21,13.423254
39.018731,3,13.424888
-1.0,12,13.435241
5.660598,4,13.440531
3.479158,2,13.443579
5.774813,4,13.447511
11.42907,100,13.534003
2.618189,2,13.5368
5.444027,4,13.540896
42.791689,3,13.544338
6.840611,3,13.547785
2.723223,3,13.55268
-1.0,35,13.581661
-0.313758,3,13.585107
0.0,100,13.674744
40.603301,4,13.68011
15.599848,4,13.684253
0.0,100,13.774947
24.378163,4,13.779184
-1.0,1,13.781292
-0.211143,3,13.784855
28.073197,3,13.788462
-1.0,42,13.824486
15.584446,3,13.829388
2.866439,4,13.833215
-1.0,39,13.868263
29.999216,3,13.871725
2.866439,4,13.87692
-1.0,66,13.932604
12.392313,2,13.935547
21.938744,3,13.937183
2.618189,2,13.941853
4.203662,3,13.945053
-1.0,94,14.027611
26.146213,3,14.031245
0.0,100,14.110837
26.528456,3,14.112373
2.723223,3,14.113873
7.755473,3,14.115394
3.479158,2,14.116422
5.660598,4,14.12794
-1.0,61,14.183938
0.0,100,14.270034
4.167416,3,14.271722
6.853073,5,14.278691
8.655807,100,14.36498
3.860015,4,14.368828
5.774813,4,14.372653
0.0,100,14.475732
3.388946,3,14.477415
0.0,100,14.562533
14.209185,3,14.565963
10.660005,3,14.570266
2.564863,3,14.57366
0.0,100,14.65798
5.004057,3,14.659639
7.329524,16,14.674616
0.0,100,14.759509
13.78958,3,14.763031
19.16729,5,14.767215
-0.629675,37,14.802454
5.240196,3,14.804059
38.521145,3,14.807471
-0.239935,13,14.818227
9.134478,3,14.822364
7.280035,5,14.826493
4.155808,4,14.83043
17.737492,3,14.834049
-1.0,26,14.857862
23.25604,3,14.859502
0.0,100,14.944665
7.683547,3,14.948145
12.234683,3,14.952668
44.333325,4,14.956349
15.447509,3,14.959763
2.723223,3,14.96139
5.202705,3,14.96547
30.483931,3,14.968891
4.203662,4,14.972471
4.249096,100,15.056301
3.404398,3,15.060533
45.003412,4,15.064389
-0.313758,3,15.066021
15.599848,4,15.069987
4.860015,100,15.155376
7.329524,24,15.175982
0.0,100,15.261942
6.682246,4,15.266122
10.351641,3,15.270444
2.564863,3,15.273849
2.723223,3,15.277326
0.0,100,15.362006
4.802519,100,15.445944
-0.239935,3,15.447621
15.447509,3,15.451082
13.487596,3,15.454812
12.759256,4,15.459694
18.518992,3,15.463103
8.655807,100,15.547864
6.662228,3,15.549502
2.618189,2,15.55437
29.999216,12,15.565177
18.518992,3,15.568643
13.608238,3,15.57025
6.214835,3,15.574337
1.398304,3,15.57777
22.59647,3,15.581186
-0.239935,3,15.582819
3.404398,3,15.586909
30.131496,4,15.590922
6.853073,4,15.594891
13.608238,3,15.598303
-1.0,1,15.599625
13.23656,5,15.603803
-1.0,62,15.656453
-1.0,29,15.680513
6.682246,4,15.685224
0.0,100,15.770135
0.0,100,15.855258
5.349546,4,15.859281
-1.0,47,15.899525
8.673893,3,15.902986
39.019472,3,15.904572
51.263381,3,15.907982
2.723223,4,15.912337
-1.0,55,15.958516
2.646471,2,15.959641
2.866439,3,15.96317
6.214835,3,15.967309
13.487596,3,15.970807
30.062531,8,15.977826
3.420238,3,15.97965
-0.313758,4,15.983974
5.240196,3,15.987433
-0.239935,3,15.99084
15.608617,2,15.991727
0.000982,2,15.995316
15.599848,4,15.999315
25.63608,3,16.002727
3.581717,3,16.004301
2.866439,59,16.058293
0.0,100,16.142916
7.329524,4,16.147021
7.865402,3,16.15047
24.378163,4,16.155329
-1.0,1,16.155968
7.915705,2,16.158964
42.791689,3,16.160545
37.291658,3,16.164846
0.0,100,16.249219
0.0,100,16.33498
6.682246,4,16.339052
4.802519,100,16.423988
0.370325,100,16.510092
4.152765,3,16.513554
2.703796,51,16.557745
6.582795,3,16.560251
0.0,100,16.644767
-1.0,72,16.736592
-1.0,1,16.74047
3.102866,3,16.743044
0.0,100,16.829382
10.460612,3,16.832851
23.551974,3,16.836298
17.704662,17,16.851034
3.404398,3,16.854788
4.203662,3,16.858181
3.458896,2,16.859324
2.564863,3,16.863445
6.601121,3,16.867252
15.996198,3,16.868611
0.0,100,16.953434
2.866439,3,16.957789
0.0,100,17.043878
2.618189,2,17.046958
39.019472,3,17.048548
7.915705,2,17.052287
-1.0,7,17.058943
0.370325,100,17.143734
19.16729,3,17.145667
0.0,100,17.233213
5.774813,28,17.257354
35.867034,4,17.261047
0.0,100,17.346607
6.853073,4,17.351533
15.599848,4,17.355832
3.657,2,17.358802
13.608238,3,17.362174
5.774813,4,17.366865
6.853073,5,17.371135
6.582795,3,17.374681
0.0,100,17.460277
22.59647,3,17.462806
-0.211143,95,17.544508
24.714839,70,17.604874
22.656828,4,17.608523
2.646471,2,17.610556
18.518992,3,17.624949
8.364951,8,17.632925
15.599848,4,17.636935
3.442858,2,17.638794
5.730464,3,17.642378
3.479158,2,17.645586
26.632577,3,17.647217
-1.0,18,17.66396
0.0,100,17.747916
0.0,100,17.832252
0.000982,3,17.835459
7.474863,3,17.837939
7.755473,3,17.841336
-1.0,79,17.909236
18.518992,4,17.912955
13.739712,3,17.917202
24.217795,3,17.918847
0.0,100,18.008738
0.0,100,18.096824
17.475815,100,18.181195
0.0,100,18.265317
8.364951,22,18.288015
23.551974,3,18.291465
9.650799,3,18.293977
6.682246,4,18.297927
18.518992,3,18.301358
1.640017,2,18.304326
5.240196,3,18.306643
3.581717,3,18.310048
4.152765,3,18.313475
6.662228,3,18.316891
5.04484,3,18.319179
5.410902,3,18.322632
7.755473,3,18.326257
15.447509,3,18.329835
2.840823,100,18.415383
13.487596,3,18.417085
21.001212,3,18.420598
2.866439,3,18.424161
5.81907,24,18.445163
4.249096,100,18.531225
3.442858,2,18.532405
4.203662,3,18.535839
15.599848,4,18.540938
24.869549,3,18.560556
3.404398,3,18.562073
7.925163,3,18.563618
5.349546,4,18.565592
7.4198,3,18.567102
22.822114,3,18.576863
3.102866,3,18.580855
-0.239935,3,18.584418
-1.0,47,18.62347
0.0,100,18.707177
2.866439,15,18.722343
6.601121,3,18.725777
4.326829,3,18.730788
12.392313,2,18.73191
3.442858,2,18.734988
0.0,100,18.81916
0.859714,2,18.821841
21.044368,3,18.825315
2.832831,4,18.82914
3.404398,3,18.832566
7.329524,4,18.837954
0.0,100,18.923699
12.392313,2,18.92488
24.378163,5,18.929011
7.759343,47,18.971986
-1.0,85,19.045553
