#{"t_start": 1752540856.6045775, "env_id": "None"}
r,l,t
-0.080327,3,0.124026
1.655374,30,0.161346
-0.746118,5,0.165433
1.398906,5,0.169468
-0.438991,14,0.182178
0.0,100,0.287936
0.403906,100,0.401473
-1.0,1,0.402384
40.341682,4,0.407683
23.039128,3,0.413901
5.220023,73,0.48034
0.0,100,0.608507
38.416399,38,0.648248
3.296078,62,0.709432
0.0,100,0.799661
61.636699,100,0.89011
0.0,100,0.97292
2.359113,100,1.099336
50.04038,100,1.205928
0.788478,26,1.227652
0.969645,33,1.257161
-0.540243,2,1.259247
13.866602,3,1.262746
35.755531,47,1.306042
0.0,100,1.395683
61.360239,4,1.400744
0.89192,72,1.463881
1.395525,4,1.467834
8.220266,42,1.502808
41.690492,4,1.507961
53.207401,100,1.596641
0.0,100,1.687288
2.603043,7,1.693517
0.0,100,1.790725
0.747518,100,1.881626
30.980591,4,1.885637
60.037178,4,1.889632
0.403906,100,1.975505
0.0,100,2.061179
13.166075,49,2.128506
-1.0,18,2.144921
7.127525,21,2.16951
-1.0,61,2.223535
-1.0,20,2.240413
0.0,100,2.326631
0.0,100,2.413244
51.375982,59,2.464524
-1.0,2,2.465723
42.791888,100,2.550467
14.087994,4,2.555333
37.665013,100,2.640244
19.985895,100,2.727377
0.958091,5,2.733292
0.0,100,2.819681
0.383,26,2.840934
0.084177,100,2.928353
0.0,100,3.014509
45.692188,43,3.051684
-1.0,33,3.079036
0.0,100,3.165597
20.666915,95,3.245577
1.656253,100,3.332019
0.156918,3,3.335524
-1.0,8,3.342681
0.0,100,3.430083
0.0,100,3.516978
17.586763,14,3.528349
23.656696,4,3.532319
64.350987,4,3.536236
-1.0,72,3.598746
58.135729,4,3.602661
3.725086,3,3.605857
18.661135,4,3.609733
23.879315,4,3.614439
58.528611,4,3.6184
5.265738,100,3.703384
27.744475,21,3.721213
11.327361,100,3.840838
51.370111,76,3.906671
21.855186,4,3.910635
-1.0,2,3.913599
31.297339,4,3.91845
9.68443,100,4.003169
29.98624,4,4.007582
8.194753,100,4.097056
7.324061,100,4.184501
-1.0,72,4.249114
0.735563,40,4.283881
0.0,100,4.368285
49.790439,10,4.376793
43.447565,4,4.380673
1.398906,4,4.384606
1.624524,100,4.471632
4.275904,4,4.47655
-1.0,51,4.522398
13.66563,4,4.526325
-0.212441,14,4.537082
9.906735,14,4.550968
0.0,100,4.63573
52.917722,4,4.639693
31.159791,4,4.643796
8.050054,82,4.716849
15.062549,4,4.745903
0.0,100,4.781207
23.656696,4,4.783254
3.849407,2,4.784306
1.395525,4,4.786221
52.662271,4,4.796615
-1.0,33,4.826852
38.250643,100,4.910829
0.660316,42,4.948537
29.736155,4,4.952946
13.66563,4,4.956832
25.042707,98,5.041114
-0.595794,60,5.092103
35.284064,4,5.096297
52.917722,4,5.100267
5.299865,81,5.169427
76.274103,4,5.174517
24.054938,100,5.258193
0.645032,41,5.293279
67.104047,4,5.297215
12.99545,3,5.301322
0.0,100,5.387357
56.465053,4,5.391338
35.534607,7,5.39812
21.855186,5,5.403382
52.417141,4,5.407299
30.273726,4,5.411356
13.166075,4,5.415421
11.524982,5,5.420743
51.890868,23,5.441291
14.086439,83,5.51252
0.459565,100,5.599538
-0.249507,3,5.60152
61.179489,5,5.607424
52.720568,33,5.634523
-0.521483,2,5.635651
10.719692,3,5.639871
15.069287,100,5.725358
41.432295,4,5.729347
59.406174,4,5.733269
0.128672,22,5.754909
35.915141,5,5.759026
0.0,100,5.844163
-0.618054,28,5.868368
0.0,100,5.954451
-1.0,23,5.97456
-1.0,99,6.057597
10.179008,4,6.06154
21.772061,4,6.066369
56.051268,4,6.070238
0.0,100,6.153414
0.335636,100,6.238415
12.564624,67,6.296391
12.402147,4,6.300604
1.398906,4,6.304537
58.349495,4,6.308429
-1.0,5,6.3131
27.314099,3,6.316525
-0.302138,23,6.33838
24.288553,5,6.343241
4.275904,5,6.348291
11.849856,100,6.43738
0.0,100,6.521808
0.140267,5,6.528124
51.890868,96,6.610992
-1.0,79,6.675802
30.910842,5,6.681878
11.385508,100,6.766835
41.875222,4,6.771747
23.274993,3,6.773335
24.453446,4,6.777319
24.00906,4,6.781203
62.463509,4,6.785826
-0.521483,2,6.789251
0.0,100,6.87291
30.83109,4,6.877065
-1.0,39,6.914833
-0.618054,2,6.916008
2.354509,100,7.002329
16.414434,4,7.008595
0.0,100,7.094275
2.036307,4,7.098024
1.479607,4,7.101975
44.657791,5,7.106019
13.66563,4,7.110807
0.89192,6,7.117243
56.37886,4,7.121232
71.616572,4,7.125146
0.0,100,7.212036
-1.0,59,7.262362
-0.269487,32,7.289183
59.406174,4,7.293158
0.0,100,7.379348
21.121217,4,7.383322
-0.243407,20,7.400497
60.402018,4,7.404422
-0.337434,58,7.454196
9.109781,4,7.458069
11.628294,4,7.46193
0.0,100,7.546062
34.468043,50,7.590362
39.996311,5,7.594893
0.0,100,7.679489
-1.0,39,7.713494
45.980073,4,7.718341
0.916231,4,7.72225
13.66563,4,7.72622
8.71229,4,7.730135
0.969645,2,7.731957
0.0,100,7.81855
35.348842,4,7.82255
0.0,100,7.908452
11.142745,10,7.919072
1.01227,31,7.943717
-1.0,29,7.969186
1.354509,74,8.031066
0.0,100,8.118293
31.651138,5,8.122494
0.0,100,8.209752
37.313618,4,8.213687
12.306489,39,8.248159
32.307974,4,8.252089
35.915141,4,8.255993
0.0,100,8.341494
0.0,100,8.429553
10.234688,3,8.433067
57.15688,4,8.436959
0.0,100,8.523138
1.759087,4,8.528038
0.128672,3,8.531472
56.068115,4,8.535401
60.697471,4,8.539279
71.616572,4,8.543833
23.380692,6,8.548123
8.71229,4,8.552018
2.326673,100,8.638149
0.0,100,8.722449
3.971617,100,8.811836
27.954978,4,8.815844
24.000884,4,8.819823
47.14287,67,8.880095
58.406918,4,8.88399
56.648245,4,8.88804
-1.0,15,8.900864
3.995331,3,8.90322
53.321208,5,8.909074
0.916231,4,8.912944
27.954978,4,8.917126
29.26467,4,8.921832
-0.595794,52,8.967492
33.852186,4,8.971415
67.212144,4,8.975339
23.054938,5,8.981278
0.008707,3,8.984699
0.0,100,9.071836
61.45648,4,9.075912
58.135729,4,9.080536
-0.283933,29,9.106734
52.917722,4,9.110717
61.360239,4,9.115284
5.044995,3,9.162781
0.0,100,9.198475
12.402147,4,9.200386
0.140267,4,9.20239
1.804533,4,9.204267
54.687143,5,9.211776
1.299585,4,9.215684
49.104654,4,9.21971
0.0,100,9.306376
-0.540243,2,9.308363
12.306489,49,9.349374
3.995331,3,9.352786
8.050054,8,9.359797
32.307974,4,9.364441
35.284064,4,9.368335
0.140267,4,9.372401
0.660316,34,9.401711
0.008707,3,9.40403
12.564624,4,9.407913
68.085386,4,9.412201
58.383994,4,9.416079
37.734599,4,9.420634
36.093912,4,9.424526
23.274993,4,9.428209
23.054938,4,9.432097
31.651138,4,9.438285
0.505928,3,9.441656
15.401974,4,9.445327
0.0,100,9.531203
1.661081,100,9.617614
