#{"t_start": 1752540064.0875447, "env_id": "None"}
r,l,t
-0.269487,85,0.217448
3.849407,2,0.218729
2.44079,6,0.226098
-1.0,29,0.252153
-0.341982,2,0.253305
0.0,100,0.341001
14.309582,57,0.395796
7.206783,8,0.402619
3.057819,3,0.40412
-1.0,18,0.420376
7.206783,2,0.424107
11.495837,2,0.42713
4.4162,85,0.501735
8.088175,3,0.505332
0.0,100,0.635101
0.0,100,0.720104
-0.724478,45,0.759335
0.0,100,0.845563
1.105414,100,0.933398
0.0,100,1.021567
2.795836,86,1.105868
0.658018,100,1.190342
-0.759234,3,1.192941
-0.724478,33,1.222925
-0.759234,3,1.224639
18.324166,72,1.289945
3.400442,100,1.417916
0.331709,100,1.505918
0.0,100,1.601609
2.224649,2,1.604607
3.057819,23,1.625709
25.092735,1,1.626488
-0.30138,21,1.644297
3.235729,2,1.647177
0.0,100,1.734327
-1.0,1,1.735089
3.44079,100,1.821254
0.331709,100,1.905543
1.457375,3,1.910063
-0.555233,72,1.971967
0.3103,100,2.056392
-1.0,1,2.056852
0.0,100,2.14084
18.324166,66,2.195107
18.230351,37,2.227392
-0.555233,3,2.228886
13.092974,17,2.245985
0.3103,100,2.339816
-0.724478,43,2.376529
3.235729,2,2.379457
7.54851,2,2.381451
-0.668291,82,2.451752
4.4162,82,2.521245
0.0,100,2.611759
-1.0,46,2.652413
0.0,100,2.736155
14.309582,9,2.745353
10.972655,100,2.82943
10.163235,2,2.833265
3.707565,21,2.851237
6.560417,18,2.865125
-0.555233,88,2.939671
0.0,100,3.02699
25.092735,1,3.029579
4.226417,100,3.115106
0.0,100,3.198446
9.770679,35,3.228713
3.235729,2,3.23161
-1.0,1,3.232243
-0.724478,92,3.309575
-1.0,1,3.311117
-0.30138,2,3.314043
0.0,100,3.400835
2.224649,2,3.402026
-0.770906,3,3.406293
0.0,100,3.491269
8.088175,29,3.514852
-0.555233,72,3.576152
9.770679,60,3.626832
3.057819,83,3.696236
8.088175,2,3.699373
-0.770906,16,3.71324
3.442858,74,3.773618
18.230351,66,3.829933
3.657,19,3.84505
2.795836,18,3.860947
14.309582,2,3.862645
25.092735,1,3.865494
-0.055411,29,3.889037
7.741844,3,3.892123
0.944589,100,3.976729
7.206783,13,3.987306
0.755828,100,4.07342
-1.0,47,4.11385
-0.6897,23,4.132869
-0.341982,13,4.145784
-0.759234,3,4.14751
-0.6897,60,4.198621
0.229094,100,4.285615
-0.770906,27,4.308786
6.252617,43,4.345993
3.057819,17,4.363385
0.0,100,4.448418
10.163235,62,4.504042
-0.30138,2,4.579758
0.0,100,4.615399
4.339594,100,4.650879
0.0,100,4.685876
0.275522,100,4.721149
0.014708,2,4.73092
4.4162,25,4.753367
7.54851,23,4.774267
0.730513,100,4.858238
14.331811,77,4.924919
14.331811,8,4.93209
10.80462,2,4.936741
3.964551,57,4.984569
0.444767,100,5.070948
3.795836,100,5.154352
2.224649,2,5.157098
-0.668291,13,5.169396
-0.540435,36,5.200727
-0.724478,22,5.218456
-1.0,1,5.220564
3.339594,6,5.226637
25.092735,1,5.227454
-0.770906,15,5.240502
25.092735,1,5.242581
0.870112,100,5.32958
3.057819,52,5.374933
-1.0,14,5.387998
8.088175,3,5.391295
-1.0,5,5.397032
0.0,100,5.483839
25.092735,1,5.484689
0.105414,3,5.489371
3.400442,100,5.572286
-0.770906,27,5.593974
25.092735,1,5.596528
0.3103,100,5.692285
14.156743,100,5.777559
9.03858,3,5.778971
-0.770906,85,5.853957
11.813488,2,5.856723
9.03858,2,5.859688
3.057819,12,5.869831
2.224649,2,5.870966
-0.212441,14,5.885973
-0.30138,16,5.899504
11.813488,12,5.909799
-0.759234,3,5.911558
25.092735,1,5.915567
10.163235,52,5.958288
0.0,100,6.04249
-0.770906,21,6.059828
3.235729,48,6.101551
3.964551,19,6.11807
9.783542,2,6.119229
0.0,100,6.235221
11.80462,100,6.321677
3.057819,58,6.372539
0.0,100,6.455916
-0.724478,43,6.49275
-0.668291,4,6.498055
-0.555233,86,6.571051
7.741844,2,6.572246
-0.249507,40,6.60663
14.309582,20,6.625468
10.811369,23,6.64504
11.813488,2,6.647982
-1.0,16,6.661465
-1.0,65,6.719367
25.092735,1,6.72018
0.944589,100,6.805896
25.092735,1,6.80669
-1.0,26,6.831457
-0.770906,20,6.848289
0.0,100,6.931031
3.235729,3,6.934608
25.092735,1,6.937001
3.226417,23,6.957131
7.206783,2,6.95841
8.824136,2,6.961315
-1.0,8,6.969619
-1.0,1,6.970272
-0.212441,83,7.039718
-0.668291,38,7.071212
9.766461,21,7.092721
17.592056,20,7.109344
-1.0,1,7.111807
8.824136,91,7.186888
-0.724478,23,7.209471
0.275522,100,7.293428
0.229094,100,7.378014
7.741844,2,7.381002
-0.724478,12,7.393625
10.809519,45,7.430355
25.092735,1,7.431146
3.707565,3,7.43456
-0.770906,30,7.460215
8.088175,47,7.499586
-1.0,1,7.500248
-0.269487,81,7.569832
-1.0,40,7.604527
5.299865,58,7.65223
-0.724478,39,7.686122
-0.555233,30,7.712567
-0.212441,46,7.753491
-0.770906,24,7.773846
-1.0,1,7.774504
-0.759234,3,7.777994
9.673112,2,7.780648
25.092735,1,7.783191
0.0,100,7.867941
-0.759234,3,7.869724
0.0,100,7.954985
2.224649,2,7.957939
14.092974,100,8.044098
25.092735,1,8.044893
3.514129,22,8.065721
-0.668291,4,8.069579
-0.6897,4,8.073425
18.230351,30,8.097751
-0.668291,49,8.140607
0.0,100,8.225549
11.263046,39,8.259408
0.0,100,8.34507
-0.770906,41,8.379984
-0.770906,31,8.406841
2.44079,49,8.449259
0.105414,54,8.496618
-0.6897,55,8.544863
25.092735,1,8.545644
10.163235,48,8.58563
2.44079,43,8.622815
-0.770906,68,8.683269
7.206783,4,8.68692
13.156743,2,8.688061
0.0,100,8.772804
-0.30138,92,8.851412
-0.724478,6,8.85767
18.230351,2,8.858853
0.0,100,8.944389
9.03858,2,8.948964
-0.668291,3,8.950411
-0.770906,5,8.956293
8.088175,2,8.957447
-0.759234,3,8.962479
-0.770906,7,8.969072
3.44079,100,9.054231
0.0,100,9.128253
0.0,100,9.163147
0.0,100,9.198252
-1.0,1,9.198915
0.69862,100,9.234408
0.0,100,9.329482
-0.555233,6,9.33963
0.944589,100,9.427095
-0.759234,4,9.43091
0.105414,38,9.464018
3.707565,25,9.49143
11.194455,69,9.548595
3.235729,2,9.549756
7.206783,7,9.556298
3.339594,17,9.571239
-0.555233,9,9.580419
-1.0,4,9.583793
7.206783,3,9.585434
-1.0,13,9.601425
-0.6897,6,9.606
0.229094,100,9.689803
-0.759234,3,9.693346
-0.668291,45,9.73404
0.0,100,9.81738
12.818132,21,9.835242
11.813488,70,9.893846
0.0,100,9.97799
-0.555233,35,10.007688
0.229094,100,10.093379
3.707565,29,10.117376
-0.668291,98,10.198663
0.0,100,10.283041
7.54851,2,10.285977
0.0,100,10.367752
7.54851,2,10.370471
4.368439,2,10.373202
8.824136,3,10.376641
-0.212441,11,10.384347
0.3103,100,10.476032
0.331709,100,10.561365
7.206783,3,10.565068
25.092735,1,10.565854
7.54851,46,10.607369
-1.0,21,10.624998
10.811369,2,10.627963
-1.0,1,10.628598
-0.668291,15,10.643203
-1.0,1,10.643873
6.487311,10,10.651186
18.230351,3,10.654262
-0.770906,99,10.740555
2.400442,31,10.76691
-1.0,1,10.767592
-0.269487,27,10.792988
8.824136,96,10.879068
-0.540435,56,10.92874
1.457375,3,10.930537
14.332292,100,11.01736
-0.759234,3,11.022838
-0.540435,85,11.094019
-0.724478,48,11.135066
2.795836,18,11.151431
25.092735,1,11.15375
14.331811,51,11.197405
10.80462,2,11.198594
-0.597228,62,11.253505
-0.555233,44,11.29429
-0.770906,34,11.322546
8.088175,14,11.335685
-1.0,1,11.336329
0.331709,100,11.423033
