#{"t_start": 1752539963.4542549, "env_id": "None"}
r,l,t
15.745863,27,0.148289
3.752581,100,0.301733
-1.0,1,0.302469
17.604237,5,0.309338
7.206149,3,0.310933
36.413451,5,0.318192
0.0,100,0.404032
2.378057,100,0.494529
119.693074,40,0.561101
0.0,100,0.680773
36.499153,31,0.706642
21.451192,3,0.710257
41.523738,33,0.737913
1.302481,100,0.849063
11.85428,5,0.855325
15.450576,4,0.859589
19.019102,5,0.864641
16.493676,99,0.961151
17.62234,5,0.965661
30.147052,100,1.092233
1.16226,100,1.177353
8.788909,77,1.243507
64.501374,5,1.247876
84.475113,5,1.254025
0.0,100,1.347496
11.771073,100,1.434783
37.595488,4,1.43874
0.0,100,1.526091
9.080294,96,1.607594
39.367702,5,1.614166
11.873108,100,1.698853
0.356127,100,1.78593
8.25949,23,1.805792
14.374734,39,1.839291
18.452411,6,1.845924
-1.0,1,1.846568
37.874976,5,1.850943
35.74153,3,1.856357
8.04819,3,1.859879
14.872272,6,1.864612
-0.521483,3,1.868021
-1.0,1,1.870544
0.0,100,1.955288
48.267112,5,1.961649
56.04593,5,1.965978
34.596622,5,1.972356
44.870709,4,1.976296
32.05995,5,1.980795
-0.260318,5,1.986981
0.0,100,2.073953
5.936329,2,2.075157
11.309649,6,2.081803
36.091115,75,2.15712
80.303784,5,2.1653
33.147624,5,2.169466
14.744188,5,2.173794
13.293581,23,2.193864
18.021594,7,2.202592
17.732649,5,2.206661
0.105414,4,2.21022
25.280817,5,2.214314
-1.0,73,2.27734
20.000942,4,2.28122
1.412236,4,2.285098
9.043169,5,2.291167
0.178534,3,2.294789
-1.0,12,2.305104
12.227906,100,2.394945
0.0,100,2.480292
-1.0,1,2.484911
13.308805,5,2.4893
1.83574,100,2.573711
-1.0,3,2.577145
0.660486,3,2.580822
69.175738,5,2.586899
10.179551,20,2.603476
17.08969,100,2.689055
-1.0,1,2.691819
-0.241118,4,2.695461
58.288491,5,2.699793
0.348704,100,2.784969
18.427318,48,2.82812
40.471403,4,2.832021
14.172935,4,2.835993
14.199905,5,2.840618
1.110335,4,2.846613
9.240914,100,2.931424
25.715608,100,3.015388
0.709909,70,3.073953
2.514773,6,3.080914
14.127283,27,3.104242
42.204509,5,3.108699
33.785313,6,3.115281
5.04537,100,3.204403
57.378616,100,3.290507
18.810069,100,3.375265
59.952401,49,3.417247
2.003267,100,3.507044
48.666875,37,3.53836
33.639459,39,3.573524
1.591516,100,3.657874
-0.198827,2,3.66291
70.414507,4,3.666818
7.754262,100,3.750964
8.459142,79,3.818575
18.598923,93,3.901716
8.04819,4,3.90559
26.139908,5,3.9105
19.381248,23,3.932102
0.0,100,4.022979
41.406633,57,4.074164
0.0,100,4.159198
20.09147,100,4.245472
0.356127,100,4.338585
13.224243,4,4.342554
-1.0,1,4.343195
41.543743,3,4.346609
6.947544,3,4.352104
40.324372,5,4.356471
10.411285,44,4.394743
106.723898,5,4.399174
16.430796,62,4.45425
32.05995,5,4.458609
40.511558,6,4.463119
-1.0,3,4.466485
-1.0,1,4.46907
0.0,100,4.557301
42.997587,5,4.564026
66.3931,5,4.568856
11.126877,5,4.576667
-0.874387,2,4.579769
40.324372,5,4.584468
-1.0,5,4.588538
95.05661,5,4.596663
0.0,100,4.684977
47.77952,17,4.702171
8.334892,5,4.706791
5.936329,2,4.710164
18.087278,5,4.716354
3.222772,100,4.807603
22.729476,5,4.810386
42.997149,4,4.81241
16.946556,5,4.815011
18.084375,5,4.817579
71.000238,6,4.831482
3.671963,4,4.835852
11.719567,100,4.923207
-1.0,3,4.926816
47.026187,28,4.952513
18.021594,5,4.957036
34.377066,100,5.046903
0.0,100,5.134165
16.674652,4,5.138461
108.555136,6,5.142963
45.523719,4,5.148532
19.174157,6,5.154919
26.310254,5,5.159642
98.883166,6,5.16616
7.690688,3,5.169201
18.021594,5,5.175735
5.936329,2,5.176914
35.74153,3,5.180316
42.889741,5,5.185983
11.930772,6,5.192261
-1.0,3,5.193871
-1.0,1,5.196341
11.461062,5,5.20216
-1.0,43,5.261747
54.792176,41,5.296825
0.302481,4,5.301012
17.399291,5,5.307101
-1.0,1,5.307762
13.00945,5,5.314129
8.178873,3,5.315769
12.69923,3,5.320732
108.555136,5,5.325166
0.0,100,5.410856
71.572582,5,5.417274
7.715398,3,5.42052
9.236343,5,5.42684
29.096015,5,5.431334
37.225574,5,5.436
51.071009,5,5.442014
16.286167,100,5.531602
-1.0,13,5.544445
1.277036,5,5.548706
-0.088101,3,5.553815
6.585769,2,5.554992
22.757004,5,5.559543
2.003267,100,5.70467
0.0,100,5.795194
9.338131,5,5.812043
39.051904,41,5.84888
41.722965,5,5.853572
13.225385,4,5.859432
27.008956,5,5.863953
13.225385,6,5.870373
1.277036,5,5.874535
6.075431,6,5.882648
13.121325,6,5.887351
0.067656,3,5.890921
41.070459,5,5.895371
44.963978,5,5.901418
0.105414,2,5.904504
0.0,100,6.139886
-1.0,3,6.143349
11.85428,5,6.149302
36.594238,5,6.153686
22.071813,5,6.158005
-1.0,1,6.160598
24.686549,5,6.166696
4.964628,4,6.170662
8.282257,100,6.255827
19.088422,5,6.259949
22.148855,4,6.265486
11.800394,4,6.269409
12.972362,5,6.273741
17.839497,5,6.280904
47.206031,5,6.28674
-0.16536,2,6.288418
11.152909,5,6.295734
2.014269,100,6.380918
54.303454,5,6.619656
44.081351,6,6.896639
22.668007,5,7.076388
-1.0,5,7.084678
-0.08482,3,7.15207
5.774747,3,7.153991
85.297053,5,7.174356
71.271853,5,7.180655
37.508522,4,7.418744
-0.651296,3,7.447213
-1.0,32,7.69641
26.966215,4,7.700396
2.17871,69,7.758712
13.106388,4,7.762778
48.799746,5,7.767147
-1.0,9,7.774494
108.555136,5,7.781482
0.178534,3,7.78318
17.357746,7,7.789751
-1.0,1,7.790384
32.586487,5,7.79739
9.43176,6,7.802224
-0.609835,2,7.805146
33.728639,5,7.809531
22.900293,5,7.814615
-1.0,1,7.815247
15.769361,5,7.821545
13.521966,5,7.826056
27.579825,100,7.91156
30.026501,5,7.916013
22.900293,5,7.920478
-1.0,97,8.023442
14.744188,5,8.02887
6.539073,3,8.032248
1.511082,4,8.036226
42.997587,6,8.040828
31.801693,5,8.049108
0.0,100,8.151554
14.744188,5,8.158268
-0.16536,3,8.160041
19.954077,4,8.172724
36.005755,6,8.179394
27.008956,5,8.183854
18.233841,4,8.187775
-1.0,1,8.190948
0.0,100,8.285469
11.461062,5,8.291845
9.064035,4,8.295898
-1.0,3,8.299882
8.302119,4,8.303648
10.07384,39,8.344983
44.870709,4,8.349638
14.252187,41,8.390245
11.994794,5,8.396476
108.924706,86,8.478141
32.05995,5,8.482678
54.227909,6,8.49163
10.157548,2,8.492792
23.598784,6,8.499257
0.0,100,8.58616
-1.0,41,8.625394
44.963978,5,8.629925
14.744188,5,8.635995
