#{"t_start": 1752540532.4824603, "env_id": "None"}
r,l,t
9.908375,100,0.205345
0.239552,35,0.237027
7.31696,68,0.296534
7.31696,6,0.304756
-1.0,43,0.342701
0.109049,55,0.393571
0.371535,4,0.397208
7.31696,4,0.403718
-1.0,1,0.404616
0.239552,19,0.422189
-1.0,24,0.44382
-1.0,1,0.446663
0.0,100,0.566863
8.908375,88,0.647675
0.0,100,0.738223
4.177303,100,0.824092
-1.0,10,0.833677
7.31696,4,0.837691
0.0,100,0.924809
0.0,100,1.012087
4.203981,41,1.050231
0.0,100,1.138694
4.203981,37,1.171079
0.736316,100,1.257189
0.0,100,1.351725
4.975533,100,1.437919
0.0,100,1.525287
-0.192111,51,1.570491
3.471841,5,1.574478
-1.0,15,1.587945
8.01431,15,1.601527
0.0,100,1.699307
0.0,100,1.787098
4.318005,100,1.871968
8.01431,10,1.880698
7.31696,63,1.945266
-1.0,97,2.0295
0.0,100,2.115243
9.534032,100,2.200335
1.094541,100,2.347549
0.73214,100,2.436436
0.0,100,2.525295
7.31696,5,2.531459
0.807889,100,2.619441
0.0,100,2.70844
8.01431,3,2.710066
0.0,100,2.797323
0.239552,17,2.818729
8.01431,34,2.847419
8.534032,3,2.851308
7.176258,32,2.878485
8.01431,3,2.882759
0.645185,100,2.97406
-1.0,45,3.03344
0.376909,100,3.119046
8.01431,3,3.123276
0.0,100,3.210151
0.0,100,3.297656
0.894539,100,3.383019
9.908375,100,3.470898
8.01431,42,3.506095
0.0,100,3.593325
0.239552,7,3.599946
-1.0,7,3.607209
-0.218286,89,3.716795
4.177303,100,3.819952
9.908375,100,3.906595
-0.540679,58,3.955666
3.696305,83,4.028275
-1.0,78,4.098113
4.177303,100,4.183276
0.635219,100,4.269153
7.649144,92,4.349082
0.0,100,4.434336
4.541993,100,4.521273
7.649144,24,4.543514
-1.0,23,4.577036
8.01431,3,4.580766
0.0,100,4.675767
4.177303,100,4.762963
0.0,100,4.799724
9.908375,100,4.835298
0.635219,100,4.870378
0.0,100,4.90887
0.109049,32,4.94655
0.0,100,5.036785
0.0,100,5.162051
-0.177471,51,5.212404
8.908375,15,5.228885
7.176258,8,5.237046
0.457839,100,5.331598
7.876504,28,5.358278
0.0,100,5.451238
3.570819,11,5.46203
0.371535,49,5.510087
0.0,100,5.601237
8.01431,3,5.606002
8.197285,3,5.607708
-1.0,49,5.650448
-1.0,37,5.683164
7.649144,3,5.68767
3.471841,16,5.702185
0.239552,3,5.703893
3.570819,98,5.790044
-0.263684,78,5.863829
3.471841,76,5.932106
-1.0,70,5.996839
4.203981,49,6.038181
7.649144,3,6.042305
0.239552,3,6.045791
0.0,100,6.1373
8.01431,3,6.139086
0.459321,100,6.271013
0.0,100,6.362163
4.134197,100,6.452074
0.0,100,6.551665
0.109049,24,6.573375
0.239552,3,6.576911
8.197285,3,6.580288
-1.0,98,6.661008
9.908375,100,6.814775
7.876504,32,6.842703
0.239552,3,6.846322
7.649144,3,6.849684
