#{"t_start": 1752540952.765045, "env_id": "None"}
r,l,t
39.705023,3,0.01658
20.05122,3,0.043115
-0.191884,9,0.143852
0.894539,100,0.24553
19.728457,4,0.250598
0.0,100,0.336668
20.464396,3,0.340198
10.699138,2,0.341345
0.183268,3,0.346344
26.421956,3,0.349844
0.390165,100,0.45397
13.838781,87,0.551777
-1.0,41,0.588166
0.200258,4,0.591808
0.783618,51,0.636705
10.699138,2,0.637931
0.0,100,0.726793
26.739172,28,0.750585
10.514128,3,0.75406
-0.32578,3,0.757497
0.904489,100,0.843243
3.686351,4,0.846883
3.185068,34,0.875843
26.423168,3,0.879314
0.0,100,0.967747
3.185068,3,0.971465
0.244458,3,0.973216
45.52776,4,0.976855
0.0,100,1.105683
11.846669,5,1.111466
9.515992,3,1.113081
0.262681,12,1.124551
11.066275,6,1.132755
3.05518,4,1.136464
10.174564,3,1.140193
12.618249,66,1.197682
-1.0,1,1.199253
1.04001,5,1.205388
0.475993,3,1.207016
-0.32578,3,1.210608
0.216615,78,1.283643
0.0,100,1.372923
28.313972,3,1.374704
4.14644,3,1.378167
8.077279,3,1.382758
3.237964,2,1.383939
1.822646,3,1.387444
47.088654,3,1.390922
21.095608,3,1.39555
0.0,100,1.482565
13.470415,31,1.508619
-0.545522,2,1.511755
3.185068,71,1.582146
0.0,100,1.678424
0.0,100,1.765647
9.465318,40,1.80032
-0.212649,3,1.802961
26.464114,3,1.806459
15.245559,23,1.826492
11.296985,4,1.830556
0.0,100,1.919007
32.297143,3,1.92254
0.213491,44,1.961077
6.998183,3,1.962743
-0.191884,4,1.967389
-1.0,48,2.00956
1.040013,4,2.013719
13.831191,42,2.051489
13.831191,92,2.134286
0.213491,87,2.210069
7.472176,16,2.224458
0.0,100,2.315218
5.57972,59,2.365739
-1.0,14,2.379189
26.934186,3,2.382792
3.331536,2,2.383928
0.904489,100,2.473731
3.443536,61,2.527974
0.244458,3,2.53166
0.512025,3,2.535215
-0.212649,3,2.542682
0.894539,100,2.638019
