#{"t_start": 1752539984.7582116, "env_id": "None"}
r,l,t
-0.002784,34,0.131166
2.697788,4,0.135909
1.752314,3,0.151672
3.550325,4,0.15653
-0.524828,61,0.241251
1.027191,100,0.336508
0.259618,3,0.339966
0.259618,3,0.342402
-1.0,1,0.345147
0.0,100,0.43937
-0.524828,7,0.444174
-1.0,8,0.452876
-0.593385,18,0.469718
0.279847,57,0.55654
-0.593385,4,0.560431
1.825202,3,0.564722
3.550325,14,0.577794
0.436755,2,0.58078
0.259618,74,0.641751
-1.0,61,0.698046
0.436755,2,0.699229
0.259618,3,0.702611
0.0,100,0.788719
-0.002784,5,0.793727
0.259618,4,0.797345
-0.593385,2,0.800294
3.550325,4,0.804227
-0.002784,4,0.80885
-1.0,2,0.810235
-1.0,2,0.813597
3.550325,4,0.817806
0.259618,3,0.820106
-0.242197,3,0.823632
0.259618,3,0.827022
2.11357,3,0.830417
-0.593385,2,0.832217
3.550325,4,0.836042
-1.0,46,0.875451
-1.0,58,0.92481
3.550325,4,0.929712
-0.002784,4,0.933684
1.232356,4,0.937828
-0.09157,5,0.941898
1.232356,4,0.946443
-1.0,3,0.949813
-0.002784,4,0.953744
1.825202,3,0.957182
-1.0,3,0.961306
-1.0,31,0.986294
0.259618,3,0.989827
-1.0,47,1.030348
-1.0,68,1.090524
-1.0,3,1.093965
-1.0,88,1.168264
-0.09157,4,1.172233
0.0,100,1.264865
-0.09157,4,1.268881
3.550325,5,1.272964
0.725123,4,1.277203
1.825202,3,1.281425
-1.0,49,1.323721
3.550325,4,1.329869
-0.09157,4,1.333799
-0.09157,4,1.338542
0.0,100,1.428527
3.550325,4,1.43243
3.550325,5,1.436575
0.436755,2,1.440103
1.752314,19,1.454671
-0.09157,4,1.45856
0.0,100,1.543036
0.0,100,1.628459
1.825202,3,1.631861
2.72505,100,1.716409
0.0,100,1.839108
0.725123,40,1.874824
1.72505,92,1.954015
3.550325,4,1.957927
0.436755,2,1.960993
3.550325,4,1.965674
0.436755,2,1.971566
1.752314,31,1.998492
2.72505,100,2.142419
-0.09157,97,2.22391
3.550325,4,2.227842
-0.242197,3,2.231174
0.0,100,2.316469
1.027191,100,2.400622
0.0,100,2.493831
-1.0,27,2.516691
0.436755,2,2.517859
1.027191,100,2.605209
0.0,100,2.696337
0.881168,6,2.702765
0.0,100,2.786799
3.550325,5,2.79154
0.0,100,2.877482
-0.242197,2,2.878447
0.502363,38,2.910678
0.881168,5,2.918046
0.0,100,3.001288
0.0,100,3.086665
-0.593385,4,3.090417
0.502363,17,3.105383
-0.002784,5,3.111184
-1.0,47,3.14825
-0.242197,2,3.15117
3.550325,4,3.155868
3.550325,5,3.159931
0.0,100,3.247183
2.189068,3,3.25063
-0.524828,22,3.269508
0.725123,64,3.323503
0.0,100,3.409037
-1.0,81,3.477251
0.0,100,3.56
-0.09157,60,3.610978
3.550325,4,3.616375
-1.0,74,3.677534
-0.242197,2,3.681262
0.436755,2,3.682657
0.0,100,3.766921
1.027191,100,3.85147
3.697788,100,3.962998
0.881168,20,3.983155
0.0,100,4.068076
