#{"t_start": 1752539911.2635849, "env_id": "None"}
r,l,t
56.442919,4,0.01091
1.417674,4,0.121461
1.417674,4,0.12573
1.446839,4,0.129608
-1.0,86,0.235905
0.829618,47,0.277527
29.638161,4,0.281589
10.217827,4,0.285522
0.730513,100,0.370882
-0.134333,17,0.384801
13.618987,97,0.501302
8.50092,3,0.504843
41.837878,5,0.540701
2.202164,4,0.544822
15.921332,5,0.549079
2.448789,100,0.665383
3.513408,2,0.670286
7.632363,100,0.781436
43.678218,5,0.785621
-1.0,62,0.840846
1.417674,38,0.873887
0.916231,5,0.878118
0.0,100,0.965021
0.730513,100,1.086163
11.956721,3,1.091185
1.130729,100,1.179851
3.257672,98,1.269362
1.066982,5,1.273845
0.864521,41,1.322588
1.864521,100,1.565378
0.0,100,1.663092
43.29845,4,1.667983
22.22221,4,1.672649
34.939467,4,1.67636
-1.0,2,1.679707
5.774894,4,1.683688
1.451257,100,1.767885
5.085762,5,1.771894
0.0,100,1.906862
1.82266,2,1.908241
30.850838,5,1.918921
60.279452,4,1.924781
53.389652,4,1.930204
0.0,100,2.030196
1.448789,4,2.035226
0.914889,4,2.03957
0.386905,30,2.065765
18.87801,4,2.069779
-1.0,2,2.073701
3.461853,2,2.074857
48.668369,4,2.078788
-1.0,46,2.119607
2.048123,4,2.126852
9.051908,5,2.131457
1.42422,60,2.187444
33.926325,4,2.19258
-1.0,2,2.194701
-1.0,56,2.241339
5.085762,4,2.24685
-1.0,65,2.307192
0.403906,100,2.394262
0.459565,100,2.494286
22.222418,4,2.498453
17.244427,5,2.502726
0.409995,100,2.589722
6.760625,4,2.593736
6.760625,4,2.597847
52.033371,4,2.601839
1.423891,4,2.606696
50.754609,4,2.610904
21.067657,4,2.614529
27.529402,4,2.619528
11.70971,5,2.624485
6.514584,6,2.633289
8.303288,27,2.656503
24.892066,60,2.708954
1.465075,4,2.72008
1.82266,3,2.723279
0.904489,100,2.810795
1.395525,4,2.814894
4.319933,6,2.821768
-1.0,26,2.844697
5.848653,4,2.849696
10.217827,4,2.853871
20.667444,4,2.858675
31.15379,4,2.862576
11.70971,4,2.866481
36.477358,4,2.870566
-0.636473,40,2.911194
5.939661,92,2.992506
0.0,100,3.081889
61.335291,4,3.086096
13.425029,25,3.109115
5.048415,4,3.113322
0.789544,4,3.117331
6.514584,4,3.121619
0.0,100,3.208944
0.876448,4,3.212868
1.423566,4,3.216731
19.926286,4,3.220767
0.914889,5,3.227785
3.461853,2,3.228959
13.959096,6,3.235304
0.914889,4,3.239148
1.423566,4,3.243654
18.013299,4,3.24752
25.056245,4,3.253569
1.82266,2,3.254697
42.463015,4,3.259362
0.881222,4,3.264216
21.54815,4,3.268255
4.363495,69,3.327594
5.085762,39,3.363449
18.281249,4,3.367454
56.269616,4,3.371421
-1.0,9,3.378875
48.720305,4,3.385284
3.430532,3,3.388496
29.224775,21,3.406779
43.938388,19,3.423821
5.789011,4,3.42862
30.701059,4,3.432528
0.931918,2,3.435485
4.18641,3,3.437085
1.779077,2,3.44092
51.705144,4,3.444844
-1.0,22,3.462523
14.737083,4,3.46645
-1.0,2,3.470493
14.503091,4,3.474381
0.522783,7,3.481155
0.0,100,3.565476
15.681296,4,3.570283
12.43939,100,3.659012
1.624095,100,3.746674
11.612537,4,3.750675
11.435487,4,3.755484
-1.0,84,3.825144
0.659052,4,3.829187
19.15137,4,3.833145
30.850838,4,3.83798
0.403906,100,3.929637
0.451257,35,3.957414
17.327526,89,4.036925
1.479607,4,4.041975
39.953786,4,4.045841
12.902904,100,4.131993
36.272345,4,4.136031
10.934825,3,4.138563
1.066982,57,4.191817
1.405944,5,4.195992
57.561582,80,4.262902
32.395815,5,4.269269
-0.240299,63,4.324043
0.755828,100,4.413017
17.192337,4,4.417225
16.217151,4,4.422031
74.090387,4,4.425903
22.362203,5,4.430255
0.0,100,4.515415
0.0,100,4.604912
30.687264,5,4.609008
-1.0,3,4.612282
52.017252,52,4.65842
0.786781,4,4.663301
10.042104,3,4.666932
11.579636,4,4.671029
15.849565,5,4.675104
0.0,100,4.761352
3.430532,2,4.765027
30.03113,4,4.769064
0.0,100,4.857476
31.798915,4,4.862309
1.479607,4,4.866332
0.881222,4,4.870197
3.851713,5,4.874222
20.667444,4,4.879153
9.97717,3,4.88258
20.186229,3,4.884203
-1.0,35,4.915033
11.435487,4,4.92018
0.0,100,5.00456
0.0,100,5.070973
0.0,100,5.106578
0.916231,4,5.108688
1.403489,2,5.109743
0.0,100,5.145815
0.0,100,5.238118
64.600817,41,5.276341
10.217827,4,5.281137
0.0,100,5.365216
0.0,100,5.450922
2.56739,3,5.452623
31.798915,4,5.457363
3.827456,100,5.54073
23.026089,66,5.598451
0.200877,20,5.615625
-1.0,14,5.627278
19.926286,5,5.633201
31.798915,4,5.637114
30.837252,4,5.64096
-0.249507,54,5.687998
-1.0,5,5.692314
32.083291,4,5.696322
3.087031,2,5.699286
3.917161,3,5.703586
6.823751,4,5.707461
13.959096,80,5.777652
5.587038,4,5.782559
1.779077,2,5.784943
5.09764,62,5.837711
-1.0,2,5.839156
4.679432,35,5.883089
5.749567,2,5.885137
57.565218,4,5.888974
1.403489,2,5.891866
31.704125,56,5.94011
-1.0,2,5.942166
67.593261,11,5.952547
28.446501,39,5.9873
33.046315,4,5.991161
66.188512,100,6.082233
24.933389,4,6.086159
31.507876,4,6.090085
31.50384,15,6.103517
0.755828,100,6.190188
-1.0,4,6.193773
3.456211,4,6.197627
1.200877,100,6.283539
0.0,100,6.369959
0.0,100,6.453517
26.125168,4,6.457456
9.355602,4,6.461289
42.427835,4,6.466072
5.085762,4,6.469915
23.028658,4,6.473858
30.198669,4,6.477694
1.42422,50,6.519427
-1.0,79,6.587596
1.161257,2,6.588773
0.0,100,6.6741
2.075752,3,6.678442
42.509016,4,6.682587
36.272345,4,6.68642
37.151615,4,6.690602
41.328004,4,6.695317
19.920505,4,6.699174
68.058292,4,6.702791
30.03113,4,6.706664
4.187016,3,6.710828
4.259273,3,6.714274
0.881222,4,6.718287
19.920505,5,6.722355
-1.0,2,6.724333
21.754046,4,6.728478
1.353651,4,6.732367
1.817981,4,6.736234
-1.0,17,6.752769
0.0,100,6.837646
38.461152,5,6.841882
0.730513,100,6.935299
3.602615,2,6.937404
23.19485,4,6.941384
5.848653,5,6.94733
3.087031,2,6.948488
-0.270444,67,7.005989
11.540948,60,7.056402
0.0,100,7.143409
4.18641,3,7.146854
3.513408,2,7.148852
0.107928,68,7.205678
7.769361,100,7.291892
54.500826,4,7.295929
-1.0,89,7.37119
9.559752,4,7.375035
2.59193,100,7.471524
-1.0,65,7.528121
-1.0,34,7.557999
-1.0,10,7.567075
-0.270444,2,7.568302
25.490063,4,7.57189
56.351156,4,7.576494
2.547126,3,7.580078
0.786781,5,7.584257
18.809759,5,7.588419
11.362801,3,7.592679
0.065104,21,7.61084
41.480403,63,7.665888
28.903012,4,7.669826
12.887475,4,7.674461
-1.0,63,7.731434
0.0,100,7.816391
-0.540435,2,7.817562
-1.0,73,7.881538
0.952081,44,7.919533
52.746116,85,7.991396
0.0,100,8.076407
11.956721,3,8.080711
1.395525,4,8.084569
0.0,100,8.192007
11.995749,3,8.193475
33.482945,56,8.243355
10.217827,4,8.247205
-1.0,2,8.250204
-1.0,88,8.327505
13.265922,7,8.33645
20.67259,100,8.423495
0.0,100,8.512913
-1.0,71,8.575331
1.660316,100,8.661908
-0.212441,2,8.665113
17.544233,4,8.670248
0.0,100,8.76016
-1.0,2,8.762425
1.42422,12,8.773329
0.916231,57,8.827984
31.06766,4,8.832159
1.107928,100,8.92434
29.683912,4,8.928742
-0.590005,100,9.018609
-0.590005,2,9.019822
1.395525,92,9.096009
44.651746,23,9.117048
-0.270444,30,9.142498
42.935643,100,9.231619
29.235104,84,9.302428
1.446839,4,9.306268
6.119769,100,9.398855
0.755828,100,9.48228
32.039374,4,9.487037
-1.0,1,9.489561
0.105807,9,9.496921
23.025265,100,9.581456
-1.0,2,9.583447
-0.596094,2,9.594563
1.210958,4,9.596532
52.033371,4,9.598451
8.222316,100,9.634206
10.217827,4,9.636206
11.62666,14,9.667122
8.609025,2,9.668274
0.0,100,9.753212
38.461152,4,9.758431
36.829677,4,9.762367
35.997513,4,9.766881
40.640098,4,9.770673
42.718198,68,9.829186
31.535197,4,9.833043
0.0,100,9.916367
15.08548,29,9.941751
52.42967,4,9.946424
2.416144,100,10.030454
-1.0,26,10.05151
16.999128,4,10.055342
2.022688,100,10.139607
11.418152,4,10.143349
0.650241,11,10.154204
65.188512,5,10.158426
25.490063,3,10.162531
0.904489,100,10.244114
1.476171,100,10.329048
0.0,100,10.411824
5.95387,2,10.413815
1.248321,4,10.417756
61.652956,4,10.421611
1.11646,4,10.425408
11.667016,5,10.432065
11.579636,4,10.435882
0.127329,4,10.439814
-1.0,2,10.440992
-1.0,26,10.464541
18.87801,4,10.468467
81.185493,4,10.472526
44.946917,4,10.476327
17.178316,4,10.48105
12.592424,4,10.485083
4.516644,4,10.489038
-1.0,2,10.490216
14.241264,3,10.494442
-1.0,28,10.518285
47.291085,4,10.522162
-1.0,2,10.523413
15.393207,5,10.530106
1.423566,4,10.534004
1.173277,4,10.539774
21.741542,4,10.543638
-0.636473,3,10.545646
2.202164,4,10.54952
-1.0,2,10.553015
32.083291,4,10.556865
3.693666,2,10.558685
1.423566,4,10.562561
1.173277,5,10.568384
1.818886,4,10.572209
2.202164,4,10.576744
-1.0,2,10.57793
-1.0,2,10.580976
-1.0,54,10.62528
15.11743,4,10.629801
3.693666,2,10.63279
15.07202,100,10.718521
3.693666,2,10.719489
59.732012,4,10.724394
19.67259,4,10.728306
0.0,100,10.810659
1.417674,6,10.817167
72.340173,4,10.821702
3.266865,2,10.822842
-0.270444,2,10.825689
70.693323,4,10.829541
52.662191,4,10.834069
-0.240299,2,10.835209
-1.0,22,10.856486
17.536364,4,10.860308
