#{"t_start": 1752539602.9859183, "env_id": "None"}
r,l,t
14.840607,2,0.010177
0.0,100,0.192798
41.239792,31,0.247005
24.341046,80,0.345026
0.0,100,0.425248
25.341046,100,0.50627
24.341046,4,0.511612
24.341046,4,0.570625
25.341046,100,0.658012
0.0,100,0.738497
25.341046,100,0.824049
0.0,100,0.904863
24.341046,67,0.957422
12.360445,2,0.960234
0.0,100,1.042781
14.840607,27,1.065141
25.341046,100,1.145835
25.341046,100,1.225451
41.239792,2,1.228142
29.236784,93,1.316277
12.360445,43,1.357189
24.341046,75,1.418599
-1.0,13,1.430588
24.341046,58,1.478351
25.341046,100,1.563087
24.341046,63,1.616633
24.341046,69,1.675989
12.360445,69,1.73191
-1.0,1,1.732576
24.341046,71,1.793992
12.360445,9,1.802683
-1.0,75,1.864487
24.341046,63,1.915634
0.0,100,2.000218
0.0,100,2.08287
0.646667,100,2.1664
25.341046,100,2.248302
-1.0,1,2.249237
-1.0,1,2.251542
24.341046,58,2.299061
29.236784,20,2.315584
0.0,100,2.399593
29.236784,75,2.46011
0.0,100,2.54423
24.341046,85,2.628636
29.236784,21,2.645217
24.341046,13,2.657148
0.0,100,2.737971
0.0,100,2.819215
-1.0,37,2.848456
29.236784,31,2.876845
12.360445,2,2.879623
24.341046,91,2.951666
0.0,100,3.034845
12.360445,47,3.07512
0.0,100,3.157365
-1.0,1,3.158072
0.0,100,3.242449
24.341046,26,3.266028
12.360445,2,3.267138
12.360445,43,3.303288
-1.0,91,3.377595
29.236784,83,3.44607
0.646667,100,3.529049
-1.0,68,3.584069
0.0,100,3.666963
24.341046,44,3.705328
0.0,100,3.793294
24.341046,48,3.832767
0.0,100,3.914358
0.0,100,3.996704
24.341046,14,4.007391
24.341046,51,4.053476
0.0,100,4.133537
29.236784,2,4.136253
24.341046,40,4.168445
29.236784,24,4.188268
12.360445,2,4.191527
29.236784,3,4.19722
0.0,100,4.280835
-1.0,63,4.330879
0.646667,100,4.440356
-1.0,1,4.441037
15.840607,100,4.475996
25.341046,100,4.510784
0.0,100,4.545651
24.341046,43,4.590452
0.0,100,4.673262
0.0,100,4.764393
41.239792,2,4.767633
29.236784,22,4.786535
-1.0,23,4.80818
29.236784,9,4.815659
12.360445,25,4.836756
25.341046,100,4.921605
0.0,100,5.007681
0.0,100,5.093349
-1.0,1,5.095733
0.0,100,5.176927
-1.0,17,5.191766
29.236784,2,5.192935
-1.0,1,5.19526
24.341046,43,5.229396
0.0,100,5.35447
-1.0,1,5.356894
29.236784,2,5.358089
14.840607,32,5.384988
29.236784,66,5.446266
29.236784,2,5.447431
-1.0,19,5.464882
29.236784,49,5.524503
24.341046,72,5.588546
14.840607,43,5.625696
-1.0,45,5.662554
-1.0,1,5.663197
24.341046,18,5.682704
15.840607,100,5.791611
-1.0,13,5.806508
25.341046,100,5.88792
29.236784,23,5.908479
25.341046,100,5.99086
29.236784,58,6.039302
29.236784,4,6.043132
24.341046,38,6.075536
38.180858,81,6.140954
12.360445,9,6.148167
29.236784,4,6.151978
29.236784,4,6.156556
0.0,100,6.239901
-0.353333,40,6.272714
-0.353333,98,6.353633
-1.0,1,6.355132
29.236784,2,6.35799
29.236784,7,6.362861
-1.0,7,6.368793
-1.0,4,6.37277
-0.353333,4,6.375893
14.840607,49,6.415068
14.840607,35,6.443448
29.236784,5,6.448006
24.341046,48,6.48636
-1.0,1,6.490149
29.236784,31,6.521187
-1.0,1,6.524802
0.0,100,6.604495
29.236784,4,6.608259
-1.0,1,6.60894
15.840607,100,6.692009
25.341046,100,6.77509
29.236784,5,6.779014
0.0,100,6.861948
29.236784,77,6.923855
24.341046,64,6.974683
29.236784,80,7.046818
-1.0,1,7.049272
0.0,100,7.14681
14.840607,60,7.196866
0.646667,100,7.278653
29.236784,97,7.379457
14.840607,66,7.435765
-1.0,1,7.438107
0.0,100,7.523102
12.360445,19,7.537241
-1.0,17,7.553391
-0.353333,52,7.595042
24.341046,43,7.62854
29.236784,7,7.63483
12.360445,97,7.716336
41.239792,2,7.71913
30.236784,100,7.801881
29.236784,5,7.805789
0.0,100,7.888512
29.236784,79,7.956382
24.341046,17,7.970049
41.239792,2,7.972817
-1.0,1,7.97426
25.341046,100,8.057293
30.236784,100,8.141581
25.341046,100,8.22314
-1.0,69,8.280558
12.360445,84,8.34881
0.0,100,8.433598
24.341046,33,8.460152
0.646667,100,8.543576
-1.0,2,8.546084
0.0,100,8.63058
-1.0,32,8.65675
25.341046,100,8.740241
24.341046,32,8.766391
12.360445,2,8.767657
38.180858,57,8.822472
30.236784,100,8.928638
0.0,100,8.963601
41.239792,2,8.964731
25.341046,100,9.00084
0.0,100,9.035529
29.236784,28,9.066899
14.840607,30,9.093097
24.341046,3,9.096153
41.239792,2,9.097342
41.239792,2,9.101232
14.840607,2,9.102386
29.236784,15,9.115375
24.341046,2,9.116501
-0.353333,2,9.120144
0.0,100,9.201578
24.341046,2,9.202732
14.840607,2,9.205538
30.236784,100,9.289095
12.360445,93,9.365551
24.341046,2,9.368345
14.840607,4,9.371456
12.360445,3,9.374752
12.360445,2,9.377593
-1.0,42,9.410972
12.360445,3,9.414319
41.239792,2,9.418547
24.341046,2,9.419743
14.840607,2,9.422677
-1.0,38,9.452481
41.239792,2,9.456712
14.840607,2,9.457878
-1.0,2,9.460326
-1.0,1,9.460993
41.239792,2,9.463395
-1.0,54,9.507645
0.0,100,9.588645
-1.0,100,9.67064
38.180858,48,9.711024
30.236784,100,9.792855
24.341046,2,9.794075
14.840607,2,9.796892
-0.353333,51,9.839566
24.341046,2,9.840786
-1.0,10,9.850022
30.236784,100,9.931365
12.360445,3,9.93468
24.341046,2,9.93775
24.341046,2,9.938847
24.341046,2,9.941654
-0.353333,3,9.94595
12.360445,2,9.947062
38.180858,2,9.94988
0.0,100,10.030029
29.236784,15,10.042511
41.239792,2,10.045453
29.236784,83,10.114706
-0.353333,2,10.115859
0.0,100,10.199375
12.360445,3,10.202817
-1.0,1,10.203446
-0.353333,2,10.206257
0.0,100,10.288957
24.341046,2,10.290158
14.840607,2,10.293015
38.180858,2,10.294115
12.360445,2,10.298358
12.360445,30,10.321828
12.360445,3,10.325167
30.236784,100,10.408174
-0.353333,2,10.410855
24.341046,2,10.413702
14.840607,2,10.414831
29.236784,20,10.431723
38.180858,2,10.436339
41.239792,3,10.444517
24.341046,2,10.445755
12.360445,3,10.449126
29.236784,4,10.454158
30.236784,100,10.535716
-0.353333,2,10.536864
30.236784,100,10.620951
12.360445,54,10.667432
-0.353333,3,10.670453
29.236784,62,10.720196
12.360445,3,10.72355
-1.0,1,10.725584
30.236784,100,10.806762
-1.0,1,10.807463
0.0,100,10.890482
30.236784,100,10.972291
0.0,100,11.05746
-1.0,45,11.095004
12.360445,3,11.09669
24.341046,2,11.100962
-1.0,1,11.101595
12.360445,3,11.104954
29.236784,85,11.174249
14.840607,2,11.179442
29.236784,24,11.199404
12.360445,4,11.203082
24.341046,2,11.204192
-1.0,70,11.263992
-1.0,1,11.264672
29.236784,89,11.338447
24.341046,2,11.341267
15.840607,100,11.423557
24.341046,2,11.424715
24.341046,2,11.427491
12.360445,3,11.429179
24.341046,2,11.433365
41.239792,25,11.45349
0.0,100,11.535737
29.236784,19,11.55173
24.341046,2,11.554293
-1.0,1,11.556615
24.341046,2,11.557741
14.840607,2,11.560567
29.236784,62,11.612386
24.341046,21,11.62925
0.0,100,11.712358
0.0,100,11.793972
24.341046,2,11.798342
24.341046,2,11.79945
14.840607,2,11.802304
12.360445,3,11.805669
29.236784,48,11.847467
12.360445,3,11.849156
24.341046,2,11.851987
0.0,100,11.935633
24.341046,2,11.938864
14.840607,2,11.941828
30.236784,100,12.02388
24.341046,2,12.025076
24.341046,3,12.02945
12.360445,3,12.0328
-1.0,1,12.033443
30.236784,100,12.115565
0.0,100,12.213194
24.341046,3,12.216024
12.360445,3,12.219375
-1.0,30,12.243071
29.236784,3,12.247853
14.840607,27,12.271064
24.341046,2,12.272174
24.341046,2,12.274997
29.236784,3,12.278047
30.236784,100,12.359404
24.341046,3,12.362503
38.180858,2,12.365308
41.239792,21,12.383622
29.236784,3,12.387157
30.236784,100,12.471746
24.341046,2,12.472934
29.236784,58,12.52417
0.0,100,12.607534
30.236784,100,12.690426
24.341046,3,12.691726
41.239792,15,12.705792
12.360445,3,12.709204
-1.0,1,12.709902
24.341046,2,12.712863
30.236784,100,12.799755
29.236784,3,12.801494
12.360445,3,12.804842
14.840607,2,12.807714
12.360445,3,12.810823
-1.0,19,12.829421
14.840607,2,12.832266
0.0,100,12.919284
14.840607,13,12.931531
0.0,100,13.017524
24.341046,2,13.01879
38.180858,2,13.021719
42.239792,100,13.108623
-1.0,16,13.121874
30.236784,100,13.209312
30.236784,100,13.293687
12.360445,3,13.301157
24.341046,2,13.302209
0.0,100,13.337733
24.341046,2,13.338818
24.341046,2,13.33984
29.236784,32,13.372189
38.180858,2,13.375344
30.236784,100,13.47432
24.341046,2,13.47564
12.360445,3,13.480086
24.341046,2,13.483367
42.239792,100,13.566689
38.180858,2,13.567884
29.236784,29,13.592566
0.0,100,13.679295
-1.0,43,13.717924
-0.353333,3,13.721482
24.341046,2,13.723457
38.180858,2,13.726352
12.360445,3,13.729789
-1.0,1,13.730447
12.360445,3,13.734757
24.341046,3,13.736048
29.236784,94,13.816447
-1.0,84,13.887556
24.341046,3,13.891633
12.360445,3,13.893369
24.341046,2,13.896198
-0.353333,3,13.899651
24.341046,2,13.901514
41.256908,2,13.904337
14.840607,2,13.905549
29.236784,57,13.952665
42.239792,100,14.041598
-0.353333,3,14.045219
29.236784,79,14.111217
12.360445,3,14.114652
38.180858,2,14.116657
41.256908,2,14.119657
24.341046,2,14.120818
29.236784,16,14.134574
12.360445,3,14.138798
24.341046,2,14.13992
29.236784,77,14.208107
-1.0,37,14.239008
14.840607,2,14.24108
0.0,100,14.327183
12.360445,4,14.33085
12.360445,4,14.334525
12.360445,4,14.338969
0.0,100,14.423072
-0.353333,3,14.42661
24.341046,3,14.429615
24.341046,2,14.431515
0.0,100,14.513874
12.360445,3,14.517261
38.180858,2,14.520004
14.840607,3,14.522049
29.236784,18,14.538039
24.341046,2,14.53913
-0.353333,3,14.542461
14.840607,2,14.545936
12.360445,3,14.547562
12.360445,3,14.550914
41.256908,3,14.553987
41.239792,15,14.569151
12.360445,3,14.570798
0.0,100,14.65112
-1.0,34,14.679857
12.360445,3,14.684341
-1.0,40,14.716746
12.360445,5,14.720394
29.236784,8,14.727262
29.236784,59,14.776691
0.0,100,14.860528
-1.0,1,14.861272
12.360445,3,14.864604
14.840607,2,14.866615
41.239792,2,14.869912
-1.0,1,14.870567
12.360445,3,14.873899
-1.0,100,14.954308
-0.353333,3,14.955971
12.360445,3,14.959522
30.236784,100,15.041424
14.840607,2,15.045186
38.180858,2,15.04629
24.341046,2,15.049093
-1.0,45,15.085247
30.236784,100,15.172667
12.360445,3,15.176152
12.360445,3,15.177887
-1.0,37,15.213259
24.341046,2,15.215257
12.360445,3,15.218787
-1.0,1,15.219418
41.256908,3,15.222629
-0.353333,3,15.227566
30.236784,100,15.3119
14.840607,2,15.313392
24.341046,2,15.31633
-1.0,98,15.400483
14.840607,2,15.403446
-1.0,91,15.483811
-1.0,1,15.48634
41.256908,2,15.488325
29.236784,38,15.527007
-1.0,16,15.54039
14.840607,2,15.541599
-0.353333,3,15.545753
12.360445,3,15.549176
-1.0,53,15.592545
-1.0,29,15.618282
12.360445,4,15.622696
24.341046,2,15.625614
41.256908,2,15.626751
-0.353333,3,15.630358
14.840607,3,15.634115
-0.353333,3,15.635814
-0.353333,3,15.639278
30.236784,100,15.753014
-1.0,2,15.756958
-1.0,1,15.757677
30.236784,100,15.843173
24.341046,2,15.844344
-0.353333,3,15.848818
41.256908,3,15.85187
29.236784,19,15.868703
24.341046,3,15.870038
-0.353333,3,15.873993
14.840607,2,15.877184
12.360445,3,15.878899
12.360445,3,15.884116
14.840607,2,15.887686
12.360445,3,15.88944
41.239792,2,15.89226
29.236784,16,15.9055
-1.0,2,15.907393
24.341046,2,15.910921
38.180858,2,15.912058
29.236784,86,15.986318
41.256908,2,15.988206
-1.0,1,15.990604
38.180858,3,15.991911
41.256908,2,15.99476
-1.0,76,16.223778
30.236784,100,16.382881
29.236784,87,16.535
14.840607,2,16.536207
24.341046,2,16.540069
24.341046,4,16.543199
41.239792,4,16.546699
24.341046,2,16.547857
24.341046,2,16.551754
29.236784,3,16.553542
0.0,100,16.750016
29.236784,51,16.852922
-1.0,55,16.928478
12.360445,3,16.931873
24.341046,3,16.93318
-1.0,1,16.940392
29.236784,35,16.97209
41.256908,2,16.97519
30.236784,100,17.076929
24.341046,2,17.078076
30.236784,100,17.46853
24.341046,2,17.471264
0.633084,100,17.553297
24.341046,2,17.554447
-1.0,2,17.558681
29.236784,58,17.60781
24.341046,2,17.610857
38.180858,2,17.61213
24.341046,2,17.625399
24.341046,2,17.626517
41.256908,3,17.634524
12.360445,3,17.63935
24.341046,2,17.641889
12.360445,2,17.644457
24.341046,2,17.645576
24.341046,2,17.648379
12.360445,3,17.653109
41.256908,2,17.654218
12.360445,3,17.657662
38.180858,2,17.658759
29.236784,66,17.716927
12.360445,4,17.720438
-1.0,1,17.721093
24.341046,2,17.723846
-1.0,1,17.725909
-0.353333,3,17.729281
29.236784,34,17.755874
-0.353333,4,17.759799
-1.0,1,17.761801
12.360445,4,17.765358
24.341046,2,17.768187
24.341046,2,17.769357
12.360445,3,17.774213
-1.0,2,17.777128
41.239792,20,17.795766
-1.0,2,17.797043
38.180858,43,17.834539
41.239792,58,17.880621
12.360445,3,17.88396
24.341046,2,17.88679
14.840607,2,17.889191
41.239792,90,17.963826
-0.353333,3,17.965537
-1.0,1,17.967806
30.236784,100,18.051815
24.341046,2,18.053019
29.236784,19,18.069015
29.236784,8,18.075751
29.236784,26,18.099144
38.180858,2,18.101972
-1.0,23,18.123449
41.256908,2,18.124602
41.256908,3,18.129175
24.341046,2,18.130303
41.239792,2,18.132955
41.239792,2,18.134054
14.840607,2,18.138207
-1.0,2,18.139381
41.239792,2,18.142239
24.341046,2,18.143337
-1.0,9,18.153366
12.360445,3,18.154996
-1.0,1,18.157315
41.239792,2,18.158419
12.360445,3,18.163088
29.236784,3,18.166454
12.360445,3,18.168101
-1.0,93,18.254929
24.341046,2,18.257691
29.236784,3,18.260898
29.236784,3,18.264083
29.236784,3,18.265569
-1.0,1,18.2693
14.840607,2,18.270446
29.236784,3,18.27364
14.840607,2,18.274758
-1.0,1,18.278374
12.360445,3,18.28002
0.0,100,18.362448
14.840607,2,18.365354
12.360445,3,18.369998
12.360445,3,18.37165
24.341046,2,18.374486
0.0,100,18.468154
12.360445,3,18.473118
12.360445,3,18.47478
24.341046,2,18.477742
-0.353333,3,18.481101
24.341046,2,18.483492
24.341046,2,18.486364
-1.0,1,18.486996
-1.0,2,18.488135
12.360445,3,18.493809
24.341046,2,18.496825
-1.0,2,18.498018
24.341046,2,18.500937
29.236784,23,18.519566
-0.353333,3,18.522896
29.236784,18,18.554485
41.256908,2,18.55575
24.341046,2,18.559552
-1.0,2,18.560746
29.236784,13,18.570961
12.360445,3,18.574313
14.840607,2,18.577935
-1.0,3,18.579517
12.360445,3,18.582835
41.239792,38,18.620076
12.360445,3,18.6225
24.341046,2,18.657371
12.360445,3,18.658976
41.256908,2,18.660041
-1.0,2,18.66122
24.341046,2,18.662273
24.341046,3,18.672395
24.341046,2,18.675426
38.180858,2,18.676585
12.360445,3,18.681018
-1.0,1,18.681647
24.341046,2,18.68449
41.239792,2,18.685627
-1.0,2,18.689616
14.840607,2,18.690782
41.256908,2,18.693661
-1.0,2,18.695022
-0.353333,3,18.703352
24.341046,2,18.704551
24.341046,2,18.707427
12.360445,3,18.710858
29.236784,7,18.717425
0.0,100,18.812461
29.236784,3,18.816053
29.236784,45,18.854877
24.341046,2,18.859298
24.341046,2,18.860445
-0.353333,3,18.863827
24.341046,2,18.866638
14.840607,2,18.869143
-1.0,2,18.871971
12.360445,3,18.873658
30.236784,100,18.974368
-1.0,77,19.045702
24.341046,2,19.046916
29.236784,3,19.050453
-0.353333,3,19.053891
-1.0,2,19.056645
-1.0,1,19.05729
-1.0,2,19.060239
30.236784,100,19.145314
30.236784,100,19.229417
29.236784,74,19.290252
24.341046,2,19.2932
-1.0,63,19.347682
30.236784,100,19.439339
29.236784,4,19.442672
-1.0,2,19.443881
24.341046,39,19.479273
0.0,100,19.563984
14.840607,2,19.5652
12.360445,3,19.568505
24.341046,2,19.57146
0.0,100,19.658784
24.341046,2,19.659989
-1.0,1,19.660647
29.236784,41,22.234271
38.180858,2,22.239262
38.180858,2,22.48906
24.341046,2,22.49035
-1.0,1,22.491016
30.236784,100,23.406875
24.341046,2,23.409905
29.236784,35,23.439919
24.341046,3,23.441279
-1.0,2,23.446671
-1.0,1,23.447299
12.360445,3,23.450721
24.341046,2,23.45183
29.236784,47,23.496629
-1.0,2,23.499507
24.341046,2,23.500637
29.236784,35,23.532392
-1.0,62,23.589317
24.341046,2,23.592108
41.239792,12,23.603203
24.341046,2,23.604338
14.840607,2,23.608071
12.360445,3,23.61192
30.236784,100,23.699322
-1.0,1,23.700157
24.341046,2,23.702147
0.0,100,23.796993
14.840607,12,23.807212
24.341046,2,23.810518
29.236784,24,23.838331
38.180858,12,23.848075
24.341046,2,23.849244
12.360445,3,23.852582
24.341046,2,23.856284
24.341046,2,23.857638
41.256908,2,23.86047
14.840607,2,23.861655
38.180858,2,23.865371
14.840607,2,23.866529
-1.0,2,23.869474
-1.0,1,23.870125
24.341046,2,23.872031
12.360445,3,23.875393
12.360445,3,23.878872
24.341046,2,23.879982
-1.0,2,23.883608
12.360445,3,23.887082
29.236784,7,23.892096
24.341046,2,23.895189
24.341046,3,23.899031
-1.0,1,23.899669
30.236784,100,23.983879
0.0,100,24.069429
