#{"t_start": 1752540293.492441, "env_id": "None"}
r,l,t
11.607728,100,0.215728
0.0,100,0.300645
14.25073,36,0.332537
-1.0,4,0.336026
9.577259,65,0.393854
14.259973,20,0.411694
0.0,100,0.499454
10.178672,2,0.5007
10.607728,87,0.598828
10.149737,6,0.603302
0.0,100,0.697077
0.0,100,0.783952
10.607728,74,0.848518
0.365443,100,0.943749
30.846925,35,0.975578
0.0,100,1.061916
9.577259,4,1.065779
10.607728,14,1.078496
14.259973,2,1.082437
10.178672,4,1.086129
9.577259,26,1.107602
22.060659,2,1.110682
20.657125,22,1.129564
10.178672,3,1.133101
10.577259,100,1.218335
21.657125,100,1.308528
11.607728,100,1.397415
10.178672,3,1.400993
9.577259,84,1.47304
10.577259,100,1.558595
0.0,100,1.644639
10.577259,100,1.729719
-1.0,37,1.784823
9.577259,24,1.80566
-1.0,3,1.809846
22.20785,100,1.90799
0.0,100,2.00379
0.0,100,2.089733
10.607728,3,2.092431
-1.0,36,2.123226
10.178672,4,2.127006
11.607728,100,2.21404
0.0,100,2.325309
16.76,100,2.411875
0.0,100,2.499101
9.577259,10,2.509055
20.249483,2,2.511103
20.657125,85,2.585732
-1.0,46,2.650352
0.0,100,2.739006
20.657125,13,2.750763
-0.634557,12,2.761965
0.0,100,2.887458
21.657125,100,2.972421
0.0,100,3.059185
14.259973,79,3.130487
0.0,100,3.225272
0.0,100,3.311584
9.577259,5,3.316837
10.178672,100,3.402461
0.0,100,3.490549
16.76,100,3.589926
11.607728,100,3.676613
10.607728,34,3.707358
-1.0,33,3.73683
0.0,100,3.845026
0.0,100,3.930942
-0.595794,10,3.941105
-1.0,28,3.965119
10.178672,95,4.049314
14.006355,100,4.135357
10.607728,32,4.16312
10.149737,32,4.194598
-1.0,71,4.258028
20.249483,2,4.262228
-1.0,1,4.262677
10.178672,2,4.263793
21.20785,43,4.302361
0.0,100,4.387577
14.006355,100,4.478097
10.149737,94,4.579764
22.060659,2,4.58095
-1.0,80,4.678732
9.577259,38,4.71725
0.404206,100,4.795719
0.0,100,4.831591
0.0,100,4.867568
0.365443,100,4.903223
0.0,100,4.938785
14.259973,96,5.028621
20.249483,47,5.07027
22.060659,2,5.074414
10.178672,87,5.154133
0.0,100,5.258573
0.0,100,5.345947
20.249483,58,5.397504
10.178672,3,5.401456
14.259973,5,5.405548
10.178672,3,5.409087
0.0,100,5.501285
9.577259,46,5.53922
9.577259,8,5.546348
0.0,100,5.631138
14.259973,2,5.635078
-0.595794,74,5.697259
10.149737,2,5.700289
0.0,100,5.794441
14.006355,100,5.880023
10.607728,32,5.907384
14.259973,2,5.908546
10.149737,30,5.93504
10.149737,90,6.013136
9.577259,44,6.051736
10.178672,28,6.077188
10.607728,98,6.161922
10.178672,39,6.194989
0.0,100,6.27967
9.577259,79,6.348651
0.0,100,6.435313
-1.0,12,6.44652
0.0,100,6.535284
0.0,100,6.625405
-1.0,62,6.680748
22.060659,2,6.682857
10.607728,23,6.703314
0.365443,100,6.789465
14.259973,85,6.864297
10.607728,47,6.909361
14.259973,2,6.910563
0.0,100,6.999156
16.76,100,7.084268
-1.0,3,7.118896
21.20785,63,7.183034
0.0,100,7.270669
10.577259,100,7.355302
0.0,100,7.445823
14.006355,100,7.53209
-1.0,30,7.557684
11.178672,100,7.649045
22.20785,100,7.736332
-1.0,9,7.745972
0.0,100,7.835752
0.0,100,7.921551
-1.0,78,7.988706
0.0,100,8.126282
10.149737,14,8.140118
0.365443,100,8.22901
0.0,100,8.317838
10.149737,10,8.326011
0.0,100,8.418585
10.149737,28,8.446292
0.404206,100,8.538539
10.178672,49,8.586751
0.0,100,8.677324
9.577259,29,8.705507
-1.0,15,8.719659
-1.0,99,8.810555
10.149737,2,8.813671
0.0,100,8.907585
13.006355,22,8.927205
10.607728,51,8.973149
20.657125,41,9.044869
0.404206,100,9.136452
0.0,100,9.224301
0.0,100,9.313498
10.178672,14,9.326725
0.0,100,9.414
10.607728,55,9.461668
9.577259,43,9.500089
22.758702,100,9.56885
