#{"t_start": 1752540149.242567, "env_id": "None"}
r,l,t
37.737218,3,0.010374
0.756593,100,0.262654
-0.161991,43,0.299059
19.497272,100,0.384606
1.14372,100,0.469089
35.967366,37,0.501831
29.387081,88,0.616983
10.152021,2,0.620026
22.384401,11,0.627945
9.894178,2,0.631789
6.717443,7,0.638419
12.812155,28,0.662314
10.194783,2,0.663468
-1.0,1,0.664944
12.934096,100,0.750389
12.358128,100,0.836356
4.102317,15,0.849847
41.03891,24,0.871644
50.720903,3,0.875137
0.0,100,0.960758
1.769673,3,0.965705
10.194783,2,0.967983
11.486957,2,0.970971
13.75028,74,1.078038
1.769673,3,1.081829
-1.0,63,1.16578
49.499987,3,1.167481
35.967366,3,1.170962
0.0,100,1.258426
0.0,100,1.353485
0.0,100,1.440138
20.327976,6,1.44656
9.962378,3,1.44821
7.367321,25,1.471999
19.624692,13,1.482843
3.346567,3,1.486415
-0.161991,3,1.488095
37.864774,3,1.492552
15.669973,3,1.495973
35.967366,3,1.499415
7.367321,19,1.514174
3.990406,100,1.60155
21.186124,2,1.60462
-0.211392,4,1.608311
6.717443,35,1.640406
14.231584,11,1.65006
11.477368,3,1.653514
32.410655,3,1.657029
0.0,100,1.746078
10.194783,2,1.748185
0.0,100,1.837222
-1.0,51,1.881428
22.384401,34,1.911729
10.39185,3,1.914222
-1.0,1,1.916655
25.099447,18,1.931525
53.306096,3,1.934496
-1.0,98,2.01662
33.062855,3,2.020142
-0.211392,3,2.023624
22.384401,3,2.027086
-1.0,3,2.029547
0.0,100,2.114269
53.306096,3,2.117513
50.720903,3,2.120962
39.38456,3,2.125175
0.0,100,2.216489
-1.0,68,2.276809
18.417519,100,2.369213
-1.0,98,2.451685
7.853718,100,2.53857
-0.161991,3,2.542619
0.0,100,2.627547
14.231584,4,2.632508
-0.314501,4,2.636338
-1.0,38,2.66681
-0.213451,98,2.752625
-0.370192,33,2.781695
10.194783,2,2.78463
12.812155,3,2.786258
6.879725,37,2.819425
14.231584,54,2.865469
22.384401,15,2.878843
8.446942,100,2.963924
-1.0,67,3.020837
3.280475,2,3.022869
14.189149,9,3.029713
23.175657,3,3.033366
19.624692,53,3.078367
1.639733,4,3.083112
33.065707,4,3.086698
0.0,100,3.1728
4.698948,26,3.195626
-1.0,93,3.274301
1.639733,4,3.278378
44.359074,100,3.364509
0.0,100,3.449743
21.186124,2,3.453611
3.905045,100,3.540921
16.393625,3,3.542643
0.0,100,3.630974
28.638936,35,3.663683
0.0,100,3.755353
11.486957,3,3.759202
22.384401,3,3.7627
3.21567,23,3.782776
37.737218,3,3.786491
0.0,100,3.875425
31.268092,3,3.878938
0.0,100,3.968735
40.098133,3,3.973188
25.49683,3,3.974875
20.327976,39,4.012596
48.645099,3,4.016873
25.196633,3,4.020314
13.341379,2,4.021426
7.233795,5,4.025383
-0.314501,3,4.030266
40.087157,3,4.034034
50.720903,3,4.037461
31.35086,4,4.041469
17.245579,3,4.043736
-0.211392,3,4.047315
37.864774,3,4.050972
20.113932,4,4.055028
-1.0,11,4.065956
28.546473,3,4.067564
-0.138154,4,4.072134
0.0,100,4.161147
72.424542,13,4.174565
0.0,100,4.261476
14.231584,4,4.265681
-1.0,60,4.318202
29.813181,3,4.320772
13.341379,2,4.32371
1.135987,100,4.409477
3.376915,2,4.410674
1.639733,5,4.417538
25.419868,3,4.419132
3.21567,3,4.422546
16.083257,3,4.426029
6.553906,4,4.430647
0.0,100,4.516375
4.038427,3,4.519827
-0.570117,3,4.521507
32.143275,3,4.525827
1.382776,3,4.529231
29.813181,3,4.532626
0.0,100,4.616815
16.030242,3,4.61928
25.196633,3,4.623089
0.215826,4,4.626767
0.0,100,4.736528
0.905539,100,4.771952
38.213133,4,4.77389
50.720903,3,4.775463
31.632154,4,4.777335
36.157399,4,4.78801
34.143324,3,4.792191
21.186124,2,4.795197
16.158528,3,4.796838
15.422281,3,4.800575
24.384726,3,4.804983
6.553906,4,4.808994
3.190016,74,4.870888
32.410655,3,4.874504
9.962378,32,4.90285
50.720903,3,4.90625
37.494609,17,4.920377
21.186124,2,4.923312
44.232133,3,4.926355
31.268092,3,4.932088
1.639733,4,4.936051
16.030242,3,4.939428
31.35086,5,4.944861
0.0,100,5.029448
-1.0,6,5.035672
11.477368,3,5.037443
3.864601,3,5.042488
0.215826,4,5.046204
35.510503,3,5.049752
0.0,100,5.135633
1.639733,4,5.141385
10.152021,2,5.142495
7.853718,100,5.228561
1.485681,4,5.232144
14.881539,3,5.237058
20.25003,4,5.241036
0.0,100,5.328928
-0.161991,3,5.333074
34.143324,3,5.337997
1.663627,3,5.339282
0.0,100,5.4269
0.0,100,5.51583
0.254482,2,5.520403
6.553906,4,5.524328
-0.314501,3,5.527678
-1.0,36,5.55827
0.0,100,5.645033
-0.211392,3,5.646686
3.21567,3,5.650086
6.553906,4,5.653999
33.153593,3,5.658837
3.376915,3,5.662032
-1.0,52,5.705791
0.696632,3,5.707382
-0.138154,5,5.71489
11.477368,3,5.716518
-1.0,1,5.718896
-0.138154,4,5.722808
32.874638,3,5.725756
-1.0,10,5.735548
3.280475,2,5.736701
0.696632,3,5.740117
0.0,100,5.825488
-1.0,65,5.880268
0.0,100,5.964367
25.196633,4,5.968141
7.18552,3,5.973223
31.632154,4,5.976938
31.112044,3,5.980358
-1.0,92,6.058689
12.812155,3,6.063999
0.0,100,6.150509
-0.211392,4,6.154198
37.864774,3,6.155839
3.280475,45,6.19824
11.486957,2,6.199398
32.410655,3,6.204611
25.196633,3,6.208097
11.477368,3,6.211222
1.382776,3,6.214639
24.105658,3,6.218087
33.107124,3,6.221517
14.038466,3,6.22448
4.102317,3,6.22794
3.280475,2,6.230849
0.215826,3,6.232535
-1.0,1,6.236391
3.21567,3,6.237762
44.232133,3,6.241154
31.35086,4,6.245081
-0.138154,4,6.250355
7.647361,100,6.340225
0.0,100,6.433053
20.327976,3,6.43682
0.184332,4,6.442769
4.038427,4,6.446729
6.553906,4,6.451209
3.452525,2,6.452622
