#{"t_start": 1752541076.6295362, "env_id": "None"}
r,l,t
0.0,100,0.224309
2.41594,4,0.228263
2.417674,100,0.315557
0.67125,100,0.403798
4.035406,5,0.421271
0.781015,100,0.507285
0.604788,100,0.613938
-1.0,1,0.614681
2.794506,5,0.618867
29.279766,5,0.623235
0.465345,100,0.711664
1.443898,17,0.727317
-1.0,2,0.728547
61.476387,4,0.732499
57.439128,4,0.737357
7.691456,4,0.741391
0.403906,100,0.831707
0.134477,23,0.852033
13.584595,4,0.85714
0.0,100,0.947316
39.936931,4,0.951327
1.621508,100,1.085405
2.96695,5,1.091034
38.274858,4,1.095338
0.0,100,1.190619
45.501612,5,1.195289
21.77234,5,1.202938
24.781388,100,1.336051
37.97149,4,1.340055
59.185437,4,1.344159
-1.0,3,1.34637
24.079594,100,1.433543
14.459849,4,1.437618
-1.0,5,1.443227
37.697138,3,1.445706
11.726929,4,1.44965
35.48752,4,1.453899
8.720248,4,1.457852
52.037127,4,1.462539
51.438898,4,1.466506
3.10652,3,1.470029
0.0,100,1.556984
23.083055,6,1.563902
32.228338,33,1.592013
8.246654,5,1.59623
0.0,100,1.682097
0.0,100,1.770523
30.11317,4,1.7746
0.0,100,1.860782
7.431488,4,1.864819
6.611861,4,1.869589
43.878614,100,1.958736
58.181443,4,1.96272
6.914491,71,2.02646
8.331547,4,2.031283
1.890759,100,2.141888
0.136217,5,2.146155
58.772452,4,2.150089
19.758774,4,2.155107
1.443898,4,2.160185
10.374706,4,2.164151
-1.0,1,2.16479
0.0,100,2.251265
0.789544,5,2.257602
-1.0,98,2.348351
16.820408,5,2.352452
60.715186,4,2.357229
56.901602,4,2.361149
0.0,100,2.446152
0.0,100,2.530909
0.916231,6,2.538288
0.509028,18,2.562034
33.248458,45,2.601917
7.691456,4,2.605992
0.787559,100,2.691371
20.92565,4,2.695293
0.592784,100,2.77881
19.758774,4,2.782814
0.0,100,2.867974
0.0,100,2.953581
0.468853,100,3.038026
-1.0,68,3.095989
21.617062,4,3.100845
3.163568,4,3.104729
2.351157,85,3.177881
0.940097,63,3.233094
0.661081,72,3.295283
21.297654,5,3.299467
41.902747,4,3.303399
1.481965,5,3.307472
0.914889,5,3.312952
-1.0,1,3.315428
-0.428986,66,3.370465
-1.0,70,3.435263
39.909856,5,3.440348
33.040255,4,3.444374
9.971742,4,3.448321
0.0,100,3.533582
42.079655,4,3.538392
1.810162,4,3.542317
0.697504,100,3.627767
2.294296,100,3.715137
1.905265,5,3.720565
0.914889,5,3.725065
0.785268,100,3.810986
0.0,100,3.906846
3.10652,3,3.911268
20.537384,4,3.915274
8.359172,5,3.919481
1.49881,100,4.004458
-0.531147,67,4.065086
12.49756,4,4.069055
8.640551,4,4.072971
7.691456,5,4.077089
7.691456,4,4.081774
1.465075,92,4.159665
17.786002,4,4.163639
0.0,100,4.250966
-0.395212,6,4.258098
64.597019,4,4.262116
1.553382,3,4.265612
-1.0,47,4.30758
1.481965,84,4.38976
1.462304,4,4.394306
0.914889,4,4.398506
21.328414,4,4.402777
20.79754,4,4.407999
0.741389,64,4.467599
2.212236,3,4.471401
1.421405,3,4.475164
3.962887,55,4.528463
0.0,100,4.622097
0.136217,5,4.626929
0.0,100,4.72205
35.418845,4,4.756032
0.0,100,4.795082
3.076539,3,4.796744
59.886285,4,4.798835
63.706433,4,4.800911
