#{"t_start": 1752540195.5620205, "env_id": "None"}
r,l,t
3.757874,3,0.010249
27.22066,3,0.02992
-1.0,20,0.209394
0.0,100,0.312423
2.719741,32,0.341151
17.607756,3,0.344661
40.496103,33,0.375335
24.988554,3,0.378925
2.629973,50,0.429765
13.155352,5,0.433866
0.0,100,0.560496
41.683878,3,0.565796
1.253112,50,0.609782
41.042735,3,0.611409
3.183371,3,0.616595
1.601319,87,0.693729
0.0,100,0.78245
42.718634,28,0.807222
4.064423,94,0.888932
0.0,100,0.977855
8.904268,3,0.98146
24.554309,5,0.98534
6.702233,100,1.111009
7.129461,3,1.114774
41.560052,61,1.170472
42.066539,3,1.174116
40.359238,3,1.17926
41.470611,3,1.182772
40.359238,3,1.184425
33.926726,3,1.187708
-1.0,1,1.189707
2.629627,4,1.193831
-1.0,6,1.199826
34.759367,100,1.288612
26.772391,3,1.294016
0.615274,100,1.385952
40.359238,29,1.411532
3.108063,3,1.41522
4.064423,69,1.478498
27.22066,5,1.48278
3.599352,3,1.486322
3.752005,3,1.489875
4.064423,76,1.563221
0.0,100,1.654107
41.338941,3,1.655892
42.718634,3,1.659448
20.483199,7,1.66769
41.338941,3,1.671116
7.129461,3,1.672734
2.719741,4,1.676682
-0.094774,2,1.681022
1.572802,2,1.682156
10.386456,60,1.732509
2.629627,4,1.736606
0.0,100,1.825765
7.814592,100,1.909411
44.237466,3,1.912901
-1.0,1,1.913551
26.508023,57,1.965204
0.0,100,2.051389
1.252578,30,2.076675
6.814592,3,2.080101
2.430465,4,2.085665
0.605917,100,2.172963
26.772391,3,2.176497
0.0,100,2.265068
3.006273,4,2.27067
1.319527,39,2.302276
47.544091,100,2.386765
0.0,100,2.472725
33.831496,3,2.477795
42.916253,3,2.48127
-0.094774,8,2.488429
25.22564,3,2.491838
42.804345,3,2.49484
20.375437,2,2.497839
-1.0,78,2.562866
39.071318,3,2.5694
41.683878,3,2.574497
-1.0,65,2.633789
21.244795,32,2.661196
41.613684,3,2.664634
2.713353,4,2.670576
26.508023,4,2.674205
15.276147,3,2.677626
2.91744,3,2.67922
25.816504,4,2.684166
2.713353,4,2.688159
3.108063,3,2.691626
1.355357,40,2.727016
23.144059,3,2.731951
2.91744,3,2.735376
-1.0,60,2.787518
2.713353,4,2.791535
29.357947,4,2.796681
42.318931,3,2.798335
-1.0,13,2.812386
-0.094774,32,2.839509
1.808512,2,2.84212
1.37241,31,2.871375
0.0,100,2.95815
2.719741,4,2.962211
24.554309,3,2.967169
3.006273,5,2.971771
42.332749,4,2.975438
5.104761,4,2.979098
26.750639,56,3.028382
15.735758,20,3.045375
2.150693,43,3.082922
26.508023,3,3.084571
3.757902,3,3.089504
0.0,100,3.196037
6.814592,3,3.199539
22.153394,3,3.202955
20.449955,3,3.206093
1.395054,38,3.239174
-1.0,1,3.239825
2.068455,6,3.246308
39.074305,3,3.249372
1.395054,4,3.253482
1.573716,2,3.256441
43.785962,40,3.289927
-1.0,9,3.298544
-1.0,1,3.299185
0.0,100,3.383856
1.355357,69,3.444611
3.757902,3,3.447795
3.799253,3,3.451234
44.237466,20,3.467955
24.761731,3,3.471409
24.554309,3,3.47629
1.37241,42,3.510301
2.91744,3,3.513841
6.763496,3,3.517257
1.355357,45,3.556152
41.470611,4,3.559745
0.0,100,3.644762
39.259229,40,3.677987
40.58223,29,3.704004
42.669004,3,3.707516
3.006273,4,3.71149
42.629227,39,3.745162
41.683878,4,3.750311
0.615274,100,3.835695
40.359238,48,3.876834
26.508023,4,3.880429
43.093994,38,3.913449
40.359238,10,3.923458
3.757902,3,3.925099
22.241525,100,4.009248
1.989026,84,4.082769
3.770735,3,4.087017
4.064423,3,4.090452
15.735758,31,4.117089
0.0,100,4.208084
-0.38916,83,4.278808
-0.394393,37,4.312828
40.359238,3,4.314457
-0.526177,85,4.389323
-1.0,1,4.390023
-0.582638,41,4.424234
46.009887,100,4.510314
22.230737,100,4.596998
16.115304,3,4.600538
1.151579,53,4.645453
40.334494,3,4.648928
42.718634,3,4.653917
42.718634,3,4.655509
6.709163,100,4.745674
41.390408,3,4.749185
-1.0,1,4.762273
41.236264,100,4.797887
0.0,100,4.83324
24.988554,3,4.834759
2.152544,100,4.870264
-1.0,41,4.917751
3.173761,42,4.952052
41.646895,100,5.035436
2.713353,4,5.039409
23.308984,3,5.043479
25.816504,3,5.046952
15.276147,3,5.048555
0.0,100,5.13304
1.209637,3,5.137304
41.470611,3,5.14082
0.0,100,5.223562
26.508023,4,5.227203
42.010551,3,5.231206
44.237466,3,5.232833
22.81558,100,5.318275
29.357947,3,5.321693
45.567347,3,5.325886
41.683878,3,5.330416
14.789887,3,5.33199
1.209637,4,5.335936
1.37241,74,5.402653
40.1009,3,5.406106
3.108063,4,5.409659
1.439105,3,5.411223
41.354364,18,5.428092
17.607756,4,5.431645
0.0,100,5.519097
22.230737,100,5.607134
0.0,100,5.69194
32.485973,4,5.695644
-1.0,11,5.705684
42.089108,100,5.791697
-1.0,36,5.825613
0.0,100,5.910031
0.0,100,5.996159
-1.0,2,5.997043
0.0,100,6.081038
-0.094774,10,6.090903
1.582005,5,6.095304
42.718634,4,6.098856
7.609495,13,6.110458
2.316773,3,6.113832
1.209637,3,6.117208
-0.526177,45,6.154632
40.095239,3,6.158833
-0.376444,53,6.202551
2.91744,3,6.206016
36.463228,3,6.20758
41.338941,3,6.211465
0.0,100,6.297122
4.0744,48,6.33887
2.754321,100,6.423741
24.554309,3,6.428054
2.91744,3,6.431432
-1.0,38,6.461788
3.006273,4,6.465711
6.814592,3,6.469879
41.470611,3,6.473281
41.798062,3,6.474857
42.718634,3,6.478249
-1.0,1,6.479529
25.816504,3,6.482937
-0.384726,14,6.495737
42.718634,3,6.497355
1.588471,4,6.501996
-1.0,1,6.504422
-0.469463,16,6.517941
1.572802,2,6.51905
24.411413,3,6.523187
40.701096,3,6.526348
0.0,100,6.609185
30.940038,5,6.613492
40.636277,3,6.617608
0.0,100,6.703142
42.669004,4,6.706901
-1.0,100,6.792391
0.0,100,6.876981
0.0,100,6.960198
10.875686,4,6.964225
42.94071,4,6.967787
17.607756,3,6.970251
21.244795,3,6.973646
1.395054,12,6.983881
28.872062,4,6.987818
3.757902,3,6.991897
0.0,100,7.07638
0.417362,100,7.161945
0.417362,100,7.245508
24.952788,66,7.30335
43.086659,3,7.306825
-0.094774,2,7.310417
3.199072,100,7.397244
15.276147,3,7.399736
25.377142,4,7.403847
-1.0,27,7.426941
26.508023,4,7.431044
2.252578,100,7.517017
-1.0,72,7.578467
42.797536,3,7.581938
1.755409,5,7.586268
2.719741,4,7.591077
25.789581,4,7.594718
0.0,100,7.679388
25.22564,3,7.682856
-1.0,44,7.72037
42.660005,73,7.781319
15.276147,4,7.784935
2.91,100,7.870008
14.278093,32,7.898036
42.454498,5,7.901871
24.664533,57,7.951158
-1.0,49,7.993236
42.429289,3,7.997685
47.544091,100,8.080434
23.605481,3,8.0821
0.0,100,8.169246
23.956286,4,8.174164
-1.0,7,8.180555
45.009887,91,8.259109
23.144059,3,8.262565
2.915941,4,8.266717
24.952788,4,8.271205
12.824198,2,8.272359
40.334494,4,8.276629
4.071178,3,8.280743
-1.0,7,8.287336
26.508023,63,8.341053
27.22066,5,8.346913
16.228491,3,8.349336
-1.0,18,8.365375
26.508023,3,8.368728
15.276147,4,8.37225
41.78506,3,8.374613
41.338941,3,8.378026
3.294613,21,8.395183
41.354364,41,8.433336
0.0,100,8.519447
3.006273,4,8.523506
34.52831,3,8.525126
13.501256,14,8.538015
-1.0,20,8.556179
1.37241,64,8.610303
3.757874,4,8.613932
1.395054,3,8.617348
42.804345,3,8.619735
23.956286,4,8.62416
14.502621,3,8.627836
24.761731,3,8.631423
-1.0,31,8.658831
41.683878,4,8.662945
0.0,100,8.75063
1.755409,5,8.755033
42.010551,44,8.793755
0.0,100,8.877672
41.338941,3,8.881171
41.470611,3,8.882519
2.91744,3,8.886774
13.451339,100,8.970253
42.354364,100,9.05339
24.554309,3,9.056889
-0.384726,82,9.124662
24.988554,4,9.128218
40.636277,3,9.131906
40.095239,3,9.135297
6.814592,4,9.139667
41.089108,66,9.194736
2.91,100,9.244179
33.936642,3,9.245747
2.754321,100,9.281282
0.0,100,9.316286
0.0,100,9.352098
0.615274,100,9.438207
18.62864,3,9.441703
-0.094774,2,9.445954
8.904268,3,9.447527
2.719741,3,9.450987
4.071178,3,9.454385
-0.471067,3,9.458709
20.993126,100,9.542218
3.752464,86,9.616774
-1.0,24,9.636963
1.395054,50,9.681823
4.064423,12,9.691894
20.963504,100,9.777519
23.763622,100,9.861365
2.629627,3,9.864636
15.276147,3,9.868031
0.0,100,9.953831
36.314681,3,9.957309
-1.0,7,9.965411
3.998991,15,9.976501
-1.0,16,9.989478
6.763496,3,9.993324
-1.0,1,9.995321
24.952788,4,9.999285
41.338941,7,10.006142
41.470611,3,10.009549
2.92,100,10.094979
-1.0,10,10.102594
2.719741,3,10.106003
16.228491,3,10.109407
3.882906,3,10.114319
0.0,100,10.201872
1.395054,5,10.20729
1.395054,5,10.211655
36.463228,3,10.216568
-1.0,28,10.240724
1.395054,3,10.244098
0.0,100,10.329133
-1.0,1,10.331316
24.554309,3,10.33475
8.904268,3,10.336359
3.757874,3,10.33973
6.763496,3,10.344517
1.395054,3,10.34803
39.071318,3,10.349707
21.251206,100,10.433469
4.116131,100,10.522345
12.824198,2,10.525329
8.904268,3,10.528712
-1.0,1,10.529365
46.19863,34,10.559956
1.151579,13,10.574018
2.713353,4,10.577997
23.342494,24,10.598199
36.837892,3,10.601606
42.993895,3,10.605031
1.151579,3,10.608417
-1.0,1,10.609065
41.470611,3,10.613792
24.952788,4,10.617759
41.683878,3,10.621166
24.206217,17,10.635144
4.299427,83,10.706484
4.485043,55,10.751583
2.629627,3,10.755002
0.0,100,10.839559
-0.471067,3,10.844685
-1.0,22,10.862477
-0.471067,3,10.865968
21.244795,38,10.898612
24.952788,4,10.904067
-0.094774,3,10.905389
1.151579,36,10.935859
2.91744,3,10.939255
0.0,100,11.024708
24.952788,4,11.028764
-1.0,1,11.029413
21.480821,100,11.113206
40.095239,3,11.118202
0.615274,100,11.202232
40.334494,3,11.205777
3.634942,3,11.209166
2.37241,100,11.294759
3.799253,3,11.296432
1.151579,4,11.299954
5.702233,3,11.30334
3.01333,2,11.307792
1.151579,4,11.311368
42.024203,3,11.313025
40.58223,3,11.316558
19.926057,3,11.321475
-1.0,19,11.339603
4.616601,3,11.341252
3.316773,100,11.425159
4.483716,30,11.457299
43.791832,3,11.460444
2.91744,3,11.462033
42.941744,3,11.46548
-0.094774,3,11.471288
20.449955,3,11.474716
6.814592,3,11.476284
-1.0,21,11.496493
40.646895,3,11.499435
2.629627,3,11.502882
3.799253,3,11.50642
25.816504,4,11.509971
6.814592,3,11.514796
17.607756,3,11.516389
-1.0,1,11.518803
41.338941,3,11.520402
2.316773,11,11.531385
2.92,100,11.614811
23.144059,3,11.618334
14.689035,9,11.625719
44.439171,3,11.630665
24.554309,3,11.634077
-0.471067,3,11.635727
26.508023,28,11.659128
3.799253,3,11.663857
-1.0,1,11.664511
2.068455,31,11.69141
20.887053,3,11.694823
41.798062,4,11.699759
0.0,100,11.783977
0.0,100,11.868423
17.607756,3,11.871913
42.941744,3,11.875059
-1.0,92,11.951832
40.896769,3,11.955305
46.908038,3,11.958729
46.908038,4,11.964123
41.798062,4,11.967688
42.669004,4,11.971292
33.751289,87,12.045077
40.58223,3,12.048167
24.988554,3,12.051667
3.108063,3,12.055168
41.683878,3,12.058561
16.228491,3,12.061467
23.144059,3,12.064873
0.0,100,12.149822
0.0,100,12.233252
