#{"t_start": 1752540344.9410686, "env_id": "None"}
r,l,t
0.0,100,0.30972
38.122671,24,0.33128
40.650228,11,0.341539
5.578842,31,0.372284
42.172062,11,0.383078
22.670474,39,0.415044
4.701084,2,0.418245
38.810562,13,0.431501
12.025185,6,0.43812
-1.0,40,0.474494
41.47748,13,0.485085
1.523272,51,0.580115
43.026334,20,0.600729
-1.0,60,0.656637
5.649205,3,0.658372
21.258026,4,0.664752
0.0,100,0.75445
0.0,100,0.842476
0.0,100,0.931859
0.522046,100,1.030944
13.96781,3,1.060108
5.893898,4,1.06661
5.893898,3,1.070456
-0.174721,10,1.080266
43.324555,4,1.08428
3.790141,100,1.171008
40.892669,3,1.174562
0.0,100,1.2664
44.937427,3,1.269944
7.491521,5,1.27439
0.0,100,1.365021
42.412967,3,1.369659
0.0,100,1.461383
30.230403,3,1.466296
1.855368,3,1.469331
28.448071,4,1.476202
42.380776,3,1.479841
3.117617,3,1.483314
41.475373,3,1.486852
0.0,100,1.57272
0.0,100,1.659014
40.715169,3,1.660691
1.510873,12,1.671215
41.852058,3,1.675504
25.810739,3,1.678949
39.900555,3,1.682372
4.091726,60,1.732605
14.470576,100,1.819212
4.193742,2,1.820459
38.845987,3,1.823897
0.0,100,1.962332
-0.565327,2,1.964354
40.619658,97,2.063319
3.422876,4,2.067441
21.691859,3,2.069289
0.010091,4,2.074757
0.0,100,2.177222
32.862177,3,2.181049
1.510873,4,2.185642
0.0,100,2.289527
0.0,100,2.380954
21.691859,3,2.38464
42.473455,3,2.388627
9.160888,3,2.391166
8.715443,3,2.39459
9.022348,4,2.398186
42.473455,3,2.401592
43.262193,35,2.514201
38.821303,3,2.516299
6.172257,3,2.526442
5.260615,100,2.631037
0.0,100,2.72029
3.5964,3,2.723816
3.509384,3,2.727273
41.797796,3,2.728882
1.855368,3,2.733183
5.930833,3,2.736678
5.930833,3,2.740169
2.138725,2,2.741337
0.0,100,2.827191
41.13793,3,2.831126
29.004303,3,2.835742
4.692023,60,2.904507
34.799988,3,2.90762
1.194878,2,2.910783
-1.0,38,2.943
9.160888,3,2.946451
3.509384,4,2.950881
15.040357,3,2.954394
3.509384,4,2.95806
22.670474,29,2.983768
13.96781,3,2.988152
38.845987,3,2.991737
5.205741,3,2.993366
0.0,100,3.080211
2.553299,100,3.166601
44.416819,100,3.253812
36.803691,3,3.257457
0.0,100,3.346227
3.422876,4,3.351528
2.48834,100,3.442181
11.453982,3,3.44591
-1.0,55,3.493857
32.862177,3,3.496408
9.961699,3,3.50003
3.422876,4,3.50408
1.003755,3,3.507536
8.814109,3,3.5117
3.509384,3,3.513338
8.814109,3,3.516758
15.040357,3,3.520195
41.256847,3,3.524107
-0.364878,3,3.525823
48.710857,3,3.52943
3.509384,3,3.532942
5.893898,3,3.53723
38.122671,3,3.538892
-1.0,29,3.565538
7.238568,5,3.569738
3.509384,3,3.57396
9.961699,3,3.575562
4.476475,100,3.662462
36.768734,3,3.666059
38.50532,3,3.67039
3.509384,3,3.675371
5.649205,3,3.676992
40.892669,3,3.680606
0.0,100,3.791131
10.740496,3,3.794766
-1.0,54,3.842958
-0.565327,3,3.84653
21.691859,3,3.850681
1.510873,4,3.854682
35.150056,4,3.858525
11.33373,3,3.861896
19.389896,3,3.86428
40.893656,3,3.867771
43.072878,19,3.884305
-1.0,65,3.940337
42.467285,3,3.945298
47.664174,3,3.948912
0.0,100,4.037408
-1.0,64,4.093605
0.0,100,4.179792
7.238568,4,4.183876
20.888841,3,4.185507
0.0,100,4.272909
1.003755,3,4.277386
24.035767,3,4.280926
40.892669,19,4.298018
32.862177,3,4.299621
0.0,100,4.385649
-0.468605,11,4.395714
-1.0,64,4.451125
5.930833,3,4.454702
44.937427,3,4.459358
0.0,100,4.548436
15.040357,3,4.550474
0.627422,100,4.638676
0.510406,100,4.727275
28.341949,3,4.731322
42.407694,3,4.734826
32.862177,3,4.738253
22.971567,3,4.740692
26.873471,13,4.753539
46.741438,3,4.755149
6.685975,82,4.83001
-1.0,3,4.833972
36.065219,3,4.835575
40.715169,3,4.839173
-1.0,1,4.839815
0.0,100,4.930717
0.0,100,5.018515
42.881443,3,5.048957
0.517054,100,5.086308
0.0,100,5.123482
41.878364,3,5.125086
11.566782,100,5.161775
15.040357,3,5.172982
20.058875,76,5.243148
39.900555,3,5.247706
25.023352,28,5.272091
10.740496,3,5.275549
42.654958,4,5.279181
14.553124,3,5.281702
0.0,100,5.371115
27.421461,4,5.375215
-1.0,9,5.384633
40.619658,4,5.390968
5.951529,3,5.392579
0.0,100,5.478352
20.036193,2,5.481922
6.47368,100,5.574448
7.139988,100,5.661803
-1.0,11,5.671944
4.692023,3,5.673643
-1.0,1,5.677692
2.003755,100,5.765427
0.627422,100,5.855872
3.315169,4,5.860076
32.03314,3,5.86328
20.776623,2,5.866287
21.58688,100,5.956367
2.557901,2,5.957592
38.50532,4,5.963192
0.0,100,6.052212
-0.489815,42,6.1093
22.555021,3,6.112832
23.757552,3,6.115763
12.236198,3,6.119247
39.900555,3,6.122711
16.026192,63,6.176876
5.893898,3,6.179997
35.133298,3,6.183787
0.0,100,6.269086
27.347437,3,6.272611
42.249788,3,6.277684
0.0,100,6.367569
41.878364,3,6.369289
5.893898,3,6.372765
5.930833,3,6.377834
8.814109,3,6.381325
2.836009,4,6.385287
-1.0,100,6.471631
22.55681,3,6.474544
-1.0,73,6.537605
20.015667,100,6.631496
0.0,100,6.719583
-1.0,16,6.735274
41.619658,100,6.821688
-0.565327,4,6.825476
5.930833,3,6.827175
-1.0,32,6.859323
0.0,100,6.946849
-0.489594,55,6.997838
41.612215,100,7.083956
2.794432,8,7.092822
6.47368,100,7.179804
0.510406,100,7.267865
-1.0,1,7.268619
-1.0,1,7.272843
0.635122,100,7.361285
0.0,100,7.449533
20.036193,2,7.450768
-0.579691,25,7.473686
21.258026,3,7.477127
9.696631,3,7.480569
25.023352,3,7.484076
1.48834,92,7.565858
15.040357,3,7.567526
41.87645,98,7.656519
11.412934,85,7.730245
5.083572,4,7.735911
0.0,100,7.822489
43.316929,92,7.904388
19.701289,21,7.922607
3.5964,3,7.927813
41.168126,3,7.931296
41.852459,3,7.934753
27.421461,4,7.938777
-0.174721,2,7.941344
27.421461,4,7.945203
42.881443,52,7.989911
40.893656,4,7.994044
1.003755,11,8.005888
-1.0,38,8.037147
1.532919,4,8.04092
27.421461,4,8.044955
44.805495,100,8.136794
9.827818,3,8.140346
0.0,100,8.228342
20.632282,2,8.231702
41.47748,29,8.258318
39.900555,3,8.261766
34.739311,3,8.263461
-1.0,42,8.299996
39.900555,51,8.346054
0.0,100,8.433738
41.168126,60,8.485253
0.0,100,8.571514
-0.489815,3,8.574864
41.87645,3,8.578378
9.827818,3,8.581832
37.868955,3,8.585302
36.803691,4,8.590505
21.630053,4,8.594553
36.803691,3,8.596152
1.003755,3,8.599861
-1.0,88,8.6783
-1.0,81,8.748712
28.718627,3,8.752347
2.192584,100,8.841254
41.852459,3,8.846467
41.852459,3,8.84993
4.692023,3,8.85152
0.0,100,8.938912
1.510873,4,8.944511
20.776623,2,8.947505
41.87645,3,8.951153
25.023352,4,8.954879
36.803691,3,8.957837
-1.0,100,9.0446
38.122671,7,9.051733
40.893656,4,9.055593
5.083572,4,9.061224
18.035475,3,9.064667
-1.0,24,9.086051
20.776623,2,9.087193
6.335185,100,9.177446
21.258026,3,9.180991
27.506346,3,9.184446
15.040357,3,9.187906
20.724608,4,9.193475
9.961699,3,9.195087
40.893656,4,9.199162
45.38654,100,9.285956
7.343099,4,9.291974
-1.0,43,9.332869
20.596401,14,9.346477
-1.0,65,9.404583
41.87645,99,9.493852
1.662539,81,9.564823
-0.372578,24,9.586249
3.509384,3,9.589843
1.510873,24,9.613057
36.486958,3,9.689085
27.506346,3,9.690709
1.003755,3,9.692231
0.0,100,9.729389
1.003755,3,9.73106
38.500655,4,9.737052
5.083572,4,9.741441
5.649205,3,9.745207
0.0,100,9.837556
9.160888,3,9.84132
-0.482665,8,9.848759
41.852295,3,9.852454
25.023352,3,9.856036
23.756535,17,9.875806
0.0,100,9.967928
20.058875,3,9.969655
4.033532,100,10.065357
40.956244,3,10.069182
1.192584,94,10.155484
2.662539,100,10.246537
-1.0,9,10.255856
11.412934,3,10.259596
-1.0,60,10.314655
38.50532,3,10.316514
21.691859,79,10.393806
15.553124,100,10.485969
3.794432,100,10.579067
0.635122,100,10.672046
41.852459,3,10.677397
0.0,100,10.769578
-0.364878,4,10.773666
1.192584,88,10.854992
-1.0,43,10.896565
38.845987,4,10.9009
12.236198,3,10.902732
35.133298,3,10.906507
35.42042,3,10.912001
0.0,100,11.003144
43.654958,100,11.094717
20.632282,2,11.095895
-1.0,14,11.132562
38.50532,3,11.136385
18.035475,3,11.138178
0.0,100,11.27329
20.776623,2,11.27845
27.506346,3,11.282538
2.557901,2,11.283841
21.757341,100,11.375582
40.892669,4,11.381662
