#{"t_start": 1752539848.2152944, "env_id": "None"}
r,l,t
7.533328,2,0.010707
3.234228,100,0.273876
26.862003,100,0.360583
40.459431,4,0.365468
0.0,100,0.449049
-0.249507,2,0.450246
0.0,100,0.580651
2.200413,100,0.70156
0.0,100,0.794118
27.507405,66,0.851843
23.078155,55,0.8989
0.0,100,0.99725
0.224965,100,1.11426
25.303572,47,1.153312
22.831492,12,1.164674
16.180298,4,1.176778
25.960809,4,1.181416
50.970983,4,1.185463
12.878013,90,1.279258
21.094686,4,1.283975
15.768422,100,1.378763
15.348391,4,1.382781
18.08065,21,1.400174
7.796772,8,1.40947
0.0,100,1.496988
18.498899,100,1.583847
3.626119,5,1.588353
0.0,100,1.673591
0.0,100,1.758361
-1.0,69,1.81739
22.71415,16,1.831315
3.626002,5,1.836893
0.0,100,1.920473
13.309971,34,1.948547
1.764011,54,1.997627
-0.249507,56,2.045581
-1.0,2,2.046804
11.276348,100,2.146664
0.0,100,2.246795
18.605526,4,2.25175
23.155059,5,2.257897
62.291398,33,2.286142
27.624745,4,2.289901
24.871016,4,2.294469
-0.067553,22,2.312768
0.0,100,2.396269
1.679807,100,2.483111
-0.212441,28,2.507939
0.0,100,2.590477
2.84732,4,2.594459
-1.0,1,2.596838
5.025034,55,2.645705
15.672022,100,2.730999
-0.568339,39,2.766379
37.855584,100,2.849331
23.510536,64,2.904289
0.804247,4,2.908345
-1.0,74,2.97038
26.550552,4,2.97535
12.878013,51,3.026567
9.729097,100,3.113415
67.288928,70,3.176045
-0.596094,80,3.246196
7.989604,97,3.329553
9.991552,5,3.33403
1.645032,100,3.424544
3.477013,4,3.428464
5.106332,100,3.513786
7.380039,24,3.534628
-1.0,35,3.566679
66.682425,4,3.57125
0.804247,4,3.576128
0.0,100,3.661243
10.29751,100,3.747017
33.372889,100,3.831993
38.758776,100,3.916416
25.033615,1,3.917288
1.174593,4,3.921157
0.0,100,4.011347
0.610606,25,4.034485
0.0,100,4.119671
1.120815,4,4.123575
-1.0,45,4.164034
9.729097,100,4.249061
3.626072,7,4.255795
0.0,100,4.341438
25.862003,4,4.345152
9.991552,5,4.350434
37.116448,100,4.434049
10.047288,100,4.520394
1.610606,100,4.603965
25.033615,3,4.608073
-0.269487,94,4.685914
3.170682,3,4.689357
0.0,100,4.740225
0.0,100,4.776307
16.638731,100,4.81312
0.0,100,4.849493
7.380039,4,4.851485
3.626119,6,4.865662
0.224965,100,4.950402
4.293646,100,5.037688
0.0,100,5.122694
1.962985,100,5.207117
3.626119,5,5.213229
-0.276755,62,5.268073
28.504939,74,5.329432
6.003009,4,5.333288
0.0,100,5.41941
6.228285,4,5.423312
0.0,100,5.50991
4.193466,2,5.51317
8.952155,4,5.518589
0.894539,100,5.602839
23.880468,100,5.689218
1.512238,61,5.742439
7.751092,100,5.832055
18.121311,67,5.890401
0.133485,3,5.892116
25.862003,4,5.895948
57.539447,100,5.983631
16.180298,4,5.987707
-1.0,2,5.990643
1.299676,6,5.994816
66.116511,4,6.000428
13.677151,4,6.004341
0.0,100,6.088254
15.152376,4,6.092223
0.869199,100,6.178976
-0.249507,2,6.181915
0.0,100,6.267483
0.0,100,6.355025
1.512238,2,6.357898
-0.212441,2,6.360609
0.0,100,6.446434
22.339652,4,6.450624
16.180298,4,6.456275
23.236474,4,6.460091
14.982877,4,6.464143
2.453072,100,6.5528
21.745965,26,6.576695
37.116448,100,6.664788
0.0,100,6.751597
27.014174,4,6.755641
0.0,100,6.842351
3.626038,5,6.848548
-1.0,1,6.84924
1.679807,100,6.933647
16.047745,4,6.939547
0.0,100,7.022975
9.763127,5,7.027393
0.429976,32,7.05418
8.031673,12,7.067025
17.298213,4,7.070957
19.222351,4,7.076046
10.395056,4,7.079928
4.868416,4,7.085257
12.589866,5,7.089398
-0.249507,2,7.092283
0.749721,100,7.176246
-1.0,71,7.239567
12.239817,11,7.247605
19.613121,4,7.251378
0.422551,3,7.254699
6.11067,90,7.334782
46.617857,51,7.376831
0.0,100,7.461822
-1.0,61,7.516853
7.812891,100,7.603508
27.734604,4,7.607675
11.33603,6,7.61173
-0.249507,2,7.614626
3.289516,4,7.62003
4.913873,44,7.661007
9.025994,100,7.74659
-1.0,16,7.761512
3.428187,2,7.764224
1.395525,58,7.815398
0.0,100,7.900931
74.187249,24,7.922564
12.239817,3,7.925735
-1.0,79,7.994039
-1.0,30,8.020346
1.395525,4,8.024263
-0.249507,2,8.026905
0.0,100,8.112621
0.0,100,8.202281
0.0,100,8.285689
-0.662311,20,8.305546
16.047745,5,8.310191
14.475331,10,8.320455
37.480057,4,8.32425
22.043797,4,8.330128
54.856138,5,8.334504
-0.596094,3,8.338258
3.368186,6,8.343261
11.318297,3,8.348329
42.181449,5,8.352451
11.83123,4,8.356402
1.174593,4,8.360368
31.735136,5,8.368883
-0.249507,2,8.370115
5.967043,4,8.374971
1.299676,68,8.438173
-1.0,6,8.446258
-1.0,2,8.447497
-0.323626,28,8.473015
3.626014,5,8.477601
2.499782,100,8.572433
-1.0,90,8.658927
33.681029,62,8.713552
12.878013,4,8.718014
-0.596094,4,8.723625
22.303715,4,8.727957
1.805223,100,8.81756
0.770181,23,8.838231
-0.130801,17,8.855974
29.401641,6,8.863167
5.667559,48,8.903984
30.169677,4,8.907957
12.878056,4,8.913747
20.955757,75,8.980616
0.0,100,9.067782
9.99972,4,9.071823
12.589866,5,9.077401
20.07243,4,9.081421
0.805223,27,9.107624
11.539301,16,9.121329
-1.0,86,9.197225
0.0,100,9.28881
17.845623,4,9.291753
3.368186,5,9.294419
0.0,100,9.331285
20.59065,4,9.333481
0.421365,3,9.33497
76.80112,29,9.371221
10.682072,13,9.383235
22.110673,4,9.388411
