#{"t_start": 1752541116.3798027, "env_id": "None"}
r,l,t
13.612013,3,0.015391
4.482777,26,0.159072
86.734059,5,0.163694
21.590351,5,0.167918
1.462304,4,0.172718
79.137213,5,0.177194
1.395525,4,0.181066
6.709728,5,0.187246
-1.0,32,0.214948
0.431571,42,0.252288
-0.250279,63,0.306898
0.409533,20,0.325603
2.056377,6,0.331354
-1.0,29,0.359827
70.517986,100,0.448633
23.195982,5,0.453696
1.252813,3,0.458308
1.245631,5,0.462903
115.913159,5,0.46754
4.482777,43,0.507421
-0.365812,85,0.606904
76.368988,5,0.611314
21.578027,3,0.614867
18.208796,100,0.702618
14.150795,4,0.707699
23.331838,4,0.711608
2.649997,100,0.794943
0.904489,100,0.88199
2.756347,4,0.887751
30.077706,5,0.892182
4.663184,4,0.896686
40.255179,6,0.903065
0.337689,100,0.990758
20.980868,5,0.995517
63.267876,80,1.09895
-1.0,40,1.134817
18.346908,27,1.15959
18.878927,100,1.262774
51.96841,45,1.301544
2.96695,6,1.308682
34.979255,100,1.398711
63.533143,5,1.402819
-1.0,46,1.441162
47.361112,61,1.493919
0.431571,3,1.496304
57.459113,6,1.502707
86.817768,5,1.507119
1.980027,4,1.511028
1.980027,5,1.515794
84.14468,5,1.522018
0.65581,100,1.606965
0.0,100,1.69541
1.245631,6,1.700822
0.0,100,1.78572
12.318177,5,1.790253
1.360953,87,1.868358
1.462304,4,1.873121
63.533143,4,1.877269
-1.0,58,1.928016
49.907081,5,1.932487
114.348413,6,1.938137
-0.365812,14,1.951531
0.0,100,2.040472
3.905355,71,2.101289
4.153637,4,2.105994
0.0,100,2.190642
-0.283933,30,2.216036
82.384482,40,2.252088
78.449319,5,2.257285
8.2e-05,3,2.260702
21.578027,3,2.264244
0.0,100,2.375929
29.582455,71,2.450452
0.914889,4,2.454288
-1.0,82,2.528283
67.627857,25,2.550881
79.501863,6,2.563444
0.434435,100,2.652251
-1.0,22,2.67091
54.361898,5,2.67768
22.516968,4,2.684979
29.049138,100,2.76993
62.440635,41,2.804501
20.041883,100,2.890881
23.503194,6,2.898394
-1.0,70,2.958191
-1.0,43,2.995133
30.283565,69,3.052925
60.849224,5,3.060139
4.120725,23,3.080806
-0.243407,51,3.124915
0.00951,4,3.128924
62.992637,4,3.13545
63.533143,4,3.139442
54.361898,88,3.215598
21.526569,5,3.219934
24.490591,6,3.227361
0.0,100,3.313261
0.679626,100,3.39952
2.653559,4,3.403505
4.482777,4,3.410042
0.0,100,3.495454
1.462635,4,3.499345
2.96695,5,3.505558
-1.0,71,3.568937
0.0,100,3.655328
65.456548,100,3.739671
-0.426961,53,3.786583
56.397564,5,3.793771
-0.594847,50,3.835026
1.462635,4,3.839025
3.287109,3,3.842928
17.921447,17,3.85981
1.877524,3,3.863271
4.728876,4,3.867332
4.153637,4,3.87125
45.004573,5,3.878515
1.877524,3,3.881992
21.526569,4,3.886079
30.077706,5,3.890472
77.204298,94,3.980264
0.0,100,4.069504
29.277993,39,4.103602
2.475884,100,4.197124
30.16158,7,4.20559
27.647484,5,4.212911
110.791395,5,4.217796
74.266556,38,4.251998
-1.0,5,4.26067
82.105715,5,4.265072
1.4651,25,4.286382
4.663184,4,4.290376
0.0,100,4.382704
54.841409,38,4.417064
0.0,100,4.505524
0.0,100,4.589309
82.342428,8,4.599611
75.55682,5,4.604047
2.96695,6,4.608667
0.0,100,4.694281
100.402915,5,4.703115
1.462635,4,4.7071
83.103825,5,4.711184
63.265087,5,4.713622
25.937326,100,4.749521
74.807023,5,4.75193
1.187746,2,4.752968
