#{"t_start": 1752540105.2830567, "env_id": "None"}
r,l,t
3.209397,2,0.009845
-0.729687,27,0.165257
0.0,100,0.263084
-1.0,23,0.281684
2.650807,38,0.314846
16.722859,18,0.330561
-1.0,51,0.377165
-0.775454,40,0.416131
3.228783,31,0.444977
2.650807,3,0.448685
2.798301,3,0.450465
0.0,100,0.574152
-0.768665,19,0.592102
-0.729687,3,0.595805
0.330453,100,0.685658
-1.0,6,0.694151
-1.0,33,0.725034
18.798106,49,0.769037
-1.0,26,0.791018
-0.665361,4,0.795846
-0.72054,46,0.841251
-0.243407,92,0.922758
0.0,100,1.011618
-1.0,44,1.052789
-0.660234,86,1.129408
10.49973,2,1.13258
0.062601,3,1.136413
16.722859,66,1.197554
-0.665361,25,1.219466
2.650807,14,1.23266
4.398724,100,1.334516
0.787559,100,1.693374
0.32845,100,1.784612
3.209397,2,1.785833
-0.660234,24,1.808505
-0.768665,79,1.880661
-0.775454,30,1.917884
3.398724,3,1.919209
-0.775454,59,1.971987
-0.276755,59,2.026752
0.27946,100,2.117776
-0.208907,89,2.194573
-1.0,51,2.240893
-0.72054,40,2.278229
-0.768665,50,2.321952
0.27946,100,2.410338
-0.775454,20,2.427412
-0.775454,96,2.522408
-1.0,51,2.573829
2.28048,2,2.576842
0.791093,100,2.663596
14.292966,3,2.666935
6.322272,3,2.670029
5.870307,2,2.673159
-1.0,69,2.730391
0.0,100,2.82239
-0.665361,32,2.850168
0.756593,100,2.939147
0.0,100,3.029547
0.0,100,3.126055
0.0,100,3.21638
-0.660234,61,3.269368
0.062601,3,3.272939
-0.575951,66,3.333943
2.798301,3,3.337859
5.889999,3,3.341337
2.901914,2,3.342544
0.756593,100,3.458493
0.27946,100,3.609829
0.339766,100,3.70375
10.49973,2,3.706903
5.870307,73,3.77292
0.231335,100,3.86723
-1.0,49,3.912348
-1.0,7,3.918915
-0.665361,51,3.968632
16.776164,8,3.976019
0.0,100,4.066688
3.444578,5,4.070965
0.0,100,4.164418
2.798301,2,4.167701
23.300733,2,4.169016
5.870307,2,4.172383
0.32845,100,4.26503
-0.209199,16,4.279372
0.224546,100,4.373438
-0.768665,95,4.458821
0.424049,100,4.55186
-1.0,50,4.597439
12.858838,2,4.598619
3.209397,2,4.601604
0.224546,100,4.696963
0.0,100,4.79077
0.791093,100,4.877014
-1.0,63,4.935106
-0.669547,56,4.987422
-0.665361,77,5.057318
2.781356,2,5.058481
2.901914,2,5.133729
14.804407,3,5.13535
0.0,100,5.173503
0.0,100,5.211545
0.0,100,5.250302
-0.729687,4,5.262347
15.321675,3,5.266452
0.0,100,5.350031
0.330453,100,5.434256
0.0,100,5.51874
3.209397,3,5.523454
6.322272,40,5.556609
-0.768665,13,5.567075
2.781356,2,5.569961
-0.660234,34,5.598458
3.209397,99,5.682416
0.0,100,5.765919
3.398724,3,5.769109
0.0,100,5.85377
-0.729687,3,5.855513
-0.660234,20,5.872591
0.062601,4,5.876247
0.0,100,5.960825
0.0,100,6.044254
-0.534903,48,6.084363
0.330453,100,6.169943
0.0,100,6.254739
2.650807,7,6.261527
0.0,100,6.34434
14.804407,3,6.347869
0.0,100,6.432209
2.650807,76,6.498483
0.756593,100,6.580843
-0.243407,78,6.644517
-0.770194,14,6.659557
-1.0,66,6.716434
-0.575951,87,6.793863
5.870307,78,6.860674
-0.575951,68,6.919353
0.334639,100,7.004199
0.0,100,7.089281
0.0,100,7.17481
0.339766,100,7.264391
-0.243407,70,7.324389
2.781356,2,7.327461
-0.242274,21,7.345454
9.628651,5,7.35124
0.0,100,7.436486
0.0,100,7.521652
-1.0,83,7.591692
-1.0,6,7.597543
15.321675,15,7.611533
2.901914,2,7.614527
3.798301,100,7.701094
0.0,100,7.788083
3.398724,3,7.789428
20.403085,26,7.812382
0.0,100,7.899217
0.062601,3,7.904388
0.231335,100,7.990977
-1.0,83,8.061984
2.798301,28,8.085819
0.0,100,8.174721
2.781356,2,8.177737
0.0,100,8.260802
-0.665361,84,8.330077
0.0,100,8.41468
-0.768665,14,8.425376
-0.729687,14,8.437839
0.0,100,8.521995
-1.0,47,8.564255
9.628651,29,8.58877
-0.775454,91,8.667604
20.751834,2,8.668785
-1.0,61,8.720331
0.27946,100,8.803837
14.292966,2,8.806778
0.339766,100,8.890305
0.0,100,8.976228
-0.729687,26,8.998233
-0.665361,98,9.084731
14.292966,3,9.088191
-0.768665,40,9.122628
2.798301,27,9.14394
2.901914,2,9.146843
-0.575951,16,9.160302
-0.775454,3,9.165144
-1.0,45,9.202343
-0.244172,51,9.246559
-0.67155,36,9.277334
-0.669547,24,9.299162
-0.575951,84,9.369782
-0.72054,24,9.390044
-0.775454,12,9.400493
14.804407,3,9.40367
10.49973,2,9.408617
2.781356,2,9.409497
-0.775454,3,9.412956
3.209397,5,9.41816
-0.768665,81,9.488178
0.404206,100,9.580435
0.0,100,9.615459
-0.660234,3,9.617041
0.270313,100,9.65251
0.334639,100,9.687979
0.062601,3,9.693938
-1.0,56,9.741547
0.0,100,9.836764
14.292966,18,9.853362
0.0,100,9.937263
0.424049,100,10.021671
3.650807,100,10.109078
2.28048,20,10.126256
18.630335,27,10.147812
0.0,100,10.237971
0.062601,3,10.243137
-1.0,15,10.256828
-1.0,37,10.287755
-0.72054,12,10.299592
-1.0,44,10.338136
-1.0,4,10.341415
0.062601,3,10.34497
2.650807,17,10.359043
-0.770194,2,10.363652
-0.72054,14,10.376117
-0.665361,33,10.404674
0.0,100,10.491701
0.404206,100,10.578069
0.0,100,10.663158
-1.0,68,10.721364
3.916292,32,10.748457
-0.729687,43,10.786776
0.062601,78,10.887926
-0.660234,54,10.933542
-1.0,10,10.943027
3.398724,2,10.9451
3.209397,12,10.955481
0.229806,100,11.041523
0.0,100,11.13098
0.32845,100,11.216235
0.062601,3,11.219938
0.0,100,11.310917
-0.209199,87,11.386384
0.0,100,11.472288
0.0,100,11.562681
0.229806,100,11.651033
14.794486,29,11.679021
-0.775454,87,11.777763
0.231335,100,11.865582
14.292966,66,11.921772
0.224546,100,12.007186
0.0,100,12.099618
-0.768665,81,12.169985
0.424049,100,12.256237
0.062601,37,12.289438
6.293771,31,12.316646
12.858838,82,12.387942
16.984244,36,12.422053
14.804407,81,12.497536
17.776164,100,12.589035
-1.0,66,12.64918
-0.768665,43,12.68457
-0.575951,60,12.739791
-1.0,30,12.768683
0.270313,100,12.856768
-1.0,7,12.863412
9.628651,57,12.912825
14.804407,99,12.998975
-0.597228,29,13.024442
-0.665361,48,13.066916
0.270313,100,13.154994
21.403085,100,13.245217
2.781356,2,13.246459
16.728168,100,13.337833
0.0,100,13.450492
-0.729687,10,13.4614
0.229806,100,13.550524
-1.0,2,13.551462
3.209397,3,13.554633
2.798301,31,13.584546
2.650807,13,13.595613
0.330453,100,13.683709
10.49973,55,13.734239
6.889999,100,13.83512
-0.72054,43,13.875643
6.298945,70,13.935781
2.798301,94,14.016583
0.231335,100,14.10419
11.49973,100,14.192029
0.0,100,14.236576
0.0,100,14.272528
0.229806,100,14.308216
0.0,100,14.344316
0.0,100,14.379712
-0.770194,6,14.388756
-1.0,66,14.445617
2.901914,2,14.449655
-0.768665,51,14.49585
-1.0,27,14.51869
2.781356,2,14.521825
0.0,100,14.609644
0.330453,100,14.694894
-0.729687,44,14.736248
0.0,100,14.825287
0.062601,36,14.858052
0.229806,100,14.946815
-0.669547,86,15.021341
0.0,100,15.108589
0.0,100,15.198699
0.062601,18,15.215151
-1.0,45,15.254038
4.589401,79,15.322608
3.209397,2,15.325465
-1.0,2,15.328217
0.0,100,15.413629
0.756593,100,15.503184
-0.660234,23,15.526125
0.0,100,15.615027
0.402772,100,15.702994
0.424049,100,15.790959
0.0,100,15.88076
14.804407,39,15.913702
9.628651,67,15.97608
15.615112,14,15.989633
0.0,100,16.078043
0.0,100,16.166178
3.916292,14,16.177641
0.0,100,16.263992
15.728168,30,16.292798
3.444578,76,16.359054
18.798106,7,16.364356
0.0,100,16.452181
20.403085,36,16.485379
-1.0,33,16.515048
0.27946,100,16.603716
21.403085,100,16.68981
-0.775454,3,16.693244
2.28048,81,16.767808
12.858838,61,16.822121
3.916292,25,16.844236
-0.770194,73,16.909691
-0.768665,26,16.932865
2.650807,27,16.957064
0.0,100,17.046301
-0.729687,43,17.084563
-1.0,64,17.139642
-0.775454,91,17.219155
-0.72054,62,17.273909
5.889999,37,17.307504
0.27946,100,17.395926
0.0,100,17.487208
3.916292,68,17.548088
2.28048,79,17.619316
-1.0,51,17.663634
-0.575951,5,17.669936
2.781356,2,17.671095
0.0,100,17.759514
-0.72054,62,17.815474
-0.665361,48,17.856447
16.722859,75,17.918707
3.398724,2,17.923373
2.901914,2,17.924528
0.0,100,18.013137
18.630335,9,18.022848
0.0,100,18.112348
-1.0,55,18.160128
-1.0,38,18.194399
0.27946,100,18.280991
5.991554,23,18.303358
0.231335,100,18.389184
0.0,100,18.475801
3.444578,57,18.52388
-1.0,64,18.579598
-0.575951,31,18.606983
-1.0,37,18.640026
0.0,100,18.730498
-0.660234,46,18.770295
0.0,100,18.851723
0.0,100,18.888221
2.901914,2,18.889471
0.0,100,18.926285
0.0,100,18.962444
-0.242274,2,18.968307
0.334639,100,19.053427
0.062601,91,19.130988
-0.575951,21,19.14925
14.804407,19,19.165726
6.866918,100,19.25002
0.755828,100,19.336626
-0.660234,11,19.345483
0.334639,100,19.429248
-1.0,26,19.451261
-1.0,14,19.462207
0.0,100,19.549677
0.0,100,19.633294
-0.768665,10,19.643116
15.615112,59,19.694372
15.704185,14,19.706186
0.0,100,19.793996
-1.0,62,19.854275
-0.597228,93,19.933205
23.300733,27,19.957702
0.0,100,20.04183
3.444578,2,20.043038
-1.0,53,20.089061
-0.775454,52,20.134783
23.300733,2,20.137857
6.298945,2,20.138999
-0.775454,67,20.197429
-1.0,28,20.22502
0.062601,60,20.280816
2.28048,79,20.349049
-1.0,13,20.359935
12.858838,22,20.380776
-0.665361,4,20.384587
18.798106,25,20.405553
-0.665361,2,20.407316
-1.0,87,20.480964
-0.775454,33,20.509322
-0.575951,3,20.512831
11.49973,100,20.597952
3.209397,2,20.601764
0.756593,100,20.685407
10.49973,100,20.772125
9.628651,50,20.813637
-0.665361,3,20.817891
0.32845,100,20.902526
-0.665361,3,20.905848
-1.0,31,20.930267
-0.72054,2,20.934047
-1.0,93,21.011423
0.062601,6,21.017652
3.209397,2,21.018773
4.514499,53,21.064596
20.403085,86,21.138815
14.804407,17,21.152815
-1.0,14,21.165766
0.339766,100,21.249573
3.916292,93,21.327161
0.0,100,21.410918
-0.729687,60,21.459942
3.398724,2,21.461888
17.722859,100,21.548108
0.0,100,21.632194
-0.775454,57,21.68134
0.339766,100,21.76678
10.49973,23,21.784892
0.0,100,21.868711
-0.665361,2,21.871623
4.116302,100,21.955679
0.0,100,22.038844
-0.660234,6,22.043364
-0.669547,2,22.046266
-1.0,48,22.087314
2.798301,10,22.094735
-0.660234,14,22.107862
-1.0,85,22.177915
2.752961,2,22.181618
3.398724,2,22.182732
-0.575951,3,22.186356
-0.669547,3,22.189639
2.650807,20,22.207212
2.798301,3,22.208543
3.444578,3,22.21137
-0.665361,2,22.214244
14.804407,3,22.216606
-0.575951,3,22.220029
-1.0,23,22.239829
-0.768665,3,22.243234
-1.0,40,22.276767
-1.0,20,22.295156
3.209397,2,22.296328
-0.67155,40,22.329428
0.32845,100,22.412992
0.0,100,22.497152
-0.768665,3,22.500919
0.0,100,22.586407
-0.768665,4,22.590925
-0.665361,2,22.592068
-0.729687,3,22.59536
0.0,100,22.679331
5.889999,6,22.68627
0.062601,66,22.742481
3.228783,2,22.745541
-1.0,75,22.806635
3.209397,2,22.810366
-0.660234,23,22.830196
15.615112,45,22.867443
2.901914,2,22.868613
14.292966,76,22.933395
3.752961,100,23.017724
-0.72054,2,23.020869
-1.0,82,23.089056
2.650807,36,23.120456
0.0,100,23.204453
0.0,100,23.283982
2.781356,2,23.285065
0.0,100,23.320077
14.804407,3,23.321642
0.0,100,23.356719
3.916292,3,23.362073
-0.775454,19,23.378839
3.901914,100,23.497171
-0.72054,3,23.500391
0.0,100,23.584694
0.0,100,23.66924
-0.575951,3,23.672452
-1.0,42,23.708128
0.0,100,23.791692
-0.665361,2,23.792876
0.062601,3,23.797822
0.32845,100,23.880914
-0.72054,2,23.883919
-1.0,48,23.927648
-0.665361,2,23.930258
2.752961,10,23.939459
