#{"t_start": 1752541187.2731142, "env_id": "None"}
r,l,t
64.200469,5,0.023028
0.0,100,0.335234
88.045744,5,0.339849
23.241119,4,0.343757
1.129848,23,0.365428
7.055299,22,0.383624
5.386942,53,0.483394
6.942766,5,0.489863
43.789385,24,0.512217
0.0,100,0.622531
0.0,100,0.70848
81.390001,73,0.772686
40.543573,5,0.778176
7.301511,100,0.865795
42.774556,100,0.952063
23.013794,87,1.063022
1.009334,37,1.09631
0.0,100,1.201777
9.393331,5,1.206187
66.597856,4,1.211675
1.827566,48,1.25359
14.675291,100,1.344328
7.216548,100,1.440102
-1.0,2,1.442929
19.727072,4,1.447903
42.184641,100,1.531988
1.178788,4,1.535907
-0.214459,12,1.546253
0.48887,3,1.550394
0.0,100,1.636398
34.386746,5,1.640841
3.812154,3,1.64408
53.28455,5,1.649314
78.181074,5,1.653656
0.0,100,1.745105
0.0,100,1.834131
16.907808,6,1.841955
28.42048,5,1.846634
0.0,100,1.938863
-1.0,28,1.965605
-0.248347,61,2.0234
18.589112,100,2.11683
0.0,100,2.217002
-1.0,87,2.307789
25.100499,1,2.310463
1.647253,100,2.404212
63.624915,5,2.408757
80.709951,5,2.415121
80.36993,5,2.421061
0.0,100,2.512669
64.820084,5,2.517322
0.0,100,2.608708
0.448257,100,2.697273
64.352638,6,2.703829
1.466682,5,2.708196
25.100499,1,2.708975
-1.0,63,2.767122
-1.0,70,2.825549
112.375377,100,2.913121
83.697388,5,2.919418
34.576957,5,2.925649
3.022995,100,3.011936
0.0,100,3.098191
11.382021,5,3.102752
0.0,100,3.193537
61.137103,5,3.198048
0.674324,100,3.287055
25.100499,1,3.289736
5.401307,100,3.377672
0.0,100,3.466832
23.488068,4,3.470839
0.0,100,3.5563
1.008707,100,3.643542
0.0,100,3.731823
1.454045,4,3.735898
25.116857,6,3.740452
28.400762,5,3.746489
0.0,100,3.835531
-1.0,53,3.883597
91.162638,5,3.888094
0.0,100,3.97517
28.83416,5,3.979634
0.0,100,4.067116
25.973558,5,4.071579
31.244861,6,4.079801
89.277478,5,4.084239
29.579035,5,4.088619
3.627093,3,4.092182
36.306957,100,4.182292
8.000804,5,4.18676
67.946283,5,4.193098
25.388418,5,4.1975
0.0,100,4.287305
79.500901,7,4.29402
25.621285,5,4.298457
0.89192,5,4.303003
46.518496,5,4.308912
7.73661,12,4.319681
0.0,100,4.406843
77.512551,5,4.413149
3.036995,3,4.416432
30.445285,5,4.422875
67.86818,5,4.427445
31.324327,5,4.433455
3.417721,33,4.462757
0.0,100,4.54791
61.137103,5,4.554613
15.717862,5,4.559141
0.64426,42,4.597074
4.574616,4,4.601037
29.141881,5,4.607772
64.482179,6,4.612774
13.233198,100,4.702635
-1.0,63,4.760664
3.995669,67,4.818501
0.0,100,4.917392
0.749721,100,4.953068
1.051393,5,4.955826
0.0,100,4.991535
0.0,100,5.027355
0.4373,100,5.120667
82.504997,6,5.128118
0.008707,24,5.148292
1.498667,29,5.177002
0.781015,100,5.262104
1.051393,5,5.269151
1.417674,61,5.323926
94.278192,27,5.345967
80.823159,5,5.352132
62.257646,63,5.408107
0.383083,33,5.437498
-1.0,77,5.503083
-1.0,48,5.544063
1.008707,100,5.631771
0.0,100,5.717197
-0.67126,3,5.720748
82.504997,5,5.72514
-1.0,15,5.739954
28.558439,5,5.744527
0.0,100,5.82874
29.710142,6,5.833396
66.525758,38,5.869918
9.326469,5,5.87429
-1.0,56,5.923276
4.568747,4,5.927178
-1.0,96,6.011032
0.0,100,6.096527
25.72524,21,6.114463
-0.595794,27,6.137994
23.169219,4,6.143445
3.036995,3,6.147138
58.692657,5,6.151512
90.424221,5,6.155854
1.612867,3,6.160645
-1.0,6,6.166711
78.664851,5,6.171135
-1.0,33,6.198494
7.070817,5,6.204234
0.0,100,6.291123
57.284581,5,6.297552
6.821147,4,6.301795
29.579035,5,6.30877
-1.0,45,6.583679
-1.0,2,6.586534
88.286627,5,6.590664
12.141648,5,6.596136
12.141648,5,6.601709
0.0,100,6.700314
-0.669596,3,6.703861
30.82757,5,6.708985
15.717862,5,6.715156
96.506553,5,6.719912
-1.0,88,6.798348
0.430158,56,6.84773
0.0,100,6.932505
10.666125,5,6.936958
76.937649,5,6.941355
0.0,100,7.02686
1.369691,42,7.063567
48.112695,5,7.067982
0.89192,5,7.072387
88.000283,5,7.082591
0.0,100,7.169164
24.00906,4,7.173097
46.201867,5,7.177494
-0.63337,38,7.210069
29.972798,5,7.216286
-1.0,1,7.216933
-1.0,78,7.281306
-0.276755,93,7.363901
9.326469,5,7.368405
5.291808,11,7.378483
78.252875,8,7.385701
23.974325,4,7.390391
89.954619,5,7.394732
3.706005,3,7.398149
0.0,100,7.483732
0.904489,100,7.570659
0.0,100,7.657512
-1.0,44,7.695173
-1.0,1,7.69584
21.632202,6,7.70237
8.412009,5,7.708614
79.714199,5,7.71324
1.35098,25,7.734511
0.0,100,7.82135
19.534435,5,7.825726
2.651574,3,7.829091
19.485603,5,7.833457
70.678893,48,7.875541
1.00951,100,7.960326
4.309028,3,7.978933
4.309028,3,7.992339
78.156401,6,7.998963
4.568747,5,8.004838
46.096889,4,8.008643
2.651574,3,8.010325
30.445285,5,8.017587
7.487318,5,8.022326
66.4776,5,8.038783
1.35098,4,8.04311
0.008707,13,8.056686
25.100499,1,8.059384
-1.0,19,8.074649
30.82757,6,8.085811
7.242652,3,8.107286
0.044696,64,8.16422
11.382021,5,8.168591
0.0,100,8.271504
-0.244172,40,8.308904
1.661081,100,8.395133
0.404206,100,8.516589
0.0,100,8.603948
7.487318,4,8.608867
76.819208,5,8.613376
82.130635,5,8.617791
-0.243407,86,8.697557
89.935633,5,8.702849
0.760003,4,8.706769
-1.0,51,8.752433
4.401307,77,8.822437
20.54601,5,8.831453
26.382902,5,8.837656
21.263841,100,8.955022
82.747524,17,8.969429
1.590567,100,9.09225
-1.0,25,9.114521
50.293293,6,9.120966
81.085678,5,9.125463
8.000804,5,9.130748
37.467999,5,9.135157
0.0,100,9.245375
17.204161,100,9.333721
-1.0,1,9.33724
0.0,100,9.424762
1.398906,4,9.429269
62.839581,30,9.454754
25.973558,5,9.460233
29.774531,5,9.468514
10.529017,5,9.473092
38.55179,5,9.479979
17.201658,6,9.488052
1.008707,100,9.578696
1.469955,5,9.58365
9.376516,5,9.588032
0.0,100,9.677111
13.188042,5,9.681931
2.79508,6,9.688734
83.164245,5,9.693294
0.0,100,9.796645
-1.0,1,9.797177
84.296796,5,9.803946
3.812154,3,9.805716
77.416456,5,9.813155
-0.347833,2,9.814439
56.979608,80,9.887268
80.792583,5,9.891756
