#{"t_start": 1752540494.6043186, "env_id": "None"}
r,l,t
22.181408,3,0.010809
0.228723,74,0.209735
35.510056,3,0.211476
2.006052,62,0.271212
35.043615,4,0.278324
3.876478,3,0.28174
4.826367,3,0.283374
-0.235589,3,0.287175
37.912523,3,0.291305
0.592784,100,0.37917
3.876478,10,0.387336
1.90976,50,0.432816
0.0,100,0.54625
3.750822,3,0.549808
-1.0,12,0.56273
0.0,100,0.649942
0.0,100,0.737638
39.762475,3,0.739486
3.719247,16,0.753579
-0.407216,12,0.763878
0.0,100,0.851978
36.414239,68,0.911567
1.228723,100,0.997602
6.732908,3,1.001081
-1.0,1,1.002671
-1.0,49,1.095354
6.732908,5,1.101532
19.573969,59,1.158804
36.625182,17,1.173744
-1.0,1,1.174416
5.915627,6,1.181043
0.0,100,1.26699
36.438392,72,1.345666
0.0,100,1.431453
-1.0,2,1.432327
20.810805,4,1.435953
4.238393,100,1.524214
40.495484,3,1.527763
0.905539,100,1.613977
21.182315,5,1.618097
0.0,100,1.70404
35.421327,3,1.70752
3.283288,56,1.75633
0.0,100,1.842688
23.17488,3,1.847067
0.4373,100,1.931556
0.0,100,2.020717
40.05994,3,2.022411
37.438392,100,2.11045
2.645583,46,2.165153
37.076515,93,2.245558
35.043615,5,2.249808
0.0,100,2.340581
2.721319,3,2.344104
0.0,100,2.432777
0.0,100,2.519263
0.0,100,2.6224
6.931133,6,2.628888
-0.242274,41,2.663602
25.736405,72,2.72716
37.912523,3,2.732411
4.238393,100,2.819906
41.254109,72,2.882371
0.0,100,2.970786
9.342326,3,2.973371
0.0,100,3.061149
0.983884,56,3.110109
42.113855,4,3.11372
6.931133,3,3.118321
26.151252,3,3.121748
-1.0,1,3.122452
3.610535,29,3.146946
40.567416,3,3.151433
0.0,100,3.238646
0.846658,3,3.242477
22.181408,3,3.246071
-0.235589,3,3.248595
18.763953,2,3.251592
35.043615,4,3.255921
41.005039,3,3.259378
0.0,100,3.347843
38.046016,39,3.381274
0.0,100,3.467108
7.354653,3,3.471116
-1.0,1,3.472617
-0.228168,77,3.542598
4.826367,3,3.544265
2.711477,3,3.547961
0.0,100,3.636756
21.780097,3,3.640441
2.0,100,3.727562
0.228723,17,3.741808
3.193886,11,3.752833
-1.0,97,3.839376
6.915627,100,3.928728
0.0,100,4.017506
36.7185,3,4.021996
37.613956,5,4.026402
0.115926,4,4.030443
3.181058,3,4.03428
2.572735,100,4.147795
6.59224,5,4.152162
6.732908,3,4.155632
42.897148,99,4.243428
-1.0,58,4.29648
34.981854,61,4.351327
-1.0,85,4.428894
19.894834,3,4.43063
0.846658,4,4.435252
4.283288,100,4.520498
6.931133,37,4.554799
17.764804,28,4.58037
17.764804,2,4.582415
19.135149,4,4.585934
18.763953,2,4.58892
0.0,100,4.67399
14.698414,3,4.725704
0.0,100,4.761605
36.934113,4,4.763793
37.915263,3,4.76527
4.876478,100,4.801
-1.0,2,4.811657
37.035215,3,4.815917
-0.551743,64,4.869863
13.420363,3,4.871545
0.0,100,4.958114
3.352625,3,4.961648
4.283288,100,5.046623
1.409371,11,5.056396
3.876478,99,5.142405
2.006135,3,5.144079
3.938468,84,5.218198
7.354653,4,5.221784
34.34466,4,5.226637
0.0,100,5.313549
27.151252,100,5.401898
-0.242274,19,5.418677
32.56284,100,5.505261
0.0,100,5.594666
2.056723,4,5.598534
24.943429,67,5.656382
2.721319,4,5.660934
2.721319,4,5.664562
42.460117,100,5.749482
0.0,100,5.91327
0.233664,3,5.917925
29.081784,10,5.925942
0.846658,3,5.929492
18.510894,100,6.01548
4.204354,8,6.023829
0.0,100,6.11481
9.952403,53,6.163328
6.006119,4,6.167135
0.0,100,6.257999
0.112333,4,6.263771
0.0,100,6.350005
