#{"t_start": 1752539680.9161196, "env_id": "None"}
r,l,t
0.0,100,0.243754
10.719155,100,0.327454
0.624722,100,0.409637
10.393631,3,0.412662
10.393631,2,0.415483
19.511386,69,0.472827
16.683058,35,0.501684
0.0,100,0.696718
8.567622,2,0.697919
10.393631,2,0.701656
19.511386,2,0.702855
0.0,100,0.784204
-0.375278,79,0.853091
0.0,100,0.940274
0.0,100,1.135886
-1.0,11,1.145441
19.511386,4,1.148702
0.0,100,1.240006
-1.0,81,1.324287
10.393631,3,1.327401
0.0,100,1.40951
10.393631,2,1.411552
8.567622,2,1.414449
8.567622,2,1.415567
-0.375278,6,1.421463
18.453952,88,1.49464
13.019446,100,1.578182
13.019446,100,1.658856
9.719155,55,1.701825
9.567622,100,1.785432
17.683058,100,1.868135
-0.375278,20,1.884012
0.0,100,1.964875
-0.375278,22,1.984914
9.719155,89,2.055646
13.019446,100,2.138478
12.019446,74,2.19895
10.393631,2,2.200961
8.567622,10,2.210152
11.393631,100,2.290391
12.019446,87,2.359537
-1.0,49,2.401775
12.019446,6,2.405953
0.0,100,2.487936
12.019446,45,2.523752
10.393631,2,2.527533
-1.0,9,2.534398
10.393631,2,2.537159
10.393631,90,2.609031
19.511386,27,2.632081
12.019446,14,2.643106
8.567622,71,2.713203
-1.0,10,2.72267
16.683058,2,2.72464
12.019446,75,2.78742
10.393631,2,2.788546
16.683058,2,2.791338
12.019446,84,2.85995
8.567622,7,2.866477
13.019446,100,2.948726
-1.0,98,3.026883
10.393631,2,3.030539
8.567622,81,3.095758
18.453952,22,3.113982
8.567622,25,3.135986
12.019446,12,3.14667
12.019446,64,3.19807
13.019446,100,3.284572
0.0,100,3.365216
13.019446,100,3.448131
10.393631,2,3.449308
10.393631,2,3.452117
-0.375278,39,3.482587
19.511386,82,3.550802
-1.0,50,3.589945
10.393631,19,3.605949
-1.0,98,3.688799
19.511386,36,3.719518
16.683058,2,3.720656
-1.0,21,3.737372
13.019446,100,3.820564
8.567622,2,3.824276
12.019446,12,3.834079
13.019446,100,3.916665
17.0,3,3.919729
8.567622,2,3.921598
0.0,100,4.006016
-1.0,27,4.028465
0.624722,100,4.112889
19.511386,2,4.114932
0.0,100,4.197812
13.019446,100,4.28033
17.683058,100,4.361763
19.511386,2,4.365495
8.567622,2,4.366636
12.019446,25,4.38849
-1.0,32,4.413877
10.393631,21,4.430919
13.019446,100,4.514539
19.511386,2,4.515749
10.393631,2,4.518594
19.511386,2,4.520526
16.683058,2,4.523401
15.673979,2,4.524499
10.393631,2,4.527356
18.453952,10,4.536478
19.511386,2,4.540032
10.393631,2,4.541171
10.393631,2,4.544025
16.683058,27,4.566752
10.393631,3,4.568045
10.393631,3,4.571265
10.393631,2,4.574021
8.567622,2,4.577316
0.0,100,4.612559
0.0,100,4.648028
15.673979,2,4.649102
8.567622,2,4.650145
-1.0,1,4.658678
8.567622,2,4.659848
10.393631,2,4.662645
16.683058,2,4.663767
0.0,100,4.747358
8.567622,2,4.750209
18.0,100,4.834882
10.393631,2,4.836051
15.673979,2,4.840353
0.624722,100,4.920497
18.453952,2,4.921435
17.0,10,4.931608
16.683058,31,4.959688
8.567622,2,4.962536
16.683058,2,4.963656
8.567622,2,4.966682
0.0,100,5.086042
8.567622,55,5.135269
13.019446,100,5.222031
0.0,100,5.306857
15.673979,2,5.309574
0.0,100,5.438663
8.567622,2,5.441566
0.624722,100,5.523569
10.393631,79,5.58755
12.019446,3,5.648694
0.0,100,5.732866
8.567622,2,5.735985
10.393631,2,5.737966
8.567622,3,5.741066
10.393631,2,5.742154
12.019446,9,5.750981
8.567622,2,5.752737
15.673979,2,5.755535
18.453952,65,5.80806
15.673979,2,5.809258
-0.375278,46,5.848329
8.567622,2,5.849421
16.683058,2,5.852205
-1.0,2,5.853351
-1.0,13,5.865705
10.719155,100,5.947697
15.673979,2,5.948853
13.019446,100,6.02841
10.393631,2,6.032091
18.453952,43,6.065201
13.019446,100,6.145965
8.567622,2,6.148875
-1.0,9,6.158421
13.019446,100,6.246298
0.0,100,6.32858
19.511386,2,6.33143
19.511386,3,6.333519
12.019446,15,6.34659
8.567622,91,6.422132
15.673979,2,6.423303
12.019446,13,6.436437
-1.0,97,6.514782
0.0,100,6.597499
10.393631,3,6.600732
9.567622,100,6.680846
8.567622,58,6.727524
-0.375278,61,6.776664
12.019446,13,6.788741
15.673979,2,6.790649
0.0,100,6.872021
-1.0,87,6.944756
15.673979,28,6.967102
0.0,100,7.047742
15.673979,3,7.050717
16.683058,53,7.092691
-1.0,34,7.12103
19.511386,2,7.124686
0.0,100,7.206362
0.0,100,7.292743
15.673979,2,7.29387
10.393631,29,7.318924
-0.375278,11,7.326792
