#{"t_start": 1752541121.3702896, "env_id": "None"}
r,l,t
0.0,100,0.130441
1.37014,100,0.216907
0.592925,100,0.302837
0.37014,55,0.351746
0.592925,100,0.435939
1.37014,100,0.541969
0.592925,100,0.628619
0.592925,100,0.714043
-1.0,92,0.7924
-1.0,12,0.802768
-1.0,53,0.848576
1.37014,100,0.937809
0.0,100,1.041301
0.37014,13,1.078747
0.0,100,1.166878
1.37014,100,1.259346
1.37014,100,1.350069
-1.0,83,1.418698
0.0,100,1.506846
-1.0,63,1.564372
1.37014,100,1.654984
0.0,100,1.741201
0.0,100,1.832021
0.0,100,1.922125
-1.0,95,2.006928
0.0,100,2.097126
0.592925,100,2.182451
-1.0,79,2.266822
-1.0,7,2.271481
-1.0,13,2.284191
0.0,100,2.371977
1.37014,100,2.459757
0.0,100,2.546814
0.0,100,2.632139
0.0,100,2.718941
0.0,100,2.807821
1.37014,100,2.896213
0.0,100,2.983901
1.37014,100,3.073435
0.0,100,3.163971
1.37014,100,3.253003
-1.0,96,3.336408
0.37014,6,3.341768
0.0,100,3.430308
1.37014,100,3.519817
0.37014,12,3.530001
-1.0,73,3.593436
0.0,100,3.683399
0.0,100,3.770156
0.0,100,3.857943
0.0,100,3.947226
1.37014,100,4.038147
0.0,100,4.128003
0.592925,100,4.214196
0.37014,93,4.296121
0.0,100,4.382222
0.0,100,4.465996
0.0,100,4.546165
1.37014,100,4.58151
1.37014,100,4.616746
0.0,100,4.65198
0.0,100,4.687516
0.0,100,4.779873
0.0,100,4.865845
0.0,100,4.951612
0.592925,100,5.035642
0.0,100,5.12013
0.0,100,5.205634
0.0,100,5.28966
0.0,100,5.372917
0.37014,56,5.419973
0.0,100,5.506433
0.0,100,5.592275
0.37014,37,5.625659
1.37014,100,5.710506
1.37014,100,5.797045
0.0,100,5.884807
-1.0,11,5.892832
0.0,100,5.977225
-1.0,83,6.096458
1.37014,100,6.18402
0.592925,100,6.323942
0.37014,53,6.370586
0.592925,100,6.457601
0.37014,20,6.475141
-0.407075,58,6.525908
-1.0,24,6.546534
0.0,100,6.633398
-1.0,63,6.690705
0.0,100,6.779225
0.0,100,6.86691
0.0,100,6.954954
1.37014,100,7.05731
1.37014,100,7.144341
-1.0,44,7.183753
0.592925,100,7.274005
0.0,100,7.385596
1.37014,100,7.472033
-0.407075,63,7.523952
0.37014,55,7.573457
-1.0,97,7.658939
-1.0,82,7.729521
0.37014,83,7.801075
0.0,100,7.887156
1.37014,100,7.973645
-1.0,56,8.021858
0.0,100,8.109122
-1.0,6,8.114303
0.0,100,8.202534
0.37014,56,8.25274
0.592925,100,8.339146
-1.0,81,8.409853
0.0,100,8.497724
1.37014,100,8.583681
-1.0,4,8.587193
0.0,100,8.675302
0.0,100,8.764988
0.0,100,8.855119
0.0,100,8.944161
0.0,100,9.038443
1.37014,100,9.147223
0.0,100,9.243936
0.0,100,9.281085
0.0,100,9.318211
0.0,100,9.356235
0.0,100,9.394701
0.0,100,9.486948
0.0,100,9.576217
-1.0,48,9.620448
0.0,100,9.712241
1.37014,100,9.80358
1.37014,100,9.894877
-1.0,26,9.920224
0.37014,90,9.999647
0.0,100,10.097023
0.37014,36,10.129683
1.37014,100,10.217452
-1.0,35,10.247526
0.0,100,10.332695
0.37014,59,10.383927
1.37014,100,10.471405
0.592925,100,10.559299
0.0,100,10.644894
0.0,100,10.732063
0.0,100,10.818831
1.37014,100,10.90516
0.592925,100,10.994041
0.0,100,11.081294
0.592925,100,11.169618
0.0,100,11.257989
0.0,100,11.344555
0.37014,80,11.417478
0.0,100,11.506125
0.37014,67,11.56598
-1.0,69,11.626107
-1.0,40,11.6605
-1.0,9,11.669849
0.0,100,11.756269
-1.0,4,11.759842
1.37014,100,11.851587
0.37014,95,11.935715
1.37014,100,12.024647
1.37014,100,12.111466
0.0,100,12.200347
