#{"t_start": 1752540916.934798, "env_id": "None"}
r,l,t
0.0,100,0.259711
16.447464,5,0.269628
14.789712,6,0.275328
0.0,100,0.38747
-1.0,5,0.392423
0.0,100,0.499589
25.753627,100,0.633144
-1.0,68,0.709193
44.056926,5,0.717434
3.852396,4,0.72369
27.175645,5,0.729612
0.0,100,0.829987
116.738945,38,0.86888
0.256295,5,0.876751
-1.0,76,0.946499
-1.0,19,0.962555
0.256295,5,0.969784
0.0,100,1.096441
41.24835,61,1.153012
-0.061046,2,1.154276
26.192545,5,1.160935
8.350607,5,1.166575
4.675593,5,1.171277
3.343129,2,1.174389
-0.521483,4,1.178577
-1.0,2,1.180616
2.027951,4,1.184784
23.556126,4,1.189014
0.0,100,1.301868
53.008166,61,1.364999
0.986077,95,1.454244
0.0,100,1.546728
8.14516,3,1.550695
0.780693,100,1.645105
0.0,100,1.74025
0.963721,3,1.74389
-0.170088,33,1.799417
1.499461,5,1.806085
10.90408,30,1.83322
18.882954,25,1.856644
0.138441,35,1.889706
0.0,100,1.983026
16.468776,100,2.077712
12.167802,4,2.082095
12.976756,5,2.086862
68.042033,81,2.160747
16.462958,5,2.165559
30.619138,6,2.172437
0.161827,2,2.173628
75.538194,5,2.183751
96.306571,92,2.266106
1.653813,100,2.361006
20.943135,100,2.446402
0.0,100,2.531942
-0.530603,2,2.533159
1.982742,4,2.537042
-1.0,12,2.547065
48.405261,5,2.553537
13.216109,100,2.650787
85.607287,65,2.709414
0.0,100,2.796531
0.576297,4,2.802304
44.227301,48,2.842803
40.932903,5,2.847281
1.413086,4,2.851472
13.437135,100,2.938593
49.781811,5,2.943075
8.814622,100,3.029115
0.675232,30,3.055115
-1.0,1,3.057892
12.52939,2,3.059017
69.891554,49,3.102023
43.963281,25,3.123083
0.0,100,3.210851
10.90408,66,3.265862
0.0,100,3.350588
59.664491,5,3.35681
13.237106,65,3.413423
0.780693,100,3.573812
0.0,100,3.657871
53.812086,5,3.662316
44.960051,5,3.667521
0.0,100,3.754576
9.786775,33,3.784616
21.439931,5,3.78905
60.060373,5,3.794364
0.0,100,3.878942
0.0,100,3.966596
3.18722,100,4.056137
-1.0,74,4.13124
4.227987,100,4.217976
0.0,100,4.305612
51.382482,5,4.310442
18.201753,100,4.401607
60.060373,5,4.406401
55.28848,5,4.411154
4.669558,100,4.506845
37.794046,5,4.514358
53.927638,6,4.519063
27.175645,5,4.523595
-1.0,19,4.540879
66.46305,5,4.54617
60.852042,5,4.552614
4.975074,100,4.640571
-0.198827,16,4.655353
2.746937,4,4.660509
55.125256,5,4.665241
2.04205,6,4.672132
32.845958,5,4.678612
0.0,100,4.768599
32.339749,5,4.773172
53.726104,100,4.861751
59.256044,5,4.866483
70.81172,4,4.871463
5.981911,100,5.069268
0.678359,100,5.142283
42.002252,100,5.179306
14.051412,2,5.180473
0.0,100,5.218677
3.769564,4,5.220745
4.216342,100,5.316691
3.414582,4,5.320788
46.447355,5,5.328366
