#{"t_start": 1752539564.7217076, "env_id": "None"}
r,l,t
11.828333,78,0.192039
11.828333,26,0.213443
11.828333,5,0.219145
11.828333,6,0.224684
11.828333,21,0.242511
0.658684,100,0.346134
-0.341316,39,0.378118
12.828333,100,0.457543
0.658684,100,0.571935
11.828333,92,0.730774
0.0,100,0.811798
-1.0,1,0.812458
12.828333,100,0.89942
-1.0,22,0.91802
11.828333,24,0.936867
12.828333,100,1.056485
-1.0,1,1.05828
12.828333,100,1.145339
12.828333,100,1.233562
-0.341316,22,1.266529
36.273675,92,1.581815
-0.341316,23,1.601597
11.828333,23,1.622671
11.828333,62,1.678407
12.828333,100,1.768976
11.828333,28,1.79434
11.828333,57,1.844202
0.658684,100,1.941853
11.828333,7,1.949706
11.828333,27,1.972507
11.828333,9,1.982308
11.828333,77,2.048834
11.828333,70,2.114258
22.970018,11,2.125606
11.828333,15,2.140403
11.828333,9,2.148915
11.828333,67,2.211078
12.828333,100,2.354191
0.658684,100,2.442937
12.828333,100,2.541976
0.0,100,2.633564
12.828333,100,2.726336
11.828333,25,2.747592
-1.0,8,2.754628
0.0,100,2.846245
12.828333,100,2.93893
11.828333,93,3.014003
-0.341316,41,3.050561
11.828333,5,3.055367
12.828333,100,3.136595
36.273675,65,3.191061
22.970018,95,3.268259
11.828333,8,3.275923
-1.0,23,3.296
-1.0,2,3.297335
12.828333,100,3.37924
11.828333,75,3.444453
0.0,100,3.525325
11.828333,94,3.602004
-1.0,6,3.608226
-1.0,2,3.610269
11.828333,16,3.623628
11.828333,41,3.659488
11.828333,3,3.66088
11.828333,71,3.721763
0.0,100,3.806472
12.828333,100,3.889913
11.828333,61,3.941376
-1.0,60,4.017782
-1.0,65,4.074976
12.828333,100,4.157607
11.828333,25,4.178193
11.828333,89,4.257225
0.658684,100,4.34188
12.828333,100,4.4248
0.0,100,4.50795
11.828333,13,4.518829
11.828333,32,4.54543
0.0,100,4.629274
36.273675,74,4.693304
0.0,100,4.778926
11.828333,4,4.782359
0.0,100,4.86957
0.0,100,4.980045
0.0,100,5.016643
0.0,100,5.052132
12.828333,100,5.088039
12.828333,100,5.124029
0.0,100,5.212784
12.828333,100,5.297312
11.828333,92,5.372573
12.828333,100,5.454439
-1.0,45,5.49203
0.0,100,5.574451
11.828333,30,5.598047
12.828333,100,5.741235
36.273675,57,5.801984
12.828333,100,5.886111
12.828333,100,5.972138
0.0,100,6.054696
12.828333,100,6.136748
11.828333,21,6.156766
36.273675,2,6.157676
11.828333,86,6.231228
0.0,100,6.315792
36.273675,91,6.390133
22.970018,83,6.461317
11.828333,2,6.464224
11.828333,43,6.498328
12.828333,100,6.582153
11.828333,2,6.585068
11.828333,2,6.586234
0.0,100,6.671268
11.828333,4,6.675662
11.828333,3,6.678672
11.828333,2,6.681476
-1.0,7,6.685951
11.828333,2,6.689448
-1.0,48,6.728898
-1.0,15,6.741775
0.658684,100,6.838941
22.970018,83,6.906115
36.273675,77,6.971827
-1.0,30,6.996671
36.273675,17,7.010179
36.273675,18,7.027026
0.0,100,7.108908
-1.0,51,7.153791
-1.0,37,7.183494
-1.0,40,7.217671
11.828333,2,7.218846
11.828333,2,7.221889
11.828333,2,7.222985
0.0,100,7.310883
11.828333,62,7.364408
12.828333,100,7.446217
-1.0,9,7.453405
11.828333,82,7.522219
11.828333,58,7.568805
36.273675,2,7.571935
0.0,100,7.661085
11.828333,38,7.692325
22.970018,34,7.721464
11.828333,2,7.722576
11.828333,2,7.725429
22.970018,34,7.753422
0.0,100,7.841717
-1.0,31,7.86741
11.828333,5,7.871227
36.273675,98,7.953281
11.828333,48,7.993786
11.828333,49,8.035278
12.828333,100,8.116615
11.828333,29,8.140836
12.828333,100,8.222582
36.273675,19,8.238832
-1.0,61,8.29098
0.0,100,8.37473
-1.0,64,8.428438
11.828333,39,8.464523
36.273675,48,8.503942
0.0,100,8.587017
0.0,100,8.671836
36.273675,4,8.675515
36.273675,2,8.676619
11.828333,19,8.693406
11.828333,18,8.709176
11.828333,54,8.751899
0.0,100,8.836133
36.273675,2,8.839854
-1.0,56,8.887058
11.828333,35,8.914003
-1.0,65,8.969602
11.828333,75,9.031372
0.0,100,9.118578
12.828333,100,9.199817
11.828333,33,9.229241
-1.0,20,9.247283
