#{"t_start": 1752539644.3572376, "env_id": "None"}
r,l,t
8.844736,2,0.011041
16.991428,97,0.183487
16.991428,3,0.187321
0.641993,100,0.268577
7.280135,100,0.350172
-1.0,1,0.350837
26.175631,100,0.433723
0.0,100,0.56888
16.755139,2,0.572
17.991428,100,0.688269
-0.366916,72,0.749246
16.755139,2,0.750444
16.755139,2,0.75328
31.06386,2,0.754406
-1.0,1,0.756516
20.632814,55,0.803975
25.175631,12,0.814978
16.755139,2,0.820419
21.632814,100,0.903245
20.632814,8,0.910066
22.161521,92,0.985939
19.826751,2,0.987155
16.755139,2,0.991638
16.755139,2,0.992786
11.005089,2,0.995624
24.258913,89,1.072685
-1.0,67,1.131055
16.755139,58,1.176194
-1.0,78,1.241529
0.0,100,1.327245
-1.0,1,1.329397
0.0,100,1.418388
6.280135,23,1.437727
25.175631,12,1.447572
20.632814,5,1.453817
9.774696,48,1.497607
26.175631,100,1.581212
20.632814,38,1.61141
0.0,100,1.692668
31.06386,2,1.695456
17.991428,100,1.775969
31.06386,32,1.804391
0.0,100,1.886795
-0.358007,8,1.893118
17.991428,100,1.973734
17.991428,100,2.063557
8.844736,39,2.095783
0.0,100,2.176228
25.175631,69,2.233989
9.844736,100,2.312333
0.0,100,2.391778
20.632814,37,2.420882
20.632814,33,2.448333
-0.366916,11,2.457915
31.06386,2,2.461458
21.632814,100,2.541712
17.991428,100,2.624445
25.258913,100,2.703549
-1.0,88,2.773699
25.142256,71,2.829029
31.06386,54,2.87567
-1.0,28,2.898578
16.755139,24,2.91876
16.755139,98,2.997601
6.280135,9,3.006406
23.161521,100,3.086099
16.755139,6,3.090923
16.755139,23,3.110334
19.826751,13,3.120384
24.258913,98,3.201443
0.0,100,3.284417
8.844736,2,3.285384
21.632814,100,3.367517
0.0,100,3.447274
9.844736,100,3.52837
6.280135,83,3.597902
16.991428,65,3.649449
0.0,100,3.728832
25.175631,36,3.758185
20.632814,95,3.837937
-1.0,1,3.838821
9.774696,12,3.848147
25.142256,60,3.899104
0.0,100,3.985392
20.632814,87,4.055539
-1.0,1,4.056203
8.844736,66,4.113375
24.258913,9,4.120358
20.632814,39,4.161168
0.0,100,4.242553
26.175631,100,4.355692
17.991428,100,4.409175
20.826751,100,4.446217
0.0,100,4.482783
21.632814,100,4.519233
0.0,100,4.555146
24.258913,86,4.635753
16.991428,62,4.686982
25.175631,3,4.690141
8.844736,12,4.701393
16.991428,80,4.766398
-1.0,32,4.792396
9.774696,2,4.794959
20.632814,99,4.875822
16.755139,13,4.887621
11.005089,63,4.949279
21.632814,100,5.062953
22.161521,38,5.103401
0.0,100,5.183557
24.258913,70,5.242231
9.774696,19,5.257893
21.632814,100,5.34192
16.755139,15,5.354623
-1.0,1,5.355262
0.0,100,5.439769
0.0,100,5.524873
16.755139,15,5.537882
31.06386,24,5.557737
0.0,100,5.641247
31.06386,2,5.64393
31.06386,2,5.646842
6.280135,83,5.714129
-1.0,1,5.71454
8.844736,40,5.74779
19.826751,56,5.794962
0.0,100,5.89106
20.632814,40,5.923311
-0.358007,32,5.950065
20.632814,35,5.979341
8.844736,18,5.993091
-1.0,14,6.004957
25.258913,100,6.097808
20.632814,67,6.159158
26.175631,100,6.241847
16.755139,34,6.270135
-1.0,48,6.310679
6.280135,82,6.376927
0.0,100,6.462966
24.258913,80,6.526689
24.258913,84,6.596343
-1.0,1,6.598729
31.06386,8,6.60518
21.632814,100,6.690302
0.0,100,6.773241
8.844736,56,6.821197
9.844736,100,6.9026
0.0,100,6.984616
26.175631,100,7.06572
20.632814,78,7.129887
20.632814,79,7.19364
8.844736,18,7.20684
19.826751,26,7.230591
25.175631,2,7.231458
-0.358007,4,7.23516
0.0,100,7.316549
19.826751,97,7.399584
31.06386,3,7.400896
0.0,100,7.484053
-1.0,78,7.548176
22.161521,9,7.55673
6.280135,31,7.582187
0.0,100,7.663936
22.161521,45,7.702088
16.755139,10,7.712769
20.632814,71,7.769211
-1.0,63,7.818824
16.755139,3,7.822017
8.844736,2,7.824241
0.0,100,7.906112
25.175631,73,7.969718
0.0,100,8.050208
16.755139,52,8.097976
25.175631,96,8.175989
9.844736,100,8.256941
0.0,100,8.336722
-1.0,54,8.385993
25.175631,13,8.395987
31.06386,2,8.398764
22.161521,39,8.429731
23.161521,100,8.53053
0.0,100,8.612514
8.844736,34,8.640734
0.0,100,8.721914
-1.0,31,8.748512
25.142256,3,8.751472
21.632814,100,8.83947
9.844736,100,8.874703
26.175631,100,8.909997
21.632814,100,8.945375
9.844736,100,8.980313
24.258913,23,9.011825
0.0,100,9.099368
20.826751,100,9.182879
21.632814,100,9.266936
0.0,100,9.349129
20.632814,40,9.381779
8.844736,56,9.430839
23.161521,100,9.515844
22.161521,19,9.53181
20.632814,71,9.590473
8.844736,39,9.622952
9.774696,83,9.692245
26.175631,100,9.776495
25.175631,31,9.804454
6.280135,2,9.807216
20.632814,3,9.810686
20.632814,3,9.814411
20.632814,3,9.817969
-1.0,1,9.820626
19.826751,2,9.821803
20.632814,3,9.82541
20.632814,3,9.828937
20.632814,3,9.83414
-1.0,1,9.834921
19.826751,2,9.83604
22.161521,2,9.83905
-1.0,2,9.841306
20.632814,3,9.844846
-1.0,57,9.892656
6.280135,2,9.895655
22.161521,2,9.898415
8.844736,2,9.901613
8.844736,2,9.90273
21.632814,100,9.987211
-1.0,1,9.99143
26.175631,100,10.075238
22.161521,18,10.089643
8.844736,98,10.174667
25.175631,65,10.230778
25.175631,33,10.259919
22.161521,49,10.301388
-1.0,19,10.319204
-0.358007,4,10.324536
20.632814,25,10.344371
19.826751,69,10.40235
-1.0,67,10.457242
16.755139,2,10.462923
0.0,100,10.543679
25.175631,70,10.600492
19.826751,100,10.68207
20.632814,3,10.68683
6.280135,35,10.71598
21.632814,100,10.799173
8.844736,36,10.829579
16.755139,2,10.832292
8.844736,73,10.893003
20.632814,14,10.90403
16.755139,27,10.925697
20.632814,26,10.947608
16.755139,3,10.950639
0.0,100,11.034254
-0.366916,8,11.040974
22.161521,9,11.050077
19.826751,5,11.056933
16.755139,2,11.058142
-0.358007,4,11.062006
8.844736,12,11.073864
25.175631,3,11.077407
20.632814,70,11.136567
8.844736,92,11.214082
0.0,100,11.29613
16.755139,58,11.345743
16.755139,2,11.346913
20.632814,46,11.385299
25.175631,59,11.435158
20.632814,4,11.439029
16.755139,2,11.440197
25.175631,3,11.443549
16.755139,2,11.446255
16.755139,3,11.449285
-1.0,1,11.449943
8.844736,2,11.452937
24.258913,14,11.4652
24.258913,2,11.467835
25.175631,3,11.471208
-0.358007,4,11.475083
20.632814,3,11.477932
0.0,100,11.561465
0.0,100,11.647365
-0.366916,93,11.724085
21.632814,100,11.807796
20.632814,47,11.845165
0.0,100,11.933219
16.755139,8,11.939959
0.0,100,12.022038
31.06386,2,12.024933
31.06386,2,12.026071
17.991428,100,12.108293
16.755139,7,12.116049
16.991428,42,12.15179
16.991428,3,12.153147
16.755139,2,12.155997
-1.0,1,12.158215
8.844736,2,12.161658
20.632814,67,12.215307
16.991428,26,12.237798
25.175631,31,12.26534
8.844736,44,12.304585
16.755139,2,12.305941
16.755139,22,12.324898
0.0,100,12.408848
-1.0,19,12.423965
31.06386,10,12.433302
-1.0,1,12.433955
0.0,100,12.518896
25.175631,22,12.538337
31.06386,49,12.58013
20.632814,23,12.600283
31.06386,2,12.603064
16.755139,2,12.606119
-0.358007,5,12.61012
16.991428,2,12.611218
31.06386,2,12.615405
25.175631,3,12.61884
16.755139,2,12.620002
20.632814,28,12.643465
-1.0,52,12.846017
25.175631,13,12.856142
0.0,100,12.94868
31.06386,2,12.951568
-1.0,71,13.01562
26.175631,100,13.108292
16.991428,88,13.190458
22.161521,49,13.229926
16.755139,3,13.233791
20.632814,10,13.241038
31.06386,2,13.244255
-0.358007,4,13.248047
21.632814,100,13.328751
25.175631,19,13.343375
16.755139,2,13.346377
20.632814,24,13.365807
-0.358007,3,13.369953
25.175631,3,13.371582
16.755139,2,13.374402
20.632814,10,13.382487
0.0,100,13.470173
17.991428,100,13.504802
0.0,100,13.539224
26.175631,100,13.574073
20.826751,100,13.608759
24.258913,33,13.638006
16.991428,59,13.684243
8.844736,62,13.735032
21.632814,100,13.817999
31.06386,93,13.89259
25.175631,60,13.940441
24.258913,75,14.002532
21.632814,100,14.084817
6.280135,42,14.118496
25.175631,52,14.159918
19.826751,9,14.168689
9.774696,68,14.224849
0.0,100,14.306629
0.0,100,14.411755
19.826751,92,14.485619
25.142256,19,14.499998
16.755139,2,14.503646
25.175631,3,14.506948
31.06386,2,14.508043
0.0,100,14.588887
26.175631,100,14.672906
-0.358007,3,14.676437
16.991428,19,14.692459
16.755139,2,14.693639
0.0,100,14.774686
19.826751,2,14.777468
19.826751,2,14.778581
16.755139,2,14.781361
-0.358007,4,14.785793
21.632814,100,14.867057
20.632814,72,14.927086
16.755139,2,14.92824
31.06386,2,14.931813
0.0,100,15.012341
6.280135,70,15.069475
31.06386,3,15.072675
20.632814,10,15.080727
24.258913,41,15.114798
0.0,100,15.19657
20.632814,39,15.228089
17.991428,100,15.307937
16.755139,33,15.335648
-1.0,1,15.336284
31.06386,32,15.362009
25.175631,3,15.366449
8.844736,2,15.367553
0.0,100,15.449211
20.632814,16,15.462435
8.844736,20,15.480231
25.142256,12,15.495598
-1.0,1,15.496254
16.755139,2,15.499061
25.175631,3,15.503085
8.844736,2,15.504181
31.06386,2,15.507405
6.280135,66,15.559955
26.175631,100,15.643023
16.755139,99,15.722799
23.161521,100,15.803313
20.632814,12,15.813015
25.175631,3,15.818515
19.826751,2,15.81965
25.142256,80,15.884184
16.755139,2,15.887026
19.826751,2,15.888853
16.991428,58,15.93699
0.0,100,16.106952
31.06386,2,16.108188
8.844736,3,16.11207
-1.0,93,16.191447
16.755139,2,16.194298
