#{"t_start": 1752539517.4931877, "env_id": "None"}
r,l,t
-1.0,19,0.732462
-1.0,2,0.733506
-1.0,10,0.735309
-1.0,3,0.736117
-1.0,8,0.7385
-1.0,2,0.739122
-1.0,3,0.739914
-1.0,7,0.741267
-1.0,24,0.745718
-1.0,8,0.747196
-1.0,13,0.74934
-1.0,11,0.764514
-1.0,6,0.768513
-1.0,12,0.77635
-1.0,1,0.778525
-1.0,17,0.790411
-1.0,2,0.791962
-1.0,3,0.794603
-1.0,2,0.796977
-1.0,28,0.816582
-1.0,7,0.820684
-1.0,16,0.831424
-1.0,6,0.836235
-1.0,21,0.849093
-1.0,1,0.850358
-1.0,3,0.853042
-1.0,14,0.863363
-1.0,10,0.868669
-1.0,21,0.882251
-1.0,5,0.886794
-1.0,19,0.897448
-1.0,2,0.899849
-1.0,4,0.904182
-1.0,4,0.907137
-1.0,4,0.910229
-1.0,6,0.913316
-1.0,2,0.91703
-1.0,6,0.920078
-1.0,17,0.93428
-1.0,2,0.934982
-1.0,11,0.945124
-1.0,6,0.948446
-1.0,10,0.955763
-1.0,1,0.956152
-1.0,12,0.965317
-1.0,5,0.968687
-1.0,5,0.974567
-1.0,9,0.982584
-1.0,14,0.99204
-1.0,16,1.002974
-1.0,38,1.029248
-1.0,10,1.035528
-1.0,3,1.039559
-1.0,2,1.042663
-1.0,18,1.052953
-1.0,2,1.056
-1.0,41,1.089804
-1.0,2,1.090522
-1.0,2,1.093048
-1.0,3,1.095649
-1.0,18,1.107811
-1.0,5,1.111581
-1.0,4,1.114992
-1.0,30,1.136733
-1.0,16,1.14872
-1.0,4,1.152865
-1.0,5,1.156023
-1.0,5,1.158905
-1.0,3,1.162872
-1.0,7,1.169014
-1.0,3,1.172611
-1.0,5,1.175868
-1.0,14,1.214842
-1.0,5,1.287122
-1.0,22,1.306564
-1.0,6,1.312578
-1.0,29,1.333803
-1.0,3,1.34329
-1.0,2,1.344023
-1.0,11,1.510705
-1.0,3,1.517517
-1.0,17,1.533204
-1.0,25,1.552078
-1.0,11,1.560105
-1.0,5,1.565957
-1.0,26,1.585242
-1.0,2,1.586267
-1.0,4,1.592201
-1.0,2,1.597369
-1.0,1,1.597831
-1.0,2,1.598795
-1.0,3,1.60216
-1.0,6,1.610075
-1.0,40,1.637481
-1.0,10,1.643651
-1.0,2,1.646345
-1.0,8,1.65517
-1.0,3,1.65637
-1.0,65,1.707211
-1.0,24,1.724077
-1.0,2,1.72773
-1.0,3,1.730846
-1.0,1,1.731283
-1.0,4,1.734582
-1.0,2,1.740101
-1.0,2,1.741376
-1.0,1,1.741877
-1.0,2,1.744438
-1.0,3,1.749722
-1.0,4,1.752893
-1.0,4,1.756372
-1.0,5,1.759762
-1.0,2,1.763227
-1.0,4,1.766526
-1.0,6,1.772273
-1.0,2,1.773055
-1.0,5,1.784406
-1.0,3,1.785663
-1.0,5,1.791528
-1.0,3,1.792909
-1.0,24,1.813671
-1.0,3,1.816564
-1.0,2,1.819251
-1.0,2,1.820217
-1.0,6,1.827821
-1.0,2,1.828526
-1.0,5,1.832496
-1.0,3,1.835475
-1.0,12,1.846038
-1.0,2,1.848464
-1.0,5,1.8519
-1.0,4,1.855524
-1.0,4,1.86427
-1.0,4,1.867363
-1.0,5,1.870865
-1.0,4,1.873923
