#{"t_start": 1752542036.9754224, "env_id": "None"}
r,l,t
-85.93229,100,0.200447
-31.179731,37,0.234505
-2.350241,4,0.238587
-28.542359,41,0.274341
-32.664317,35,0.309783
-46.854832,62,0.36309
-49.481996,62,0.427795
-24.0,24,0.448758
-100.0,100,0.562386
-3.308555,5,0.566647
4.980118,4,0.570862
-39.348302,100,0.654893
-4.557214,9,0.678667
-36.498179,50,0.723533
-32.184226,38,0.754725
-43.0,43,0.797419
45.219797,4,0.804222
-79.357591,99,0.891597
15.642409,4,0.895476
-99.0,100,0.983145
-85.715022,88,1.110224
-92.081558,100,1.202057
0.696161,4,1.205888
8.245695,4,1.209784
-29.0,29,1.238023
5.592754,4,1.242025
6.486208,4,1.246221
-51.854832,67,1.317157
-99.0,100,1.406826
44.04452,4,1.410835
-1.477819,4,1.414891
27.063709,4,1.418437
-42.343534,44,1.4613
-74.468173,77,1.528184
-99.0,100,1.626429
-94.0,94,1.705675
54.278379,4,1.712496
0.043755,4,1.716108
-71.09497,100,1.828669
10.044338,4,1.83261
-31.0,32,1.863145
41.127337,4,1.867024
-1.963115,5,1.872946
-2.329611,4,1.876967
-2.0608,4,1.883592
-100.0,100,1.969563
7.500103,4,1.973587
21.985859,4,1.97745
6.68317,4,1.984381
-79.86327,82,2.054506
-43.420444,58,2.108673
-57.328756,58,2.157245
-76.0,76,2.22719
1.192101,4,2.231312
34.955526,4,2.235296
-62.0,63,2.294711
55.549595,4,2.303665
54.278379,4,2.307623
-100.0,100,2.394525
-39.0,39,2.430247
-20.356682,27,2.455574
-5.0,5,2.461638
19.592564,4,2.465687
-96.38973,100,2.555255
-20.0,20,2.577065
-98.578439,100,2.665405
-36.557214,41,2.702317
35.286698,4,2.706253
-93.862138,100,2.794983
39.478018,4,2.80091
-5.0,5,2.804934
1.90536,4,2.809027
7.994524,4,2.815733
-34.242505,42,2.855081
-32.0,32,2.883675
-31.298644,33,2.91263
39.814989,4,2.919564
-100.0,100,3.006133
-2.308555,4,3.010404
2.137862,4,3.014264
1.192101,4,3.021098
33.818136,4,3.025129
-95.539157,100,3.121229
-8.09497,37,3.155129
15.001394,4,3.162187
17.101031,4,3.166236
7.500103,4,3.170284
40.779895,4,3.174017
-99.0,100,3.280586
5.10248,4,3.285059
-77.675979,82,3.36045
-80.0,80,3.431195
-100.0,100,3.522373
-100.0,100,3.611655
53.794748,4,3.615718
-18.0,18,3.630481
11.44307,4,3.637422
-37.495583,42,3.674488
3.980118,5,3.679083
