#{"t_start": 1752541439.1019244, "env_id": "None"}
r,l,t
-100.0,100,0.222695
-41.72712,44,0.26109
-14.0,14,0.276989
-15.0,15,0.292194
-100.0,100,0.391972
-45.01241,60,0.446541
-22.0,22,0.463506
-28.0,28,0.492761
-76.0,76,0.58359
-93.0,93,0.671177
-100.0,100,0.758804
-97.0,97,0.847193
-100.0,100,0.950132
-36.357079,57,1.017672
-68.05535,100,1.138953
-8.0,8,1.147973
-46.0,46,1.190866
10.3813,13,1.203583
-35.0,35,1.235993
-99.0,100,1.328948
-97.885776,100,1.417271
-16.0,16,1.431117
-97.626349,100,1.517802
-99.0,100,1.602065
-75.0,75,1.668936
-25.810368,29,1.694438
-60.605426,62,1.749634
37.703119,7,1.757438
-72.0,72,1.819583
10.001434,6,1.824096
-12.275443,13,1.834529
-35.297138,36,1.866034
-65.0,65,1.932401
-99.0,100,2.019044
-100.0,100,2.10352
-58.0,58,2.154334
-100.0,100,2.24535
-100.0,100,2.329643
-4.52535,18,2.34674
-65.0,65,2.403506
-48.522536,59,2.456916
-50.568124,52,2.502608
-3.568124,5,2.506807
-99.275443,100,2.591327
-96.332325,100,2.67936
-98.578439,100,2.76254
-78.10754,100,2.847584
-99.0,100,2.931017
6.41305,13,2.941357
-100.0,100,3.025932
-100.0,100,3.110863
-23.347444,40,3.145236
-99.105461,100,3.230093
-23.0,23,3.252102
-15.0,15,3.265481
-44.0,44,3.303011
-21.925547,34,3.33055
-100.0,100,3.415019
-87.999382,100,3.498516
-99.095511,100,3.584678
14.330353,31,3.612092
-47.0,47,3.652357
-9.561599,14,3.663173
-15.601399,23,3.683854
-89.305394,99,3.765649
-18.341882,20,3.782357
7.695059,5,3.786689
-65.08886,100,3.871016
-2.783969,5,3.875473
-13.52535,27,3.89852
-68.0,68,3.956545
-50.488866,52,4.00141
-30.522957,32,4.027778
-99.105461,100,4.110901
-42.52535,56,4.235536
8.449438,5,4.240386
-100.0,100,4.323147
-77.0,77,4.386127
-30.200657,31,4.412253
-97.620929,100,4.496641
-36.135253,58,4.545818
-97.620929,100,4.626124
1.704146,18,4.640209
-15.0,15,4.654307
-98.488866,100,4.691197
-91.867186,100,4.726916
-100.0,100,4.76268
-90.617878,100,4.7984
-86.722728,100,4.833927
-99.293112,100,4.923168
-51.0,51,4.967049
-35.636876,56,5.013876
-37.094461,38,5.047221
-92.0,92,5.123198
-16.0,16,5.137023
-18.0,18,5.153753
-27.0,27,5.177899
98.556801,5,5.18215
-30.0,30,5.207767
-19.0,19,5.222311
-5.880231,12,5.233047
-72.0,72,5.294173
-17.606157,19,5.310323
-8.0,8,5.316796
-100.0,100,5.400215
-28.0,28,5.423696
-100.0,100,5.506309
-78.431734,82,5.574861
-92.369082,100,5.657756
-92.0,92,5.734878
-36.515858,40,5.767832
-100.0,100,5.849663
-97.683724,100,5.933052
-24.0,24,5.953039
36.142475,5,5.957729
15.184301,6,5.962298
44.32329,5,5.968892
-99.0,100,6.051644
-2.428863,5,6.055671
-7.342269,13,6.066153
-68.237041,89,6.140995
-55.0,55,6.186727
-15.0,15,6.199426
-21.142251,24,6.219733
-90.0,91,6.297652
-48.0,48,6.336769
-37.322855,39,6.371001
3.968012,8,6.377826
-2.403144,9,6.388349
-79.636876,100,6.472169
-97.118594,100,6.554913
-91.225333,100,6.638676
-55.999382,68,6.6965
-91.620929,94,6.775959
-26.0,26,6.798296
-15.52535,29,6.821592
-100.0,100,6.90539
-24.306935,25,6.925164
-12.595722,14,6.93737
72.566023,5,6.941622
-60.0,60,6.991124
-100.0,100,7.072592
-96.332325,100,7.154224
-84.457467,92,7.22958
-99.0,100,7.313492
-81.0,81,7.380907
-14.0,14,7.393588
-26.204472,33,7.420855
2.434101,5,7.426115
-23.191444,26,7.448315
-100.0,100,7.530916
-28.328932,29,7.554497
-84.832484,87,7.626717
-97.561011,100,7.707115
-99.0,100,7.789304
-50.0,50,7.829469
-16.0,16,7.84353
-12.664207,32,7.870084
16.583216,5,7.874469
-86.596094,88,7.946242
14.406895,5,7.953026
-98.192189,100,8.03479
-68.171245,86,8.105825
-14.0,14,8.118585
-47.122659,56,8.165999
-97.6839,100,8.249715
-70.596094,72,8.310253
-99.242683,100,8.393861
-6.0,6,8.399033
16.337081,5,8.40297
-64.551477,74,8.465859
-28.233867,51,8.509603
-100.0,100,8.59183
-3.341882,5,8.596133
-33.0,33,8.62275
-100.0,100,8.70651
0.963498,5,8.711418
-100.0,100,8.793985
-32.328932,33,8.823971
-99.0,100,8.90617
31.578635,5,8.911359
-96.557091,100,8.995322
-100.0,100,9.055967
44.32329,5,9.058403
12.225081,5,9.060889
13.581216,5,9.063221
-0.093146,5,9.065555
28.381587,6,9.079001
-1.820893,5,9.083212
36.95619,5,9.088435
0.369465,6,9.094922
49.470045,5,9.099206
8.284697,5,9.103535
47.686964,5,9.110631
-39.0,39,9.141356
44.4889,5,9.147303
-24.889207,27,9.168237
-97.683724,100,9.254074
-69.0,69,9.312128
-31.688781,39,9.344227
28.974974,5,9.350275
-10.105461,11,9.359793
-12.0,12,9.369703
-24.0,24,9.389591
