#{"t_start": 1752542440.2397, "env_id": "None"}
r,l,t
-62.326826,67,0.106348
-100.0,100,0.242297
75.084161,5,0.246728
-100.0,100,0.330812
77.037861,5,0.339329
-66.339684,68,0.398133
-39.0,39,0.4304
-100.0,100,0.546108
-100.0,100,0.632916
-54.628233,77,0.713303
-100.0,100,0.800648
-41.157138,100,0.890184
48.284474,5,0.894627
7.910656,5,0.899477
5.719497,5,0.903807
-53.102112,61,0.96682
-99.227775,100,1.091697
-14.191589,17,1.107678
17.363979,5,1.112154
-22.0,22,1.13485
-3.339684,5,1.139166
-24.339684,26,1.163279
-100.0,100,1.249143
0.074365,12,1.262094
82.011779,5,1.268788
-36.489302,100,1.359032
8.462815,5,1.363488
-100.0,100,1.449153
0.564394,6,1.45412
7.757065,5,1.461171
-99.0,100,1.545838
8.462815,5,1.550328
-1.647495,5,1.554482
-61.46805,100,1.640789
2.709592,5,1.64493
-99.0,100,1.729666
-99.0,100,1.814574
13.486633,5,1.821692
-29.974229,69,1.880665
29.830331,10,1.888275
-85.967744,89,1.966578
12.928166,5,1.972011
76.365673,5,1.976403
-100.0,100,2.062976
-100.0,100,2.164357
35.842862,23,2.18677
-2.460429,5,2.19138
-100.0,100,2.277348
-78.550338,81,2.35042
20.005864,5,2.357885
-56.0,56,2.40859
-100.0,100,2.499211
-27.247583,100,2.590535
-16.0,16,2.60628
-84.0,84,2.682091
-64.0,64,2.741874
82.856952,5,2.746816
16.789164,5,2.752179
-22.169669,62,2.809432
13.206134,5,2.814168
-92.889801,95,2.90234
-1.196711,8,2.911537
-1.628993,5,2.916239
-91.0,91,3.001385
41.440661,5,3.006207
-45.0,45,3.048683
-100.0,100,3.1403
-2.889801,5,3.145042
27.506464,5,3.151722
57.121977,5,3.157287
-36.608316,47,3.201052
-1.604992,5,3.205906
60.257584,5,3.210657
60.6898,5,3.216111
69.853569,6,3.222911
14.335985,25,3.245764
-100.0,100,3.338151
-16.108358,18,3.357442
-10.582326,13,3.369095
-77.0,77,3.439488
-17.13519,21,3.458391
6.887671,5,3.465529
44.176446,14,3.477669
25.053996,5,3.48231
-33.0,33,3.513752
44.837344,5,3.519427
81.718669,5,3.523884
-100.0,100,3.614927
-100.0,100,3.703804
-32.670258,34,3.736356
-24.973273,45,3.776265
-1.615904,5,3.781045
35.19605,5,3.785068
-69.578439,71,3.85305
-13.0,13,3.864618
-41.168199,61,3.922107
-81.0,81,3.995971
-69.501333,72,4.061587
-92.0,92,4.146263
-100.0,100,4.237469
-21.578635,23,4.259947
81.919721,5,4.265599
-60.27624,61,4.320791
82.31372,5,4.325528
-100.0,100,4.415551
