#{"t_start": 1752542290.4923167, "env_id": "None"}
r,l,t
-2.328509,4,0.013928
1.191058,4,0.099955
6.198616,4,0.11121
-2.338373,4,0.115611
9.485888,4,0.119693
33.818136,4,0.12446
-8.771307,13,0.138824
-22.869345,28,0.164028
-100.0,100,0.264148
5.950414,4,0.269014
-2.305864,4,0.272774
-76.491093,80,0.343117
-1.482738,12,0.354592
-98.595794,100,0.488767
-6.0,6,0.493188
-4.0,5,0.497442
-97.501333,100,0.629025
-16.0,16,0.643905
9.347119,7,0.651349
5.171242,9,0.659163
-100.0,100,0.751788
-79.911078,100,0.844246
-72.0,72,0.911969
-10.0,10,0.922265
-83.0,83,0.993082
-60.0,60,1.087469
-26.0,26,1.108148
29.409263,4,1.111982
-89.0,89,1.194374
49.713034,4,1.199071
-8.0,8,1.205846
-49.0,49,1.248913
-100.0,100,1.33911
-4.293018,6,1.34446
-31.347854,33,1.371874
-38.292562,42,1.408267
17.370551,4,1.411728
-100.0,100,1.498788
-21.484936,26,1.519597
-12.0,13,1.532051
9.485888,4,1.535959
-1.699462,4,1.540687
-35.347854,37,1.571852
-4.892176,7,1.578865
-5.889388,35,1.608925
-100.0,100,1.696283
-45.292562,49,1.739306
-99.324793,100,1.826614
28.268462,17,1.840754
-100.0,100,1.941872
-26.364807,27,1.967769
-16.950313,60,2.023339
-100.0,100,2.113368
-19.0,19,2.12949
31.374887,4,2.133172
17.662192,4,2.137043
8.028286,4,2.141068
61.297258,4,2.146149
3.560055,4,2.149468
33.818136,4,2.153324
-2.328509,4,2.157274
55.431252,4,2.162242
-96.0,96,2.250205
18.174267,4,2.254103
31.368548,4,2.257923
7.788388,4,2.262737
-0.323289,4,2.266312
13.094524,4,2.270289
-40.0,40,2.308463
12.347119,4,2.313352
-10.321356,12,2.32391
-32.651818,46,2.363529
-15.995751,20,2.381031
-3.335696,5,2.386012
-41.0,41,2.420524
-36.0,36,2.45484
-62.0,62,2.511147
-96.133545,100,2.597248
-100.0,100,2.681897
3.636582,4,2.685574
60.638219,4,2.689567
-73.0,73,2.753979
-39.725608,62,2.809203
-64.865583,72,2.872238
-59.277196,60,2.92402
-93.0,93,3.003316
-57.0,57,3.054876
-100.0,100,3.141527
-2.173968,4,3.145697
7.992116,4,3.150481
-23.0,23,3.170374
-100.0,100,3.258354
-72.898766,100,3.343463
-42.544988,43,3.382099
30.550216,12,3.392518
-12.0,12,3.403054
-53.904727,62,3.455252
-78.0,78,3.525286
-1.849898,4,3.529536
54.111828,4,3.533518
0.348087,5,3.537743
-100.0,100,3.626932
-100.0,100,3.713539
-1.410008,4,3.717697
-3.173968,5,3.722003
-2.771589,4,3.726677
0.04626,4,3.730395
55.431252,4,3.734143
12.87536,4,3.73813
-2.31075,4,3.74298
-49.887666,55,3.789991
56.153928,4,3.794094
11.417563,4,3.798116
-64.314497,66,3.855178
33.600965,4,3.859242
56.154018,4,3.863229
6.780637,4,3.868627
-2.307952,4,3.873196
33.818136,4,3.87718
-99.0,100,3.966778
33.600965,4,3.970845
-99.293112,100,4.059239
31.832531,4,4.063709
5.810408,4,4.067671
-100.0,100,4.152644
12.789611,4,4.156894
-54.0,54,4.203915
21.356635,4,4.207571
-9.0,9,4.214889
4.446182,4,4.219791
2.345662,4,4.223685
-2.866962,4,4.22765
3.533865,4,4.231575
-2.328509,4,4.23626
1.241151,4,4.239899
7.788388,4,4.243828
-10.0,10,4.253601
-1.884207,4,4.258295
-55.38037,67,4.315614
-57.0,57,4.365757
-92.547365,93,4.447458
-2.329876,4,4.452348
-11.0,11,4.463393
53.647254,4,4.467262
1.397076,4,4.47107
-89.3245,93,4.552645
1.207298,4,4.556663
50.125892,4,4.560636
7.77193,4,4.564623
-0.625808,5,4.56952
-100.0,100,4.655522
-1.460429,4,4.711987
44.40965,4,4.714101
40.31479,4,4.716059
-96.0366,100,4.75324
-99.0,100,4.790269
12.918385,5,4.803773
-72.0,72,4.868261
-4.797061,8,4.876237
42.429833,4,4.881258
-20.578263,22,4.899531
50.125892,4,4.90351
60.455735,4,4.908289
-99.0,100,5.000261
-87.94621,92,5.079605
-51.0,51,5.124565
15.359328,4,5.130422
-91.0,91,5.211452
-98.314497,100,5.301858
-87.538498,100,5.388659
-19.99087,24,5.411376
-97.0,98,5.493593
11.639364,10,5.50351
-100.0,100,5.590114
31.946575,4,5.595675
31.832531,4,5.599618
-47.393653,81,5.667324
31.436519,4,5.671295
-53.0,53,5.717273
-99.0,100,5.803317
13.094524,4,5.807288
8.021916,4,5.81118
15.565077,4,5.816666
-98.354968,100,5.900896
2.345662,4,5.904848
-85.427348,90,5.98324
-18.0,18,5.999383
56.398527,4,6.003364
1.903695,4,6.007223
-22.0,22,6.026998
7.77193,4,6.032458
-46.902019,64,6.086366
39.09683,4,6.090073
-76.0,76,6.159005
-100.0,100,6.244931
-2.346174,4,6.248991
6.302204,4,6.252458
8.603042,4,6.25635
16.714148,4,6.261813
7.500103,4,6.265676
28.065256,4,6.269557
-99.0,100,6.353664
-28.293112,29,6.3804
-48.0,49,6.421553
36.293754,4,6.425237
13.520436,4,6.428864
6.893605,4,6.434417
-40.0,40,6.469136
-28.0,29,6.495606
7.61963,4,6.499706
-34.0,34,6.530803
49.439577,4,6.534713
-99.324793,100,6.618496
-4.0,4,6.622032
51.066405,4,6.627523
8.021916,4,6.631441
-31.292562,35,6.662757
-12.482738,23,6.680977
-40.919031,100,6.768791
-29.0,29,6.795225
-84.0,84,6.86638
-0.323289,4,6.869977
-100.0,100,6.956095
-83.544988,84,7.028138
6.856978,4,7.032064
-20.0,20,7.04936
9.485888,4,7.054886
43.080969,16,7.068842
10.414793,4,7.072811
4.12566,4,7.076455
10.545289,4,7.081832
-48.364807,49,7.122452
-45.885776,47,7.162271
-15.0,15,7.173697
-55.0,56,7.225331
7.209815,4,7.229222
4.186167,4,7.233158
-100.0,100,7.318703
4.710459,4,7.323906
-27.347854,29,7.349672
1.639364,20,7.366887
8.133746,4,7.370806
20.21477,4,7.376212
-49.0,49,7.418211
-99.0,100,7.50448
-11.785985,19,7.520658
-13.292562,17,7.53622
-28.364807,29,7.560342
-44.629449,66,7.617556
-69.697549,72,7.678457
9.004346,4,7.683864
-98.293018,100,7.768483
-98.78741,100,7.85332
11.705037,4,7.856957
-2.715212,4,7.862463
-96.491093,100,7.947638
-68.047539,74,8.00897
49.248475,4,8.012909
-10.347854,12,8.024763
9.485888,4,8.028615
-100.0,100,8.111806
-15.544988,16,8.125488
7.125255,4,8.130919
2.461502,10,8.142333
-32.324793,33,8.169463
-99.0,100,8.266474
-75.034704,79,8.334977
-6.220223,17,8.349015
-75.0,76,8.414677
-100.0,100,8.499738
-100.0,100,8.586778
-93.0,93,8.665314
-2.332958,4,8.669291
3.116198,4,8.673174
0.360605,4,8.678694
-21.0,21,8.69574
-57.0,57,8.745155
-2.595794,4,8.749078
-100.0,100,8.835364
-97.0,97,8.916731
-77.0,77,8.982872
1.241151,4,8.98679
-1.262104,5,8.992383
-93.0,93,9.071974
-16.0,16,9.086274
7.992116,4,9.090144
-0.113889,4,9.095253
1.191058,4,9.099187
-92.395393,100,9.211721
-83.652881,100,9.247286
1.191058,4,9.24919
-100.0,100,9.28441
-44.81238,100,9.320136
-3.319597,4,9.326842
53.647254,4,9.331556
48.486433,4,9.336298
-34.884285,53,9.383204
-16.0,16,9.397554
-83.0,83,9.469481
39.775421,4,9.474874
-7.491093,11,9.484702
-3.542852,4,9.488087
31.513662,4,9.492018
0.546858,4,9.497353
6.856978,4,9.501301
20.141907,5,9.505128
17.08799,4,9.509048
0.360605,4,9.51437
-28.320282,29,9.540558
-71.0,71,9.599775
55.431252,4,9.603475
5.04776,44,9.644192
-44.0,44,9.68379
50.241862,4,9.687786
-99.670258,100,9.773185
-44.802397,88,9.851199
-48.0,48,9.925575
-34.123513,41,9.962642
-2.333236,4,9.9665
-100.0,100,10.054339
22.994721,4,10.058532
22.994721,4,10.062436
-100.0,100,10.149317
30.615986,15,10.161721
-2.547781,4,10.165627
-51.825604,79,10.23422
7.853234,4,10.238195
7.77193,4,10.24297
-83.0,83,10.313876
-38.307952,40,10.348534
-39.0,39,10.385156
5.375836,4,10.390106
-38.637821,56,10.436925
-19.0,20,10.454219
31.513662,4,10.458127
-51.0,51,10.50012
-2.339684,4,10.503982
-98.670258,100,10.596865
-44.328509,46,10.637243
36.624539,4,10.641984
-0.106713,4,10.645963
0.681606,4,10.64958
-2.320739,4,10.65409
37.197603,6,10.659037
0.994472,4,10.662814
1.191058,4,10.666692
7.77193,4,10.670612
-98.314497,100,10.757644
-100.0,100,10.852361
-38.491093,42,10.890185
22.994721,4,10.894204
4.58159,4,10.898999
-96.328619,100,10.983498
34.552768,4,10.987342
-100.0,100,11.073278
-2.338373,4,11.07824
7.992116,4,11.082156
-99.0,100,11.166943
-18.0,19,11.183732
7.77193,4,11.188826
0.924581,4,11.192739
2.851521,5,11.196932
-13.0,14,11.208265
28.065256,4,11.213036
7.61963,4,11.216882
15.565077,4,11.220757
-96.001739,100,11.305103
-100.0,100,11.391368
-81.0,81,11.462095
4.822357,4,11.466145
11.417563,4,11.470132
-20.0,21,11.489597
-4.0,4,11.493091
9.466694,4,11.496951
0.994472,4,11.50074
0.572652,4,11.505386
55.080969,4,11.509454
-21.876483,27,11.532726
-85.45022,100,11.616341
7.209815,4,11.621186
3.851521,4,11.625164
25.113401,4,11.630585
39.856807,4,11.634464
11.347119,5,11.639426
2.345662,4,11.643307
-43.0,43,11.679677
20.210802,4,11.683305
12.353397,4,11.687976
5.375836,4,11.691859
-82.0,82,11.760724
6.767604,5,11.765098
-99.0,100,11.851497
-64.053425,100,11.940009
1.397076,4,11.94395
14.721576,4,11.948364
-27.0,27,11.972486
8.021916,4,11.976482
-2.308536,4,11.980215
14.888011,4,11.983888
-79.265704,94,12.065571
1.123517,4,12.069447
-52.0,52,12.113885
1.241151,4,12.117858
7.209815,4,12.122689
-2.321356,4,12.126627
65.307823,4,12.130498
-1.460429,4,12.134461
0.546858,4,12.13909
5.567631,4,12.142933
-100.0,100,12.227524
-58.628492,60,12.280757
7.767604,4,12.285811
-50.638104,59,12.334812
-3.787024,5,12.340513
54.760737,4,12.344432
9.485888,4,12.349235
-27.0,27,12.371047
-1.410008,4,12.374976
-22.0,23,12.395214
-66.0,66,12.454081
-10.0,10,12.462343
-20.025504,29,12.486696
10.114708,4,12.490819
2.663077,4,12.495343
-7.0,7,12.501925
-1.325369,5,12.506247
-45.0,45,12.54661
9.224701,5,12.55187
-44.258199,71,12.614553
0.28776,4,12.61988
11.304452,4,12.623917
35.052675,4,12.628439
0.28776,4,12.632353
-91.289541,100,12.717236
-1.230847,4,12.721367
14.267888,4,12.726197
15.565077,4,12.730118
1.765847,4,12.733978
-99.0,100,12.820168
-99.670258,100,12.910275
12.027694,4,12.914323
-100.0,100,13.001948
-5.0,5,13.005701
-2.321356,4,13.010951
-1.460429,4,13.015123
-55.0,55,13.063434
7.992116,4,13.067477
25.345384,22,13.086851
58.814588,4,13.090845
7.16663,4,13.095005
8.021916,4,13.099018
0.546858,4,13.103987
16.297222,4,13.107911
44.208651,7,13.114737
28.065256,4,13.118718
-2.335696,4,13.123163
-91.0,91,13.203146
0.546858,4,13.207164
7.511314,4,13.211077
31.718009,16,13.226399
-0.635407,4,13.230043
54.111828,4,13.23394
44.431252,15,13.245515
3.973881,4,13.2506
-4.293018,6,13.256859
4.779258,4,13.260925
28.479113,4,13.264944
-9.45022,24,13.286806
61.382844,4,13.290761
-2.3279,4,13.294627
3.851521,4,13.298393
50.125892,4,13.303147
-50.001739,54,13.348808
34.05186,5,13.35516
-100.0,100,13.440924
4.186167,4,13.445909
7.249994,4,13.449814
60.472942,4,13.453712
-20.0,20,13.471007
-13.325369,17,13.486404
33.818136,4,13.490568
-14.0,14,13.501702
31.436519,4,13.505655
4.135506,4,13.510344
18.178614,4,13.514336
12.347119,4,13.518519
7.88977,4,13.52295
8.021916,4,13.527828
46.427411,4,13.531805
-72.0,73,13.595223
50.125892,4,13.599249
4.779258,4,13.604355
55.431252,4,13.608363
7.77193,4,13.612381
-16.0,16,13.626518
1.191058,4,13.631355
5.335919,4,13.63519
17.523527,4,13.638832
-67.95374,72,13.700336
0.360605,4,13.705355
-58.0,58,13.754182
8.557332,4,13.7583
39.856807,4,13.762552
-100.0,100,13.836525
43.345384,4,13.838687
-100.0,100,13.875549
-99.670258,100,13.911584
-100.0,100,13.947522
-2.347854,4,13.953242
7.77193,4,13.957194
-90.908785,93,14.039812
-98.354968,100,14.128985
0.889068,5,14.134475
30.402017,4,14.138448
-91.904727,100,14.225751
-99.0,100,14.313818
-9.0,9,14.322601
2.503601,16,14.337462
7.767604,4,14.341858
-80.567642,100,14.431155
0.924581,4,14.436233
-79.354968,81,14.510653
-70.0,70,14.572845
0.164802,33,14.602349
-40.0,40,14.638999
36.020093,4,14.642878
1.123517,4,14.646982
0.994472,4,14.650932
-54.0,55,14.702068
31.946575,4,14.706171
-100.0,100,14.795564
-4.18509,17,14.810504
-31.335696,33,14.840122
-99.0,100,14.927817
7.61963,4,14.931935
50.241862,4,14.9361
-63.0,63,14.993703
-63.150921,73,15.057924
7.77193,4,15.061736
3.738215,4,15.067038
2.881426,4,15.071515
8.681972,4,15.075665
-2.298609,4,15.07966
7.249994,4,15.084419
-12.560332,42,15.123938
3.527243,4,15.127969
-2.350241,4,15.132257
9.370551,12,15.143381
-88.657357,100,15.235625
7.61963,4,15.239975
15.923331,6,15.244656
0.871936,4,15.248773
-36.0,37,15.28341
0.026476,4,15.287467
29.761559,4,15.291496
7.61963,4,15.295535
-20.643697,30,15.321485
-41.0,41,15.35742
-98.080468,100,15.444633
4.420083,4,15.448982
-100.0,100,15.536572
-2.3279,4,15.540646
28.765871,4,15.545732
-4.033906,8,15.552893
2.851521,5,15.560167
-50.18509,63,15.615702
-99.0,100,15.705751
4.974496,4,15.709967
-16.655027,26,15.734634
4.678252,4,15.738668
38.544264,4,15.742831
-99.0,100,15.829374
-63.0,63,15.88528
-3.659165,15,15.89723
-89.219363,100,15.986641
1.618641,4,15.99055
-33.0,34,16.022289
0.546858,4,16.026438
-70.073061,100,16.116489
-34.0,35,16.150122
49.190276,4,16.155045
-16.0,16,16.169778
-87.212441,88,16.248632
60.472942,4,16.252711
4.500095,4,16.257409
-0.411795,8,16.264888
11.417563,4,16.269003
-5.293112,6,16.273483
17.41257,4,16.278082
-2.328509,4,16.283895
0.360605,4,16.287941
-12.293018,14,16.300972
18.373585,4,16.305666
-0.252848,4,16.308983
7.61963,4,16.312842
-63.923126,100,16.396775
-6.491093,10,16.405533
-2.307952,4,16.409245
32.18762,23,16.431008
-90.211557,100,16.516685
3.663605,4,16.521537
-59.0,59,16.574529
8.813006,4,16.578532
-0.325369,4,16.58262
1.037111,5,16.587878
-99.0,100,16.675461
28.065256,4,16.679558
-19.0,19,16.697183
61.249751,4,16.702253
39.884279,4,16.705982
6.856978,4,16.709968
-100.0,100,16.797514
-2.308536,4,16.802491
-6.0,6,16.806843
