#{"t_start": 1752541899.9019585, "env_id": "None"}
r,l,t
-1.709936,5,0.020466
-99.0,100,0.183988
18.930138,5,0.188482
-53.899081,75,0.254479
-100.0,100,0.344953
-20.0,20,0.361514
60.313681,5,0.365831
3.400864,5,0.369899
-38.0,38,0.405423
-62.0,62,0.456113
-100.0,100,0.570491
-86.858956,100,0.653634
-3.423855,5,0.660438
-13.0,13,0.724019
-72.0,72,0.809565
75.587508,5,0.81435
56.643336,5,0.819907
-100.0,100,0.909906
-36.578439,38,0.948848
5.263822,5,0.953864
4.382122,5,0.959514
-99.225029,100,1.079088
-100.0,100,1.168232
27.807372,5,1.172717
-23.227775,24,1.194078
14.543601,5,1.200167
4.803395,5,1.204726
-39.0,40,1.237862
-99.0,100,1.335085
-55.0,55,1.381846
-31.527894,32,1.409132
-27.0,27,1.430817
-97.885776,100,1.516255
-16.646701,17,1.53217
42.541488,5,1.536614
-46.812412,51,1.580686
-100.0,100,1.66579
-99.392107,100,1.751257
0.72051,19,1.765743
-100.0,100,1.8506
63.528541,5,1.857829
-43.539157,48,1.907917
51.830604,5,1.912492
77.915107,5,1.916948
-98.914294,100,2.004459
-8.143488,24,2.02492
57.283542,5,2.028967
-27.111445,30,2.055875
71.29927,5,2.061191
-100.0,100,2.15405
-69.0,69,2.211787
-100.0,100,2.295831
34.097855,5,2.302907
-16.251145,21,2.319878
-1.580183,5,2.324211
75.781247,5,2.328572
-100.0,100,2.415448
-32.899757,35,2.446024
-100.0,100,2.532033
12.93187,5,2.536577
-35.987981,54,2.583652
7.328311,5,2.587782
-36.777934,46,2.627644
-98.319093,100,2.716347
15.672664,5,2.72176
-26.534518,31,2.748346
23.984556,5,2.752758
47.754082,5,2.757116
-43.550338,46,2.797132
-9.899757,12,2.807722
48.660495,5,2.81206
-71.534518,76,2.875409
-2.135283,5,2.88081
27.733901,5,2.885153
22.181901,5,2.891621
-98.55702,100,2.975887
12.93187,5,2.981261
-40.319093,42,3.01682
85.279745,5,3.02354
22.475158,5,3.027913
-69.0,69,3.088557
-78.0,78,3.156096
48.660495,5,3.16026
0.882404,5,3.164325
-4.118089,5,3.169456
49.252431,5,3.175505
-44.0,44,3.212793
30.543913,5,3.216811
-100.0,100,3.303804
-100.0,100,3.387956
13.049206,5,3.392177
9.781548,5,3.396458
17.419043,5,3.403445
79.198499,5,3.407732
-55.391411,100,3.490367
-18.0,18,3.504737
27.122255,5,3.511742
-42.0,42,3.548295
-2.723875,5,3.552732
38.18499,5,3.558851
2.378997,5,3.563736
3.841129,5,3.568037
27.271173,5,3.572324
38.156609,5,3.578198
63.531322,5,3.583311
28.617948,5,3.587666
-72.738574,100,3.674926
27.271173,5,3.679352
18.797981,5,3.686432
-86.431734,100,3.772172
27.122255,5,3.776759
-25.0,25,3.797495
12.195869,5,3.802313
-1.709936,5,3.809623
75.587508,5,3.813919
-23.0,23,3.833838
79.815087,5,3.838921
-98.618054,100,3.923637
28.612967,5,3.927983
72.248444,5,3.932257
26.101567,5,3.93927
-100.0,100,4.024912
18.797981,5,4.029355
-33.29367,36,4.061486
-33.392107,34,4.090235
-6.303839,11,4.099918
-96.977731,100,4.18382
17.419043,5,4.188161
62.411024,5,4.195867
1.423756,5,4.200214
-97.29367,100,4.286373
-100.0,100,4.373133
-32.0,33,4.400862
17.419043,5,4.405444
77.915107,5,4.411543
-49.461136,51,4.452545
74.496735,5,4.459422
29.849249,5,4.463799
48.47833,5,4.467878
62.828969,5,4.472245
74.496735,5,4.479072
26.648138,5,4.483448
-3.135283,5,4.487476
87.919727,5,4.491846
0.252446,7,4.499017
-16.332543,35,4.530808
26.607948,5,4.535145
66.446241,5,4.539538
24.170497,5,4.546534
24.429996,5,4.550673
-97.29367,100,4.654167
48.660495,5,4.656592
77.573032,5,4.658896
-1.709936,5,4.66125
27.010653,5,4.663536
15.259262,5,4.676091
-1.709936,5,4.68072
29.849249,5,4.685851
21.90258,5,4.690144
-3.354968,5,4.695579
75.587508,5,4.699863
74.496735,5,4.705131
51.075042,5,4.70919
-91.977731,95,4.789288
72.248444,5,4.793641
-97.29367,100,4.881986
-22.198168,23,4.901633
-38.0,38,4.934839
26.077724,5,4.939141
-99.0,100,5.022493
8.162439,5,5.026648
4.803395,5,5.031085
-50.0,51,5.075998
-13.334046,39,5.11145
74.714638,5,5.115901
5.224668,5,5.120162
29.849249,5,5.126327
75.329128,5,5.132224
-2.594327,5,5.13649
27.038601,5,5.140579
-25.847711,29,5.166793
-1.709936,5,5.172735
0.624125,5,5.177142
72.38533,5,5.181424
-1.854124,5,5.187299
22.57848,5,5.193178
-47.655799,51,5.237359
91.461521,5,5.241641
-99.0,100,5.328474
-82.0,83,5.399719
17.9878,5,5.403846
-24.312064,27,5.426181
-100.0,100,5.511468
-100.0,100,5.599988
-96.709936,100,5.683334
62.481305,5,5.687748
1.140462,5,5.691808
-1.709936,5,5.697885
62.828969,5,5.703982
-28.392107,29,5.728119
29.849249,5,5.732642
-2.977731,6,5.740466
82.633044,5,5.745045
-1.709936,5,5.749415
-39.354649,68,5.806937
15.06821,5,5.812892
0.287418,5,5.818805
-1.709936,5,5.823223
-75.0,76,5.887879
1.438982,5,5.893675
4.803395,5,5.897961
-100.0,100,5.980995
-52.0,52,6.026049
-100.0,100,6.124782
25.72487,5,6.130992
-3.763897,5,6.135514
-11.794993,43,6.175031
75.144777,5,6.181456
-14.332543,33,6.210724
-86.431734,100,6.297963
-86.431734,100,6.384888
-100.0,100,6.47089
-100.0,100,6.557644
23.428606,5,6.561979
-2.771552,5,6.568203
61.062187,5,6.57433
-1.847711,5,6.578806
-3.041775,6,6.585179
-8.0,8,6.592065
76.307868,6,6.59843
1.059075,5,6.602513
72.568485,5,6.608631
17.161411,5,6.612964
