#{"t_start": 1752542081.5600474, "env_id": "None"}
r,l,t
-4.806114,9,0.108171
0.561274,4,0.113336
8.857495,4,0.117471
-99.0,100,0.236192
-97.657109,100,0.321019
-14.153342,16,0.336261
-27.0,28,0.374496
-33.386044,73,0.437973
0.412196,4,0.441977
7.902403,4,0.446749
-99.094461,100,0.572842
-36.0,36,0.604497
33.798195,4,0.608131
-2.568429,4,0.612818
-99.0,100,0.69845
-42.22351,100,0.783139
52.581576,4,0.787111
-11.0,11,0.797839
-97.657109,100,0.881869
-2.338919,4,0.885655
-43.0,44,0.924153
-91.993881,100,1.016111
-32.0,32,1.068546
-98.395212,100,1.155628
-12.0,12,1.166111
-9.489601,29,1.196504
-48.539883,91,1.286779
-2.338919,4,1.292432
-4.0,4,1.296024
-45.505831,47,1.340856
-79.219957,100,1.427071
-0.280753,5,1.432906
-59.0,59,1.481343
-35.0,35,1.513916
-100.0,100,1.597729
-98.594847,100,1.68418
-6.884422,28,1.707763
-36.0,37,1.740809
19.014727,4,1.744747
-19.235196,38,1.779305
-99.0,100,1.863891
-3.235589,5,1.869092
-7.595794,9,1.876668
-3.102852,47,1.916856
-64.0,64,1.971754
-22.386044,62,2.028517
-92.0,92,2.107982
-15.96459,19,2.123158
4.354653,4,2.126765
-40.0,40,2.161615
-56.0,56,2.211282
-8.956385,46,2.256897
-81.311579,83,2.327887
-65.0,65,2.382949
-0.545586,5,2.387292
34.613956,5,2.391635
-99.0,100,2.476047
-41.0,41,2.512539
-8.267009,67,2.567913
-30.611481,36,2.598044
49.543551,4,2.601992
-15.395212,17,2.630643
-60.0,60,2.682334
14.368639,28,2.707725
4.006119,4,2.711673
-57.79823,100,2.80017
-78.224922,86,2.874938
7.411784,4,2.879103
-18.464631,56,2.927147
-46.655368,82,3.001669
-1.808559,5,3.006224
-15.0,15,3.019515
-75.0,76,3.084567
-1.808559,4,3.090434
-22.0,22,3.107967
-20.068867,28,3.132032
-44.320374,45,3.169795
-96.910232,100,3.260745
-100.0,100,3.34462
18.49088,5,3.350675
-69.0,69,3.408849
-73.0,73,3.472004
36.042145,4,3.475807
-68.766487,70,3.536078
-98.517095,100,3.62379
-61.956385,98,3.708077
-13.0,13,3.719071
-0.05217,4,3.722667
-73.0,73,3.787211
-99.244172,100,3.876494
-49.0,49,3.919612
-98.455689,100,4.004625
-99.546055,100,4.090716
-98.0,100,4.179521
0.931133,7,4.186034
-98.505831,100,4.273252
-4.0,4,4.277073
-98.153342,100,4.36603
-99.235589,100,4.45296
-11.078601,30,4.477755
1.931133,7,4.4849
0.412196,4,4.491182
-100.0,100,4.57761
-96.149614,100,4.644049
-99.0,100,4.681577
-93.084373,100,4.718632
-99.325022,100,4.755538
-100.0,100,4.792744
-100.0,100,4.887118
-29.0,29,4.912903
-38.084373,46,4.952709
-6.0,6,4.959038
-46.306328,48,4.999294
-32.0,32,5.02819
-59.0,59,5.077403
34.798195,4,5.081372
-47.505831,49,5.123009
-49.0,49,5.16547
-92.068867,100,5.250051
-1.887667,4,5.253799
29.613956,9,5.261067
-98.455689,100,5.348203
11.567416,30,5.376266
-0.607873,5,5.380702
-5.306328,7,5.387118
1.762192,4,5.391078
-50.0,50,5.433413
2.20177,40,5.466951
-0.607873,5,5.471189
-99.0,100,5.556734
-2.562647,4,5.561718
53.536048,4,5.565607
-99.0,100,5.652583
-46.0,46,5.694077
52.581576,4,5.699577
-0.96459,4,5.703636
1.687219,4,5.707423
34.912523,4,5.711071
-14.0,15,5.7264
0.412196,4,5.730421
49.733451,4,5.734277
-99.0,100,5.819855
-18.0,18,5.836243
-98.505831,100,5.921534
-0.96459,4,5.925821
0.752603,4,5.92994
-15.71526,18,5.949726
4.605775,4,5.953587
-2.317331,4,5.957572
-100.0,100,6.041648
-99.243407,100,6.128475
-28.517095,30,6.153461
1.941338,4,6.157377
-30.300251,92,6.236498
-5.28868,6,6.2446
-37.0,37,6.275956
0.752603,4,6.279889
-56.372437,80,6.347865
19.014727,4,6.353375
-100.0,100,6.438819
-98.258611,100,6.526653
4.59224,4,6.530706
-1.016116,4,6.536543
4.931133,4,6.540588
-18.0,18,6.554748
58.404668,4,6.558541
-1.306328,4,6.563979
-47.0,48,6.645153
0.912575,4,6.648851
41.287491,6,6.655095
53.248285,4,6.660546
-2.308134,4,6.664467
-99.0,100,6.750075
-0.607873,5,6.754448
-96.278681,100,6.840386
-6.0,6,6.846217
0.830868,4,6.849861
-32.0,32,6.876874
-100.0,100,6.962599
4.006119,4,6.966582
-100.0,100,7.051612
3.242789,5,7.055924
7.039265,4,7.061399
8.339486,4,7.065489
-87.0,87,7.140611
-98.455689,100,7.251122
53.536048,4,7.256049
-12.0,12,7.265891
3.229291,4,7.269975
0.402315,4,7.274255
38.481904,4,7.278601
-68.359157,70,7.337444
59.70371,4,7.341342
36.127539,4,7.34525
56.220374,4,7.350023
-78.0,78,7.422685
-26.0,26,7.444236
-21.338919,23,7.464768
-1.96459,5,7.469857
-18.0,18,7.486032
3.915627,4,7.490067
-3.311579,5,7.494595
0.715378,4,7.499182
0.454414,4,7.503256
-100.0,100,7.59007
-42.0,42,7.625762
-0.96459,4,7.630572
-70.0,71,7.689799
2.454066,4,7.69344
-6.0,6,7.699767
-0.607873,5,7.704808
-3.23223,4,7.708504
-0.96459,4,7.712445
-99.0,100,7.79797
-46.633284,50,7.840444
-57.0,57,7.890982
-2.317331,4,7.895113
-69.282196,92,7.976963
-60.0,60,8.03104
-3.228168,4,8.034666
-59.029758,100,8.120541
-96.278681,100,8.205407
-2.308134,4,8.210334
4.59224,4,8.214352
-26.359157,28,8.237271
-95.58196,100,8.321591
33.352102,4,8.32656
-1.306328,4,8.330724
-24.0,24,8.35319
-3.311579,5,8.358011
-35.063669,39,8.392321
-20.0,20,8.410043
14.319534,4,8.413882
4.006119,4,8.417854
-2.153342,5,8.422809
-7.568298,9,8.430508
0.715378,4,8.434469
49.543551,4,8.438462
-28.0,29,8.463601
11.159777,4,8.467507
0.912575,4,8.471424
-43.0,43,8.509095
-0.607873,5,8.514223
-100.0,100,8.601727
-17.0,17,8.618482
59.321452,4,8.622986
-83.055355,97,8.706625
17.78428,4,8.710245
34.076515,4,8.714205
-41.0,41,8.749267
-98.505831,100,8.837314
-3.235589,5,8.841655
-28.595106,41,8.879429
-93.0,93,9.016031
1.687219,4,9.020463
-10.517095,12,9.030852
8.079297,4,9.03471
-14.868966,36,9.065628
-39.0,39,9.100543
-59.244172,60,9.154338
-23.372437,47,9.194278
-42.0,42,9.232364
-31.0,32,9.260692
8.079297,4,9.264561
56.545357,4,9.268504
-89.960735,100,9.343986
-88.731106,100,9.382159
-100.0,100,9.419243
-99.0,100,9.455921
3.487712,4,9.457889
21.79234,4,9.468428
49.543551,4,9.4738
-20.0,20,9.490653
-4.757211,13,9.503663
53.536048,4,9.507599
-40.0,40,9.542818
21.173138,5,9.547235
-27.0,27,9.572814
-2.338919,4,9.576771
-4.0,5,9.581838
-4.0,4,9.585115
-20.0,21,9.602268
-1.306328,4,9.606432
-42.0,42,9.645752
-3.311523,5,9.650481
1.482777,4,9.654464
-99.0,100,9.741128
-2.766336,4,9.746462
-100.0,100,9.833446
-22.262146,42,9.868415
-99.0,100,9.953336
-21.50912,45,9.994579
-42.601342,45,10.035205
-21.505831,23,10.055662
-6.993881,15,10.067637
-12.232813,17,10.087422
-50.922053,56,10.135957
-1.889554,4,10.14004
-53.0,53,10.18614
-2.228168,4,10.192005
-38.993948,42,10.228039
-100.0,100,10.312557
16.585233,4,10.318637
27.282809,17,10.335807
-70.232813,75,10.400728
-2.235589,4,10.404921
-24.993881,33,10.436041
8.339486,4,10.441663
-100.0,100,10.528041
-65.0,66,10.802912
-99.0,99,10.887318
-27.0,27,10.911475
2.915627,4,10.915089
-44.232813,49,10.956175
-68.0,68,11.01233
-57.0,57,11.060252
-99.0,100,11.143871
-98.306328,100,11.227127
-33.244172,34,11.256314
-0.545586,5,11.261451
-17.232813,22,11.279132
43.287491,4,11.282922
-100.0,100,11.36672
-33.223797,54,11.41324
-9.0,9,11.42028
-78.0,78,11.486744
-0.258611,4,11.490512
-63.601342,66,11.547013
8.079297,4,11.550911
-20.214312,79,11.621793
-100.0,100,11.705073
-23.0,23,11.725902
-69.0,69,11.783741
-8.0,8,11.790567
-100.0,100,11.875628
-22.0,23,11.89557
-52.359157,54,11.940001
1.819103,4,11.943929
-10.956385,47,11.983221
-26.993948,30,12.010088
-88.258935,100,12.093749
-43.294708,44,12.130958
-37.0,37,12.163466
59.484688,4,12.168111
59.013482,4,12.171941
3.732908,4,12.175523
-2.228168,4,12.179466
29.068484,4,12.183699
-99.0,100,12.268904
54.785688,4,12.272758
-8.35287,10,12.2801
-100.0,100,12.384395
-11.601342,14,12.397828
-94.0,94,12.481833
-100.0,100,12.568413
-99.0,100,12.652556
-2.235589,4,12.656563
-20.308134,22,12.677732
-49.505831,51,12.71929
59.484688,4,12.724047
-22.0,22,12.743919
-100.0,100,12.832558
-0.527732,4,12.836508
-92.605284,95,12.919627
36.127539,4,12.923902
-7.0,8,12.930876
-99.0,100,13.01709
0.830868,4,13.021798
-99.095511,100,13.107723
-1.153342,4,13.111768
-3.23223,4,13.115407
-4.438303,22,13.134045
16.585233,4,13.137912
-37.306328,40,13.172297
-2.228168,4,13.176579
0.454414,4,13.18129
6.54611,4,13.185647
-100.0,100,13.277869
-98.153342,100,13.377193
30.043615,6,13.384428
-97.605284,100,13.473387
-35.306328,37,13.507737
-100.0,100,13.596155
3.578027,19,13.615926
-100.0,100,13.729248
-43.0,44,13.768817
-37.90166,40,13.818407
18.516869,4,13.823261
-94.0,94,13.902264
-100.0,100,13.990982
-61.964785,100,14.079108
-100.0,100,14.157917
-69.184532,100,14.195044
26.205547,4,14.197174
-96.96459,100,14.234421
-100.0,100,14.270756
17.20614,4,14.281385
-4.0,4,14.284895
16.488945,4,14.288509
-97.0,97,14.372933
1.64351,18,14.388969
-99.0,100,14.474309
-70.0,70,14.53711
4.59224,4,14.541119
-100.0,100,14.663887
13.627563,10,14.671826
-99.0,100,14.801773
-81.0,81,14.86929
-99.0,100,14.954363
-100.0,100,15.043073
-100.0,100,15.128525
4.006119,4,15.132551
-99.0,100,15.219414
-100.0,100,15.308775
54.251688,4,15.312688
-98.505831,100,15.396306
49.733451,4,15.401107
-33.35287,35,15.432415
0.752603,4,15.436459
36.200212,4,15.440424
55.034513,4,15.445193
55.802308,4,15.449099
-2.509773,4,15.453388
-3.730865,6,15.459606
-0.96459,4,15.464397
-97.0,98,15.563609
-1.884475,4,15.567591
-90.505831,92,15.646945
-98.435871,100,15.755349
-100.0,100,15.840072
-2.516159,4,15.843664
-71.730865,74,15.910378
-12.369517,16,15.927521
-12.0,12,15.938085
-100.0,100,16.021629
52.581576,4,16.026379
50.432434,4,16.032174
-100.0,100,16.121196
-13.478599,36,16.155571
4.726686,4,16.159059
-7.712509,55,16.204408
6.54611,4,16.208249
-57.0,57,16.258004
26.815468,4,16.261859
54.35181,4,16.266708
-100.0,100,16.34937
0.006052,4,16.353352
-37.612606,40,16.387439
-50.0,51,16.44705
43.287491,4,16.450861
-57.0,57,16.499695
-50.0,50,16.541779
-38.300251,100,16.625616
-13.0,13,16.636173
-95.58196,100,16.721184
-2.780625,4,16.725145
4.59224,4,16.729925
-100.0,100,16.812982
-14.0,15,16.826239
-0.527732,4,16.830086
-1.016116,4,16.834847
-13.0,13,16.845256
-69.0,69,16.905878
0.454414,4,16.90997
38.694697,4,16.91475
-22.763954,28,16.938181
20.340718,4,16.942011
36.127539,4,16.945879
-99.095511,100,17.03179
-1.016116,4,17.035786
30.812289,4,17.039427
-0.96459,4,17.043668
31.243113,4,17.048187
-26.244172,27,17.069506
34.076515,4,17.073166
59.904424,4,17.077492
26.205547,4,17.081866
41.53844,4,17.085787
6.54611,4,17.09103
-7.763954,13,17.103559
-100.0,100,17.21267
24.043615,12,17.223261
-47.0,47,17.26097
-9.489106,28,17.28445
8.344632,27,17.308878
-17.323218,38,17.341889
52.41918,4,17.345606
-100.0,100,17.43086
-79.0,79,17.497879
6.95781,43,17.535038
-2.235589,4,17.53906
22.500468,4,17.542881
-82.0,82,17.615231
-99.095511,100,17.69982
20.340718,4,17.703735
43.287491,4,17.707616
19.627563,4,17.712248
31.981854,4,17.715816
-100.0,100,17.800268
0.412196,4,17.804007
32.344632,4,17.808857
-74.243407,75,17.871376
-44.095511,45,17.910326
0.816051,4,17.913844
-23.0,24,17.93445
-52.0,52,17.97868
6.54611,4,17.982635
-100.0,100,18.072764
-100.0,100,18.158381
4.726686,4,18.162139
-59.0,60,18.214549
-2.235589,4,18.218627
-68.0,68,18.276188
4.006119,4,18.28012
-39.35287,41,18.314458
-37.0,38,18.345385
-4.0,4,18.349971
-97.43443,100,18.432769
-2.235589,4,18.436884
-34.0,34,18.470054
-42.595106,55,18.520042
-1.790425,4,18.52432
-34.0,34,18.55283
27.344632,8,18.559673
-12.0,12,18.581918
-11.079606,24,18.601753
-62.201805,100,18.68553
14.043615,22,18.707521
-22.246572,85,18.780869
8.339486,4,18.78478
24.058026,4,18.787775
11.494955,4,18.78971
-100.0,100,18.825491
2.421933,4,18.827492
8.339486,4,18.829356
-0.247397,5,18.843178
-97.612606,100,18.930628
-77.35287,79,18.998736
-100.0,100,19.129249
-21.0,21,19.148636
-99.243407,100,19.234215
-97.889554,100,19.325642
2.454066,4,19.329655
-100.0,100,19.421205
-1.889554,4,19.426254
-21.0,21,19.445404
-73.826862,100,19.53094
-100.0,100,19.620936
61.669844,4,19.625028
15.768751,5,19.631151
-14.0,14,19.644078
-27.0,28,19.668925
8.639825,12,19.679774
59.904424,4,19.685297
-10.763954,16,19.699474
-99.0,100,19.828033
-99.0,100,19.915707
-6.0,6,19.922276
-10.35287,12,19.933389
-100.0,100,20.029703
17.827622,5,20.034225
-89.0,89,20.123103
3.59224,5,20.130196
-70.280753,75,20.200929
-1.016116,4,20.205751
61.255402,4,20.21302
0.830868,4,20.217863
6.039265,4,20.222604
4.006119,4,20.227818
-84.0,85,20.315038
-7.0,7,20.323519
36.200212,4,20.328496
-0.527732,4,20.332756
4.59224,4,20.338662
36.200212,4,20.343006
32.11373,4,20.347218
-1.016116,4,20.351777
57.155768,4,20.361328
1.826367,4,20.365012
50.071753,4,20.369741
59.013482,4,20.37584
-15.28868,16,20.392367
-0.527732,4,20.397217
53.672264,4,20.401682
-2.153342,4,20.405975
26.815468,4,20.411504
17.082211,4,20.416566
-60.0,61,20.47612
-37.0,37,20.510831
52.844122,4,20.516585
34.035215,4,20.520555
54.251688,4,20.524672
-99.095511,100,20.616826
1.721319,4,20.622523
1.721319,4,20.626771
-24.0,24,20.649106
-1.798453,4,20.652777
-11.435871,13,20.665196
54.486054,4,20.669114
50.432434,4,20.672961
-91.84223,93,20.759374
55.571346,4,20.766398
-100.0,100,20.858922
60.636201,4,20.862895
3.246571,4,20.866807
