#{"t_start": 1752542678.114058, "env_id": "None"}
r,l,t
-0.458937,5,0.023879
-87.59716,90,0.194533
-100.0,100,0.317742
-35.0,36,0.353487
-36.295752,38,0.403694
-61.0,61,0.459509
36.304502,5,0.46364
-96.687502,100,0.573769
9.958543,5,0.578306
-31.033906,35,0.654334
-30.0,30,0.68212
-13.0,13,0.692597
-100.0,100,0.776825
43.726612,5,0.783456
-99.596094,100,0.867124
8.581529,5,0.871478
-99.22785,100,0.956489
-100.0,100,1.093869
-100.0,100,1.180473
-96.687493,100,1.275182
-97.0,97,1.36209
-14.027738,23,1.381451
-100.0,100,1.465949
74.055374,5,1.472076
-69.0,69,1.529568
-38.85263,44,1.569687
17.517081,5,1.574083
38.396713,5,1.578421
-100.0,100,1.687848
16.954019,6,1.700408
-20.89985,26,1.733842
4.293338,5,1.743683
-31.773886,52,1.791729
28.702382,5,1.79817
-1.646723,5,1.802469
9.907242,5,1.80675
-12.0,12,1.817252
40.749114,5,1.825323
-10.0,10,1.832845
44.656748,5,1.837143
-29.75967,37,1.884298
-57.411737,60,1.936958
29.891245,5,1.941284
77.014808,5,1.945923
-18.0,18,1.96256
-99.133686,100,2.047728
-93.401682,100,2.132904
-9.0,9,2.139905
-100.0,100,2.22384
-33.095511,34,2.261291
-22.105461,23,2.282319
24.522806,5,2.286621
-22.0,22,2.305926
12.216411,5,2.312325
-44.31043,100,2.399426
-100.0,100,2.484687
8.748792,5,2.489073
-30.501406,37,2.523729
75.842428,5,2.528028
-100.0,100,2.613454
35.844778,5,2.618371
-92.688781,100,2.704992
-6.0,6,2.71095
18.874406,6,2.715234
-53.0,54,2.763072
-16.0,16,2.778087
-3.561548,8,2.784966
42.596715,5,2.78929
33.207779,5,2.793684
-2.75967,10,2.805098
20.835629,5,2.809566
3.57191,5,2.813869
44.472013,5,2.818315
-100.0,100,2.903666
-16.468429,19,2.921433
9.630093,5,2.925724
33.207779,5,2.931867
-84.644662,100,3.018959
2.319948,5,3.023347
37.241,6,3.02753
-100.0,100,3.11377
-2.872335,5,3.121936
1.261238,19,3.136446
-15.709936,19,3.152643
-2.043829,6,3.158688
-98.670258,100,3.243878
17.543646,8,3.250722
-92.0,92,3.328403
4.299086,5,3.332735
-35.646671,61,3.385776
12.177082,5,3.390106
14.363151,5,3.396191
34.644241,5,3.400547
-1.709936,5,3.406914
0.6895,5,3.410948
56.42242,5,3.416756
-99.55702,100,3.501976
21.426905,5,3.508442
-31.0,31,3.535036
5.244516,5,3.539118
-12.459884,51,3.582615
-53.0,54,3.629435
-29.0,29,3.663733
0.140001,6,3.669821
45.651138,5,3.674154
-12.279126,13,3.686645
-21.0,22,3.705764
6.977793,5,3.710051
-2.854124,6,3.71722
-27.329096,28,3.742296
62.921942,5,3.746628
7.4779,5,3.750933
-21.0,21,3.768047
21.813547,5,3.775816
21.950607,5,3.779834
2.882953,5,3.784347
6.977793,5,3.788651
1.362925,5,3.796715
3.922388,5,3.801015
-50.0,51,3.844208
3.922388,5,3.848569
-100.0,100,3.934482
9.489662,5,3.939025
47.003885,5,3.943338
-100.0,100,4.026355
22.891645,5,4.034604
-87.0,87,4.105834
30.901382,5,4.111909
-48.0,48,4.151833
-79.733649,97,4.236081
-48.858286,59,4.286971
-47.306905,48,4.328396
-70.0,70,4.385984
43.968926,5,4.392485
55.460466,5,4.398261
-59.0,60,4.447753
-98.215702,100,4.534065
-44.0,44,4.573064
-99.293112,100,4.657083
-100.0,100,4.763746
-100.0,100,4.799591
76.764292,5,4.802029
-100.0,100,4.837636
75.728333,5,4.839991
-77.991626,100,4.935651
-83.694342,100,5.023139
-57.133686,58,5.07402
41.987796,5,5.078398
-62.448295,74,5.142469
-5.287382,6,5.146907
-21.0,21,5.165141
-100.0,100,5.250559
-1.709936,5,5.256738
-98.041909,100,5.342778
-92.939204,100,5.429893
2.979129,5,5.434353
7.357982,5,5.438721
3.135555,5,5.443154
-77.991626,100,5.532135
-99.0,100,5.619434
-11.0,11,5.628847
-100.0,100,5.714523
-35.0,35,5.746412
-88.448295,100,5.837698
-100.0,100,5.930912
-98.520888,100,6.021156
-99.0,100,6.114875
-72.0,72,6.178046
20.202905,5,6.182403
6.551705,5,6.186336
-21.532217,30,6.214179
12.207707,5,6.218627
7.070348,5,6.223063
-13.0,13,6.236866
-14.0,14,6.250015
-41.0,41,6.287114
-27.0,27,6.312538
-34.0,34,6.344573
-45.0,46,6.386922
-16.320193,18,6.405261
-26.872335,28,6.431596
-100.0,100,6.52463
-11.0,11,6.534223
25.57191,5,6.540644
-100.0,100,6.624189
-75.0,76,6.688051
13.528475,5,6.693422
-45.807094,47,6.735076
-1.709936,5,6.739474
-32.0,32,6.766761
-19.429169,21,6.784815
32.543984,5,6.789176
-100.0,100,6.875879
11.822383,10,6.885709
-100.0,100,6.970784
3.922388,5,6.975141
-49.692402,64,7.029478
29.891245,5,7.034021
76.318165,5,7.041003
-99.095511,100,7.124941
-78.0,78,7.191807
18.784237,6,7.198174
-24.769849,33,7.226259
-12.0,12,7.236796
-3.738927,24,7.257337
32.939932,5,7.261705
-22.028853,26,7.285968
-100.0,100,7.373392
3.096241,7,7.378236
-100.0,100,7.464844
-11.0,11,7.475638
-0.049309,18,7.492124
10.628933,5,7.497097
-100.0,100,7.582589
-99.0,100,7.671171
10.187737,5,7.675745
-55.0,55,7.723304
-8.0,8,7.730568
4.508264,5,7.735538
6.504169,6,7.742105
-81.0,81,7.809566
72.797952,5,7.813943
-29.0,29,7.838294
-5.274561,13,7.850691
-53.0,53,7.89694
41.947931,5,7.901296
-100.0,100,7.988145
-100.0,100,8.164175
-29.0,29,8.188488
-100.0,100,8.273721
-69.349158,71,8.336334
0.679431,14,8.349453
-17.936745,30,8.374084
-99.0,100,8.459387
-79.0,79,8.530011
41.821962,5,8.534427
-12.328932,13,8.545082
16.198374,5,8.551165
16.822383,5,8.556511
42.742984,5,8.560885
-73.0,73,8.623866
-100.0,100,8.709219
-11.0,12,8.720538
30.928205,5,8.726686
-1.346043,5,8.730634
-6.0,6,8.734726
4.108951,5,8.741769
-41.0,41,8.776171
-11.0,11,8.785664
2.962173,5,8.789954
1.197199,5,8.795046
37.932351,5,8.799509
-100.0,100,8.883542
-96.113013,100,8.97042
0.921995,6,8.977344
-25.0,26,8.998761
-1.901345,8,9.005862
-16.901345,23,9.026106
-100.0,100,9.114454
33.540116,5,9.118816
19.059303,5,9.125103
39.525501,5,9.1298
-100.0,100,9.219567
-88.448295,100,9.306109
19.784237,5,9.310596
-10.0,10,9.320426
58.907213,5,9.325694
1.350634,5,9.330026
-100.0,100,9.373166
-100.0,100,9.409911
-91.748516,100,9.445739
-87.936745,100,9.481677
1.350634,5,9.484113
-79.521483,81,9.55777
-89.858286,100,9.646217
1.272987,5,9.651644
-15.0,15,9.6655
7.4779,5,9.670289
77.356841,5,9.67487
-39.349158,41,9.710885
-9.0,9,9.720381
-100.0,100,9.819028
-100.0,100,9.923644
70.300284,5,9.931959
20.371697,5,9.938737
24.194547,5,9.945526
17.161411,5,9.955341
-65.0,65,10.031943
44.313635,5,10.03618
9.945516,5,10.040333
7.722522,6,10.047157
-11.0,11,10.059326
41.987796,5,10.063414
6.275389,5,10.067851
47.737448,5,10.072691
-21.0,21,10.093177
-82.422149,100,10.177303
6.617074,5,10.18178
-98.919537,100,10.267873
20.006003,6,10.273593
-100.0,100,10.362439
-18.618255,44,10.402239
39.457558,5,10.408347
-71.0,72,10.471169
-18.59716,21,10.48931
-74.0,75,10.627507
11.117161,5,10.631821
-100.0,100,10.721004
-90.0,90,10.798445
0.907496,5,10.804945
-23.27624,24,10.825799
30.815746,5,10.832864
12.216411,5,10.837681
-93.0,93,10.918522
78.642117,6,10.92518
-48.0,48,10.967132
-100.0,100,11.057518
-68.578635,70,11.120745
74.308159,5,11.127563
71.948624,5,11.133827
-100.0,100,11.230795
-98.596094,100,11.326616
-16.0,16,11.341486
-33.314652,47,11.387977
-16.401682,23,11.408561
85.857845,5,11.415471
-100.0,100,11.512085
-19.27624,20,11.53143
-6.761608,16,11.545971
-1.128708,5,11.550658
7.656799,5,11.555394
48.652101,5,11.561166
0.157003,5,11.567374
49.316099,5,11.571961
-100.0,100,11.661865
-27.299811,28,11.689837
13.528475,5,11.694624
48.652101,5,11.699322
-12.738927,33,11.731321
-76.0,76,11.799964
-100.0,100,11.89063
5.744253,75,11.956656
-18.033906,22,11.97793
13.528475,5,11.983604
36.853173,5,11.988369
-100.0,100,12.081739
-47.006054,63,12.141439
52.741042,5,12.146804
27.890535,5,12.154128
4.098711,5,12.158922
-16.0,16,12.172986
3.838173,5,12.178557
12.177082,5,12.18317
-3.314652,17,12.200554
25.931691,5,12.205245
-67.105461,68,12.267548
7.307598,7,12.275025
-28.0,28,12.302586
-66.0,66,12.367033
23.496203,5,12.372782
-26.0,26,12.398088
-23.0,23,12.419482
5.224668,5,12.424339
-99.0,100,12.519027
-13.0,13,12.587693
-42.0,42,12.628974
44.560438,8,12.637047
-33.0,33,12.668568
-28.293112,29,12.695186
-54.0,54,12.745467
8.45007,5,12.750359
-100.0,100,12.843958
27.150428,5,12.848623
15.085113,5,12.852975
