#{"t_start": 1752542233.255274, "env_id": "None"}
r,l,t
18.866661,5,0.073094
-31.762036,36,0.128652
-20.925293,33,0.157135
-1.709936,5,0.184285
-9.924252,47,0.239194
8.487181,27,0.263268
52.06949,5,0.267601
-50.0,51,0.312263
-40.0,40,0.34758
-12.0,12,0.358723
-52.064182,57,0.407188
-32.0,32,0.434716
-45.0,45,0.473837
-17.010726,21,0.492468
-10.981628,16,0.505798
-13.097056,23,0.550629
-63.372323,68,0.611398
-37.417121,49,0.671935
-5.0,5,0.680854
-96.0,96,0.764651
-81.341792,100,0.853243
-5.0,5,0.857272
-38.0,39,0.891332
-10.0,10,0.899191
-56.158145,100,0.986926
-2.742657,5,0.99116
33.302552,5,0.997406
-49.0,49,1.080046
6.981391,5,1.085537
15.755646,5,1.089665
-80.984674,100,1.180432
-46.0,46,1.229891
-5.538713,12,1.241343
-75.615904,79,1.324444
5.675574,40,1.360509
16.569181,5,1.364989
-49.0,50,1.410156
-100.0,100,1.496512
-82.0,82,1.567728
90.828574,5,1.572126
-24.344329,64,1.62792
-95.088412,100,1.713211
26.789971,5,1.717596
-84.0,85,1.791188
-100.0,100,1.879881
-21.0,21,1.897895
51.802944,7,1.904352
-52.0,52,1.950164
-99.0,100,2.039379
74.494212,5,2.044215
-95.088412,100,2.134076
-27.869763,60,2.185929
-100.0,100,2.287114
-82.388093,86,2.361145
-99.0,100,2.447206
-4.275534,5,2.453129
11.488947,22,2.471832
-100.0,100,2.557081
-13.0,13,2.56939
-88.0,88,2.645234
-21.0,21,2.665674
26.176142,5,2.670027
-22.0,22,2.68832
-21.0,21,2.707641
-99.0,100,2.80199
-100.0,100,2.886547
-100.0,100,2.971014
-81.413317,98,3.05358
-100.0,100,3.139544
-23.153106,42,3.176541
-2.604475,5,3.180794
-100.0,100,3.266022
-7.0,7,3.273286
13.069127,6,3.277815
-59.0,59,3.330421
26.051474,5,3.334675
-5.0,5,3.33957
73.978779,5,3.345701
60.909141,5,3.349766
0.664123,18,3.364491
-97.685545,100,3.452652
-41.275534,42,3.490407
18.929792,5,3.495541
-97.340517,100,3.581097
-97.582326,100,3.672385
-6.0,6,3.678877
-100.0,100,3.768229
7.074707,5,3.772524
11.806212,5,3.777873
64.313056,5,3.782114
27.67493,5,3.788146
-1.709936,5,3.79251
-52.938586,69,3.852115
-99.0,100,3.942217
10.357944,10,3.951683
7.858696,12,3.962544
45.317331,5,3.967864
-2.604475,5,3.972315
-38.885454,54,4.020186
-77.0,77,4.087519
-95.762036,100,4.174681
-11.0,11,4.185319
-34.0,34,4.215391
-6.0,6,4.221566
-1.709936,5,4.226968
-100.0,100,4.313405
-99.0,100,4.398934
-100.0,100,4.486816
53.932457,5,4.492398
-100.0,100,4.58038
-99.328756,100,4.68413
-100.0,100,4.719803
-92.432906,100,4.755717
-100.0,100,4.791702
-100.0,100,4.827335
6.235005,5,4.840195
16.839931,5,4.844599
26.176142,5,4.849862
-100.0,100,4.934411
-18.0,18,4.950748
-62.373879,100,5.036417
-1.615904,5,5.042548
-100.0,100,5.130659
-100.0,100,5.216662
-34.0,34,5.245304
22.891645,5,5.253124
-17.328756,18,5.267477
40.994351,19,5.2843
58.392227,5,5.288702
-100.0,100,5.376103
-99.250032,100,5.503603
-64.328756,65,5.558953
56.401795,5,5.564871
-1.907725,5,5.570871
39.287888,5,5.575252
-69.164327,74,5.640127
-85.244105,100,5.726335
2.211999,15,5.739581
29.80366,5,5.746296
-77.684096,80,5.815432
-100.0,100,5.901422
-19.0,19,5.917945
-99.0,100,6.002576
-19.709936,23,6.023119
-100.0,100,6.108707
-99.0,100,6.195038
-52.982314,100,6.281129
-41.0,41,6.31586
-40.0,41,6.353403
-89.415807,100,6.439865
-81.592352,100,6.525062
35.810557,5,6.529602
-99.0,100,6.614535
-82.0,82,6.684905
-100.0,100,6.770743
1.978864,22,6.79043
-25.329805,26,6.812072
-96.13519,100,6.899179
-29.0,29,6.926438
-63.097358,100,7.013712
41.436045,5,7.018272
-1.746481,67,7.07727
43.493116,5,7.081671
-6.0,6,7.085924
-4.326291,24,7.106034
-39.0,39,7.188429
-76.0,76,7.25387
-29.888086,38,7.285989
-1.709936,5,7.290312
-40.709936,44,7.32813
-30.0,30,7.35251
-1.811068,5,7.358604
35.545603,5,7.362932
-52.504467,100,7.450286
-100.0,100,7.534117
-21.487391,35,7.564166
30.748929,7,7.569007
63.608116,5,7.575996
18.191957,5,7.580096
36.711717,5,7.584399
18.574179,5,7.588701
73.42679,5,7.595675
-48.0,48,7.638041
-1.907725,5,7.642651
-30.0,30,7.666219
-99.0,100,7.753005
22.471453,5,7.759324
-15.381277,29,7.783233
5.129529,5,7.787149
15.538894,13,7.799824
-100.0,100,7.887564
-100.0,100,7.972476
14.780231,5,7.978591
-2.70512,5,7.983503
40.894548,6,7.988195
-76.0,76,8.053787
-66.341792,85,8.130653
-60.0,61,8.188067
-100.0,100,8.271881
-5.0,5,8.275764
-18.340517,20,8.293016
-56.772976,100,8.378544
13.539949,5,8.383121
-24.703795,100,8.46718
-30.406269,32,8.493516
-67.46025,73,8.556542
13.903541,5,8.560627
-42.963501,57,8.608564
-14.703656,72,8.671553
50.148584,5,8.676742
-1.811068,5,8.682874
-75.0,75,8.744299
-90.340517,93,8.826876
-1.811165,5,8.832064
-52.504467,100,8.915414
-88.683724,91,8.99353
-8.0,8,9.000504
14.015326,5,9.005286
-75.0,75,9.071136
-99.328756,100,9.156816
-99.0,100,9.241055
-99.329128,100,9.292316
-99.002058,100,9.327577
-81.249061,100,9.363134
-100.0,100,9.398404
-67.361723,100,9.434014
54.681369,5,9.446761
35.545603,5,9.45234
73.995595,5,9.456462
-61.0,61,9.506616
2.201805,17,9.523682
16.428097,6,9.528026
70.660546,5,9.532107
-88.0,88,9.608995
25.597669,5,9.616388
2.249288,20,9.633397
-1.615904,5,9.637795
-99.0,100,9.72229
-13.678674,21,9.741019
-35.503643,86,9.815446
11.309671,5,9.819886
-100.0,100,9.903574
-86.067672,100,9.989976
-9.0,9,9.999748
22.891645,5,10.004907
-75.105461,76,10.071367
12.765068,5,10.078824
-49.137612,52,10.123055
-2.742657,5,10.127173
25.883837,5,10.131475
-64.0,65,10.185847
-35.0,35,10.216875
-46.142788,52,10.2613
-95.811165,99,10.346401
-100.0,100,10.434283
-80.275002,100,10.519721
-1.003948,6,10.524122
-1.854124,5,10.530054
20.518508,5,10.535927
-30.13519,34,10.563758
-59.0,59,10.614709
15.817265,5,10.618994
77.786249,5,10.626992
-100.0,100,10.713198
-4.329805,5,10.716928
37.037552,5,10.721248
-52.504467,100,10.80561
-74.742657,77,10.869966
-11.728919,14,10.883022
36.711717,5,10.887384
-84.873542,100,10.974021
-11.362662,16,10.987836
-34.500119,48,11.029524
-92.024689,100,11.114508
-28.19814,41,11.15135
40.324974,17,11.16701
1.573647,5,11.171357
54.801734,7,11.177864
62.227199,5,11.183686
-42.981944,46,11.221863
5.82068,5,11.228518
-100.0,100,11.31399
-36.0,36,11.346118
-20.0,20,11.362767
13.230361,5,11.367083
-8.0,8,11.373848
11.938856,5,11.379912
19.538442,5,11.384332
-79.0,79,11.4534
72.673185,5,11.457787
-70.0,71,11.518703
-100.0,100,11.603475
-96.010726,100,11.687854
-26.540265,32,11.714955
65.964931,5,11.721272
25.969476,5,11.727136
-59.0,59,11.775285
-21.0,21,11.794042
-2.582326,5,11.800019
55.441409,5,11.804376
-50.0,50,11.848694
4.821812,5,11.853279
52.971107,5,11.8588
-95.771121,100,11.942599
-64.615336,100,12.026631
-77.0,77,12.091316
26.793714,5,12.099677
18.471453,9,12.10745
21.495157,5,12.11178
118.274856,5,12.11611
-100.0,100,12.203483
-40.586294,61,12.25671
20.40071,5,12.261069
-42.742657,45,12.298224
19.154788,5,12.304074
40.429423,5,12.310001
30.562073,5,12.314356
-4.249061,23,12.336046
5.919469,5,12.341872
-53.303839,58,12.390049
5.82068,5,12.396248
-24.0,24,12.416577
-65.0,65,12.475728
-96.0,96,12.556937
-10.854124,14,12.568537
-77.128421,85,12.64208
46.764298,5,12.648066
-58.0,58,12.696302
