#{"t_start": 1752541639.528505, "env_id": "None"}
r,l,t
-27.245726,33,0.07633
-88.12407,99,0.195778
-89.12407,100,0.280964
-34.12407,45,0.320731
-83.0,83,0.392422
-9.0,9,0.401518
-100.0,100,0.589937
-100.0,100,0.697356
-91.319172,100,0.784047
-100.0,100,0.897599
-9.0,9,0.905893
-100.0,100,0.993268
-100.0,100,1.080961
-77.0,77,1.146044
-17.0,17,1.162149
-100.0,100,1.248867
-87.0,87,1.330677
18.752592,3,1.334221
-100.0,100,1.423169
-64.0,64,1.477791
-71.0,71,1.541259
-27.0,27,1.564109
-41.0,41,1.606356
-4.0,4,1.609736
-5.12407,16,1.624076
-4.0,4,1.627631
-89.12407,100,1.713553
-100.0,100,1.79724
-100.0,100,1.896097
-61.12407,72,1.956565
-100.0,100,2.039355
-10.0,10,2.04685
-30.0,30,2.073127
-68.0,68,2.130504
-39.0,39,2.162025
-12.63243,22,2.181798
-23.0,23,2.201298
-90.63243,100,2.284908
-100.0,100,2.36902
16.839728,3,2.370695
14.041598,3,2.37411
-22.0,22,2.395066
-100.0,100,2.481353
-61.63243,71,2.540167
5.869398,3,2.543466
-100.0,100,2.627666
-10.0,10,2.638062
6.36757,3,2.639739
15.745329,4,2.643332
-65.0,65,2.700055
5.36757,4,2.704681
16.839728,3,2.706529
16.852091,3,2.710077
6.36757,3,2.715585
12.630936,4,2.72021
-100.0,100,2.814845
16.852091,3,2.81802
-50.325972,59,2.866904
5.555226,3,2.870968
5.555226,3,2.874486
-17.319172,26,2.895699
-17.0,17,2.912542
6.36757,3,2.915169
6.36757,3,2.918717
11.324101,5,2.922807
16.852091,3,2.926253
-48.325972,57,2.975383
-10.0,10,2.985802
-48.12407,59,3.038062
-15.63243,25,3.0603
-79.63243,89,3.138318
-6.130602,15,3.151676
-68.130602,77,3.219993
-71.0,71,3.279537
-91.130602,100,3.366925
-4.0,4,3.370537
-16.0,16,3.384975
-83.0,83,3.457659
16.745329,3,3.460165
-45.12407,56,3.506882
-31.0,31,3.533358
-54.130602,63,3.588045
-100.0,100,3.670952
-87.0,87,3.74517
-14.325972,23,3.763361
-100.0,100,3.848657
16.745329,3,3.853097
-100.0,100,3.936501
-13.12407,24,3.956532
-100.0,100,4.044624
-86.0,86,4.118761
-100.0,100,4.20488
-100.0,100,4.291305
-100.0,100,4.375329
0.87593,10,4.383871
-16.0,16,4.397352
-29.0,29,4.421328
-89.12407,100,4.510187
-100.0,100,4.618747
-100.0,100,4.655096
-100.0,100,4.691617
-91.319172,100,4.727419
-91.325972,100,4.763248
-100.0,100,4.854543
-13.12407,24,4.874964
-87.12407,98,4.956983
-69.12407,80,5.023963
-30.130602,39,5.058022
-5.0,5,5.06176
-84.130602,93,5.137352
-20.319172,29,5.162611
-100.0,100,5.247394
-56.0,56,5.293724
-100.0,100,5.378039
-43.12407,54,5.46285
-91.325972,100,5.552408
-91.130602,100,5.637053
-100.0,100,5.719586
1.869398,7,5.725999
-52.0,52,5.77563
-83.0,83,5.843067
-86.12407,97,5.925894
-27.0,28,5.948959
-17.12407,28,5.973193
-100.0,100,6.056612
-89.12407,100,6.141251
-4.0,4,6.144812
-16.0,16,6.159284
6.87593,4,6.16305
-82.575375,100,6.249142
-100.0,100,6.33718
-13.319172,23,6.356732
-100.0,100,6.441987
-27.12407,38,6.47613
-100.0,100,6.560144
-91.319172,100,6.644239
14.424625,3,6.647663
-73.130602,82,6.94276
6.680828,3,6.946337
-100.0,100,7.032244
-91.63243,100,7.115804
-91.63243,100,7.200925
-100.0,100,7.284756
-2.12407,13,7.296525
-100.0,100,7.380292
-89.12407,100,7.465681
-35.130602,44,7.502732
-30.130602,39,7.53845
14.424625,3,7.541817
-5.0,5,7.545382
-19.0,19,7.561772
-9.12407,20,7.580594
-100.0,100,7.670559
-3.0,3,7.671852
