#{"t_start": 1752542350.3796954, "env_id": "None"}
r,l,t
-64.0,64,0.10858
61.761807,5,0.114842
-99.133895,100,0.262829
54.380534,5,0.267264
-85.600296,87,0.341408
-2.53706,5,0.345488
-79.0,79,0.417072
-9.460014,12,0.427521
-100.0,100,0.537281
51.689042,6,0.542087
-99.200657,100,0.643774
-100.0,100,0.746253
-100.0,100,0.843024
-100.0,100,0.930114
-83.0,83,1.001621
81.174396,5,1.013054
82.856952,5,1.017773
-17.0,17,1.077749
20.308873,5,1.083091
-99.0,100,1.171656
-35.0,35,1.20199
-97.582326,100,1.289956
-17.0,17,1.305846
-100.0,100,1.393671
-78.422475,100,1.479053
4.916396,5,1.483498
0.853556,5,1.48879
23.762024,5,1.494915
-58.0,58,1.542629
12.57417,5,1.547196
78.471104,5,1.554236
-16.0,16,1.567748
-40.0,40,1.608589
-46.0,46,1.650298
-46.0,46,1.691122
38.941129,5,1.695523
-57.182019,60,1.746298
-79.247186,100,1.830705
-8.874674,13,1.842176
-100.0,100,1.92705
-91.0,91,2.014359
-85.0,85,2.086029
-11.675834,31,2.113981
-73.200591,75,2.177302
43.220829,5,2.181706
-10.094468,14,2.193756
-33.0,33,2.226551
-7.866386,37,2.257448
-100.0,100,2.340806
-26.343,31,2.367497
42.133864,5,2.372705
-100.0,100,2.456491
-46.0,47,2.497993
-97.0,97,2.579671
71.170403,5,2.584951
-62.001739,66,2.651078
-9.388314,41,2.687787
17.270153,5,2.692189
1.278701,5,2.697464
-99.606157,100,2.783435
-17.0,17,2.799573
-31.0,31,2.824586
23.714856,5,2.832702
-76.0,76,2.896588
39.006808,5,2.900952
28.775869,5,2.905468
29.367902,5,2.910417
-17.0,17,2.926715
62.173958,5,2.931275
24.373729,5,2.935647
-1.628993,5,2.94064
-97.0,97,3.02626
-14.181084,31,3.05113
-8.0,8,3.057922
-23.0,23,3.079984
9.541649,5,3.084006
-100.0,100,3.168508
39.29655,5,3.174615
13.201574,5,3.17985
-12.0,12,3.191797
-55.0,55,3.238633
15.334957,5,3.243257
22.112336,5,3.248131
-98.307952,100,3.332379
22.85846,7,3.339305
-12.0,12,3.349676
-72.0,72,3.412276
50.879449,5,3.416629
3.68466,5,3.420675
-72.328504,91,3.500568
-98.043528,100,3.586717
17.80185,5,3.591222
-47.13864,71,3.652089
-98.600296,100,3.737853
-2.832484,5,3.743183
-33.0,33,3.77214
39.006808,5,3.776671
14.026805,5,3.780599
56.251391,5,3.785749
-14.0,14,3.799043
-38.0,38,3.830005
-44.0,44,3.86824
-38.182019,41,3.906875
47.351257,5,3.91165
13.912478,5,3.91574
77.499735,5,3.920675
-93.832484,96,4.005729
-1.639678,21,4.025503
-7.0,7,4.030101
53.314667,5,4.036232
39.565533,5,4.041233
1.694172,5,4.0457
-100.0,100,4.131432
37.983325,5,4.135921
-99.0,100,4.224896
-84.637586,93,4.306898
15.271888,5,4.311668
-100.0,100,4.398625
-100.0,100,4.483897
21.973823,5,4.48836
-96.0,96,4.57339
-23.083612,30,4.600296
-2.533482,5,4.605459
12.63505,5,4.609852
-100.0,100,4.650692
26.764351,5,4.653126
-100.0,100,4.688984
19.228449,5,4.69156
37.983325,5,4.693898
-55.030653,70,4.761923
25.755694,5,4.766496
-1.628993,5,4.771988
6.46926,20,4.790248
84.300091,5,4.796473
12.63505,5,4.800906
-75.0,75,4.867859
-100.0,100,4.95501
12.091762,5,4.959519
-94.141562,100,5.045548
36.30831,5,5.051633
42.095011,5,5.055993
77.697924,5,5.062392
20.461107,5,5.068471
-99.0,100,5.153716
-100.0,100,5.239564
-9.633719,11,5.249345
-99.0,100,5.334008
-68.0,69,5.394355
6.08674,5,5.398509
-5.0,5,5.402593
51.471765,5,5.408691
-17.0,17,5.424154
39.458704,5,5.428822
41.604219,6,5.435356
22.810514,5,5.439571
21.395719,6,5.445787
-96.615904,100,5.535231
-11.033344,13,5.548181
89.251527,5,5.552337
-20.327508,23,5.576864
-93.049427,97,5.660778
-99.134333,100,5.745639
-59.0,59,5.796608
-40.0,40,5.83181
38.173398,5,5.836032
-34.704459,37,5.867307
-31.0,31,5.893978
-86.0,86,5.969514
19.342885,5,5.975912
-100.0,100,6.061226
20.44135,6,6.065802
-24.0,24,6.087681
-98.600296,100,6.171174
-20.307952,22,6.191554
37.142211,6,6.198705
-26.0,26,6.222889
58.825948,5,6.22734
6.753172,5,6.231622
-32.906901,56,6.279198
-100.0,100,6.365596
-100.0,100,6.450876
-99.0,100,6.535657
-96.001739,100,6.620459
23.042658,5,6.627126
-37.0,37,6.66043
27.6937,5,6.66493
28.433217,3,6.66846
-1.632571,5,6.674206
-1.632571,5,6.679342
30.677728,19,6.696241
-57.0,57,6.743965
-98.605426,100,6.83378
-13.0,13,6.844652
18.517005,5,6.8514
5.804855,5,6.855795
-28.0,28,6.881247
-7.0,7,6.887929
30.608185,5,6.892287
46.017147,5,6.896627
3.073799,5,6.902416
-16.164471,20,6.919444
33.566074,5,6.926543
-99.0,100,7.012739
-23.520842,28,7.04028
-100.0,100,7.125996
25.602707,6,7.130522
18.971735,30,7.157371
20.178096,5,7.163765
-84.0,84,7.233526
12.625262,5,7.237608
5.087497,5,7.242044
-1.615904,5,7.249983
-22.0,22,7.267831
15.012443,5,7.271822
-100.0,100,7.35706
70.805301,5,7.365041
-0.529492,5,7.369771
29.401224,5,7.373884
-95.0,95,7.456083
19.989931,5,7.462347
17.562549,5,7.466579
12.57417,5,7.472676
-100.0,100,7.560039
-99.0,100,7.648586
-100.0,100,7.734418
-85.0,86,7.807519
10.982986,15,7.821124
33.133124,5,7.826801
0.453362,5,7.830618
42.280937,5,7.836744
41.764476,6,7.841272
36.958918,5,7.847407
6.872504,5,7.853548
17.148275,5,7.857337
39.78475,5,7.861663
-100.0,100,7.948141
40.881584,5,7.952733
-5.361474,6,7.959059
50.210983,5,7.962964
46.854581,5,7.969261
-75.0,75,8.034571
37.001067,5,8.038938
-47.247186,68,8.098415
4.067391,5,8.106059
21.066081,5,8.110066
72.50493,5,8.114817
25.998965,3,8.118301
6.753172,5,8.124032
46.542657,5,8.128354
-97.583856,100,8.212626
12.737518,5,8.218595
-100.0,100,8.306543
-99.0,100,8.420776
-99.0,100,8.505253
73.795381,5,8.509806
84.992242,5,8.515095
-100.0,100,8.603665
46.854581,5,8.608151
45.722208,5,8.614267
-19.773185,27,8.637606
-5.0,5,8.643593
-7.0,7,8.648267
13.352756,5,8.654379
-35.0,35,8.683178
-24.0,24,8.703419
-72.834189,100,8.789024
24.373729,5,8.795323
53.770519,5,8.800578
54.759701,5,8.804974
-100.0,100,8.890723
-3.386014,22,8.910577
29.252263,5,8.915748
-86.0,86,8.986913
12.510575,5,8.993054
-20.635845,28,9.017987
-100.0,100,9.104381
0.378308,5,9.108916
19.303228,5,9.125987
-100.0,100,9.161791
58.714997,5,9.164466
-100.0,100,9.200248
-96.087055,100,9.235979
34.26476,5,9.243721
13.605237,5,9.248654
85.058113,5,9.25389
-100.0,100,9.338135
13.352756,5,9.342788
-1.087055,5,9.349387
-14.0,14,9.361439
6.753172,5,9.36577
39.939867,5,9.371865
-7.0,7,9.376545
48.919249,5,9.384463
75.263502,5,9.388938
-100.0,100,9.474075
-69.242505,90,9.551966
25.755694,5,9.55997
11.065683,5,9.564614
57.432596,5,9.568736
-70.0,70,9.627852
-10.136203,33,9.657912
81.174396,5,9.662284
-22.797878,24,9.68356
44.99233,5,9.687944
-1.632571,5,9.695646
-60.704459,63,9.747375
-1.615904,5,9.753615
39.807388,5,9.759146
-7.0,7,9.767292
2.3997,26,9.788421
13.201574,5,9.792888
-1.628993,5,9.79912
19.66878,5,9.804898
5.097962,5,9.809355
20.437317,5,9.813705
-40.242505,61,9.866516
-71.0,71,9.926904
39.78475,5,9.933099
19.303228,5,9.937706
39.128394,5,9.942065
84.300091,5,9.947937
76.603982,6,9.954327
1.894538,5,9.958819
3.865562,7,9.965554
-96.001739,100,10.111947
-32.0,32,10.140442
88.06417,5,10.144897
61.520739,5,10.149421
-30.001739,34,10.181478
101.784612,5,10.185948
-18.0,18,10.203076
-24.0,24,10.224232
-34.001739,38,10.258404
-91.0,91,10.343233
1.235555,31,10.370697
56.730394,5,10.374978
38.440327,5,10.380448
-46.0,46,10.422815
-28.632571,32,10.452478
-98.670258,100,10.540982
-32.0,32,10.571047
-93.0,94,10.653356
-100.0,100,10.745224
-100.0,100,10.832099
56.700162,5,10.83751
-30.0,30,10.863743
-55.0,55,10.916209
-92.294527,93,10.999569
-0.946802,5,11.005011
20.989875,5,11.009804
-18.825049,85,11.084793
56.665699,5,11.089294
66.549426,5,11.094564
-100.0,100,11.18302
-96.085662,98,11.26901
8.506562,5,11.273282
84.24955,5,11.278598
-94.0,94,11.360863
-34.098854,42,11.395687
20.718261,5,11.399753
2.886956,5,11.408256
54.620304,5,11.412622
17.107746,5,11.4172
44.609183,5,11.421633
74.441841,5,11.428713
23.042658,5,11.43314
60.664388,5,11.437607
31.422823,5,11.44179
41.102497,5,11.448786
