#{"t_start": 1752541850.620473, "env_id": "None"}
r,l,t
2.134588,4,0.011044
9.541812,4,0.022596
10.132345,4,0.055281
-100.0,100,0.174121
7.739483,4,0.178253
-100.0,100,0.26276
-98.999018,100,0.353287
-50.276777,55,0.403876
-17.891144,38,0.439284
0.440724,10,0.448735
-86.844192,92,0.555012
-65.0,66,0.617445
-100.0,100,0.708587
-31.696759,36,0.743703
-100.0,100,0.858994
8.376304,4,0.865621
-87.0,88,0.945484
-35.0,35,0.977148
-54.582946,73,1.076077
-100.0,100,1.169315
-95.088617,100,1.263029
15.238964,4,1.268367
0.572652,4,1.272773
-23.334452,36,1.312654
-100.0,100,1.409257
-85.0,85,1.501894
25.906321,4,1.506102
2.093134,4,1.510348
15.238964,4,1.514572
-98.0,98,1.606168
-99.438995,100,1.697742
-28.0,28,1.723153
56.975386,4,1.727346
2.004057,4,1.732352
34.272675,4,1.736544
18.654679,4,1.740598
22.378163,4,1.74484
-37.4498,49,1.794396
15.238964,4,1.798626
-10.0,11,1.807491
24.93327,4,1.811713
4.853073,4,1.816918
-64.334452,78,1.886777
-21.676618,56,1.93802
-100.0,100,2.03814
31.1452,4,2.043433
26.999216,5,2.048195
-61.585027,66,2.111768
0.996992,4,2.116226
4.279553,4,2.121508
-12.0,12,2.132827
-70.0,70,2.194977
-8.0,8,2.202485
10.78958,4,2.20726
-75.0,75,2.274974
-31.0,31,2.302514
-47.671359,100,2.392861
-64.0,64,2.451976
30.158361,4,2.456177
-53.764691,83,2.538953
-53.0,53,2.590405
3.853073,4,2.595244
13.429483,4,2.599556
-93.589098,100,2.690703
-24.0,24,2.712594
5.491774,4,2.717694
-22.372597,32,2.748163
25.906321,4,2.752651
-100.0,100,2.84311
11.23656,4,2.848527
3.303868,5,2.854094
-19.0,19,2.871724
31.734298,5,2.875816
-53.3729,100,2.961679
53.218029,4,2.96597
30.734298,6,2.971035
32.258248,4,2.975143
1.155808,5,2.982715
-72.0,72,3.048856
-72.298726,84,3.12648
13.079928,4,3.130798
-66.20763,78,3.204005
47.978473,4,3.208734
-56.482568,90,3.293976
35.000237,4,3.298255
5.491774,4,3.303365
35.169735,4,3.30728
76.182238,4,3.311474
32.258248,4,3.315639
-20.0,20,3.334717
-93.0,93,3.415648
-99.0,100,3.509925
-56.0,56,3.560656
59.270876,4,3.565804
-49.0,49,3.611269
-8.784075,10,3.621763
53.499703,5,3.626268
-99.0,100,3.726006
15.544675,4,3.730406
-66.32608,67,3.792008
-21.0,21,3.810923
-4.656289,23,3.833814
4.732907,4,3.838118
-6.510228,13,3.84943
32.313046,4,3.853562
-100.0,100,3.945795
-100.0,100,4.039341
46.60026,4,4.043592
27.999216,4,4.048362
-68.379194,100,4.140844
0.489772,6,4.145751
-68.905121,100,4.238547
13.087775,4,4.242898
-35.0,35,4.276108
-85.199391,100,4.377922
35.33634,4,4.38263
-100.0,100,4.474106
-99.0,100,4.565642
-17.835523,39,4.602658
-46.750904,51,4.651686
9.20041,4,4.655989
1.691479,4,4.660849
0.572652,4,4.66503
22.331096,4,4.669329
31.1452,4,4.673553
65.445372,4,4.678936
18.654679,4,4.683064
-2.004885,5,4.687856
32.136894,4,4.691947
-94.139985,100,4.787451
35.641914,4,4.791716
-12.353529,16,4.806497
-38.0,38,4.843829
17.696198,4,4.849127
-100.0,100,4.900049
-100.0,100,4.936511
-48.529444,100,4.974277
2.523416,4,4.976375
-2.629675,4,4.978638
-3.313758,4,4.990098
17.468292,4,4.994279
-1.403463,4,4.998294
-100.0,100,5.089713
-13.0,13,5.103464
-34.419951,49,5.147167
0.657,4,5.151174
1.141808,4,5.157172
-41.195036,53,5.204288
32.061004,4,5.208496
-84.0,84,5.28708
4.700887,4,5.292956
17.812941,4,5.296845
48.328641,4,5.300968
5.449547,4,5.305104
-74.0,74,5.37657
3.085402,4,5.380527
12.758253,4,5.384314
13.939959,4,5.38846
-32.0,33,5.42059
-68.000784,100,5.54534
5.631923,4,5.549713
62.934198,4,5.557316
5.261415,4,5.5629
-4.023537,18,5.578653
-99.0,100,5.689573
-2.629675,4,5.693846
-81.0,81,5.770599
-46.0,47,5.811883
65.445372,4,5.816092
-26.458597,52,5.866233
-8.274713,9,5.877586
4.626934,4,5.88182
9.20041,4,5.885958
-39.0,40,5.924155
55.603519,4,5.930177
13.087775,4,5.934514
-57.656289,76,6.005209
7.579978,4,6.009556
2.570969,4,6.015487
1.891973,4,6.019597
39.097339,4,6.024049
27.246406,4,6.028425
32.708704,4,6.034235
-7.719965,17,6.049453
-100.0,100,6.142326
-9.061256,32,6.1742
-17.0,17,6.190635
3.426347,4,6.194839
15.69309,9,6.202803
-35.0,35,6.235222
-47.0,48,6.28015
29.587111,4,6.284089
51.59523,4,6.288228
-99.0,100,6.379326
-88.20763,100,6.487001
-42.0,43,6.528151
18.844357,4,6.53214
-49.0,49,6.576866
-100.0,100,6.66683
-29.0,29,6.694046
5.153146,4,6.698227
21.378163,5,6.704549
-42.0,42,6.743465
-99.0,100,6.828907
-1.460429,4,6.833253
-100.0,100,6.925523
-24.0,24,6.949159
5.280035,4,6.953525
-36.004885,39,6.98915
24.567855,4,6.993324
24.567855,4,6.999282
1.155808,5,7.003939
4.303868,4,7.008059
-99.0,100,7.102135
14.343711,4,7.107834
-23.125367,26,7.132662
31.1452,4,7.136832
-24.0,24,7.159549
35.785293,5,7.165821
-53.0,54,7.214074
4.041351,4,7.218272
35.641914,4,7.222438
-99.0,100,7.316986
-100.0,100,7.412572
-97.0,97,7.501232
3.512918,4,7.505431
4.626934,4,7.511267
-20.0,20,7.530013
39.956999,4,7.534022
55.624309,4,7.537885
-5.0,5,7.543266
13.939959,4,7.547148
3.001914,5,7.551456
5.610274,4,7.555331
-99.0,100,7.647915
34.690723,4,7.651976
-19.0,19,7.669464
-47.0,47,7.714776
-1.460429,4,7.720636
4.853073,4,7.724885
35.000237,4,7.7289
-93.797295,100,7.818814
4.853073,4,7.825056
4.732907,4,7.829513
25.466499,4,7.83363
-60.0,60,7.88898
32.498475,4,7.894595
1.891973,4,7.898498
-15.0,15,7.909897
-68.0,68,7.969284
14.238964,5,7.978279
-91.278677,100,8.063222
-12.0,12,8.073603
-62.0,62,8.152424
-100.0,100,8.246042
36.261979,4,8.250014
35.000237,4,8.253717
28.551162,4,8.257107
9.20041,4,8.262551
10.608238,4,8.266171
-49.03153,54,8.313032
1.71759,4,8.317118
38.56294,4,8.322565
-69.535242,76,8.391775
-33.0,33,8.418639
34.272675,4,8.422592
-2.004885,5,8.428584
39.688644,4,8.432399
47.978473,4,8.436759
8.021916,4,8.440642
5.491774,4,8.445959
24.93327,4,8.450968
3.853073,5,8.45511
9.725026,4,8.458984
