#{"t_start": 1752542389.6568666, "env_id": "None"}
r,l,t
5.652968,4,0.01737
52.896973,4,0.036101
0.624531,4,0.099759
38.24278,4,0.105581
34.272533,4,0.120563
38.24278,4,0.12488
-42.0,42,0.175496
38.24278,4,0.180135
20.846181,4,0.200701
38.24278,4,0.229418
-26.634557,28,0.276438
1.487515,14,0.290186
19.014023,15,0.306412
-100.0,100,0.419651
-81.266425,100,0.572328
-100.0,100,0.669908
43.758058,4,0.675386
-12.0,12,0.68891
-75.701607,92,0.780887
-26.512485,42,0.822702
-8.0,8,0.830265
46.016186,4,0.834452
-29.0,29,0.861883
-64.0,64,0.933891
-81.266425,100,1.030118
-100.0,100,1.147939
14.125484,4,1.152399
-88.0,88,1.230259
-100.0,100,1.327087
-54.266425,73,1.388044
-100.0,100,1.474144
-11.0,11,1.484092
-63.0,63,1.539635
34.721309,12,1.550064
-61.709707,100,1.638995
44.585557,4,1.642976
-24.209479,40,1.677346
2.328954,17,1.697998
-29.720333,56,1.751445
19.867584,4,1.755058
-100.0,100,1.842863
-62.709707,100,1.928712
-40.266425,59,1.980507
-100.0,100,2.070096
15.290293,23,2.090363
26.528638,17,2.106351
-60.906845,100,2.190756
38.456121,4,2.194439
-5.0,5,2.199119
-45.39332,65,2.258527
22.788333,4,2.263825
-28.0,28,2.287891
16.478112,4,2.291522
22.788333,4,2.295393
-20.790582,58,2.3553
-64.472139,85,2.429569
38.112093,4,2.433547
22.755265,5,2.437744
-95.375469,100,2.522953
51.010278,4,2.526717
-72.266425,91,2.605322
57.356157,4,2.609318
38.112093,4,2.614079
39.265087,4,2.617936
39.265087,4,2.621771
23.755265,4,2.625719
56.743868,4,2.630265
32.199966,4,2.634105
-100.0,100,2.721691
39.265087,4,2.725639
-81.0,81,2.798028
22.788333,4,2.802263
52.896973,4,2.806451
-81.266425,100,2.898022
42.174151,4,2.903369
45.60199,4,2.907496
-41.375469,46,2.950061
8.667816,4,2.954224
22.788333,4,2.959287
-44.39801,94,3.045342
38.112093,4,3.04958
-59.315385,100,3.140147
44.585557,4,3.145446
-27.0,28,3.171148
-64.794606,85,3.249335
52.896973,4,3.254056
52.896973,4,3.259329
-100.0,100,3.351338
-100.0,100,3.441668
-70.0,70,3.503887
-86.0,86,3.580533
28.162157,4,3.584549
-37.958631,61,3.678174
45.60199,4,3.682338
13.622816,4,3.68729
-48.0,48,3.73073
-83.027345,94,3.811756
-6.0,6,3.818047
54.922251,4,3.823433
-45.0,45,3.861346
-62.958631,86,3.934688
16.041369,7,3.941629
20.395346,4,3.946047
55.333159,5,3.950287
39.704755,8,3.957276
52.896973,4,3.961961
-13.512485,29,3.988855
-93.010682,100,4.074266
42.721309,4,4.07845
-32.383706,65,4.135353
47.571879,4,4.140434
-33.0,33,4.168634
-57.208287,74,4.237566
26.081939,4,4.24116
43.704755,4,4.245922
-13.512485,29,4.270803
-84.512485,100,4.355227
55.208744,4,4.359159
22.788333,4,4.3639
-33.872236,74,4.426727
32.199966,4,4.430597
59.62804,4,4.434483
-81.266425,100,4.520036
55.208744,4,4.523996
44.072591,4,4.52785
-8.207875,36,4.558048
-8.0,8,4.565209
-8.0,8,4.571839
55.609948,4,4.575706
59.62804,4,4.579557
32.199966,4,4.584105
-100.0,100,4.668525
-77.512485,93,4.756879
52.896973,4,4.761043
35.026343,4,4.765893
62.182139,4,4.769747
3.95696,4,4.773666
-29.0,29,4.797699
52.896973,4,4.802329
12.704755,35,4.833013
20.846181,4,4.837089
51.896973,5,4.841178
-100.0,100,4.909019
55.208744,4,4.911077
-79.290269,100,4.946988
55.609948,4,4.94894
26.989838,4,4.950926
-33.0,33,4.988775
-29.0,29,5.012952
36.127764,4,5.016538
-100.0,100,5.101856
62.25902,4,5.106687
20.091072,4,5.110649
38.24278,4,5.114634
52.896973,4,5.118574
-12.0,12,5.12968
26.985028,4,5.133537
52.896973,4,5.137513
42.704755,5,5.141768
-100.0,100,5.232524
16.963304,4,5.236538
-18.872251,28,5.260296
16.941237,4,5.264042
6.813488,6,5.271712
-100.0,100,5.358812
-2.477328,36,5.388795
42.721309,4,5.394067
-22.375469,27,5.416353
-15.0,15,5.429564
21.640574,4,5.433562
20.546901,4,5.437491
42.330263,4,5.442094
-90.872251,100,5.547897
42.721309,4,5.551875
32.608462,4,5.555763
55.609948,4,5.560565
42.642309,4,5.564425
35.521189,4,5.568305
52.896973,4,5.572267
-40.537364,50,5.639561
-21.0,21,5.681877
43.585557,5,5.686358
23.482765,4,5.690112
43.585557,5,5.695376
42.008569,4,5.701101
41.097382,4,5.704741
38.276076,4,5.724441
-40.0,40,5.760421
14.733575,4,5.763923
39.265087,4,5.767803
32.197168,4,5.771652
42.721309,4,5.776497
-100.0,100,5.882076
17.125487,4,5.886045
19.846181,4,5.889755
13.837581,4,5.894363
39.452861,4,5.898266
-61.0,61,5.955843
8.667816,4,5.959951
42.642309,4,5.964951
3.127749,6,5.96957
1.487515,14,5.983886
1.462636,8,5.990895
-43.0,43,6.028348
-29.143208,57,6.104583
5.790521,10,6.112494
21.788333,5,6.11637
-37.525434,65,6.175541
-44.209479,60,6.226736
29.522672,4,6.230762
23.755265,4,6.234776
21.788333,5,6.239722
20.940573,26,6.263562
53.270069,4,6.268981
16.963304,4,6.273609
42.642309,4,6.278296
7.065226,4,6.281949
-100.0,100,6.370862
-94.0,94,6.453718
-63.39741,65,6.539408
5.474566,22,6.56076
-78.0,79,6.63118
-19.0,20,6.682143
23.755265,4,6.687032
-33.92358,39,6.7219
-21.0,21,6.739749
18.158611,21,6.759156
-27.0,27,6.781533
33.290293,5,6.787517
-45.0,45,6.828184
23.755265,4,6.832283
42.642309,4,6.837409
53.401911,4,6.841408
-100.0,100,6.929654
-100.0,100,7.018965
16.963304,4,7.023882
8.667816,4,7.02779
-17.0,17,7.041609
28.511958,7,7.048359
30.93886,4,7.052989
-100.0,100,7.147902
32.199966,4,7.151913
45.60199,4,7.155822
14.846181,10,7.164986
-100.0,100,7.250808
32.199966,4,7.254727
-100.0,100,7.342577
23.290293,15,7.357057
39.265087,4,7.361424
-99.0,100,7.461331
45.60199,4,7.465224
13.290293,25,7.487228
23.755265,4,7.491207
6.320866,4,7.494917
23.871128,4,7.498603
-18.0,18,7.515392
42.642309,4,7.519263
-47.0,47,7.558993
38.276076,4,7.563035
23.755265,4,7.567842
23.755265,4,7.57181
-99.0,100,7.676345
32.199966,4,7.680431
8.667816,4,7.685212
-55.0,55,7.731418
23.871128,4,7.735204
-31.0,31,7.762439
23.755265,4,7.767339
2.511958,33,7.796015
-20.0,20,7.816792
-1.709707,40,7.852051
35.158611,4,7.856867
-99.0,100,7.945257
-19.39741,21,7.96514
26.598743,4,7.969059
-33.0,33,7.999526
-28.0,28,8.027527
20.395346,4,8.031416
32.290293,6,8.035961
8.667816,4,8.040632
46.016186,4,8.044528
-94.0,94,8.126484
-4.0,4,8.129965
-80.07763,100,8.216604
15.963304,5,8.221032
28.616294,4,8.224973
23.755265,4,8.228913
27.290293,11,8.239763
-23.315955,35,8.271325
-61.709707,100,8.36953
9.60668,10,8.377016
27.194294,4,8.381596
-47.466249,70,8.441199
-61.709707,100,8.527618
23.755265,4,8.531683
-6.0,6,8.536816
-16.0,16,8.550508
22.788333,4,8.554372
23.755265,4,8.558322
-100.0,100,8.644875
10.866941,10,8.654838
-24.0,24,8.675554
-100.0,100,8.76608
