#{"t_start": 1752541680.9881458, "env_id": "None"}
r,l,t
-6.843257,21,0.09211
-1.30138,3,0.093934
-99.0,100,0.235902
-100.0,100,0.321189
-61.0,61,0.376652
-99.724478,100,0.462618
-95.520842,100,0.595025
-100.0,100,0.684897
-54.667915,65,0.750941
-47.0,48,0.857318
-71.0,72,0.935013
4.390263,3,0.938087
-8.0,8,0.945688
-70.962932,100,1.034838
-100.0,100,1.121527
-100.0,100,1.216441
-74.152884,100,1.306304
-84.0,85,1.380982
-2.6897,3,1.384287
-1.724478,3,1.385958
7.824136,3,1.390263
-4.520842,9,1.397388
1.923016,3,1.40073
1.40849,3,1.404081
-2.668291,3,1.408134
2.765865,3,1.409706
34.757518,3,1.413074
5.206783,3,1.416192
-32.0,32,1.443708
1.923016,3,1.447039
32.134316,3,1.448601
-98.129888,100,1.571938
2.057819,3,1.576244
-59.907265,86,1.658501
-1.341982,3,1.66041
-46.770906,48,1.704639
-28.0,29,1.730891
-0.218017,3,1.732478
17.316982,3,1.735628
-98.129888,100,1.81929
-6.0,6,1.826302
-98.943734,100,1.910261
-100.0,100,1.992727
-100.0,100,2.075176
-64.0,64,2.1288
-99.0,100,2.211921
36.42733,3,2.213537
-1.770906,3,2.216965
1.050157,3,2.221154
19.42909,3,2.224462
24.132648,3,2.226023
-21.0,21,2.245132
-2.341982,4,2.249542
-1.555233,3,2.251385
17.772809,3,2.254765
28.661299,3,2.258079
-1.759234,3,2.262254
-1.5759,3,2.263831
-100.0,100,2.346044
1.923016,3,2.34944
-1.759234,3,2.353757
-2.211143,3,2.35714
-91.0,91,2.441271
-2.555233,3,2.444368
-8.292435,13,2.456066
-21.0,21,2.475598
-100.0,100,2.55829
-98.129888,100,2.648084
2.326829,3,2.650586
-72.0,72,2.709502
10.543948,3,2.712959
-99.0,100,2.798105
16.245129,4,2.802711
-95.520842,100,2.886247
2.776377,3,2.889661
-64.0,64,2.941651
-64.0,64,2.996394
1.44079,3,3.000073
-1.759234,3,3.001761
2.326829,3,3.005304
-54.0,54,3.052091
7.088175,3,3.053842
-60.0,60,3.105037
-11.0,11,3.114964
-100.0,100,3.198495
-1.341982,3,3.202009
-99.0,100,3.285583
-10.0,10,3.292943
-99.6897,100,3.376539
-68.0,68,3.434361
-15.0,15,3.446891
4.500487,3,3.449926
-32.6897,33,3.477333
-46.0,46,3.5164
15.622826,3,3.517977
36.450018,4,3.521702
-11.0,12,3.532589
-100.0,100,3.619743
1.40849,3,3.623102
9.870446,3,3.626473
-18.770906,20,3.643818
-100.0,100,3.726558
-99.0,100,3.810635
-1.943734,3,3.813967
11.564218,3,3.816425
36.450018,4,3.820167
-2.770906,4,3.824005
2.326829,3,3.827346
17.368107,3,3.831387
-72.668189,88,3.904633
-2.724478,4,3.908504
-58.0,59,3.960687
-70.962932,100,4.043943
-1.341982,3,4.045708
-1.555233,3,4.049197
-2.341982,4,4.052794
-2.5759,4,4.057046
-93.785039,100,4.141163
-2.0,3,4.144579
-2.724478,4,4.148431
-100.0,100,4.233335
-24.6897,25,4.324002
-100.0,100,4.408908
-2.770906,4,4.413069
-86.0,86,4.490925
27.308035,3,4.492585
-99.0,100,4.579153
-2.770906,4,4.584145
-16.770906,17,4.601468
-30.724478,32,4.629811
1.057819,4,4.6338
-1.30138,3,4.635743
-20.770906,21,4.656579
-2.724478,4,4.660583
-8.0,9,4.667974
17.237881,3,4.671505
-1.759234,3,4.673989
0.457375,3,4.677591
9.870446,3,4.681054
-1.759234,3,4.684659
-2.724478,3,4.686977
