#{"t_start": 1752541596.3659468, "env_id": "None"}
r,l,t
-13.374593,45,0.091895
6.430892,6,0.096553
50.769654,6,0.104573
31.274896,6,0.109354
-62.0,62,0.19819
96.630188,6,0.203308
62.400026,6,0.21149
-27.0,28,0.237384
74.369884,6,0.242317
71.471657,7,0.249305
-100.0,100,0.334674
82.544026,21,0.352453
-33.771149,62,0.407731
72.537002,6,0.412363
53.948955,12,0.42456
33.923257,6,0.431178
-32.0,32,0.458544
-58.231451,60,0.551556
-100.0,100,0.636295
17.576172,6,0.640905
-13.0,13,0.651432
-14.955297,49,0.710407
42.038653,6,0.716677
-95.803556,100,0.799418
33.039206,6,0.806158
-47.565529,86,0.878192
122.764922,6,0.886248
-6.0,6,0.890419
123.7517,6,0.896847
-52.0,52,0.943109
14.108706,6,0.94953
36.388229,6,0.95679
-20.0,20,0.973135
39.335924,6,0.977957
-21.552798,34,1.013947
4.931945,6,1.020578
12.601674,7,1.027709
-46.0,46,1.095037
40.381082,6,1.103497
33.324251,6,1.108636
1.751918,6,1.114857
19.952571,6,1.120301
-100.0,100,1.205109
58.723447,6,1.211607
-20.0,20,1.232263
3.472616,6,1.23681
3.472616,6,1.244573
40.683005,6,1.249698
-1.779009,6,1.256293
-12.0,12,1.267355
-70.065058,78,1.334349
-68.0,69,1.39711
73.779615,6,1.401876
-67.0,67,1.457702
-74.126053,100,1.546116
-23.0,23,1.571162
30.746051,6,1.575651
19.512579,6,1.582355
86.612776,6,1.591393
56.692165,6,1.597864
25.348048,6,1.602837
-38.230893,39,1.635181
15.803456,8,1.643613
41.838233,6,1.648893
-49.0,49,1.691233
47.180449,6,1.696033
21.724061,6,1.711007
2.980625,6,1.715235
36.231151,6,1.721703
61.372384,6,1.726483
-20.0,20,1.744464
46.778711,6,1.751065
29.219182,6,1.755847
-96.291283,100,1.848728
8.043053,6,1.857283
10.734504,6,1.862069
3.63039,6,1.868381
8.204162,6,1.873236
-12.015699,23,1.894808
-2.134186,6,1.899846
-63.0,63,1.953757
-100.0,100,2.038028
-4.837233,30,2.065298
18.618498,6,2.071356
-41.0,41,2.104449
11.89342,6,2.110886
-46.099837,50,2.152176
10.528905,6,2.158692
8.674402,60,2.208336
39.029852,6,2.213139
-61.525116,69,2.272739
99.204681,6,2.277316
28.834381,6,2.284115
22.279107,64,2.3635
-28.0,28,2.387899
13.194844,6,2.392688
98.985184,6,2.399119
-89.015699,100,2.481404
-79.319243,84,2.55619
-44.001192,47,2.602553
34.612335,6,2.609463
67.611702,6,2.614312
-49.0,49,2.660081
-45.0,45,2.697666
-44.346503,55,2.936576
90.964789,6,2.941718
77.021238,6,2.949728
-42.558904,100,3.040453
54.663791,6,3.045837
42.042641,6,3.052519
54.642339,6,3.058299
14.606011,6,3.064657
39.8288,6,3.069407
-100.0,100,3.154308
-89.0,89,3.230934
6.648811,6,3.238389
-15.0,15,3.251734
-58.0,58,3.301116
46.49299,18,3.31837
-16.0,17,3.333018
37.769964,6,3.337597
-98.069248,100,3.421404
32.752983,21,3.442867
15.261869,6,3.447628
-0.466971,6,3.4546
-21.664132,32,3.481872
-20.0,20,3.499743
17.17306,6,3.504667
-100.0,100,3.590059
64.162682,14,3.603245
-17.216398,100,3.691414
-33.627068,42,3.726883
33.235695,14,3.741585
-29.449128,40,3.775265
-16.961503,20,3.792909
12.6398,6,3.797795
13.343946,6,3.804344
-20.022756,23,3.822669
48.536066,6,3.829762
23.855,6,3.834791
35.282024,6,3.841329
-46.0,46,3.878425
-45.54221,49,3.922509
11.700988,6,3.927567
-100.0,100,4.016117
3.006028,6,4.022535
59.08324,6,4.028123
36.388229,6,4.035425
11.9548,6,4.039986
13.88237,6,4.046956
57.381712,6,4.052636
88.707192,6,4.059521
-1.912751,6,4.065015
84.030814,6,4.071328
36.902753,7,4.077327
59.08324,6,4.086595
46.784692,6,4.091388
97.054136,6,4.097726
2.254121,6,4.103567
54.950003,6,4.110589
33.762843,6,4.115862
44.478199,6,4.122722
12.357746,6,4.128195
76.803374,6,4.135168
51.284432,6,4.140029
40.4544,6,4.147043
35.282024,6,4.152987
30.534733,6,4.160527
-11.627068,20,4.178285
75.758331,6,4.183056
12.60554,6,4.190615
15.422226,6,4.195415
-100.0,100,4.285861
-0.272502,6,4.292118
-59.0,59,4.346723
-0.834635,6,4.351262
-85.0,85,4.424196
35.787449,6,4.43094
47.414319,6,4.436826
4.398644,6,4.443435
-100.0,100,4.528878
77.268593,33,4.557147
-91.934022,100,4.644932
44.354575,6,4.651641
29.539257,6,4.656624
-96.961503,100,4.743831
1.770988,6,4.751464
-7.504103,40,4.78707
7.979309,7,4.848811
45.085226,6,4.851643
84.761478,6,4.854485
-61.025244,100,4.890681
58.440104,6,4.893528
