#{"t_start": 1752542175.9830425, "env_id": "None"}
r,l,t
-13.0,13,0.158086
7.434683,4,0.162308
-13.0,13,0.173924
-25.237155,27,0.19774
5.451038,4,0.237906
-36.0,36,0.268931
-95.0,95,0.364596
-17.0,17,0.380622
-16.681995,21,0.399064
-99.0,100,0.549929
9.972142,4,0.553888
-13.0,13,0.564908
-100.0,100,0.680774
-32.0,32,0.709876
-18.0,18,0.726452
5.451038,4,0.73037
9.972142,4,0.73522
9.332315,4,0.739152
-2.177471,4,0.743165
9.332315,4,0.747098
-100.0,100,0.835256
-77.0,77,0.901467
9.332315,4,0.90546
-33.0,33,0.933593
9.194509,4,0.938449
-100.0,100,1.03254
-1.591608,4,1.037966
8.194509,5,1.042876
8.839213,4,1.047663
-12.793961,18,1.064744
9.332315,4,1.069222
-5.793961,11,1.080225
-21.0,21,1.098858
-12.0,12,1.109588
-1.993246,4,1.11362
-19.0,19,1.130593
8.310454,4,1.136038
-2.514042,4,1.139989
-65.158742,71,1.199705
7.310454,5,1.205929
-38.123496,47,1.248929
-100.0,100,1.370772
-18.0,18,1.386975
-2.719632,4,1.390981
-1.754007,4,1.395776
-2.27024,4,1.399685
-100.0,100,1.483324
-12.0,12,1.493477
-2.486147,4,1.49786
-67.0,67,1.555757
-51.732652,64,1.60923
10.28162,5,1.613316
-7.681995,12,1.624668
-40.71838,56,1.671575
-18.681995,23,1.691689
9.332315,4,1.69557
-98.0,98,1.778307
7.826446,5,1.782542
9.332315,4,1.786434
-100.0,100,1.872813
8.826446,4,1.877272
-99.26786,100,1.96212
5.01431,4,1.965793
-77.0,77,2.033671
-97.993246,100,2.118988
-34.302609,36,2.149415
-87.732652,100,2.234105
-2.628465,4,2.237752
9.332315,4,2.242771
9.332315,4,2.246651
-3.302609,5,2.250922
-100.0,100,2.335599
6.306086,4,2.33999
5.01431,4,2.343564
-23.0,23,2.363648
-2.302609,4,2.367559
9.332315,4,2.372163
-100.0,100,2.45921
-93.26786,94,2.538672
-18.0,18,2.55452
-99.364781,100,2.640542
11.28162,4,2.644586
-3.542161,4,2.647892
-2.348007,4,2.651772
-1.429208,4,2.656519
-2.348007,4,2.660386
10.509565,4,2.664229
5.671838,4,2.668014
5.01431,4,2.672347
-2.27024,4,2.676221
5.671838,4,2.680021
7.826446,5,2.685492
8.267348,4,2.690032
9.332315,4,2.693931
-3.302609,5,2.698167
-6.0,6,2.704434
9.332315,4,2.708982
-66.223142,76,2.801489
-99.0,100,2.884804
10.509565,4,2.888657
8.826446,4,2.893283
11.28162,4,2.897115
-89.364781,90,2.971286
-30.0,30,2.999042
9.332315,4,3.003876
-2.719632,4,3.007722
-29.591608,32,3.034885
-2.302609,4,3.038743
-86.0,86,3.110866
9.972142,4,3.114972
-15.364781,16,3.129252
4.649144,4,3.132811
9.332315,4,3.137415
0.892539,4,3.140933
-2.486147,4,3.144482
-2.486147,4,3.147807
-32.302609,34,3.178811
-99.364781,100,3.2618
-7.993246,10,3.269604
5.671838,4,3.273469
9.332315,4,3.278886
-3.302609,5,3.283255
9.972142,4,3.28706
5.01431,4,3.290636
8.267348,4,3.295169
-100.0,100,3.379194
-73.0,73,3.442205
0.975533,4,3.446308
-5.0,5,3.450861
9.194509,4,3.454703
9.332315,4,3.458556
-100.0,100,3.543364
-100.0,100,3.630333
-16.302609,18,3.644953
-30.0,30,3.671138
-16.0,16,3.684591
-28.0,28,3.708534
5.01431,4,3.712101
-2.719632,4,3.715958
-97.905459,100,3.7994
9.332315,4,3.804042
-13.0,13,3.815523
-73.905459,76,3.879171
5.451038,4,3.882934
-5.173554,18,3.899762
-33.0,33,3.92741
-100.0,100,4.011734
-2.719632,4,4.015624
-1.754007,4,4.020289
-39.0,39,4.053336
-8.0,8,4.060253
5.534032,4,4.063906
-31.173554,44,4.102288
9.972142,4,4.106126
-45.0,45,4.159715
-45.123496,54,4.205118
-2.173554,15,4.219526
6.306086,4,4.223039
4.649144,4,4.226717
9.332315,4,4.230551
-30.123496,39,4.264481
9.332315,4,4.268462
-70.173554,83,4.339015
9.972142,4,4.342872
-99.0,100,4.543346
-2.719632,4,4.547287
-10.173554,23,4.565532
9.509565,5,4.571412
-97.905459,100,4.66088
-41.0,41,4.698082
-42.0,42,4.735495
8.267348,4,4.739563
