#{"t_start": 1752542616.1144671, "env_id": "None"}
r,l,t
-1.010382,4,0.016078
-1.944863,4,0.028871
-99.0,100,0.142011
8.843424,4,0.145934
-100.0,100,0.24963
-100.0,100,0.344635
-47.0,47,0.387594
-3.541455,31,0.414287
26.103218,4,0.417877
-98.00847,100,0.504009
-37.0,37,0.536881
-100.0,100,0.623166
-63.550235,64,0.676896
-100.0,100,0.762805
-100.0,100,0.847615
11.535107,4,0.851553
-2.308206,4,0.855433
4.644251,4,0.861534
-0.868668,4,0.865469
-71.39872,100,0.950816
-12.0,13,0.961659
-44.798615,67,1.057148
26.719626,4,1.063131
-64.0,64,1.12351
-1.403463,4,1.127587
-2.191884,4,1.133634
13.309696,4,1.13777
-2.872358,4,1.141684
-4.0,4,1.145134
28.427087,4,1.150407
-100.0,100,1.235673
-22.269376,50,1.282319
-42.0,43,1.317331
-98.67126,100,1.404465
-100.0,100,1.490834
26.719626,4,1.494762
-2.595794,4,1.498597
-16.274713,17,1.515745
-2.329611,4,1.519667
11.546805,4,1.523655
-100.0,100,1.609885
0.042575,4,1.614929
0.067577,4,1.618825
18.841527,4,1.622658
-1.425654,4,1.626846
-99.0,100,1.713
-20.0,20,1.729817
-88.344743,100,1.814539
10.831191,4,1.818171
-8.0,8,1.826906
2.227559,4,1.8308
-99.0,99,1.911368
-6.985566,28,1.935436
9.158537,4,1.940603
57.269613,4,1.944437
7.98696,4,1.950112
5.217332,4,1.954165
14.411255,4,1.959211
53.803965,4,1.963108
-2.308206,4,1.96702
27.691426,4,1.971033
-3.308759,5,1.978869
9.113271,4,1.982724
-0.727203,4,1.986606
11.905929,4,1.991343
-100.0,100,2.080948
-2.369956,4,2.084804
12.876875,4,2.088784
-99.134266,100,2.179628
-2.329611,4,2.203472
-99.0,100,2.288439
-2.568806,4,2.292047
9.45995,4,2.295845
8.457407,4,2.307155
38.188125,4,2.311104
-53.0,53,2.355145
-28.0,28,2.378434
-67.0,67,2.437644
-5.0,5,2.441297
7.63273,7,2.447992
54.916636,4,2.451975
7.898688,4,2.457795
-99.0,100,2.543036
13.116413,4,2.54707
-2.329611,4,2.551047
-100.0,100,2.666888
50.980339,4,2.670903
29.024605,4,2.674948
19.873648,4,2.679442
-21.0,21,2.698213
-99.0,100,2.783852
-18.0,18,2.798304
24.799537,4,2.802206
5.768215,4,2.807337
-8.0,8,2.814749
8.210555,4,2.818671
-36.370423,46,2.858268
-8.0,8,2.964559
